time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520287146644290010,	0.42274,	2.70573,	-0.620438,	-0.000247339,	0.000999224,	-0.000325002,	-0.000233102,	-0.00334843,	-0.00729257,	0.999968,	0.417355,	2.71647,	-0.391414,	-2.95883e-06,	9.16715e-05,	-0.000135724,	-0.0774293,	0.671276,	0.734978,	-0.0565733
1520287146691206482,	0.42287,	2.7037,	-0.620263,	0.0028291,	-0.0442371,	0.00379473,	0.000906636,	-0.00348,	-0.00923722,	0.999951,	0.417304,	2.71671,	-0.391283,	-0.00111448,	0.00536027,	0.00285305,	-0.0774823,	0.670972,	0.73525,	-0.0565751
1520287146742022391,	0.422968,	2.70468,	-0.620175,	0.00195441,	0.0197192,	0.0017684,	0.000948633,	-0.00395826,	-0.00802123,	0.99996,	0.41734,	2.71688,	-0.39141,	0.000735219,	0.00342241,	-0.00254587,	-0.0775305,	0.670743,	0.735449,	-0.056632
1520287146792272312,	0.422692,	2.70521,	-0.620129,	-0.00550677,	0.0104689,	0.000904965,	-0.000114583,	-0.00335549,	-0.00721448,	0.999968,	0.41745,	2.71641,	-0.391134,	0.00219265,	-0.00944456,	0.00552674,	-0.0774618,	0.670657,	0.73554,	-0.0565669
1520287146851011418,	0.422948,	2.70497,	-0.620354,	0.00440928,	-0.00404505,	-0.00387021,	-0.000360515,	-0.00345547,	-0.00738186,	0.999967,	0.417495,	2.7167,	-0.391178,	0.000771128,	0.00500426,	-0.00075411,	-0.0773797,	0.670774,	0.735441,	-0.0565797
1520287146905189330,	0.42284,	2.70606,	-0.620878,	-0.00200638,	0.0201623,	-0.00970081,	0.000402572,	-0.00360996,	-0.00683069,	0.99997,	0.417357,	2.71733,	-0.391163,	-0.00254254,	0.0116581,	0.00026743,	-0.0773987,	0.671338,	0.73492,	-0.0566391
1520287146951888507,	0.42301,	2.70423,	-0.620049,	0.00370897,	-0.0397708,	0.0180233,	0.00092678,	-0.00357631,	-0.00806741,	0.999961,	0.417273,	2.71703,	-0.391265,	-0.00183583,	-0.00665888,	-0.00221221,	-0.0773645,	0.671281,	0.734979,	-0.0565865
1520287146996828500,	0.423065,	2.70417,	-0.619694,	0.00123461,	-0.00130371,	0.00806968,	0.00150248,	-0.00417816,	-0.00772719,	0.99996,	0.417588,	2.71601,	-0.39101,	0.0071621,	-0.0231578,	0.00579886,	-0.0773826,	0.670174,	0.735988,	-0.0565736
1520287147040476754,	0.422924,	2.70425,	-0.620175,	-0.00327927,	0.00172013,	-0.0112057,	-0.00170628,	-0.00286658,	-0.00660443,	0.999973,	0.417615,	2.71626,	-0.391246,	0.000621932,	0.00601304,	-0.00549548,	-0.0774396,	0.670622,	0.735567,	-0.0566593
1520287147087685410,	0.423018,	2.70428,	-0.619914,	0.0020005,	0.00075487,	0.0055573,	0.00092261,	-0.00339701,	-0.00745626,	0.999966,	0.417458,	2.71647,	-0.391214,	-0.00333507,	0.00437467,	0.000688059,	-0.077333,	0.670912,	0.735325,	-0.0565054
