time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520287039546272853,	0.418748,	2.71715,	-0.620251,	-7.99584e-06,	-0.000428241,	7.81754e-05,	-0.00579494,	-0.00362662,	-0.00415623,	0.999968,	0.412524,	2.73046,	-0.391536,	-5.98586e-05,	0.000486736,	-4.58235e-05,	-0.0774308,	0.675694,	0.730936,	-0.056344
1520287039589047393,	0.418723,	2.71857,	-0.62037,	-0.0006002,	0.033795,	-0.0028348,	-0.00663108,	-0.00380833,	-0.0047872,	0.999959,	0.412766,	2.73008,	-0.391581,	0.00575867,	-0.00903585,	-0.00108459,	-0.0774153,	0.675543,	0.731075,	-0.0563761
1520287039629565555,	0.41866,	2.71727,	-0.619888,	-0.00155939,	-0.0324361,	0.0120456,	-0.00285649,	-0.00371059,	-0.00504542,	0.999976,	0.412885,	2.72931,	-0.391419,	0.00298551,	-0.0190899,	0.00404117,	-0.0775614,	0.675191,	0.731378,	-0.0564682
1520287039674123136,	0.418702,	2.71702,	-0.620609,	0.000946797,	-0.00581193,	-0.0163802,	-0.00452762,	-0.00393104,	-0.00805971,	0.99995,	0.413099,	2.72946,	-0.391339,	0.00485372,	0.00337481,	0.00182106,	-0.0777205,	0.674945,	0.731573,	-0.0566654
1520287039717371581,	0.418946,	2.71768,	-0.620433,	0.00568286,	0.0154592,	0.0040881,	-0.00568812,	-0.00379953,	-0.00418298,	0.999968,	0.413262,	2.72917,	-0.391192,	0.00380364,	-0.00672488,	0.00343544,	-0.0775952,	0.6746,	0.731908,	-0.0566012
1520287039763096952,	0.418943,	2.71862,	-0.620657,	-7.9389e-05,	0.0208892,	-0.00497076,	-0.00625454,	-0.00371894,	-0.00370325,	0.999967,	0.413262,	2.72917,	-0.391192,	0,	0,	0,	-0.0775952,	0.6746,	0.731908,	-0.0566012
1520287039812858248,	0.41881,	2.71659,	-0.620382,	-0.00271299,	-0.0414565,	0.00560956,	-0.00340818,	-0.00372759,	-0.007662,	0.999958,	0.412658,	2.7303,	-0.391303,	-0.0123402,	0.0230015,	-0.00227653,	-0.0774112,	0.675647,	0.730985,	-0.0563063
1520287039854815485,	0.419083,	2.71743,	-0.620102,	0.00664876,	0.0205642,	0.006837,	-0.00422846,	-0.00388242,	-0.00348065,	0.999977,	0.412459,	2.73061,	-0.391555,	-0.00483296,	0.00747448,	-0.00615253,	-0.0772749,	0.676522,	0.730191,	-0.0562861
1520287039900632963,	0.418716,	2.71801,	-0.620487,	-0.00815312,	0.0128954,	-0.00855623,	-0.00424768,	-0.0042653,	-0.00467014,	0.999971,	0.412639,	2.73029,	-0.391537,	0.00398978,	-0.00694104,	0.000403668,	-0.0775078,	0.675143,	0.731437,	-0.0563428
1520287039940716286,	0.418662,	2.71792,	-0.620236,	-0.00134723,	-0.00230302,	0.00626683,	-0.00584688,	-0.00355896,	-0.00427454,	0.999967,	0.412863,	2.72999,	-0.391404,	0.00560135,	-0.00754679,	0.00334226,	-0.0777618,	0.674675,	0.731819,	-0.0566378
1520287039983089381,	0.418885,	2.71858,	-0.620565,	0.00531882,	0.015569,	-0.00782912,	-0.00676867,	-0.00353658,	-0.00332237,	0.999965,	0.412876,	2.73008,	-0.391461,	0.000304224,	0.00211751,	-0.00135868,	-0.0777197,	0.674678,	0.731821,	-0.0566298
1520287040027312932,	0.419071,	2.71759,	-0.620344,	0.00422304,	-0.0223168,	0.0050243,	-0.0041844,	-0.00360473,	-0.00453063,	0.999974,	0.412758,	2.73067,	-0.391428,	-0.00268464,	0.0133488,	0.000734541,	-0.0773416,	0.675534,	0.731099,	-0.0562666
1520287040073823841,	0.418926,	2.71884,	-0.62076,	-0.00314377,	0.027166,	-0.00904611,	-0.00529669,	-0.0038147,	-0.00442321,	0.999969,	0.412486,	2.73112,	-0.391452,	-0.00590848,	0.00983944,	-0.000505835,	-0.0772697,	0.676672,	0.730061,	-0.056173
1520287040113917832,	0.418614,	2.71755,	-0.620387,	-0.00780566,	-0.0323047,	0.00932973,	-0.00740114,	-0.00340176,	-0.00509815,	0.999954,	0.412486,	2.73112,	-0.391452,	0,	0,	0,	-0.0772697,	0.676672,	0.730061,	-0.056173
1520287040159081752,	0.418855,	2.71774,	-0.620193,	0.005358,	0.00417024,	0.00431725,	-0.00670244,	-0.00345778,	-0.00312717,	0.999967,	0.412565,	2.73031,	-0.391416,	0.00175945,	-0.0178981,	0.000796768,	-0.0774128,	0.675727,	0.730912,	-0.056276
1520287040206717571,	0.418797,	2.71791,	-0.620185,	-0.00124324,	0.00361823,	0.000157399,	-0.00649666,	-0.00365969,	-0.00400935,	0.999964,	0.412962,	2.72936,	-0.391226,	0.00843797,	-0.0203584,	0.00402789,	-0.0777603,	0.674343,	0.732127,	-0.0566094
1520287040248287011,	0.418681,	2.71874,	-0.620832,	-0.00282981,	0.0201929,	-0.0157688,	-0.00542927,	-0.00355483,	-0.00494199,	0.999967,	0.413002,	2.7296,	-0.391229,	0.000995675,	0.00583968,	-7.23606e-05,	-0.0777657,	0.67447,	0.732009,	-0.0566151
1520287040291667871,	0.418791,	2.71754,	-0.620379,	0.002569,	-0.02773,	0.0105397,	-0.00632867,	-0.0032925,	-0.00254456,	0.999971,	0.413004,	2.72997,	-0.391319,	4.3203e-05,	0.00857088,	-0.00207484,	-0.0773641,	0.675426,	0.731198,	-0.0562454
1520287040331913406,	0.418937,	2.71742,	-0.620253,	0.00365376,	-0.00313937,	0.00314268,	-0.00690324,	-0.00364877,	-0.00607609,	0.999951,	0.412643,	2.73036,	-0.3914,	-0.0090354,	0.00997451,	-0.0020353,	-0.0773063,	0.676611,	0.730109,	-0.0562353
1520287040370428944,	0.418897,	2.72026,	-0.621136,	-0.00105248,	0.0747231,	-0.023233,	-0.00883327,	-0.00336532,	-0.00386159,	0.999948,	0.412601,	2.72983,	-0.391383,	-0.00111345,	-0.014155,	0.000451276,	-0.0773911,	0.675804,	0.730848,	-0.0562215
1520287040412132502,	0.418799,	2.71844,	-0.620322,	-0.00240876,	-0.0443556,	0.0198449,	-0.00441818,	-0.00436785,	-0.00443166,	0.999971,	0.412601,	2.72983,	-0.391383,	0,	0,	0,	-0.0773911,	0.675804,	0.730848,	-0.0562215
1520287040453123460,	0.418727,	2.71913,	-0.620338,	-0.00177971,	0.0172771,	-0.000398401,	-0.0104837,	-0.00371996,	-0.00387837,	0.999931,	0.412784,	2.7293,	-0.391386,	0.00459459,	-0.0131548,	-8.61493e-05,	-0.0776981,	0.674798,	0.731721,	-0.05652
1520287040499143631,	0.418744,	2.71826,	-0.620506,	0.000355134,	-0.018873,	-0.00364285,	-0.00631805,	-0.00341308,	-0.00572651,	0.999958,	0.412903,	2.73006,	-0.391409,	0.0025697,	0.0164219,	-0.000483173,	-0.0778267,	0.674464,	0.732006,	-0.0566412
1520287040541438860,	0.418497,	2.71684,	-0.620335,	-0.00586996,	-0.0338583,	0.00407282,	-0.00792836,	-0.0028179,	-0.00673139,	0.999942,	0.412929,	2.73015,	-0.391312,	0.000638764,	0.00232159,	0.0022942,	-0.0775005,	0.675127,	0.731449,	-0.0563828
1520287040583920714,	0.418832,	2.7183,	-0.620386,	0.00797538,	0.0346814,	-0.001228,	-0.00561109,	-0.00369779,	-0.00478806,	0.999966,	0.41288,	2.73083,	-0.391389,	-0.00117914,	0.0160947,	-0.00182769,	-0.0773151,	0.676253,	0.730439,	-0.0562518
1520287040625872020,	0.418704,	2.71841,	-0.620485,	-0.00311755,	0.00287631,	-0.00240101,	-0.00426205,	-0.00365554,	-0.00470113,	0.999973,	0.412638,	2.73045,	-0.391496,	-0.00589943,	-0.00927197,	-0.00261592,	-0.0773396,	0.676105,	0.730577,	-0.0561876
1520287040667809591,	0.418903,	2.71941,	-0.620644,	0.00485456,	0.0243209,	-0.00388322,	-0.00715825,	-0.00359071,	-0.00404926,	0.99996,	0.412683,	2.73006,	-0.39162,	0.00110108,	-0.00943591,	-0.00300866,	-0.0776956,	0.674958,	0.731584,	-0.0563888
1520287040710795687,	0.418635,	2.71877,	-0.620639,	-0.00639573,	-0.0151977,	0.000116906,	-0.00853149,	-0.00327098,	-0.005162,	0.999945,	0.412683,	2.73006,	-0.39162,	0,	0,	0,	-0.0776956,	0.674958,	0.731584,	-0.0563888
1520287040754506779,	0.41885,	2.71823,	-0.620345,	0.00500538,	-0.0125491,	0.00683827,	-0.00594872,	-0.00359051,	-0.00470177,	0.999965,	0.412877,	2.72983,	-0.391405,	0.00451055,	-0.00536349,	0.00497926,	-0.0778382,	0.674594,	0.731887,	-0.0566094
1520287040798932611,	0.418823,	2.71747,	-0.620276,	-0.000623048,	-0.0173632,	0.00155304,	-0.00445405,	-0.00356865,	-0.00409119,	0.999975,	0.4129,	2.73034,	-0.391353,	0.000516073,	0.0114788,	0.00119444,	-0.0776398,	0.674821,	0.731715,	-0.0564159
1520287040843860516,	0.41874,	2.71702,	-0.620377,	-0.00188127,	-0.0102862,	-0.00228697,	-0.00637298,	-0.00313779,	-0.00427046,	0.999966,	0.412674,	2.73094,	-0.391423,	-0.00513702,	0.0138116,	-0.00159727,	-0.0773919,	0.676094,	0.730575,	-0.0562826
