time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520287082784859550,	0.42107,	2.72191,	-0.620232,	-8.68512e-05,	-0.000846272,	0.000390437,	0.00403277,	-0.00305831,	-0.0115446,	0.999921,	0.416119,	2.7328,	-0.391057,	-7.2095e-05,	-3.86801e-05,	-2.18836e-05,	-0.073277,	0.666257,	0.740363,	-0.0509397
1520287082828115894,	0.421031,	2.72217,	-0.620272,	-0.000907872,	0.00587601,	-0.000937928,	0.00585701,	-0.00345072,	-0.0115444,	0.99991,	0.415926,	2.73286,	-0.391078,	-0.00449498,	0.00145329,	-0.000472251,	-0.0732449,	0.666116,	0.740498,	-0.0508588
1520287082877976739,	0.421176,	2.72345,	-0.620774,	0.00296552,	0.0261247,	-0.0102387,	0.00553448,	-0.00352073,	-0.0110278,	0.999918,	0.415884,	2.73329,	-0.391068,	-0.000861398,	0.00880027,	0.00019718,	-0.0732486,	0.666387,	0.740253,	-0.0508787
1520287082927470922,	0.420954,	2.72339,	-0.620476,	-0.00452796,	-0.00111457,	0.006072,	0.00583018,	-0.0032795,	-0.0102429,	0.999925,	0.41607,	2.73349,	-0.39108,	0.00379653,	0.00416341,	-0.000242243,	-0.0731582,	0.666649,	0.740024,	-0.0509026
1520287082975399901,	0.420986,	2.72406,	-0.620797,	0.000687829,	0.0143363,	-0.00681396,	0.00548695,	-0.0031423,	-0.0102856,	0.999927,	0.416257,	2.73311,	-0.391091,	0.00397969,	-0.00824104,	-0.000232457,	-0.0731755,	0.666276,	0.740357,	-0.0509281
1520287083020316123,	0.420955,	2.72305,	-0.62067,	-0.000709951,	-0.0230604,	0.00287536,	0.0059716,	-0.00333645,	-0.0114603,	0.999911,	0.415953,	2.73235,	-0.391112,	-0.0068983,	-0.0172859,	-0.000484739,	-0.0732477,	0.66608,	0.740529,	-0.0508889
1520287083066839311,	0.421024,	2.724,	-0.62064,	0.00150579,	0.020747,	0.000642268,	0.00398616,	-0.00385828,	-0.0097282,	0.999937,	0.416029,	2.73236,	-0.390914,	0.0016591,	0.000412493,	0.00431343,	-0.0732388,	0.666114,	0.7405,	-0.0508761
1520287083112651051,	0.421112,	2.72338,	-0.620636,	0.00194924,	-0.0139146,	8.97945e-05,	0.00672895,	-0.00329649,	-0.0119351,	0.999901,	0.416029,	2.73236,	-0.390914,	0,	0,	0,	-0.0732388,	0.666114,	0.7405,	-0.0508761
1520287083156660109,	0.420857,	2.72307,	-0.620472,	-0.00579685,	-0.00690053,	0.00374131,	0.00611651,	-0.00346625,	-0.0115345,	0.999909,	0.416106,	2.73304,	-0.391064,	0.00173179,	0.0152972,	-0.003408,	-0.0731543,	0.666348,	0.740297,	-0.0508815
1520287083204000230,	0.421122,	2.72244,	-0.620576,	0.00563356,	-0.0134144,	-0.00221042,	0.00436859,	-0.00347204,	-0.0104662,	0.99993,	0.415981,	2.73269,	-0.391029,	-0.0026565,	-0.00742596,	0.000728511,	-0.073188,	0.666475,	0.740178,	-0.0509078
1520287083249687101,	0.421015,	2.72266,	-0.620609,	-0.00237794,	0.00482015,	-0.000736872,	0.00565961,	-0.00339185,	-0.0111605,	0.999916,	0.415904,	2.73263,	-0.390984,	-0.00171237,	-0.0013479,	0.00101488,	-0.0732207,	0.666219,	0.740408,	-0.0508613
1520287083294693562,	0.421032,	2.72341,	-0.620608,	0.000371123,	0.016557,	2.73541e-05,	0.00510029,	-0.00350765,	-0.0113286,	0.999917,	0.416151,	2.73314,	-0.391019,	0.00549115,	0.0114706,	-0.000791331,	-0.0732141,	0.666208,	0.740416,	-0.0508954
1520287083340531224,	0.421107,	2.72364,	-0.620622,	0.00167075,	0.0052922,	-0.000324042,	0.00420879,	-0.00338797,	-0.0111547,	0.999923,	0.416097,	2.73221,	-0.39092,	-0.00119313,	-0.0207452,	0.0022149,	-0.0731788,	0.666244,	0.740386,	-0.0509182
1520287083386866530,	0.421265,	2.72267,	-0.620456,	0.00343289,	-0.0211997,	0.00360481,	0.00634413,	-0.00351753,	-0.0118028,	0.999904,	0.415952,	2.73277,	-0.391242,	-0.00315071,	0.0121964,	-0.00701814,	-0.0731971,	0.66632,	0.740319,	-0.0508714
1520287083432210778,	0.421058,	2.72222,	-0.620466,	-0.00459619,	-0.00992273,	-0.000212326,	0.00588148,	-0.0034527,	-0.0115895,	0.99991,	0.415943,	2.73306,	-0.391062,	-0.000199712,	0.00649904,	0.00399942,	-0.0731601,	0.666417,	0.740235,	-0.0508666
1520287083480217745,	0.421078,	2.72273,	-0.620529,	0.00043001,	0.010651,	-0.00132134,	0.00674546,	-0.00344461,	-0.011587,	0.999904,	0.416034,	2.7326,	-0.39103,	0.00188152,	-0.00964029,	0.000668746,	-0.0731903,	0.666162,	0.740461,	-0.050871
1520287083527780808,	0.421115,	2.724,	-0.620638,	0.000770674,	0.0269415,	-0.00230338,	0.00525316,	-0.00348187,	-0.0109858,	0.99992,	0.416135,	2.73275,	-0.391167,	0.0021615,	0.00310044,	-0.00290337,	-0.0731644,	0.666119,	0.740503,	-0.0508688
1520287083572902132,	0.421043,	2.72285,	-0.620628,	-0.00158811,	-0.0256013,	0.000204507,	0.00603076,	-0.00338856,	-0.0113357,	0.999912,	0.415925,	2.73295,	-0.391006,	-0.00467431,	0.00461808,	0.0035825,	-0.0732025,	0.666305,	0.740334,	-0.0508382
1520287083612623209,	0.421092,	2.72377,	-0.620796,	0.00123966,	0.0235996,	-0.00428577,	0.00513651,	-0.0036167,	-0.0116226,	0.999913,	0.415925,	2.73295,	-0.391006,	0,	0,	0,	-0.0732025,	0.666305,	0.740334,	-0.0508382
1520287083655417360,	0.421178,	2.72262,	-0.62023,	0.0020627,	-0.0272681,	0.0134573,	0.00455591,	-0.00329496,	-0.010465,	0.999929,	0.415998,	2.73285,	-0.390916,	0.00174608,	-0.00239989,	0.00214396,	-0.07315,	0.666263,	0.740376,	-0.0508598
1520287083704538428,	0.421075,	2.7221,	-0.620509,	-0.00209893,	-0.0105809,	-0.00568412,	0.00684679,	-0.00345382,	-0.012249,	0.999896,	0.415983,	2.73272,	-0.391107,	-0.000306123,	-0.00268092,	-0.00391113,	-0.0731871,	0.6662,	0.740429,	-0.0508557
1520287083755075493,	0.421144,	2.72539,	-0.621119,	0.00137388,	0.0656519,	-0.0122004,	0.00473004,	-0.00374156,	-0.0127213,	0.999901,	0.416081,	2.73307,	-0.391112,	0.001956,	0.00703992,	-0.000104639,	-0.073165,	0.666192,	0.740437,	-0.0508736
1520287083800954015,	0.421052,	2.72209,	-0.620316,	-0.00205691,	-0.0731834,	0.0178341,	0.00520773,	-0.00373301,	-0.0112327,	0.999916,	0.416139,	2.73249,	-0.390949,	0.00128758,	-0.0129846,	0.00362252,	-0.0731816,	0.66606,	0.740553,	-0.0508852
1520287083843142791,	0.421208,	2.72231,	-0.620447,	0.00373544,	0.00507151,	-0.00312026,	0.00570141,	-0.00347213,	-0.0112255,	0.999915,	0.416036,	2.73226,	-0.390923,	-0.00245942,	-0.00536131,	0.000631002,	-0.0731643,	0.666226,	0.740405,	-0.0508899
1520287083888005525,	0.421011,	2.72431,	-0.620647,	-0.00448685,	0.0455203,	-0.00453716,	0.00193686,	-0.0036629,	-0.010505,	0.999936,	0.415861,	2.7326,	-0.39097,	-0.00396069,	0.00759478,	-0.0010748,	-0.0731969,	0.666257,	0.740376,	-0.0508613
1520287083933797954,	0.421143,	2.72314,	-0.620709,	0.00292277,	-0.0259406,	-0.00137328,	0.00706166,	-0.00345785,	-0.0122739,	0.999894,	0.416101,	2.73268,	-0.391212,	0.00533393,	0.00191095,	-0.00536938,	-0.0722843,	0.666497,	0.740328,	-0.0497047
1520287083977785711,	0.421088,	2.72254,	-0.62023,	-0.00126334,	-0.0139598,	0.01113,	0.00591206,	-0.00337609,	-0.0111544,	0.999915,	0.416135,	2.73154,	-0.391161,	0.000772636,	-0.02657,	0.00117895,	-0.0728942,	0.665029,	0.741559,	-0.0501275
1520287084025737863,	0.421039,	2.72194,	-0.620577,	-0.00105578,	-0.0128206,	-0.00738683,	0.00632294,	-0.00332229,	-0.0119647,	0.999903,	0.416003,	2.73087,	-0.391003,	-0.00278948,	-0.0143382,	0.00337231,	-0.0735421,	0.662705,	0.743522,	-0.0508864
1520287084072702077,	0.421019,	2.72232,	-0.620589,	-0.000428934,	0.00826264,	-0.00025451,	0.00826225,	-0.00329634,	-0.012581,	0.999881,	0.416164,	2.7315,	-0.390994,	0.00348277,	0.0138217,	0.0001898,	-0.0734362,	0.664278,	0.742116,	-0.051044
1520287084126559616,	0.421064,	2.72076,	-0.620041,	0.000845583,	-0.0294595,	0.0103474,	0.00825277,	-0.00345504,	-0.0110871,	0.999899,	0.416014,	2.73293,	-0.390849,	-0.00282853,	0.0269768,	0.00272764,	-0.0729916,	0.666526,	0.740165,	-0.0507144
1520287084175171276,	0.420976,	2.72291,	-0.620637,	-0.00183388,	0.0448114,	-0.0124234,	0.00683017,	-0.00345429,	-0.0115283,	0.999904,	0.416095,	2.73421,	-0.390996,	0.00170001,	0.0266736,	-0.00305227,	-0.0732775,	0.6685,	0.738295,	-0.0515649
1520287084223786427,	0.420781,	2.72187,	-0.62031,	-0.00404898,	-0.0216017,	0.0068073,	0.00159414,	-0.00240616,	-0.010124,	0.999945,	0.416109,	2.73348,	-0.391246,	0.000283925,	-0.0152941,	-0.00521719,	-0.0729091,	0.667399,	0.739382,	-0.0507648
1520287084274302573,	0.42114,	2.72371,	-0.620658,	0.00716821,	0.0367725,	-0.00694938,	0.00426782,	-0.00335743,	-0.0112279,	0.999922,	0.415799,	2.73254,	-0.391168,	-0.00619661,	-0.0188035,	0.00156264,	-0.0733955,	0.664953,	0.741527,	-0.0508768
1520287084324635315,	0.421039,	2.72358,	-0.620701,	-0.00200887,	-0.00258337,	-0.000865091,	0.00467532,	-0.00340007,	-0.0113494,	0.999919,	0.415947,	2.73321,	-0.391055,	0.00296262,	0.013429,	0.00225968,	-0.0736061,	0.6659,	0.740605,	-0.051604
1520287084371646196,	0.421002,	2.72451,	-0.621,	-0.000789883,	0.0197774,	-0.00636997,	0.00552931,	-0.00347811,	-0.0108848,	0.999919,	0.415811,	2.73283,	-0.391078,	-0.00290015,	-0.00817685,	-0.000482042,	-0.0734436,	0.66829,	0.738445,	-0.0518982
1520287084413885576,	0.420909,	2.72457,	-0.620896,	-0.00220624,	0.00143965,	0.00249102,	0.00443175,	-0.00339259,	-0.0104168,	0.99993,	0.415811,	2.73283,	-0.391078,	0,	0,	0,	-0.0734436,	0.66829,	0.738445,	-0.0518982
