time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520186179777988796,	0.515224,	2.85588,	-0.728272,	-0.000191712,	-0.000286955,	4.98796e-05,	-0.0554141,	-0.00570369,	0.00255848,	0.998444,	0.417661,	2.7425,	-0.376558,	-0.000157664,	-0.000244819,	-1.00396e-05,	-0.0427159,	0.669532,	0.737874,	-0.0737829
1520186179824840107,	0.51493,	2.85633,	-0.728317,	-0.00639594,	0.00995379,	-0.000982334,	-0.068521,	-0.00217317,	-0.0122511,	0.997572,	0.41743,	2.7424,	-0.376544,	-0.00502344,	-0.00216759,	0.000302753,	-0.0428746,	0.669328,	0.738053,	-0.0737529
1520186179867479171,	0.514994,	2.85427,	-0.72938,	0.00153056,	-0.0491293,	-0.0253039,	-0.0759148,	5.46002e-05,	-0.0112738,	0.997051,	0.417632,	2.74232,	-0.376445,	0.0048181,	-0.00183135,	0.00235163,	-0.0427899,	0.669344,	0.738039,	-0.0737985
1520186179907497693,	0.514807,	2.85366,	-0.729551,	-0.00468205,	-0.0151991,	-0.00426199,	-0.0748209,	-0.00175483,	-0.00740375,	0.997168,	0.417632,	2.74232,	-0.376445,	0,	0,	0,	-0.0427899,	0.669344,	0.738039,	-0.0737985
1520186179948705680,	0.51527,	2.85588,	-0.726522,	0.0112919,	0.0541234,	0.0738689,	-0.0657731,	-0.00302222,	-0.00149663,	0.997829,	0.417487,	2.74277,	-0.376441,	-0.00355122,	0.0109732,	9.54385e-05,	-0.0428032,	0.669492,	0.737914,	-0.0736987
1520186179993043821,	0.5155,	2.8557,	-0.729054,	0.00523058,	-0.00403031,	-0.0575539,	-0.0661056,	-0.00299374,	-0.00890605,	0.997768,	0.417299,	2.74283,	-0.376428,	-0.00427013,	0.00136084,	0.000292269,	-0.0428036,	0.669471,	0.737934,	-0.073691
1520186180037632715,	0.514648,	2.85583,	-0.730517,	-0.0193745,	0.00278818,	-0.0332461,	-0.0715646,	0.000926571,	-0.0139663,	0.997338,	0.417456,	2.74293,	-0.376536,	0.00356537,	0.00237161,	-0.00245804,	-0.0427777,	0.669354,	0.738037,	-0.0737385
1520186180080647680,	0.514573,	2.85414,	-0.729922,	-0.00173996,	-0.0391609,	0.0138443,	-0.0768956,	0.00222413,	-0.00830413,	0.997002,	0.417515,	2.74312,	-0.376561,	0.00137199,	0.0043401,	-0.000559799,	-0.0427545,	0.669407,	0.73799,	-0.0737326
1520186180124840979,	0.515285,	2.85561,	-0.728039,	0.0161797,	0.0333581,	0.0427944,	-0.0523018,	0.000725557,	-0.0183125,	0.998463,	0.417505,	2.74294,	-0.376584,	-0.000220057,	-0.00400243,	-0.00052316,	-0.0427286,	0.669425,	0.737981,	-0.0736834
1520186180169075117,	0.515138,	2.85673,	-0.730495,	-0.00334577,	0.0253747,	-0.0558246,	-0.0731663,	-0.000181582,	-0.012593,	0.99724,	0.41759,	2.74254,	-0.376522,	0.00194651,	-0.00922927,	0.00139367,	-0.0427188,	0.669357,	0.738038,	-0.073728
