time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520185930298466779,	0.522518,	2.86369,	-0.729219,	0.0011915,	0.000505314,	0.00507378,	-0.0782085,	0.00150139,	0.00403753,	0.996928,	0.423158,	2.75048,	-0.375968,	0.00116394,	0.000390527,	0.0046618,	-0.0562695,	0.666969,	0.737737,	-0.0879158
1520185930343289621,	0.522179,	2.8664,	-0.730609,	-0.0077141,	0.0616281,	-0.0316007,	-0.0755648,	-0.00126767,	-0.00611185,	0.997121,	0.423433,	2.75071,	-0.376194,	0.00624745,	0.00529356,	-0.00514215,	-0.0563549,	0.667098,	0.737603,	-0.0880097
1520185930388541856,	0.522443,	2.86724,	-0.729432,	0.00586998,	0.0187356,	0.0261553,	-0.078254,	-0.00282019,	-0.00472356,	0.996918,	0.423288,	2.7509,	-0.376067,	-0.00322253,	0.0042953,	0.00281592,	-0.0563267,	0.666875,	0.737816,	-0.0879389
1520185930433327392,	0.52275,	2.866,	-0.730186,	0.00697675,	-0.0283504,	-0.0171354,	-0.0762094,	-0.00148024,	-0.00511969,	0.997078,	0.423591,	2.75057,	-0.376156,	0.00690802,	-0.00745714,	-0.00201321,	-0.0563561,	0.667241,	0.737473,	-0.0880203
1520185930481508204,	0.522767,	2.86713,	-0.730336,	0.000354799,	0.023585,	-0.0031075,	-0.0766577,	-0.00163798,	-0.00519283,	0.997043,	0.423373,	2.75042,	-0.375924,	-0.00455851,	-0.00327085,	0.00482486,	-0.0563827,	0.666694,	0.737963,	-0.0880349
1520185930528697887,	0.522934,	2.86642,	-0.730155,	0.00356426,	-0.0151019,	0.00384867,	-0.0767472,	-0.0014834,	-0.00508037,	0.997037,	0.423488,	2.75054,	-0.37604,	0.00245822,	0.00257182,	-0.00246617,	-0.0563054,	0.66681,	0.737864,	-0.0880358
1520185930573589733,	0.522891,	2.8708,	-0.733352,	-0.000973122,	0.099602,	-0.07267,	-0.0658924,	-0.00511268,	-0.00862092,	0.997776,	0.423387,	2.75088,	-0.376152,	-0.00229604,	0.00789208,	-0.00253827,	-0.0561564,	0.667286,	0.737466,	-0.0878635
1520185930618011354,	0.522443,	2.86721,	-0.730231,	-0.0102001,	-0.0814983,	0.0709393,	-0.0768592,	-0.00172091,	-0.00505029,	0.997028,	0.42347,	2.75075,	-0.375998,	0.00187428,	-0.00298337,	0.00350043,	-0.056299,	0.667193,	0.737526,	-0.0879706
1520185930663239464,	0.522642,	2.86683,	-0.730278,	0.00442777,	-0.00850955,	-0.00105247,	-0.0762778,	-0.00162189,	-0.00504215,	0.997073,	0.423488,	2.75003,	-0.376047,	0.000417484,	-0.0160856,	-0.00108842,	-0.05643,	0.666395,	0.738216,	-0.0881494
1520185930705492078,	0.522741,	2.86552,	-0.730426,	0.00235184,	-0.0312544,	-0.00351374,	-0.0766487,	0.000744914,	0.000760271,	0.997058,	0.423488,	2.75003,	-0.376047,	0,	0,	0,	-0.05643,	0.666395,	0.738216,	-0.0881494
