time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520285362223047075,	0.104138,	2.60695,	-0.0592323,	-0.00225918,	-0.00216057,	-0.00307481,	-0.0250116,	-0.0523802,	-0.0412206,	0.997463,	0.0828066,	2.67742,	0.166663,	-0.00106519,	-0.00524566,	-0.00231595,	-0.0694953,	0.687041,	0.723003,	0.0202982
1520285362228000241,	0.104138,	2.60695,	-0.0592323,	0,	0,	0,	-0.0250116,	-0.0523802,	-0.0412206,	0.997463,	0.0828066,	2.67742,	0.166663,	0,	0,	0,	-0.0694953,	0.687041,	0.723003,	0.0202982
1520285362232737229,	0.104138,	2.60695,	-0.0592323,	0,	0,	0,	-0.0250116,	-0.0523802,	-0.0412206,	0.997463,	0.0828066,	2.67742,	0.166663,	0,	0,	0,	-0.0694953,	0.687041,	0.723003,	0.0202982
1520285362236645595,	0.104138,	2.60695,	-0.0592323,	0,	0,	0,	-0.0250116,	-0.0523802,	-0.0412206,	0.997463,	0.0828066,	2.67742,	0.166663,	0,	0,	0,	-0.0694953,	0.687041,	0.723003,	0.0202982
1520285362240730500,	0.104138,	2.60695,	-0.0592323,	0,	0,	0,	-0.0250116,	-0.0523802,	-0.0412206,	0.997463,	0.0828066,	2.67742,	0.166663,	0,	0,	0,	-0.0694953,	0.687041,	0.723003,	0.0202982
1520285362242892637,	0.104138,	2.60695,	-0.0592323,	0,	0,	0,	-0.0250116,	-0.0523802,	-0.0412206,	0.997463,	0.0828066,	2.67742,	0.166663,	0,	0,	0,	-0.0694953,	0.687041,	0.723003,	0.0202982
1520285362248137309,	0.104138,	2.60695,	-0.0592323,	0,	0,	0,	-0.0250116,	-0.0523802,	-0.0412206,	0.997463,	0.0828066,	2.67742,	0.166663,	0,	0,	0,	-0.0694953,	0.687041,	0.723003,	0.0202982
1520285362256291016,	0.104138,	2.60695,	-0.0592323,	0,	0,	0,	-0.0250116,	-0.0523802,	-0.0412206,	0.997463,	0.0828066,	2.67742,	0.166663,	0,	0,	0,	-0.0694953,	0.687041,	0.723003,	0.0202982
1520285362260852543,	0.104138,	2.60695,	-0.0592323,	0,	0,	0,	-0.0250116,	-0.0523802,	-0.0412206,	0.997463,	0.0828066,	2.67742,	0.166663,	0,	0,	0,	-0.0694953,	0.687041,	0.723003,	0.0202982
1520285362266274212,	0.103957,	2.60993,	-0.0596309,	-0.0362486,	0.595599,	-0.0797232,	-0.0267422,	-0.0518466,	-0.0399656,	0.997497,	0.0832746,	2.67703,	0.166297,	0.0935851,	-0.0777722,	-0.0731092,	-0.0697219,	0.687159,	0.722896,	0.0193039
1520285362271906660,	0.103957,	2.60993,	-0.0596309,	0,	0,	0,	-0.0267422,	-0.0518466,	-0.0399656,	0.997497,	0.0832746,	2.67703,	0.166297,	0,	0,	0,	-0.0697219,	0.687159,	0.722896,	0.0193039
1520285362276807082,	0.103957,	2.60993,	-0.0596309,	0,	0,	0,	-0.0267422,	-0.0518466,	-0.0399656,	0.997497,	0.0832746,	2.67703,	0.166297,	0,	0,	0,	-0.0697219,	0.687159,	0.722896,	0.0193039
1520285362280267291,	0.103957,	2.60993,	-0.0596309,	0,	0,	0,	-0.0267422,	-0.0518466,	-0.0399656,	0.997497,	0.0832746,	2.67703,	0.166297,	0,	0,	0,	-0.0697219,	0.687159,	0.722896,	0.0193039
1520285362285200864,	0.103957,	2.60993,	-0.0596309,	0,	0,	0,	-0.0267422,	-0.0518466,	-0.0399656,	0.997497,	0.0832746,	2.67703,	0.166297,	0,	0,	0,	-0.0697219,	0.687159,	0.722896,	0.0193039
1520285362290023543,	0.103957,	2.60993,	-0.0596309,	0,	0,	0,	-0.0267422,	-0.0518466,	-0.0399656,	0.997497,	0.0832746,	2.67703,	0.166297,	0,	0,	0,	-0.0697219,	0.687159,	0.722896,	0.0193039
1520285362295414580,	0.103957,	2.60993,	-0.0596309,	0,	0,	0,	-0.0267422,	-0.0518466,	-0.0399656,	0.997497,	0.0832746,	2.67703,	0.166297,	0,	0,	0,	-0.0697219,	0.687159,	0.722896,	0.0193039
1520285362297808654,	0.103957,	2.60993,	-0.0596309,	0,	0,	0,	-0.0267422,	-0.0518466,	-0.0399656,	0.997497,	0.0832746,	2.67703,	0.166297,	0,	0,	0,	-0.0697219,	0.687159,	0.722896,	0.0193039
1520285362303625323,	0.103957,	2.60993,	-0.0596309,	0,	0,	0,	-0.0267422,	-0.0518466,	-0.0399656,	0.997497,	0.0832746,	2.67703,	0.166297,	0,	0,	0,	-0.0697219,	0.687159,	0.722896,	0.0193039
