time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520285288167146560,	0.414369,	2.67771,	-0.615553,	7.58237e-05,	-0.000133061,	0.000101926,	0.0098128,	-0.00199241,	0.0110882,	0.999888,	0.413942,	2.72913,	-0.390634,	8.98522e-05,	0.000485066,	-9.74304e-05,	-0.0600818,	0.658633,	0.748866,	-0.0423386
1520285288172928678,	0.414369,	2.67771,	-0.615553,	0,	0,	0,	0.0098128,	-0.00199241,	0.0110882,	0.999888,	0.413942,	2.72913,	-0.390634,	0,	0,	0,	-0.0600818,	0.658633,	0.748866,	-0.0423386
1520285288175498352,	0.414369,	2.67771,	-0.615553,	0,	0,	0,	0.0098128,	-0.00199241,	0.0110882,	0.999888,	0.413942,	2.72913,	-0.390634,	0,	0,	0,	-0.0600818,	0.658633,	0.748866,	-0.0423386
1520285288182824941,	0.414369,	2.67771,	-0.615553,	0,	0,	0,	0.0098128,	-0.00199241,	0.0110882,	0.999888,	0.413942,	2.72913,	-0.390634,	0,	0,	0,	-0.0600818,	0.658633,	0.748866,	-0.0423386
1520285288188043042,	0.414369,	2.67771,	-0.615553,	0,	0,	0,	0.0098128,	-0.00199241,	0.0110882,	0.999888,	0.413942,	2.72913,	-0.390634,	0,	0,	0,	-0.0600818,	0.658633,	0.748866,	-0.0423386
1520285288192892687,	0.414369,	2.67771,	-0.615553,	0,	0,	0,	0.0098128,	-0.00199241,	0.0110882,	0.999888,	0.413942,	2.72913,	-0.390634,	0,	0,	0,	-0.0600818,	0.658633,	0.748866,	-0.0423386
1520285288196697961,	0.414369,	2.67771,	-0.615553,	0,	0,	0,	0.0098128,	-0.00199241,	0.0110882,	0.999888,	0.413942,	2.72913,	-0.390634,	0,	0,	0,	-0.0600818,	0.658633,	0.748866,	-0.0423386
1520285288407694243,	0.414421,	2.67873,	-0.615692,	0.000244301,	0.00479709,	-0.000660804,	0.0079437,	-0.00187428,	0.0113513,	0.999902,	0.414271,	2.72938,	-0.390745,	0.00155788,	0.00121679,	-0.000524588,	-0.0600726,	0.658679,	0.748822,	-0.0424149
1520285288412017468,	0.414421,	2.67873,	-0.615692,	0,	0,	0,	0.0079437,	-0.00187428,	0.0113513,	0.999902,	0.414271,	2.72938,	-0.390745,	0,	0,	0,	-0.0600726,	0.658679,	0.748822,	-0.0424149
1520285288418745374,	0.414341,	2.67901,	-0.615848,	-0.013239,	0.0473163,	-0.0259024,	0.00840349,	-0.00165718,	0.0116576,	0.999895,	0.414218,	2.72941,	-0.390722,	-0.00877845,	0.00476212,	0.00372524,	-0.0600377,	0.658922,	0.748612,	-0.0423934
