time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520285237907812147,	0.4318,	2.6876,	-0.615839,	7.67619e-05,	-2.46048e-05,	4.22907e-06,	0.00188071,	-0.00188182,	0.00373835,	0.999989,	0.430665,	2.73561,	-0.390186,	4.66933e-05,	0.000594851,	-0.000201224,	-0.0562966,	0.663595,	0.745042,	-0.0372009
1520285237912621985,	0.4318,	2.6876,	-0.615839,	0,	0,	0,	0.00188071,	-0.00188182,	0.00373835,	0.999989,	0.430665,	2.73561,	-0.390186,	0,	0,	0,	-0.0562966,	0.663595,	0.745042,	-0.0372009
1520285237916542970,	0.431632,	2.68735,	-0.615804,	-0.056092,	-0.0844925,	0.0115908,	0.000852905,	-0.00198601,	0.00396587,	0.99999,	0.430687,	2.73505,	-0.389987,	0.00728048,	-0.185302,	0.0663752,	-0.0562376,	0.663759,	0.744901,	-0.0371986
1520285237923543290,	0.431632,	2.68735,	-0.615804,	0,	0,	0,	0.000852905,	-0.00198601,	0.00396587,	0.99999,	0.430687,	2.73505,	-0.389987,	0,	0,	0,	-0.0562376,	0.663759,	0.744901,	-0.0371986
1520285237929812304,	0.431632,	2.68735,	-0.615804,	0,	0,	0,	0.000852905,	-0.00198601,	0.00396587,	0.99999,	0.430687,	2.73505,	-0.389987,	0,	0,	0,	-0.0562376,	0.663759,	0.744901,	-0.0371986
1520285237935313046,	0.431632,	2.68735,	-0.615804,	0,	0,	0,	0.000852905,	-0.00198601,	0.00396587,	0.99999,	0.430687,	2.73505,	-0.389987,	0,	0,	0,	-0.0562376,	0.663759,	0.744901,	-0.0371986
1520285237939667154,	0.431632,	2.68735,	-0.615804,	0,	0,	0,	0.000852905,	-0.00198601,	0.00396587,	0.99999,	0.430687,	2.73505,	-0.389987,	0,	0,	0,	-0.0562376,	0.663759,	0.744901,	-0.0371986
1520285237944102474,	0.431632,	2.68735,	-0.615804,	0,	0,	0,	0.000852905,	-0.00198601,	0.00396587,	0.99999,	0.430687,	2.73505,	-0.389987,	0,	0,	0,	-0.0562376,	0.663759,	0.744901,	-0.0371986
1520285237945939758,	0.431632,	2.68735,	-0.615804,	0,	0,	0,	0.000852905,	-0.00198601,	0.00396587,	0.99999,	0.430687,	2.73505,	-0.389987,	0,	0,	0,	-0.0562376,	0.663759,	0.744901,	-0.0371986
1520285237957500468,	0.431632,	2.68735,	-0.615804,	0,	0,	0,	0.000852905,	-0.00198601,	0.00396587,	0.99999,	0.430687,	2.73505,	-0.389987,	0,	0,	0,	-0.0562376,	0.663759,	0.744901,	-0.0371986
1520285237962133644,	0.431632,	2.68735,	-0.615804,	0,	0,	0,	0.000852905,	-0.00198601,	0.00396587,	0.99999,	0.430687,	2.73505,	-0.389987,	0,	0,	0,	-0.0562376,	0.663759,	0.744901,	-0.0371986
1520285237966921087,	0.431716,	2.68715,	-0.615734,	0.0208709,	-0.0510794,	0.0175142,	0.00108751,	-0.00180014,	0.00439242,	0.999988,	0.430707,	2.73525,	-0.389946,	0.00484355,	0.0504192,	0.0103364,	-0.0562083,	0.66371,	0.744947,	-0.0372045
1520285237971496199,	0.431708,	2.68721,	-0.615747,	-0.00203216,	0.0150992,	-0.00338844,	0.000981626,	-0.00180082,	0.0044077,	0.999988,	0.430707,	2.73525,	-0.389946,	0,	0,	0,	-0.0562083,	0.66371,	0.744947,	-0.0372045
1520285237975940673,	0.431708,	2.68721,	-0.615747,	0,	0,	0,	0.000981626,	-0.00180082,	0.0044077,	0.999988,	0.430707,	2.73525,	-0.389946,	0,	0,	0,	-0.0562083,	0.66371,	0.744947,	-0.0372045
