time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520121968556934206,	0.546314,	2.89862,	-0.74368,	5.60649e-06,	9.2543e-06,	-2.50276e-06,	0.0228887,	-0.000610616,	-0.037203,	0.999045,	0.444853,	2.73967,	-0.376619,	1.27412e-06,	2.18159e-05,	-4.11834e-06,	-0.0081369,	0.658766,	0.751733,	-0.0293093
1520121968562417376,	0.546314,	2.89862,	-0.74368,	0,	0,	0,	0.0228887,	-0.000610616,	-0.037203,	0.999045,	0.444853,	2.73967,	-0.376619,	0,	0,	0,	-0.0081369,	0.658766,	0.751733,	-0.0293093
1520121968567710381,	0.545842,	2.89883,	-0.744,	-0.0945237,	0.043,	-0.0638749,	0.0220597,	-0.000510526,	-0.0369859,	0.999072,	0.444871,	2.73952,	-0.376591,	0.00351251,	-0.0316389,	0.00574944,	-0.00809136,	0.658857,	0.751655,	-0.0292734
1520121968570248364,	0.545875,	2.89894,	-0.743914,	0.0167438,	0.0530896,	0.0427882,	0.0227397,	-0.00052644,	-0.0368501,	0.999062,	0.444871,	2.73952,	-0.376591,	0,	0,	0,	-0.00809136,	0.658857,	0.751655,	-0.0292734
1520121968576381941,	0.545875,	2.89894,	-0.743914,	0,	0,	0,	0.0227397,	-0.00052644,	-0.0368501,	0.999062,	0.444871,	2.73952,	-0.376591,	0,	0,	0,	-0.00809136,	0.658857,	0.751655,	-0.0292734
1520121968581569202,	0.545875,	2.89894,	-0.743914,	0,	0,	0,	0.0227397,	-0.00052644,	-0.0368501,	0.999062,	0.444871,	2.73952,	-0.376591,	0,	0,	0,	-0.00809136,	0.658857,	0.751655,	-0.0292734
1520121968586414466,	0.545875,	2.89894,	-0.743914,	0,	0,	0,	0.0227397,	-0.00052644,	-0.0368501,	0.999062,	0.444871,	2.73952,	-0.376591,	0,	0,	0,	-0.00809136,	0.658857,	0.751655,	-0.0292734
1520121968591278550,	0.545875,	2.89894,	-0.743914,	0,	0,	0,	0.0227397,	-0.00052644,	-0.0368501,	0.999062,	0.444871,	2.73952,	-0.376591,	0,	0,	0,	-0.00809136,	0.658857,	0.751655,	-0.0292734
1520121968596653259,	0.545875,	2.89894,	-0.743914,	0,	0,	0,	0.0227397,	-0.00052644,	-0.0368501,	0.999062,	0.444871,	2.73952,	-0.376591,	0,	0,	0,	-0.00809136,	0.658857,	0.751655,	-0.0292734
1520121968603954734,	0.545875,	2.89894,	-0.743914,	0,	0,	0,	0.0227397,	-0.00052644,	-0.0368501,	0.999062,	0.444871,	2.73952,	-0.376591,	0,	0,	0,	-0.00809136,	0.658857,	0.751655,	-0.0292734
1520121968611531693,	0.545875,	2.89894,	-0.743914,	0,	0,	0,	0.0227397,	-0.00052644,	-0.0368501,	0.999062,	0.444871,	2.73952,	-0.376591,	0,	0,	0,	-0.00809136,	0.658857,	0.751655,	-0.0292734
1520121968614803628,	0.545875,	2.89894,	-0.743914,	0,	0,	0,	0.0227397,	-0.00052644,	-0.0368501,	0.999062,	0.444871,	2.73952,	-0.376591,	0,	0,	0,	-0.00809136,	0.658857,	0.751655,	-0.0292734
1520121968619112071,	0.546152,	2.89909,	-0.743395,	0.0691843,	0.03915,	0.129716,	0.0228415,	8.93599e-05,	-0.0373561,	0.999041,	0.44479,	2.73953,	-0.376354,	-0.0202273,	0.00480008,	0.0592426,	-0.00799215,	0.659038,	0.751501,	-0.0291846
1520121968625951067,	0.546152,	2.89909,	-0.743395,	0,	0,	0,	0.0228415,	8.93599e-05,	-0.0373561,	0.999041,	0.44479,	2.73953,	-0.376354,	0,	0,	0,	-0.00799215,	0.659038,	0.751501,	-0.0291846
1520121968629275400,	0.546152,	2.89909,	-0.743395,	0,	0,	0,	0.0228415,	8.93599e-05,	-0.0373561,	0.999041,	0.44479,	2.73953,	-0.376354,	0,	0,	0,	-0.00799215,	0.659038,	0.751501,	-0.0291846
1520121968633810281,	0.546152,	2.89909,	-0.743395,	0,	0,	0,	0.0228415,	8.93599e-05,	-0.0373561,	0.999041,	0.44479,	2.73953,	-0.376354,	0,	0,	0,	-0.00799215,	0.659038,	0.751501,	-0.0291846
1520121968635331916,	0.546152,	2.89909,	-0.743395,	0,	0,	0,	0.0228415,	8.93599e-05,	-0.0373561,	0.999041,	0.44479,	2.73953,	-0.376354,	0,	0,	0,	-0.00799215,	0.659038,	0.751501,	-0.0291846
1520121968641072637,	0.546152,	2.89909,	-0.743395,	0,	0,	0,	0.0228415,	8.93599e-05,	-0.0373561,	0.999041,	0.44479,	2.73953,	-0.376354,	0,	0,	0,	-0.00799215,	0.659038,	0.751501,	-0.0291846
1520121968645233305,	0.546152,	2.89909,	-0.743395,	0,	0,	0,	0.0228415,	8.93599e-05,	-0.0373561,	0.999041,	0.44479,	2.73953,	-0.376354,	0,	0,	0,	-0.00799215,	0.659038,	0.751501,	-0.0291846
1520121968653872831,	0.546152,	2.89909,	-0.743395,	0,	0,	0,	0.0228415,	8.93599e-05,	-0.0373561,	0.999041,	0.44479,	2.73953,	-0.376354,	0,	0,	0,	-0.00799215,	0.659038,	0.751501,	-0.0291846
1520121968656855219,	0.546152,	2.89909,	-0.743395,	0,	0,	0,	0.0228415,	8.93599e-05,	-0.0373561,	0.999041,	0.44479,	2.73953,	-0.376354,	0,	0,	0,	-0.00799215,	0.659038,	0.751501,	-0.0291846
1520121968661446082,	0.546152,	2.89909,	-0.743395,	0,	0,	0,	0.0228415,	8.93599e-05,	-0.0373561,	0.999041,	0.44479,	2.73953,	-0.376354,	0,	0,	0,	-0.00799215,	0.659038,	0.751501,	-0.0291846
1520121968668203664,	0.5458,	2.89789,	-0.74348,	-0.0586939,	-0.200019,	-0.0141974,	0.0236336,	-0.000996756,	-0.0376087,	0.999013,	0.444908,	2.73964,	-0.376447,	0.0196345,	0.0173208,	-0.0155632,	-0.0079558,	0.659082,	0.751463,	-0.0291692
1520121968670327286,	0.5458,	2.89789,	-0.74348,	0,	0,	0,	0.0236336,	-0.000996756,	-0.0376087,	0.999013,	0.444908,	2.73964,	-0.376447,	0,	0,	0,	-0.0079558,	0.659082,	0.751463,	-0.0291692
1520121968676318357,	0.5458,	2.89789,	-0.74348,	0,	0,	0,	0.0236336,	-0.000996756,	-0.0376087,	0.999013,	0.444908,	2.73964,	-0.376447,	0,	0,	0,	-0.0079558,	0.659082,	0.751463,	-0.0291692
1520121968683599028,	0.5458,	2.89789,	-0.74348,	0,	0,	0,	0.0236336,	-0.000996756,	-0.0376087,	0.999013,	0.444908,	2.73964,	-0.376447,	0,	0,	0,	-0.0079558,	0.659082,	0.751463,	-0.0291692
1520121968689310603,	0.5458,	2.89789,	-0.74348,	0,	0,	0,	0.0236336,	-0.000996756,	-0.0376087,	0.999013,	0.444908,	2.73964,	-0.376447,	0,	0,	0,	-0.0079558,	0.659082,	0.751463,	-0.0291692
1520121968693890386,	0.5458,	2.89789,	-0.74348,	0,	0,	0,	0.0236336,	-0.000996756,	-0.0376087,	0.999013,	0.444908,	2.73964,	-0.376447,	0,	0,	0,	-0.0079558,	0.659082,	0.751463,	-0.0291692
1520121968696946834,	0.5458,	2.89789,	-0.74348,	0,	0,	0,	0.0236336,	-0.000996756,	-0.0376087,	0.999013,	0.444908,	2.73964,	-0.376447,	0,	0,	0,	-0.0079558,	0.659082,	0.751463,	-0.0291692
1520121968701199810,	0.5458,	2.89789,	-0.74348,	0,	0,	0,	0.0236336,	-0.000996756,	-0.0376087,	0.999013,	0.444908,	2.73964,	-0.376447,	0,	0,	0,	-0.0079558,	0.659082,	0.751463,	-0.0291692
1520121968707007398,	0.5458,	2.89789,	-0.74348,	0,	0,	0,	0.0236336,	-0.000996756,	-0.0376087,	0.999013,	0.444908,	2.73964,	-0.376447,	0,	0,	0,	-0.0079558,	0.659082,	0.751463,	-0.0291692
1520121968712208810,	0.5458,	2.89789,	-0.74348,	0,	0,	0,	0.0236336,	-0.000996756,	-0.0376087,	0.999013,	0.444908,	2.73964,	-0.376447,	0,	0,	0,	-0.0079558,	0.659082,	0.751463,	-0.0291692
1520121968718233297,	0.545952,	2.90036,	-0.744078,	0.02544,	0.410279,	-0.0996611,	0.0242777,	-0.000820738,	-0.0373848,	0.999006,	0.445177,	2.73918,	-0.376576,	0.0449479,	-0.0771029,	-0.0214976,	-0.00815895,	0.658712,	0.751776,	-0.0294015
1520121968721296442,	0.545952,	2.90036,	-0.744078,	0,	0,	0,	0.0242777,	-0.000820738,	-0.0373848,	0.999006,	0.445177,	2.73918,	-0.376576,	0,	0,	0,	-0.00815895,	0.658712,	0.751776,	-0.0294015
1520121968726364385,	0.545952,	2.90036,	-0.744078,	0,	0,	0,	0.0242777,	-0.000820738,	-0.0373848,	0.999006,	0.445177,	2.73918,	-0.376576,	0,	0,	0,	-0.00815895,	0.658712,	0.751776,	-0.0294015
1520121968731913054,	0.545952,	2.90036,	-0.744078,	0,	0,	0,	0.0242777,	-0.000820738,	-0.0373848,	0.999006,	0.445177,	2.73918,	-0.376576,	0,	0,	0,	-0.00815895,	0.658712,	0.751776,	-0.0294015
1520121968737596387,	0.545952,	2.90036,	-0.744078,	0,	0,	0,	0.0242777,	-0.000820738,	-0.0373848,	0.999006,	0.445177,	2.73918,	-0.376576,	0,	0,	0,	-0.00815895,	0.658712,	0.751776,	-0.0294015
1520121968742792357,	0.545952,	2.90036,	-0.744078,	0,	0,	0,	0.0242777,	-0.000820738,	-0.0373848,	0.999006,	0.445177,	2.73918,	-0.376576,	0,	0,	0,	-0.00815895,	0.658712,	0.751776,	-0.0294015
1520121968748602066,	0.545952,	2.90036,	-0.744078,	0,	0,	0,	0.0242777,	-0.000820738,	-0.0373848,	0.999006,	0.445177,	2.73918,	-0.376576,	0,	0,	0,	-0.00815895,	0.658712,	0.751776,	-0.0294015
1520121968753641848,	0.545952,	2.90036,	-0.744078,	0,	0,	0,	0.0242777,	-0.000820738,	-0.0373848,	0.999006,	0.445177,	2.73918,	-0.376576,	0,	0,	0,	-0.00815895,	0.658712,	0.751776,	-0.0294015
