time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520121497154239736,	0.545787,	2.89962,	-0.743732,	1.03813e-05,	2.72888e-05,	-3.71513e-06,	0.0247355,	0.00134211,	0.01255,	0.999614,	0.442761,	2.74193,	-0.376784,	-1.92319e-06,	4.49485e-05,	-6.29596e-06,	-0.0390075,	0.657537,	0.749665,	-0.0642277
1520121497159997832,	0.545787,	2.89962,	-0.743732,	0,	0,	0,	0.0247355,	0.00134211,	0.01255,	0.999614,	0.442761,	2.74193,	-0.376784,	0,	0,	0,	-0.0390075,	0.657537,	0.749665,	-0.0642277
1520121497163789428,	0.545787,	2.89962,	-0.743732,	0,	0,	0,	0.0247355,	0.00134211,	0.01255,	0.999614,	0.442761,	2.74193,	-0.376784,	0,	0,	0,	-0.0390075,	0.657537,	0.749665,	-0.0642277
1520121497166995301,	0.545668,	2.90021,	-0.743936,	-0.0397528,	0.196802,	-0.0681384,	0.0244565,	0.000932402,	0.0100892,	0.99965,	0.442779,	2.74223,	-0.376745,	0.00581572,	0.0999602,	0.0129047,	-0.0390259,	0.657574,	0.749631,	-0.0642402
1520121497172620071,	0.54567,	2.90019,	-0.743931,	0.000399474,	-0.00386368,	0.000948449,	0.0245103,	0.000934346,	0.0100892,	0.999648,	0.442779,	2.74223,	-0.376745,	0,	0,	0,	-0.0390259,	0.657574,	0.749631,	-0.0642402
1520121497175147205,	0.54567,	2.90019,	-0.743931,	0,	0,	0,	0.0245103,	0.000934346,	0.0100892,	0.999648,	0.442779,	2.74223,	-0.376745,	0,	0,	0,	-0.0390259,	0.657574,	0.749631,	-0.0642402
1520121497180194491,	0.54567,	2.90019,	-0.743931,	0,	0,	0,	0.0245103,	0.000934346,	0.0100892,	0.999648,	0.442779,	2.74223,	-0.376745,	0,	0,	0,	-0.0390259,	0.657574,	0.749631,	-0.0642402
1520121497189028850,	0.54567,	2.90019,	-0.743931,	0,	0,	0,	0.0245103,	0.000934346,	0.0100892,	0.999648,	0.442779,	2.74223,	-0.376745,	0,	0,	0,	-0.0390259,	0.657574,	0.749631,	-0.0642402
1520121497194443512,	0.54567,	2.90019,	-0.743931,	0,	0,	0,	0.0245103,	0.000934346,	0.0100892,	0.999648,	0.442779,	2.74223,	-0.376745,	0,	0,	0,	-0.0390259,	0.657574,	0.749631,	-0.0642402
1520121497196549264,	0.54567,	2.90019,	-0.743931,	0,	0,	0,	0.0245103,	0.000934346,	0.0100892,	0.999648,	0.442779,	2.74223,	-0.376745,	0,	0,	0,	-0.0390259,	0.657574,	0.749631,	-0.0642402
1520121497201807327,	0.54567,	2.90019,	-0.743931,	0,	0,	0,	0.0245103,	0.000934346,	0.0100892,	0.999648,	0.442779,	2.74223,	-0.376745,	0,	0,	0,	-0.0390259,	0.657574,	0.749631,	-0.0642402
1520121497208083881,	0.54567,	2.90019,	-0.743931,	0,	0,	0,	0.0245103,	0.000934346,	0.0100892,	0.999648,	0.442779,	2.74223,	-0.376745,	0,	0,	0,	-0.0390259,	0.657574,	0.749631,	-0.0642402
1520121497211898292,	0.54567,	2.90019,	-0.743931,	0,	0,	0,	0.0245103,	0.000934346,	0.0100892,	0.999648,	0.442779,	2.74223,	-0.376745,	0,	0,	0,	-0.0390259,	0.657574,	0.749631,	-0.0642402
1520121497215264129,	0.54567,	2.90019,	-0.743931,	0,	0,	0,	0.0245103,	0.000934346,	0.0100892,	0.999648,	0.442779,	2.74223,	-0.376745,	0,	0,	0,	-0.0390259,	0.657574,	0.749631,	-0.0642402
1520121497224246393,	0.544586,	2.8989,	-0.743816,	-0.135456,	-0.160781,	0.014483,	0.0248692,	0.00185077,	0.0118488,	0.999619,	0.442811,	2.74195,	-0.376708,	0.00404567,	-0.034278,	0.00462392,	-0.0389974,	0.65752,	0.749681,	-0.0642221
1520121497229028301,	0.544586,	2.8989,	-0.743816,	0,	0,	0,	0.0248692,	0.00185077,	0.0118488,	0.999619,	0.442811,	2.74195,	-0.376708,	0,	0,	0,	-0.0389974,	0.65752,	0.749681,	-0.0642221
1520121497232600469,	0.544586,	2.8989,	-0.743816,	0,	0,	0,	0.0248692,	0.00185077,	0.0118488,	0.999619,	0.442811,	2.74195,	-0.376708,	0,	0,	0,	-0.0389974,	0.65752,	0.749681,	-0.0642221
1520121497239125777,	0.544586,	2.8989,	-0.743816,	0,	0,	0,	0.0248692,	0.00185077,	0.0118488,	0.999619,	0.442811,	2.74195,	-0.376708,	0,	0,	0,	-0.0389974,	0.65752,	0.749681,	-0.0642221
1520121497243876357,	0.544586,	2.8989,	-0.743816,	0,	0,	0,	0.0248692,	0.00185077,	0.0118488,	0.999619,	0.442811,	2.74195,	-0.376708,	0,	0,	0,	-0.0389974,	0.65752,	0.749681,	-0.0642221
1520121497248703383,	0.544586,	2.8989,	-0.743816,	0,	0,	0,	0.0248692,	0.00185077,	0.0118488,	0.999619,	0.442811,	2.74195,	-0.376708,	0,	0,	0,	-0.0389974,	0.65752,	0.749681,	-0.0642221
1520121497254935459,	0.544586,	2.8989,	-0.743816,	0,	0,	0,	0.0248692,	0.00185077,	0.0118488,	0.999619,	0.442811,	2.74195,	-0.376708,	0,	0,	0,	-0.0389974,	0.65752,	0.749681,	-0.0642221
