time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520369595193521714,	-0.518503,	2.6591,	-0.632236,	-2.32302e-05,	0.000394777,	-3.68918e-05,	0.014266,	0.0124356,	0.0266743,	0.999465,	-0.471645,	2.71804,	-0.372561,	-0.000124565,	0.000880125,	-1.5745e-05,	-0.110663,	0.676051,	0.720732,	-0.106086
1520369595221735486,	-0.518628,	2.65782,	-0.631936,	-0.00448927,	-0.045752,	0.0107097,	0.0167169,	0.0123278,	0.0269915,	0.99942,	-0.471645,	2.71804,	-0.372561,	0,	0,	0,	-0.110663,	0.676051,	0.720732,	-0.106086
1520369595248544835,	-0.518264,	2.65789,	-0.63197,	0.0140151,	0.00291893,	-0.00130666,	0.0157868,	0.0126672,	0.0271876,	0.999425,	-0.471735,	2.71794,	-0.372463,	-0.00345507,	-0.00402414,	0.00377064,	-0.110749,	0.675976,	0.720784,	-0.106118
1520369595275863778,	-0.518142,	2.65725,	-0.63193,	0.00450137,	-0.0236939,	0.00149621,	0.0155481,	0.0124984,	0.0267926,	0.999442,	-0.471735,	2.71794,	-0.372463,	0,	0,	0,	-0.110749,	0.675976,	0.720784,	-0.106118
1520369595307210890,	-0.518252,	2.65706,	-0.631917,	-0.00354419,	-0.00633505,	0.000413795,	0.0155535,	0.0124575,	0.0267485,	0.999444,	-0.471669,	2.71777,	-0.372556,	0.00211464,	-0.00556941,	-0.00301184,	-0.110769,	0.675929,	0.72082,	-0.106155
1520369595337873049,	-0.518133,	2.65685,	-0.631954,	0.00397911,	-0.00678456,	-0.00123426,	0.0160334,	0.012558,	0.0270999,	0.999425,	-0.471669,	2.71777,	-0.372556,	0,	0,	0,	-0.110769,	0.675929,	0.72082,	-0.106155
1520369595364947046,	-0.518376,	2.65768,	-0.632121,	-0.00902559,	0.0305835,	-0.00620163,	0.016581,	0.012714,	0.0284215,	0.999378,	-0.471393,	2.71771,	-0.372539,	0.010255,	-0.00206581,	0.000619748,	-0.110702,	0.675858,	0.720883,	-0.106253
1520369595391028740,	-0.51836,	2.65759,	-0.632129,	0.000618271,	-0.00350112,	-0.000283688,	0.0165746,	0.0127152,	0.0282832,	0.999382,	-0.471393,	2.71771,	-0.372539,	0,	0,	0,	-0.110702,	0.675858,	0.720883,	-0.106253
1520369595418370237,	-0.518364,	2.65811,	-0.631931,	-0.000116789,	0.0192989,	0.00730973,	0.0153594,	0.0125498,	0.0270693,	0.999437,	-0.471488,	2.7176,	-0.372509,	-0.00355055,	-0.00392029,	0.00111068,	-0.110797,	0.675733,	0.720989,	-0.106227
1520369595445383651,	-0.51825,	2.65841,	-0.632244,	0.00420574,	0.0110603,	-0.0115874,	0.0150485,	0.0128074,	0.0278739,	0.999416,	-0.47157,	2.71739,	-0.372448,	-0.00301189,	-0.0079994,	0.00228442,	-0.11077,	0.675573,	0.721147,	-0.1062
