time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520369618774318772,	-0.813458,	2.57502,	-0.39241,	-0.00503105,	3.56217e-05,	-0.00208232,	0.0191316,	-0.0297936,	0.0658159,	0.997203,	-0.78705,	2.62031,	-0.134368,	-0.00406324,	-0.00300219,	-0.00290193,	-0.161279,	0.673284,	0.715484,	-0.0935906
1520369618800379486,	-0.813949,	2.57532,	-0.392475,	-0.0188811,	0.0116102,	-0.00247242,	0.0192041,	-0.0295269,	0.0669288,	0.997136,	-0.787523,	2.62016,	-0.134373,	-0.0181904,	-0.00580507,	-0.000204064,	-0.160722,	0.673371,	0.715557,	-0.093371
1520369618826389501,	-0.81407,	2.57486,	-0.392624,	-0.00465694,	-0.0179058,	-0.00575185,	0.0194448,	-0.0294596,	0.0660058,	0.997195,	-0.787523,	2.62016,	-0.134373,	0,	0,	0,	-0.160722,	0.673371,	0.715557,	-0.093371
1520369618856233851,	-0.814161,	2.57478,	-0.392507,	-0.00313283,	-0.00283859,	0.00404518,	0.0200815,	-0.0292409,	0.06572,	0.997207,	-0.788305,	2.62031,	-0.13446,	-0.0269352,	0.00527626,	-0.00301331,	-0.160383,	0.674306,	0.714834,	-0.0927349
1520369618887107265,	-0.814523,	2.57547,	-0.392749,	-0.0120718,	0.0230182,	-0.008052,	0.0196716,	-0.029173,	0.0665376,	0.997163,	-0.788305,	2.62031,	-0.13446,	0,	0,	0,	-0.160383,	0.674306,	0.714834,	-0.0927349
1520369618926836734,	-0.815276,	2.57561,	-0.392662,	-0.0193007,	0.00373141,	0.00222293,	0.020932,	-0.029041,	0.0663881,	0.997151,	-0.78905,	2.62023,	-0.134461,	-0.0191158,	-0.00204228,	-2.4909e-05,	-0.160587,	0.674717,	0.714437,	-0.0924586
1520369618956992251,	-0.81581,	2.57585,	-0.392817,	-0.017802,	0.00781842,	-0.00518587,	0.0190082,	-0.0295917,	0.0666212,	0.997158,	-0.789592,	2.61937,	-0.134278,	-0.0180757,	-0.0286081,	0.00612258,	-0.161134,	0.673861,	0.715165,	-0.0921161
1520369618985039902,	-0.815967,	2.57524,	-0.392612,	-0.00560691,	-0.021611,	0.00731961,	0.019738,	-0.0296912,	0.0668206,	0.997128,	-0.789592,	2.61937,	-0.134278,	0,	0,	0,	-0.161134,	0.673861,	0.715165,	-0.0921161
1520369619019225270,	-0.816901,	2.57635,	-0.392876,	-0.0274671,	0.0326077,	-0.00774858,	0.0184292,	-0.0302918,	0.0680721,	0.99705,	-0.790345,	2.61878,	-0.134381,	-0.022138,	-0.0174063,	-0.00304205,	-0.1617,	0.672935,	0.715861,	-0.0924832
1520369619046030981,	-0.817075,	2.57504,	-0.392299,	-0.00667557,	-0.0503457,	0.0221806,	0.0205972,	-0.0299813,	0.0677879,	0.997036,	-0.790872,	2.61855,	-0.134581,	-0.02028,	-0.00869671,	-0.00769693,	-0.161577,	0.672363,	0.716305,	-0.0934237
1520369619079095347,	-0.817075,	2.57414,	-0.392583,	-9.65972e-06,	-0.0272939,	-0.00860885,	0.0201552,	-0.0301777,	0.0666431,	0.997117,	-0.790872,	2.61855,	-0.134581,	0,	0,	0,	-0.161577,	0.672363,	0.716305,	-0.0934237
1520369619109555595,	-0.817347,	2.57345,	-0.392541,	-0.00906795,	-0.0230865,	0.00142109,	0.0208754,	-0.029782,	0.0684286,	0.996993,	-0.791201,	2.61931,	-0.134425,	-0.0109623,	0.0251789,	0.00521315,	-0.161009,	0.672815,	0.715791,	-0.0950756
1520369619133667245,	-0.818178,	2.57464,	-0.392749,	-0.0346124,	0.0495133,	-0.00868478,	0.0197848,	-0.029308,	0.0695963,	0.996948,	-0.791201,	2.61931,	-0.134425,	0,	0,	0,	-0.161009,	0.672815,	0.715791,	-0.0950756
1520369619158556228,	-0.819184,	2.57555,	-0.392789,	-0.041932,	0.0382167,	-0.00165165,	0.0187655,	-0.0279949,	0.069051,	0.997044,	-0.791464,	2.61987,	-0.134237,	-0.0109577,	0.0233084,	0.00781609,	-0.159881,	0.6735,	0.715216,	-0.0964423
1520369619187927664,	-0.819073,	2.57519,	-0.392795,	0.00383296,	-0.0125796,	-0.000225233,	0.0195569,	-0.0277869,	0.0687624,	0.997054,	-0.791464,	2.61987,	-0.134237,	0,	0,	0,	-0.159881,	0.6735,	0.715216,	-0.0964423
1520369619216265547,	-0.819802,	2.57435,	-0.392667,	-0.0260489,	-0.0301089,	0.00459019,	0.0195813,	-0.0260322,	0.0684218,	0.997125,	-0.79186,	2.62038,	-0.133698,	-0.014148,	0.0181274,	0.0192588,	-0.158179,	0.6737,	0.715307,	-0.0971745
1520369619246445888,	-0.820235,	2.57418,	-0.392285,	-0.0144377,	-0.00565389,	0.01274,	0.0195778,	-0.0248872,	0.068416,	0.997154,	-0.79191,	2.62034,	-0.133493,	-0.00164722,	-0.00102245,	0.00682236,	-0.155869,	0.673329,	0.715899,	-0.0991058
1520369619278169229,	-0.820575,	2.57317,	-0.391928,	-0.0109625,	-0.0324536,	0.0115016,	0.0218803,	-0.023231,	0.0677674,	0.997191,	-0.79191,	2.62034,	-0.133493,	0,	0,	0,	-0.155869,	0.673329,	0.715899,	-0.0991058
1520369619307807843,	-0.822813,	2.57784,	-0.392572,	-0.0771753,	0.161049,	-0.0222031,	0.0169324,	-0.0223742,	0.0732245,	0.996921,	-0.791944,	2.62019,	-0.132915,	-0.00116923,	-0.00517952,	0.0199522,	-0.153548,	0.672966,	0.716315,	-0.102139
1520369619333526205,	-0.823686,	2.57877,	-0.392665,	-0.0349247,	0.0373732,	-0.00374165,	0.0155603,	-0.0216667,	0.0733517,	0.996949,	-0.791944,	2.62019,	-0.132915,	0,	0,	0,	-0.153548,	0.672966,	0.716315,	-0.102139
