time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520369646634830096,	-0.895854,	2.55365,	-0.409792,	-0.00711707,	0.00818517,	0.00128797,	-0.000901729,	-0.00763279,	0.0267292,	0.999613,	-0.852286,	2.5967,	-0.152034,	-0.00431607,	0.00630334,	0.00115211,	-0.11875,	0.686292,	0.71233,	-0.0865306
1520369646662437930,	-0.895572,	2.55272,	-0.409567,	0.0104618,	-0.0345175,	0.00834531,	-0.00050056,	-0.00766361,	0.0271936,	0.999601,	-0.852335,	2.59674,	-0.151882,	-0.00182033,	0.00146809,	0.005626,	-0.119094,	0.686126,	0.7124,	-0.0867974
1520369646692669751,	-0.896051,	2.55412,	-0.409486,	-0.0159873,	0.0468066,	0.00268203,	-0.000879719,	-0.00779444,	0.0282219,	0.999571,	-0.852588,	2.59711,	-0.151355,	-0.00841496,	0.0123253,	0.0175831,	-0.119156,	0.685643,	0.712799,	-0.0872546
1520369646727418409,	-0.895508,	2.55279,	-0.40949,	0.0159855,	-0.0392917,	-9.3835e-05,	-0.000362871,	-0.00785552,	0.0270749,	0.999602,	-0.852588,	2.59711,	-0.151355,	0,	0,	0,	-0.119156,	0.685643,	0.712799,	-0.0872546
1520369646759590229,	-0.896133,	2.55374,	-0.409594,	-0.0195447,	0.029712,	-0.00326711,	-0.000466341,	-0.0075485,	0.0279969,	0.999579,	-0.852709,	2.59737,	-0.151133,	-0.00378264,	0.00816114,	0.00694272,	-0.119241,	0.685591,	0.712775,	-0.0877406
1520369646789345016,	-0.895923,	2.55335,	-0.409405,	0.00724708,	-0.0132561,	0.00650707,	-0.000231754,	-0.00753034,	0.0277329,	0.999587,	-0.852709,	2.59737,	-0.151133,	0,	0,	0,	-0.119241,	0.685591,	0.712775,	-0.0877406
1520369646817737829,	-0.896064,	2.55365,	-0.409046,	-0.00502716,	0.010594,	0.0128308,	0.000867536,	-0.00694755,	0.0287421,	0.999562,	-0.852955,	2.59845,	-0.151386,	-0.00878571,	0.0383645,	-0.00905054,	-0.119142,	0.685873,	0.71247,	-0.0881489
1520369646844389158,	-0.896356,	2.55477,	-0.409508,	-0.0112164,	0.0430176,	-0.0177472,	-0.000550808,	-0.00718712,	0.0287732,	0.99956,	-0.852978,	2.59937,	-0.151488,	-0.000905508,	0.0356236,	-0.00390705,	-0.118919,	0.68575,	0.712576,	-0.0885475
1520369646871647811,	-0.896855,	2.55627,	-0.409586,	-0.0184906,	0.0555714,	-0.00289821,	6.04534e-05,	-0.00665585,	0.0298697,	0.999532,	-0.852978,	2.59937,	-0.151488,	0,	0,	0,	-0.118919,	0.68575,	0.712576,	-0.0885475
1520369646895228369,	-0.897465,	2.55754,	-0.40977,	-0.0265365,	0.0553458,	-0.00800339,	-0.00103329,	-0.00672886,	0.029681,	0.999536,	-0.852558,	2.60073,	-0.151995,	0.0182578,	0.0589533,	-0.0220536,	-0.119618,	0.685414,	0.71258,	-0.0901648
1520369646920108816,	-0.897003,	2.55608,	-0.409446,	0.0192332,	-0.0609969,	0.0135179,	-0.000697916,	-0.00659063,	0.0282212,	0.99958,	-0.852558,	2.60073,	-0.151995,	0,	0,	0,	-0.119618,	0.685414,	0.71258,	-0.0901648
1520369646949352805,	-0.896491,	2.55525,	-0.409723,	0.0176785,	-0.0286435,	-0.00957511,	-0.000391266,	-0.00591733,	0.0296657,	0.999542,	-0.851844,	2.60197,	-0.152714,	0.0246333,	0.0426345,	-0.0247892,	-0.120865,	0.684322,	0.713045,	-0.0930667
1520369646981838140,	-0.896251,	2.55637,	-0.409951,	0.00750964,	0.0352062,	-0.00711358,	0.000856344,	-0.00540228,	0.0305002,	0.99952,	-0.851844,	2.60197,	-0.152714,	0,	0,	0,	-0.120865,	0.684322,	0.713045,	-0.0930667
1520369647009210031,	-0.89671,	2.56033,	-0.41127,	-0.0170118,	0.146421,	-0.0488723,	0.00125729,	-0.00417801,	0.0347085,	0.999388,	-0.851884,	2.60476,	-0.153653,	-0.00146354,	0.103539,	-0.0348038,	-0.122336,	0.682934,	0.713701,	-0.0962611
1520369647036068993,	-0.896552,	2.55994,	-0.41121,	0.00608613,	-0.0149517,	0.00232726,	0.00161385,	-0.00403158,	0.0355528,	0.999358,	-0.851884,	2.60476,	-0.153653,	0,	0,	0,	-0.122336,	0.682934,	0.713701,	-0.0962611
1520369647063598078,	-0.895057,	2.55723,	-0.411127,	0.0553522,	-0.100131,	0.00308266,	0.00348754,	-0.003129,	0.0357757,	0.999349,	-0.852204,	2.60617,	-0.154529,	-0.0118833,	0.0523679,	-0.0324234,	-0.124632,	0.681601,	0.714282,	-0.0984276
1520369647089628534,	-0.895208,	2.5577,	-0.411292,	-0.0058092,	0.0178656,	-0.00635505,	0.00380069,	-0.00310683,	0.0361047,	0.999336,	-0.852204,	2.60617,	-0.154529,	0,	0,	0,	-0.124632,	0.681601,	0.714282,	-0.0984276
1520369647117026516,	-0.896086,	2.56136,	-0.412692,	-0.0325309,	0.13553,	-0.0518648,	0.00531658,	-0.0028475,	0.0405189,	0.999161,	-0.852818,	2.60663,	-0.15531,	-0.0227214,	0.0168006,	-0.0289227,	-0.125772,	0.679203,	0.716313,	-0.0987927
1520369647143662924,	-0.895074,	2.55963,	-0.412992,	0.0389534,	-0.0666282,	-0.0115205,	0.00818373,	-0.00330639,	0.0396527,	0.999175,	-0.853531,	2.60687,	-0.155559,	-0.0274157,	0.00917458,	-0.00957758,	-0.126648,	0.677682,	0.717575,	-0.0989658
1520369647174133356,	-0.896309,	2.56268,	-0.413522,	-0.0411818,	0.101699,	-0.0176821,	0.00880854,	-0.00305145,	0.0417075,	0.999086,	-0.853531,	2.60687,	-0.155559,	0,	0,	0,	-0.126648,	0.677682,	0.717575,	-0.0989658
1520369647201013118,	-0.895472,	2.56077,	-0.413244,	0.0322118,	-0.0734982,	0.0106895,	0.0111212,	-0.00314511,	0.0404572,	0.999114,	-0.854933,	2.60752,	-0.155479,	-0.0539393,	0.0250248,	0.00307923,	-0.128178,	0.676945,	0.717866,	-0.0999228
1520369647226658648,	-0.895961,	2.56111,	-0.413362,	-0.0195855,	0.0139564,	-0.00470755,	0.011475,	-0.00321941,	0.0412596,	0.999077,	-0.854933,	2.60752,	-0.155479,	0,	0,	0,	-0.128178,	0.676945,	0.717866,	-0.0999228
1520369647252620022,	-0.896599,	2.56233,	-0.413383,	-0.0255122,	0.0487363,	-0.000857678,	0.0105785,	-0.00362004,	0.0419418,	0.999057,	-0.855833,	2.60765,	-0.154713,	-0.0360012,	0.00541905,	0.030615,	-0.128333,	0.675576,	0.71915,	-0.0997583
1520369647279048335,	-0.896966,	2.56195,	-0.413186,	-0.0141037,	-0.0147464,	0.00758642,	0.0120246,	-0.00366418,	0.0421474,	0.999032,	-0.855833,	2.60765,	-0.154713,	0,	0,	0,	-0.128333,	0.675576,	0.71915,	-0.0997583
1520369647313186286,	-0.898059,	2.56311,	-0.412725,	-0.0321451,	0.0341316,	0.0135628,	0.0121163,	-0.00403883,	0.0421877,	0.999028,	-0.857418,	2.60846,	-0.153811,	-0.0466104,	0.0237395,	0.0265271,	-0.130027,	0.674587,	0.719607,	-0.10095
1520369647352201714,	-0.898007,	2.56183,	-0.41253,	0.00133311,	-0.0328282,	0.00499097,	0.0139951,	-0.00389324,	0.0427665,	0.998979,	-0.858924,	2.60975,	-0.152816,	-0.038614,	0.0331987,	0.0255299,	-0.132319,	0.673688,	0.719742,	-0.102993
1520369647383799816,	-0.898726,	2.56217,	-0.412256,	-0.023216,	0.0109403,	0.0088469,	0.0152961,	-0.00383776,	0.0428307,	0.998958,	-0.858924,	2.60975,	-0.152816,	0,	0,	0,	-0.132319,	0.673688,	0.719742,	-0.102993
1520369647417737553,	-0.899663,	2.56349,	-0.410809,	-0.0283849,	0.0401432,	0.0438649,	0.0137443,	-0.00440467,	0.0460106,	0.998837,	-0.860668,	2.61137,	-0.151887,	-0.0528409,	0.0488861,	0.0281366,	-0.135896,	0.673214,	0.71903,	-0.106354
