time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520369529023638483,	-0.526643,	2.65179,	-0.631271,	-2.58424e-07,	-2.0038e-06,	3.1127e-07,	0.0161718,	0.0120256,	0.038906,	0.99904,	-0.481141,	2.71356,	-0.372278,	-1.18677e-06,	4.01036e-06,	-9.01544e-07,	-0.120243,	0.67311,	0.720425,	-0.115982
1520369529052662019,	-0.526601,	2.65166,	-0.631304,	0.00145297,	-0.00459966,	-0.00114979,	0.016136,	0.0121213,	0.0398863,	0.999,	-0.481105,	2.71364,	-0.372261,	0.00125832,	0.00271331,	0.000592639,	-0.120274,	0.673124,	0.720406,	-0.115989
1520369529079138943,	-0.526785,	2.65297,	-0.631634,	-0.00710112,	0.0502111,	-0.012696,	0.0152054,	0.0121684,	0.0400363,	0.999008,	-0.481105,	2.71364,	-0.372261,	0,	0,	0,	-0.120274,	0.673124,	0.720406,	-0.115989
1520369529105084390,	-0.526997,	2.65399,	-0.631874,	-0.00846505,	0.0407857,	-0.00956556,	0.0140582,	0.0122168,	0.0408989,	0.99899,	-0.481046,	2.71366,	-0.372402,	0.00234382,	0.000579481,	-0.0056518,	-0.120278,	0.673151,	0.720383,	-0.115971
1520369529131310327,	-0.526664,	2.65362,	-0.631713,	0.0128242,	-0.0139214,	0.00618161,	0.0144434,	0.0121791,	0.0406968,	0.998993,	-0.481046,	2.71366,	-0.372402,	0,	0,	0,	-0.120278,	0.673151,	0.720383,	-0.115971
1520369529157905002,	-0.526976,	2.65594,	-0.632183,	-0.0120219,	0.0889725,	-0.0180887,	0.0132957,	0.0122222,	0.0410867,	0.998992,	-0.480804,	2.71373,	-0.372505,	0.00929135,	0.00286879,	-0.0039378,	-0.120248,	0.673075,	0.72045,	-0.116029
1520369529183625320,	-0.526858,	2.65485,	-0.632055,	0.00471481,	-0.0435564,	0.00514038,	0.0136389,	0.0122392,	0.0408325,	0.998998,	-0.480804,	2.71373,	-0.372505,	0,	0,	0,	-0.120248,	0.673075,	0.72045,	-0.116029
1520369529212519922,	-0.526531,	2.65229,	-0.631778,	0.011708,	-0.0913734,	0.009869,	0.0159847,	0.01215,	0.0396194,	0.999013,	-0.480948,	2.71349,	-0.372538,	-0.00513224,	-0.00848149,	-0.00117736,	-0.120303,	0.672834,	0.720665,	-0.116035
1520369529238086812,	-0.526455,	2.65259,	-0.631751,	0.00300765,	0.012043,	0.00107798,	0.0156921,	0.0121586,	0.0397388,	0.999013,	-0.480948,	2.71349,	-0.372538,	0,	0,	0,	-0.120303,	0.672834,	0.720665,	-0.116035
1520369529263597577,	-0.52642,	2.65282,	-0.631705,	0.00139905,	0.0092041,	0.00184672,	0.0165726,	0.0123126,	0.0393757,	0.999011,	-0.481198,	2.7135,	-0.372499,	-0.00999742,	0.000152997,	0.00154791,	-0.120358,	0.672775,	0.720712,	-0.116027
1520369529289778395,	-0.526555,	2.65337,	-0.631834,	-0.00517988,	0.0212321,	-0.00496046,	0.016253,	0.0123126,	0.0394385,	0.999014,	-0.481198,	2.7135,	-0.372499,	0,	0,	0,	-0.120358,	0.672775,	0.720712,	-0.116027
1520369529315548499,	-0.526768,	2.65285,	-0.631825,	-0.00851978,	-0.0210372,	0.000362068,	0.0142801,	0.0119768,	0.0387401,	0.999075,	-0.481122,	2.7138,	-0.372386,	0.00303629,	0.0119705,	0.00450729,	-0.120283,	0.6731,	0.720428,	-0.115982
1520369529342533308,	-0.526729,	2.65286,	-0.631804,	0.00149615,	0.000319427,	0.000800117,	0.0142577,	0.0119981,	0.038902,	0.999069,	-0.481122,	2.7138,	-0.372386,	0,	0,	0,	-0.120283,	0.6731,	0.720428,	-0.115982
1520369529371303936,	-0.5267,	2.65419,	-0.631868,	0.00105525,	0.0474748,	-0.00226713,	0.0139938,	0.0119855,	0.0401479,	0.999024,	-0.481191,	2.71394,	-0.372418,	-0.00244375,	0.00509994,	-0.00113648,	-0.120269,	0.673129,	0.720409,	-0.115948
1520369529398658815,	-0.526589,	2.65369,	-0.631751,	0.00409143,	-0.0182658,	0.00433852,	0.0142624,	0.0121399,	0.0403145,	0.999011,	-0.480948,	2.71401,	-0.372416,	0.00898506,	0.00256102,	5.96521e-05,	-0.120204,	0.67314,	0.720399,	-0.116013
1520369529423829892,	-0.526408,	2.65287,	-0.631768,	0.00723022,	-0.0329629,	-0.000707176,	0.0149966,	0.0121041,	0.0394169,	0.999037,	-0.480948,	2.71401,	-0.372416,	0,	0,	0,	-0.120204,	0.67314,	0.720399,	-0.116013
1520369529453142762,	-0.526396,	2.65291,	-0.631768,	0.000418793,	0.00149448,	1.52032e-06,	0.0147592,	0.0119783,	0.0383012,	0.999085,	-0.481057,	2.7138,	-0.372442,	-0.00374417,	-0.00720233,	-0.000879431,	-0.120316,	0.67287,	0.720629,	-0.116036
1520369529482849865,	-0.526248,	2.65275,	-0.63156,	0.00511213,	-0.00565619,	0.00719051,	0.0151804,	0.0119809,	0.0385096,	0.999071,	-0.481057,	2.7138,	-0.372442,	0,	0,	0,	-0.120316,	0.67287,	0.720629,	-0.116036
1520369529510046149,	-0.526563,	2.65387,	-0.631865,	-0.0116572,	0.0414368,	-0.0113085,	0.0142957,	0.0122202,	0.039882,	0.999027,	-0.481255,	2.71376,	-0.372316,	-0.00736292,	-0.00135813,	0.00466175,	-0.12038,	0.672759,	0.720723,	-0.116026
1520369529537205649,	-0.526478,	2.65349,	-0.631812,	0.00314499,	-0.0137559,	0.00196654,	0.0150515,	0.0122232,	0.0398497,	0.999018,	-0.481255,	2.71376,	-0.372316,	0,	0,	0,	-0.12038,	0.672759,	0.720723,	-0.116026
1520369529562466918,	-0.52632,	2.65292,	-0.631737,	0.00629823,	-0.0231772,	0.00298717,	0.0162303,	0.0122606,	0.0398879,	0.998997,	-0.481094,	2.71383,	-0.372413,	0.0064677,	0.0025544,	-0.00388634,	-0.120285,	0.672927,	0.720575,	-0.116073
1520369529588538722,	-0.526417,	2.6533,	-0.63178,	-0.00373094,	0.0147935,	-0.00164404,	0.016059,	0.012215,	0.0396187,	0.999011,	-0.481094,	2.71383,	-0.372413,	0,	0,	0,	-0.120285,	0.672927,	0.720575,	-0.116073
