time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520369566851986866,	-0.521563,	2.669,	-0.632074,	9.22911e-05,	-0.000744723,	7.76473e-05,	0.016152,	0.0120187,	0.0422419,	0.998905,	-0.475344,	2.72695,	-0.372527,	7.19573e-05,	0.000615752,	-0.000133795,	-0.123974,	0.673171,	0.718904,	-0.121032
1520369566878550007,	-0.52155,	2.67002,	-0.632554,	0.000491157,	0.0389333,	-0.0184697,	0.0157689,	0.0120991,	0.0428345,	0.998884,	-0.475344,	2.72695,	-0.372527,	0,	0,	0,	-0.123974,	0.673171,	0.718904,	-0.121032
1520369566904713907,	-0.52174,	2.66988,	-0.6321,	-0.00731702,	-0.00505486,	0.0174781,	0.0158479,	0.0123465,	0.0432064,	0.998864,	-0.475512,	2.72716,	-0.372427,	-0.00646453,	0.00788757,	0.00382186,	-0.124004,	0.673247,	0.718839,	-0.120962
1520369566931273012,	-0.521549,	2.66997,	-0.631967,	0.0073401,	0.00346749,	0.00511524,	0.0160066,	0.0122748,	0.0430264,	0.99887,	-0.475512,	2.72716,	-0.372427,	0,	0,	0,	-0.124004,	0.673247,	0.718839,	-0.120962
1520369566957395732,	-0.521379,	2.67006,	-0.631848,	0.00653917,	0.00308913,	0.00455708,	0.016148,	0.0122109,	0.042866,	0.998876,	-0.475625,	2.72709,	-0.372309,	-0.00435659,	-0.00262084,	0.00455884,	-0.124023,	0.673209,	0.718867,	-0.12099
1520369566981519222,	-0.521267,	2.66945,	-0.631864,	0.00466271,	-0.0252649,	-0.000674724,	0.0163131,	0.0123129,	0.0433137,	0.998852,	-0.475625,	2.72709,	-0.372309,	0,	0,	0,	-0.124023,	0.673209,	0.718867,	-0.12099
1520369567008265530,	-0.521503,	2.67095,	-0.632468,	-0.00907529,	0.0575683,	-0.0232056,	0.0153784,	0.0118657,	0.0419044,	0.998933,	-0.475658,	2.72707,	-0.372166,	-0.00125987,	-0.000795558,	0.00551199,	-0.12396,	0.672983,	0.719074,	-0.121079
1520369567038621026,	-0.521546,	2.67059,	-0.632319,	-0.0014095,	-0.0117635,	0.00496166,	0.0159486,	0.0119873,	0.042229,	0.998909,	-0.475658,	2.72707,	-0.372166,	0,	0,	0,	-0.12396,	0.672983,	0.719074,	-0.121079
1520369567063058904,	-0.521184,	2.66915,	-0.631874,	0.0150692,	-0.0603171,	0.0185286,	0.0170614,	0.0121042,	0.0422126,	0.99889,	-0.475361,	2.72681,	-0.372275,	0.0123695,	-0.0106311,	-0.00457205,	-0.123825,	0.673104,	0.718974,	-0.121136
1520369567088643827,	-0.521182,	2.66919,	-0.631902,	6.67683e-05,	0.00161349,	-0.00110575,	0.0168256,	0.012126,	0.0424019,	0.998885,	-0.475361,	2.72681,	-0.372275,	0,	0,	0,	-0.123825,	0.673104,	0.718974,	-0.121136
1520369567115546663,	-0.521883,	2.67072,	-0.63259,	-0.0269359,	0.059063,	-0.026454,	0.0168537,	0.0118713,	0.040893,	0.998951,	-0.475531,	2.72731,	-0.372371,	-0.00653575,	0.0190902,	-0.00366702,	-0.123854,	0.673273,	0.718834,	-0.121002
1520369567142244721,	-0.521851,	2.67056,	-0.632551,	0.00121553,	-0.00612122,	0.00150708,	0.0167696,	0.0119299,	0.0411484,	0.998941,	-0.475531,	2.72731,	-0.372371,	0,	0,	0,	-0.123854,	0.673273,	0.718834,	-0.121002
