time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520368551013119785,	-0.556869,	2.7087,	-0.633202,	-3.66272e-10,	1.78161e-09,	-4.16479e-10,	0.015486,	0.0120654,	0.06509,	0.997686,	-0.510124,	2.76157,	-0.371562,	-3.35527e-10,	1.81638e-09,	-2.44389e-10,	-0.134232,	0.66708,	0.721021,	-0.130821
1520368551036921120,	-0.556869,	2.7087,	-0.633202,	0,	0,	0,	0.015486,	0.0120654,	0.06509,	0.997686,	-0.510124,	2.76157,	-0.371562,	0,	0,	0,	-0.134232,	0.66708,	0.721021,	-0.130821
1520368551067286396,	-0.556766,	2.70854,	-0.633127,	0.00343389,	-0.00551536,	0.00247978,	0.0154969,	0.011895,	0.0634574,	0.997793,	-0.509946,	2.76164,	-0.371513,	0.00593051,	0.00262341,	0.00164733,	-0.134203,	0.667058,	0.721034,	-0.130893
1520368551093722923,	-0.556646,	2.70747,	-0.632995,	0.0046038,	-0.0411459,	0.00506595,	0.0158134,	0.0118879,	0.0640176,	0.997753,	-0.510034,	2.7616,	-0.371522,	-0.00335089,	-0.00155911,	-0.000354998,	-0.134278,	0.667004,	0.721074,	-0.130873
1520368551122005696,	-0.556282,	2.70725,	-0.632975,	0.0130062,	-0.00768973,	0.000728471,	0.0159073,	0.0120131,	0.0642838,	0.997733,	-0.510034,	2.7616,	-0.371522,	0,	0,	0,	-0.134278,	0.667004,	0.721074,	-0.130873
1520368551155553640,	-0.556341,	2.70722,	-0.632664,	-0.00179108,	-0.00107032,	0.00941258,	0.0182887,	0.0122041,	0.0644539,	0.997678,	-0.509933,	2.76137,	-0.371688,	0.00305889,	-0.00714733,	-0.0050427,	-0.134252,	0.666886,	0.721183,	-0.130899
1520368551182479521,	-0.556469,	2.70751,	-0.632699,	-0.00490545,	0.0112642,	-0.00134313,	0.0180726,	0.01235,	0.0654051,	0.997619,	-0.509933,	2.76137,	-0.371688,	0,	0,	0,	-0.134252,	0.666886,	0.721183,	-0.130899
1520368551208816371,	-0.55616,	2.70689,	-0.63265,	0.0118579,	-0.0239085,	0.00189987,	0.0157275,	0.0116809,	0.0645568,	0.997722,	-0.509928,	2.76138,	-0.371468,	0.000178436,	0.000553671,	0.00848035,	-0.1343,	0.66689,	0.721168,	-0.13091
1520368551235265039,	-0.55617,	2.70693,	-0.632684,	-0.000356738,	0.00181218,	-0.00131032,	0.0162376,	0.0117815,	0.0645877,	0.99771,	-0.509928,	2.76138,	-0.371468,	0,	0,	0,	-0.1343,	0.66689,	0.721168,	-0.13091
1520368551265968989,	-0.556478,	2.70731,	-0.632871,	-0.0102784,	0.0126804,	-0.00622193,	0.0164009,	0.0120475,	0.0645169,	0.997709,	-0.509641,	2.76138,	-0.371478,	0.00955744,	3.18657e-05,	-0.000337513,	-0.134211,	0.666964,	0.721105,	-0.130975
1520368551296475923,	-0.556216,	2.7081,	-0.632717,	0.00872077,	0.0260564,	0.00513372,	0.016273,	0.0120796,	0.0649958,	0.99768,	-0.50992,	2.76141,	-0.371267,	-0.00928914,	0.00102787,	0.00703896,	-0.13431,	0.666984,	0.721086,	-0.130875
