time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520354199242765179,	-0.860852,	2.45528,	-0.200464,	-0.00059674,	0.0103097,	0.00385988,	-0.0254573,	0.007408,	0.0432931,	0.998711,	-0.871255,	2.51956,	0.0134678,	0.00126524,	0.0117268,	0.00412097,	-0.114886,	0.671151,	0.719945,	-0.134301
1520354199290139987,	-0.86055,	2.45563,	-0.200559,	0.00643446,	0.00735692,	-0.00202163,	-0.0252734,	0.00845196,	0.0435445,	0.998696,	-0.870884,	2.5204,	0.0133405,	0.00789498,	0.0177267,	-0.00270856,	-0.114595,	0.672095,	0.718968,	-0.135057
1520354199338124696,	-0.860402,	2.45573,	-0.201624,	0.00315221,	0.00228819,	-0.0226493,	-0.0340214,	0.0100133,	0.046238,	0.998301,	-0.870962,	2.52181,	0.013733,	-0.00167191,	0.0300637,	0.00834964,	-0.113358,	0.671971,	0.719232,	-0.135314
1520354199387974526,	-0.860426,	2.45581,	-0.201235,	-0.00049579,	0.00165334,	0.0079452,	-0.035123,	0.0103915,	0.0458893,	0.998275,	-0.870543,	2.52266,	0.0140376,	0.00855672,	0.0172585,	0.00621628,	-0.113236,	0.672166,	0.719098,	-0.13516
1520354199438315296,	-0.860522,	2.45613,	-0.201083,	-0.00191308,	0.00627485,	0.00303718,	-0.0356099,	0.0102364,	0.0450312,	0.998298,	-0.870579,	2.52409,	0.0145514,	-0.000726387,	0.0286117,	0.0102759,	-0.112874,	0.671324,	0.719914,	-0.135307
1520354199484990271,	-0.860222,	2.45753,	-0.20078,	0.00651796,	0.0305383,	0.00657167,	-0.0343774,	0.0101012,	0.0438142,	0.998397,	-0.869533,	2.52514,	0.0149043,	0.0227509,	0.0230217,	0.00767187,	-0.112571,	0.671377,	0.719882,	-0.135464
1520354199529423015,	-0.8601,	2.45802,	-0.200177,	0.00277838,	0.0110025,	0.0137182,	-0.0367841,	0.0100946,	0.0451739,	0.998251,	-0.868399,	2.52636,	0.0154934,	0.0257617,	0.0277142,	0.0133897,	-0.110482,	0.670259,	0.721207,	-0.135673
1520354199578098571,	-0.85937,	2.45994,	-0.199789,	0.0151958,	0.0400425,	0.00807522,	-0.0356184,	0.0110173,	0.0443039,	0.998322,	-0.86643,	2.52789,	0.0153625,	0.0410214,	0.0318203,	-0.00272644,	-0.10875,	0.670636,	0.721046,	-0.136065
1520354199626506578,	-0.858975,	2.45999,	-0.199454,	0.00824226,	0.00108167,	0.00698272,	-0.0329931,	0.0119615,	0.0435364,	0.998435,	-0.865063,	2.5304,	0.0152884,	0.0284885,	0.0521604,	-0.0015452,	-0.107608,	0.670382,	0.721239,	-0.137199
1520354199676784976,	-0.858133,	2.46327,	-0.198822,	0.0168314,	0.0655719,	0.0126409,	-0.0367109,	0.0142282,	0.042352,	0.998327,	-0.862297,	2.5317,	0.0147955,	0.0553149,	0.0261282,	-0.00985728,	-0.107607,	0.669242,	0.721881,	-0.139369
