time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520295636658763789,	0.401131,	2.70864,	-0.611986,	-2.55076e-05,	-0.000596723,	0.000300237,	0.00423977,	0.00356575,	-0.00735825,	0.999958,	0.401309,	2.74994,	-0.394322,	0.000178436,	0.000903942,	2.04655e-05,	-0.0882389,	0.682873,	0.721485,	-0.0731915
1520295636709416000,	0.401196,	2.7095,	-0.612391,	0.00129884,	0.0170869,	-0.00810398,	0.00532639,	0.00320709,	-0.00514088,	0.999967,	0.401439,	2.74913,	-0.394271,	0.0026155,	-0.0160759,	0.00102315,	-0.0882945,	0.682538,	0.721781,	-0.0733347
1520295636758739698,	0.401013,	2.70926,	-0.612304,	-0.00374171,	-0.00478911,	0.00178117,	0.00531011,	0.00369577,	-0.00457413,	0.999969,	0.401463,	2.7491,	-0.394259,	0.000473157,	-0.000567913,	0.000243326,	-0.0882327,	0.682607,	0.721733,	-0.0732352
1520295636806491933,	0.400922,	2.70892,	-0.612371,	-0.00191977,	-0.00722018,	-0.00141614,	0.005625,	0.00361816,	-0.00685383,	0.999954,	0.401466,	2.74917,	-0.394253,	8.21245e-05,	0.00133232,	0.000137762,	-0.0880359,	0.683078,	0.721324,	-0.0731141
1520295636867205180,	0.40107,	2.7086,	-0.61186,	0.00245987,	-0.00542866,	0.00851475,	0.00536023,	0.0028297,	-0.00400261,	0.999974,	0.401361,	2.74918,	-0.394201,	-0.00176128,	0.000146967,	0.000857182,	-0.0881051,	0.6829,	0.721472,	-0.0732325
1520295636916147558,	0.401162,	2.70983,	-0.612291,	0.00192072,	0.0256754,	-0.0089915,	0.00464329,	0.00345688,	-0.00556436,	0.999968,	0.401361,	2.74918,	-0.394201,	0,	0,	0,	-0.0881051,	0.6829,	0.721472,	-0.0732325
1520295636965787241,	0.400773,	2.7091,	-0.612432,	-0.00794896,	-0.0148727,	-0.0028745,	0.00231663,	0.00386374,	-0.0106381,	0.999933,	0.401332,	2.74902,	-0.394154,	-0.000578568,	-0.00315216,	0.000960087,	-0.0882308,	0.682689,	0.721651,	-0.073286
1520295637016129940,	0.400839,	2.70907,	-0.612176,	0.0013323,	-0.000516982,	0.00513156,	0.00459032,	0.0034293,	-0.00627286,	0.999964,	0.401525,	2.74986,	-0.394425,	0.00385135,	0.0166859,	-0.00541545,	-0.0880299,	0.683091,	0.721311,	-0.07313
1520295637064334872,	0.40082,	2.70786,	-0.611945,	-0.000396188,	-0.0253433,	0.00479994,	0.000799053,	0.00405072,	-0.00778044,	0.999961,	0.401525,	2.74986,	-0.394425,	0,	0,	0,	-0.0880299,	0.683091,	0.721311,	-0.07313
1520295637115110447,	0.401035,	2.70722,	-0.611732,	0.00430011,	-0.0128159,	0.00427206,	0.00587185,	0.00348973,	-0.00637295,	0.999956,	0.401619,	2.74967,	-0.394359,	0.00187411,	-0.00370485,	0.00131332,	-0.0880131,	0.683084,	0.721316,	-0.0731664
1520295637163830047,	0.401078,	2.70679,	-0.612021,	0.000884918,	-0.00896475,	-0.00602464,	0.00417086,	0.00321383,	-0.00516319,	0.999973,	0.401467,	2.74942,	-0.394328,	-0.00315008,	-0.00528947,	0.000645307,	-0.0881346,	0.682894,	0.721482,	-0.0731503
1520295637214266836,	0.40117,	2.70866,	-0.612051,	0.0018394,	0.0375515,	-0.000610217,	0.00515779,	0.00346149,	-0.00599212,	0.999963,	0.401525,	2.74979,	-0.39442,	0.00115798,	0.00741252,	-0.00182215,	-0.0881432,	0.682879,	0.721491,	-0.0731966
1520295637262648948,	0.400949,	2.70765,	-0.611861,	-0.00459316,	-0.0211849,	0.00396339,	0.00577266,	0.00326027,	-0.00673206,	0.999955,	0.401361,	2.74965,	-0.394229,	-0.00342347,	-0.00291693,	0.00396412,	-0.0881703,	0.682782,	0.721584,	-0.0731449
