time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520295660241756434,	0.118632,	2.47062,	-0.134979,	-0.0028574,	-0.00425777,	0.00598842,	0.0164315,	0.00808071,	-0.045717,	0.998787,	0.121543,	2.57243,	0.0763806,	-0.00538096,	-0.00454382,	0.00601149,	-0.0608775,	0.694577,	0.716067,	-0.0332448
1520295660291774912,	0.118326,	2.47277,	-0.135548,	-0.00611249,	0.0430075,	-0.0113817,	0.0174178,	0.00800828,	-0.0454578,	0.998782,	0.121394,	2.57144,	0.0760159,	-0.00297949,	-0.0197786,	-0.00729499,	-0.0606581,	0.693323,	0.717303,	-0.0331647
1520295660342312470,	0.118458,	2.47198,	-0.136078,	0.00263809,	-0.0158136,	-0.0106,	0.0201099,	0.00787753,	-0.0465952,	0.99868,	0.12086,	2.57081,	0.0755293,	-0.0106823,	-0.0126338,	-0.00973186,	-0.0598952,	0.693059,	0.717644,	-0.0327121
1520295660393642572,	0.117881,	2.47106,	-0.136409,	-0.0113164,	-0.0181503,	-0.00648827,	0.0192941,	0.00834236,	-0.0465751,	0.998694,	0.120193,	2.57092,	0.0754962,	-0.013081,	0.00216488,	-0.000647834,	-0.0591097,	0.69413,	0.716697,	-0.0321723
1520295660451150183,	0.117438,	2.47086,	-0.136751,	-0.00777158,	-0.00341414,	-0.00601025,	0.0189408,	0.00860579,	-0.0470481,	0.998676,	0.119295,	2.5707,	0.0760424,	-0.0157423,	-0.00378196,	0.0095817,	-0.0582002,	0.694674,	0.716278,	-0.031394
1520295660503928928,	0.116362,	2.47013,	-0.136613,	-0.0206936,	-0.0141275,	0.00265424,	0.0179074,	0.008795,	-0.0476169,	0.998666,	0.118376,	2.57019,	0.0769204,	-0.0176765,	-0.00985707,	0.0168854,	-0.0575415,	0.69509,	0.715983,	-0.0301073
1520295660549175471,	0.115427,	2.46743,	-0.135676,	-0.0207732,	-0.0599225,	0.020836,	0.0172027,	0.00845269,	-0.0507403,	0.998528,	0.117234,	2.5693,	0.0786645,	-0.0253705,	-0.0197043,	0.0387576,	-0.056132,	0.695218,	0.716045,	-0.0282875
1520295660605346749,	0.114545,	2.46825,	-0.134537,	-0.0157502,	0.0147271,	0.0203402,	0.0151675,	0.00821156,	-0.0521835,	0.998489,	0.115484,	2.56908,	0.0807986,	-0.0312596,	-0.00396242,	0.0381077,	-0.0552453,	0.69568,	0.715709,	-0.0271707
1520295660659024889,	0.113088,	2.46536,	-0.132904,	-0.0274911,	-0.0545552,	0.0308149,	0.0142272,	0.00804331,	-0.0557058,	0.998313,	0.112936,	2.57054,	0.0830937,	-0.0480693,	0.0275378,	0.0433047,	-0.054828,	0.699014,	0.712541,	-0.0256562
1520295660707659125,	0.110891,	2.46829,	-0.129963,	-0.0457646,	0.0609858,	0.0612569,	0.00875635,	0.00734136,	-0.0554899,	0.998394,	0.110254,	2.5735,	0.0857516,	-0.0558736,	0.0616951,	0.0553727,	-0.0531083,	0.703976,	0.707876,	-0.0225512
1520295660757313038,	0.108028,	2.46886,	-0.127201,	-0.0584436,	0.011722,	0.0563816,	0.00415338,	0.0059328,	-0.0590384,	0.998229,	0.107238,	2.57719,	0.0884411,	-0.0615629,	0.0752203,	0.0548873,	-0.0522305,	0.706229,	0.705796,	-0.0191128
1520295660813464903,	0.10642,	2.46859,	-0.124143,	-0.0287161,	-0.00481501,	0.0546078,	-0.00150549,	0.00426883,	-0.0615197,	0.998096,	0.103798,	2.5805,	0.0909647,	-0.0614183,	0.0591364,	0.0450646,	-0.0527441,	0.708186,	0.703873,	-0.0159159
1520295660868717999,	0.104627,	2.46596,	-0.120847,	-0.0325894,	-0.0478799,	0.0599211,	-0.00373639,	0.00167302,	-0.0688428,	0.997619,	0.0975413,	2.58617,	0.0952367,	-0.113764,	0.103054,	0.0776729,	-0.0583665,	0.706359,	0.705322,	-0.0130825
1520295660924174639,	0.101822,	2.4695,	-0.118568,	-0.0510012,	0.0643759,	0.0414272,	-0.00319756,	-0.00142777,	-0.0699272,	0.997546,	0.094599,	2.58979,	0.0970519,	-0.0534958,	0.0657769,	0.033004,	-0.0624605,	0.704622,	0.706683,	-0.0143567
1520295660983075033,	0.0996569,	2.47654,	-0.116243,	-0.0373309,	0.121366,	0.0401005,	-0.00847676,	-0.00509788,	-0.0678477,	0.997647,	0.0920059,	2.59435,	0.0984708,	-0.0447091,	0.0787751,	0.0244637,	-0.0662003,	0.705001,	0.705918,	-0.0164473
1520295661033225425,	0.098478,	2.47724,	-0.114254,	-0.023578,	0.0138857,	0.0397737,	-0.00229089,	-0.00695863,	-0.0649335,	0.997863,	0.0911989,	2.59873,	0.100118,	-0.0161407,	0.0875796,	0.0329511,	-0.0670736,	0.705563,	0.705237,	-0.0179742
1520295661087470836,	0.0959878,	2.48417,	-0.112765,	-0.0461138,	0.128344,	0.0275775,	0.00012657,	-0.00825941,	-0.0594715,	0.998196,	0.0908432,	2.60237,	0.102031,	-0.00658632,	0.0673037,	0.0354146,	-0.0663485,	0.706506,	0.70434,	-0.0187479
1520295661140674334,	0.0945665,	2.4906,	-0.111099,	-0.0268171,	0.121315,	0.0314249,	-0.000663941,	-0.00815389,	-0.0559206,	0.998402,	0.0908884,	2.60595,	0.103594,	0.00085233,	0.0676402,	0.0294958,	-0.0638328,	0.708986,	0.702081,	-0.0186182
