time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520295119964419814,	0.39737,	2.70218,	-0.611175,	0.00232827,	0.000746064,	-0.00310199,	0.011435,	0.00245001,	0.0157967,	0.999807,	0.39585,	2.74026,	-0.393641,	0.00232244,	0.000303473,	-0.00305208,	-0.101188,	0.676606,	0.724289,	-0.0858586
1520295120018665726,	0.397474,	2.70233,	-0.61218,	0.00193206,	0.00280158,	-0.0186096,	0.00234271,	0.00312323,	0.0161138,	0.999863,	0.396574,	2.74054,	-0.393689,	0.0134018,	0.00514738,	-0.000888302,	-0.101303,	0.676502,	0.724345,	-0.0860623
1520295120064176122,	0.397552,	2.70228,	-0.612386,	0.00172203,	-0.00116109,	-0.00457474,	0.00166947,	0.00311076,	0.0164918,	0.999858,	0.396574,	2.74054,	-0.393689,	0,	0,	0,	-0.101303,	0.676502,	0.724345,	-0.0860623
1520295120112118341,	0.39766,	2.70186,	-0.612404,	0.00229866,	-0.00896086,	-0.000385175,	0.00269825,	0.00320051,	0.0160439,	0.999863,	0.396709,	2.74076,	-0.393504,	0.00288934,	0.00482523,	0.00392048,	-0.101229,	0.676615,	0.724261,	-0.0859688
1520295120162652941,	0.398184,	2.70254,	-0.612409,	0.0104846,	0.0136192,	-9.6419e-05,	0.00337921,	0.0028312,	0.0159418,	0.999863,	0.396268,	2.7409,	-0.393595,	-0.00883176,	0.00273921,	-0.00180936,	-0.101165,	0.676816,	0.724091,	-0.0858931
1520295120210518765,	0.397833,	2.70147,	-0.611545,	-0.00747441,	-0.0227766,	0.0183838,	0.00436472,	0.00297025,	0.0160426,	0.999857,	0.395864,	2.74117,	-0.393775,	-0.00859534,	0.00579705,	-0.00383053,	-0.101155,	0.676935,	0.723991,	-0.0858127
1520295120259914964,	0.397395,	2.7011,	-0.612077,	-0.00892729,	-0.00754896,	-0.0108687,	-0.000209815,	0.00335127,	0.0180006,	0.999832,	0.395818,	2.74086,	-0.393684,	-0.000939542,	-0.00631806,	0.00185864,	-0.101199,	0.67666,	0.72424,	-0.0858263
1520295120314867529,	0.397363,	2.7018,	-0.611601,	-0.00060144,	0.0128845,	0.00881406,	-0.000400241,	0.00328006,	0.0163018,	0.999862,	0.39624,	2.74042,	-0.393552,	0.00782173,	-0.00815925,	0.00243883,	-0.101305,	0.676403,	0.724446,	-0.0859955
1520295120367643044,	0.397553,	2.70219,	-0.612217,	0.0036593,	0.00751925,	-0.0118453,	0.00208498,	0.00320896,	0.0166988,	0.999853,	0.396512,	2.7408,	-0.393575,	0.00522011,	0.00725558,	-0.000440532,	-0.100996,	0.676969,	0.723977,	-0.0858508
1520295120415910727,	0.397868,	2.70355,	-0.611777,	0.00655672,	0.0284024,	0.00916276,	0.00141791,	0.00307609,	0.0163404,	0.999861,	0.39581,	2.74062,	-0.393678,	-0.0146064,	-0.00373478,	-0.00214279,	-0.10109,	0.677022,	0.723924,	-0.0857657
