time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520294943110855394,	0.413417,	2.68086,	-0.612275,	-2.67275e-06,	2.57178e-06,	4.47016e-06,	0.000328309,	0.00319301,	0.0144228,	0.999891,	0.412455,	2.72326,	-0.394,	5.12564e-07,	2.05627e-05,	-1.14466e-06,	-0.100779,	0.677428,	0.723645,	-0.0852817
1520294943156947790,	0.413605,	2.6821,	-0.61259,	0.00408702,	0.0268122,	-0.00685226,	0.00277576,	0.00276568,	0.0138747,	0.999896,	0.412553,	2.72367,	-0.394059,	0.00211812,	0.00897505,	-0.00127902,	-0.100652,	0.677789,	0.723329,	-0.0852426
1520294943210221152,	0.413396,	2.67976,	-0.611419,	-0.00394249,	-0.0441089,	0.0220864,	0.00341964,	0.0022467,	0.0149782,	0.999879,	0.412532,	2.72353,	-0.394114,	-0.000399457,	-0.00279267,	-0.00104102,	-0.100689,	0.677788,	0.723331,	-0.085196
1520294943273851585,	0.413346,	2.68069,	-0.612042,	-0.000795444,	0.0147609,	-0.00988134,	0.000743758,	0.00321787,	0.0149236,	0.999883,	0.412463,	2.72291,	-0.394109,	-0.00109446,	-0.00976204,	7.7271e-05,	-0.100877,	0.677266,	0.723773,	-0.0853677
1520294943329370279,	0.41354,	2.68094,	-0.612151,	0.00352023,	0.00449907,	-0.00199112,	0.000273583,	0.0031639,	0.0149022,	0.999884,	0.412547,	2.72301,	-0.394093,	0.00153311,	0.00178183,	0.000303762,	-0.100813,	0.677388,	0.723671,	-0.0853312
1520294943384755294,	0.413369,	2.68114,	-0.612208,	-0.00309251,	0.00371452,	-0.00103538,	0.000390211,	0.00322847,	0.0148152,	0.999885,	0.412766,	2.72338,	-0.394153,	0.00397522,	0.0067783,	-0.00109169,	-0.100669,	0.677763,	0.723354,	-0.0852148
1520294943436820192,	0.413552,	2.68196,	-0.612823,	0.00351801,	0.0158065,	-0.0118319,	-0.00323404,	0.00285367,	0.0193627,	0.999803,	0.412715,	2.72379,	-0.394243,	-0.000965831,	0.00788397,	-0.00174338,	-0.100726,	0.67772,	0.723387,	-0.0852164
1520294943484242399,	0.413406,	2.68046,	-0.611905,	-0.00312307,	-0.0319083,	0.0195447,	0.000636999,	0.00311558,	0.0146329,	0.999888,	0.413092,	2.72316,	-0.394144,	0.00801931,	-0.0134487,	0.00211163,	-0.100833,	0.677265,	0.723769,	-0.0854638
1520294943533225074,	0.413515,	2.68195,	-0.61192,	0.00228706,	0.030897,	-0.000323797,	0.00167632,	0.00316824,	0.0134984,	0.999902,	0.413356,	2.72334,	-0.394188,	0.00549453,	0.00383761,	-0.000909099,	-0.100925,	0.676955,	0.72403,	-0.085599
1520294943599734622,	0.413889,	2.68163,	-0.612351,	0.00565453,	-0.00481319,	-0.00653026,	0.0014862,	0.00322499,	0.0144847,	0.999889,	0.413055,	2.72393,	-0.394158,	-0.00456051,	0.0089065,	0.000449904,	-0.100907,	0.676784,	0.7242,	-0.0855326
