time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520293676561687921,	0.396618,	2.69446,	-0.612127,	2.60883e-10,	1.77233e-09,	-4.02637e-10,	0.00763122,	0.00316182,	0.0273104,	0.999593,	0.393794,	2.72374,	-0.391181,	2.59025e-10,	1.79159e-09,	-2.57306e-10,	-0.0981561,	0.64824,	0.751711,	-0.0712798
1520293676610377181,	0.396765,	2.69363,	-0.611952,	0.0030564,	-0.0172641,	0.00364697,	0.00617872,	0.00341323,	0.0273595,	0.999601,	0.393965,	2.72358,	-0.391218,	0.00356516,	-0.00338218,	-0.000766366,	-0.0981278,	0.648262,	0.751693,	-0.0713045
1520293676677215346,	0.39674,	2.69246,	-0.611499,	-0.000376028,	-0.0177959,	0.00685294,	0.00756631,	0.00344986,	0.0271325,	0.999597,	0.393895,	2.72315,	-0.391239,	-0.00106414,	-0.00645885,	-0.000308681,	-0.0981574,	0.648162,	0.751784,	-0.0712156
1520293676729661539,	0.396898,	2.69274,	-0.611803,	0.00303968,	0.00544631,	-0.00582914,	0.00736508,	0.00338029,	0.0271471,	0.999599,	0.393934,	2.72303,	-0.391278,	0.000759897,	-0.00245181,	-0.000752752,	-0.0981404,	0.648085,	0.751849,	-0.0712524
1520293676778469747,	0.396628,	2.69273,	-0.611744,	-0.00563393,	-0.000255335,	0.00121366,	0.00737589,	0.00335744,	0.027044,	0.999601,	0.393942,	2.7234,	-0.391341,	0.000163268,	0.00766859,	-0.00132073,	-0.0981618,	0.648067,	0.751859,	-0.0712831
1520293676832314749,	0.396672,	2.69529,	-0.612641,	0.000835349,	0.0483171,	-0.0169161,	0.0101003,	0.00298289,	0.026333,	0.999598,	0.394107,	2.72388,	-0.391343,	0.00310668,	0.00923661,	-3.21277e-05,	-0.0981643,	0.648222,	0.751723,	-0.0713074
1520293676881506062,	0.396776,	2.6937,	-0.611865,	0.0021256,	-0.03241,	0.0158404,	0.0066471,	0.00334748,	0.0270756,	0.999606,	0.394151,	2.72451,	-0.391398,	0.000888967,	0.0128576,	-0.00112787,	-0.098217,	0.648384,	0.751573,	-0.0713438
1520293676933830729,	0.396763,	2.69373,	-0.611647,	-0.000248437,	0.000581703,	0.00417947,	0.0110687,	0.00303115,	0.0249339,	0.999623,	0.394038,	2.72378,	-0.391506,	-0.00216271,	-0.0140481,	-0.00206958,	-0.0982282,	0.64822,	0.751713,	-0.0713477
1520293676985089058,	0.396848,	2.69381,	-0.612012,	0.00166148,	0.00157314,	-0.00714853,	0.0070093,	0.00333759,	0.0268695,	0.999609,	0.39442,	2.72252,	-0.391107,	0.00749133,	-0.0247913,	0.00781668,	-0.0981923,	0.64792,	0.75197,	-0.0714101
1520293677036701596,	0.39717,	2.69265,	-0.611743,	0.00631302,	-0.0228108,	0.00528163,	0.00730427,	0.00336325,	0.0274565,	0.999591,	0.394201,	2.7222,	-0.390925,	-0.00429772,	-0.00630087,	0.00356192,	-0.0981824,	0.647578,	0.752276,	-0.0713026
