time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520295604526451622,	0.402856,	2.66355,	-0.607715,	0.000295758,	0.000598907,	-0.00101239,	0.0103598,	0.00697428,	0.0374204,	0.999222,	0.405701,	2.73987,	-0.392939,	0.000288618,	0.000487079,	-0.0010119,	-0.0962262,	0.673727,	0.728386,	-0.0792876
1520295604530552800,	0.402856,	2.66355,	-0.607715,	0,	0,	0,	0.0103598,	0.00697428,	0.0374204,	0.999222,	0.405701,	2.73987,	-0.392939,	0,	0,	0,	-0.0962262,	0.673727,	0.728386,	-0.0792876
1520295604534585510,	0.402856,	2.66355,	-0.607715,	0,	0,	0,	0.0103598,	0.00697428,	0.0374204,	0.999222,	0.405701,	2.73987,	-0.392939,	0,	0,	0,	-0.0962262,	0.673727,	0.728386,	-0.0792876
1520295604540818700,	0.402856,	2.66355,	-0.607715,	0,	0,	0,	0.0103598,	0.00697428,	0.0374204,	0.999222,	0.405701,	2.73987,	-0.392939,	0,	0,	0,	-0.0962262,	0.673727,	0.728386,	-0.0792876
1520295604546208770,	0.402856,	2.66355,	-0.607715,	0,	0,	0,	0.0103598,	0.00697428,	0.0374204,	0.999222,	0.405701,	2.73987,	-0.392939,	0,	0,	0,	-0.0962262,	0.673727,	0.728386,	-0.0792876
1520295604551346045,	0.402856,	2.66355,	-0.607715,	0,	0,	0,	0.0103598,	0.00697428,	0.0374204,	0.999222,	0.405701,	2.73987,	-0.392939,	0,	0,	0,	-0.0962262,	0.673727,	0.728386,	-0.0792876
1520295604556398310,	0.402856,	2.66355,	-0.607715,	0,	0,	0,	0.0103598,	0.00697428,	0.0374204,	0.999222,	0.405701,	2.73987,	-0.392939,	0,	0,	0,	-0.0962262,	0.673727,	0.728386,	-0.0792876
1520295604558783799,	0.402856,	2.66355,	-0.607715,	0,	0,	0,	0.0103598,	0.00697428,	0.0374204,	0.999222,	0.405701,	2.73987,	-0.392939,	0,	0,	0,	-0.0962262,	0.673727,	0.728386,	-0.0792876
1520295604566987669,	0.403129,	2.66254,	-0.607215,	0.0340796,	-0.125644,	0.0625073,	0.0128491,	0.0070373,	0.035635,	0.999257,	0.405651,	2.74007,	-0.39319,	-0.00625088,	0.0246135,	-0.0313781,	-0.096234,	0.673593,	0.728505,	-0.0793225
1520295604572020063,	0.403096,	2.66233,	-0.607195,	-0.00666116,	-0.042046,	0.00405348,	0.0134888,	0.00702463,	0.0354107,	0.999257,	0.405651,	2.74007,	-0.39319,	0,	0,	0,	-0.096234,	0.673593,	0.728505,	-0.0793225
1520295604573955412,	0.403096,	2.66233,	-0.607195,	0,	0,	0,	0.0134888,	0.00702463,	0.0354107,	0.999257,	0.405651,	2.74007,	-0.39319,	0,	0,	0,	-0.096234,	0.673593,	0.728505,	-0.0793225
