time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520354222318924229,	-0.820928,	2.50656,	-0.210783,	-0.00506274,	-0.00145458,	-0.0100972,	-0.00475241,	0.00949009,	0.12223,	0.992445,	-0.836698,	2.56852,	0.000348994,	-0.00195221,	-0.00778033,	-0.00976864,	-0.144735,	0.636301,	0.73343,	-0.190402
1520354222324022601,	-0.820928,	2.50656,	-0.210783,	0,	0,	0,	-0.00475241,	0.00949009,	0.12223,	0.992445,	-0.836698,	2.56852,	0.000348994,	0,	0,	0,	-0.144735,	0.636301,	0.73343,	-0.190402
1520354222329934632,	-0.820928,	2.50656,	-0.210783,	0,	0,	0,	-0.00475241,	0.00949009,	0.12223,	0.992445,	-0.836698,	2.56852,	0.000348994,	0,	0,	0,	-0.144735,	0.636301,	0.73343,	-0.190402
1520354222332712288,	-0.820928,	2.50656,	-0.210783,	0,	0,	0,	-0.00475241,	0.00949009,	0.12223,	0.992445,	-0.836698,	2.56852,	0.000348994,	0,	0,	0,	-0.144735,	0.636301,	0.73343,	-0.190402
1520354222339246208,	-0.820928,	2.50656,	-0.210783,	0,	0,	0,	-0.00475241,	0.00949009,	0.12223,	0.992445,	-0.836698,	2.56852,	0.000348994,	0,	0,	0,	-0.144735,	0.636301,	0.73343,	-0.190402
1520354222343496034,	-0.820928,	2.50656,	-0.210783,	0,	0,	0,	-0.00475241,	0.00949009,	0.12223,	0.992445,	-0.836698,	2.56852,	0.000348994,	0,	0,	0,	-0.144735,	0.636301,	0.73343,	-0.190402
1520354222348172685,	-0.820928,	2.50656,	-0.210783,	0,	0,	0,	-0.00475241,	0.00949009,	0.12223,	0.992445,	-0.836698,	2.56852,	0.000348994,	0,	0,	0,	-0.144735,	0.636301,	0.73343,	-0.190402
1520354222355833708,	-0.820928,	2.50656,	-0.210783,	0,	0,	0,	-0.00475241,	0.00949009,	0.12223,	0.992445,	-0.836698,	2.56852,	0.000348994,	0,	0,	0,	-0.144735,	0.636301,	0.73343,	-0.190402
1520354222360048316,	-0.820928,	2.50656,	-0.210783,	0,	0,	0,	-0.00475241,	0.00949009,	0.12223,	0.992445,	-0.836698,	2.56852,	0.000348994,	0,	0,	0,	-0.144735,	0.636301,	0.73343,	-0.190402
1520354222364874848,	-0.820812,	2.50679,	-0.211351,	0.0290726,	0.0570386,	-0.141883,	-0.00636889,	0.00991888,	0.122725,	0.992371,	-0.836543,	2.56845,	-0.000279132,	0.0388077,	-0.0175925,	-0.157031,	-0.144352,	0.63686,	0.733026,	-0.190383
1520354222369164658,	-0.820824,	2.50679,	-0.211339,	-0.00303106,	-0.000428476,	0.00301117,	-0.00627571,	0.00993305,	0.122654,	0.99238,	-0.836543,	2.56845,	-0.000279132,	0,	0,	0,	-0.144352,	0.63686,	0.733026,	-0.190383
1520354222373258491,	-0.820824,	2.50679,	-0.211339,	0,	0,	0,	-0.00627571,	0.00993305,	0.122654,	0.99238,	-0.836543,	2.56845,	-0.000279132,	0,	0,	0,	-0.144352,	0.63686,	0.733026,	-0.190383
1520354222380121669,	-0.820824,	2.50679,	-0.211339,	0,	0,	0,	-0.00627571,	0.00993305,	0.122654,	0.99238,	-0.836543,	2.56845,	-0.000279132,	0,	0,	0,	-0.144352,	0.63686,	0.733026,	-0.190383
1520354222386237248,	-0.820824,	2.50679,	-0.211339,	0,	0,	0,	-0.00627571,	0.00993305,	0.122654,	0.99238,	-0.836543,	2.56845,	-0.000279132,	0,	0,	0,	-0.144352,	0.63686,	0.733026,	-0.190383
