time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520354254050094079,	-0.8233,	2.51896,	-0.202171,	-0.00525283,	-0.00303331,	0.00247533,	-0.0192834,	-0.0148579,	-0.00527201,	0.99969,	-0.832125,	2.55659,	0.00196994,	-0.00521029,	-0.00673366,	0.00296961,	-0.11278,	0.704366,	0.6952,	-0.0885749
1520354254053510870,	-0.8233,	2.51896,	-0.202171,	0,	0,	0,	-0.0192834,	-0.0148579,	-0.00527201,	0.99969,	-0.832125,	2.55659,	0.00196994,	0,	0,	0,	-0.11278,	0.704366,	0.6952,	-0.0885749
1520354254059939067,	-0.8233,	2.51896,	-0.202171,	0,	0,	0,	-0.0192834,	-0.0148579,	-0.00527201,	0.99969,	-0.832125,	2.55659,	0.00196994,	0,	0,	0,	-0.11278,	0.704366,	0.6952,	-0.0885749
1520354254066626438,	-0.823135,	2.51921,	-0.201623,	0.0274859,	0.041659,	0.0912667,	-0.0200882,	-0.0153187,	-0.00640643,	0.99966,	-0.832774,	2.55682,	0.00236983,	-0.108209,	0.0373972,	0.0666486,	-0.113669,	0.704383,	0.694977,	-0.0890589
1520354254069294730,	-0.823135,	2.51921,	-0.201623,	0,	0,	0,	-0.0200882,	-0.0153187,	-0.00640643,	0.99966,	-0.832774,	2.55682,	0.00236983,	0,	0,	0,	-0.113669,	0.704383,	0.694977,	-0.0890589
1520354254074998928,	-0.823135,	2.51921,	-0.201623,	0,	0,	0,	-0.0200882,	-0.0153187,	-0.00640643,	0.99966,	-0.832774,	2.55682,	0.00236983,	0,	0,	0,	-0.113669,	0.704383,	0.694977,	-0.0890589
1520354254078708337,	-0.823135,	2.51921,	-0.201623,	0,	0,	0,	-0.0200882,	-0.0153187,	-0.00640643,	0.99966,	-0.832774,	2.55682,	0.00236983,	0,	0,	0,	-0.113669,	0.704383,	0.694977,	-0.0890589
1520354254086324696,	-0.823135,	2.51921,	-0.201623,	0,	0,	0,	-0.0200882,	-0.0153187,	-0.00640643,	0.99966,	-0.832774,	2.55682,	0.00236983,	0,	0,	0,	-0.113669,	0.704383,	0.694977,	-0.0890589
1520354254089912722,	-0.823135,	2.51921,	-0.201623,	0,	0,	0,	-0.0200882,	-0.0153187,	-0.00640643,	0.99966,	-0.832774,	2.55682,	0.00236983,	0,	0,	0,	-0.113669,	0.704383,	0.694977,	-0.0890589
1520354254094976374,	-0.823135,	2.51921,	-0.201623,	0,	0,	0,	-0.0200882,	-0.0153187,	-0.00640643,	0.99966,	-0.832774,	2.55682,	0.00236983,	0,	0,	0,	-0.113669,	0.704383,	0.694977,	-0.0890589
1520354254101187668,	-0.823135,	2.51921,	-0.201623,	0,	0,	0,	-0.0200882,	-0.0153187,	-0.00640643,	0.99966,	-0.832774,	2.55682,	0.00236983,	0,	0,	0,	-0.113669,	0.704383,	0.694977,	-0.0890589
1520354254105036696,	-0.823135,	2.51921,	-0.201623,	0,	0,	0,	-0.0200882,	-0.0153187,	-0.00640643,	0.99966,	-0.832774,	2.55682,	0.00236983,	0,	0,	0,	-0.113669,	0.704383,	0.694977,	-0.0890589
1520354254108423489,	-0.823135,	2.51921,	-0.201623,	0,	0,	0,	-0.0200882,	-0.0153187,	-0.00640643,	0.99966,	-0.832774,	2.55682,	0.00236983,	0,	0,	0,	-0.113669,	0.704383,	0.694977,	-0.0890589
1520354254115549940,	-0.823477,	2.51963,	-0.201605,	-0.0487221,	0.0602897,	0.0026532,	-0.0193906,	-0.0152026,	-0.00490648,	0.999684,	-0.832867,	2.55656,	0.00245847,	-0.0133376,	-0.035893,	0.0126629,	-0.114082,	0.704498,	0.694738,	-0.0894766
1520354254120285674,	-0.823477,	2.51963,	-0.201605,	0,	0,	0,	-0.0193906,	-0.0152026,	-0.00490648,	0.999684,	-0.832867,	2.55656,	0.00245847,	0,	0,	0,	-0.114082,	0.704498,	0.694738,	-0.0894766
1520354254125402068,	-0.823477,	2.51963,	-0.201605,	0,	0,	0,	-0.0193906,	-0.0152026,	-0.00490648,	0.999684,	-0.832867,	2.55656,	0.00245847,	0,	0,	0,	-0.114082,	0.704498,	0.694738,	-0.0894766
1520354254131486578,	-0.823477,	2.51963,	-0.201605,	0,	0,	0,	-0.0193906,	-0.0152026,	-0.00490648,	0.999684,	-0.832867,	2.55656,	0.00245847,	0,	0,	0,	-0.114082,	0.704498,	0.694738,	-0.0894766
