time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520354104703713099,	-1.1319,	2.35306,	-0.115236,	0.071146,	0.0149724,	-0.0193839,	-0.0114325,	0.0517409,	-0.0562585,	0.997009,	-1.11567,	2.40108,	0.0862336,	0.0665785,	0.0203509,	-0.0177566,	-0.0233767,	0.689089,	0.719009,	-0.087385
1520354104708746882,	-1.1319,	2.35306,	-0.115236,	0,	0,	0,	-0.0114325,	0.0517409,	-0.0562585,	0.997009,	-1.11567,	2.40108,	0.0862336,	0,	0,	0,	-0.0233767,	0.689089,	0.719009,	-0.087385
1520354104715167654,	-1.13173,	2.3535,	-0.11543,	0.0285227,	0.0720349,	-0.0323136,	-0.0119318,	0.0527865,	-0.055427,	0.996995,	-1.11545,	2.40197,	0.0862913,	0.0363162,	0.147726,	0.00960806,	-0.0233489,	0.689475,	0.718449,	-0.0889334
1520354104718502938,	-1.13173,	2.3535,	-0.11543,	0,	0,	0,	-0.0119318,	0.0527865,	-0.055427,	0.996995,	-1.11545,	2.40197,	0.0862913,	0,	0,	0,	-0.0233489,	0.689475,	0.718449,	-0.0889334
1520354104720992606,	-1.13173,	2.3535,	-0.11543,	0,	0,	0,	-0.0119318,	0.0527865,	-0.055427,	0.996995,	-1.11545,	2.40197,	0.0862913,	0,	0,	0,	-0.0233489,	0.689475,	0.718449,	-0.0889334
1520354104728087848,	-1.13173,	2.3535,	-0.11543,	0,	0,	0,	-0.0119318,	0.0527865,	-0.055427,	0.996995,	-1.11545,	2.40197,	0.0862913,	0,	0,	0,	-0.0233489,	0.689475,	0.718449,	-0.0889334
1520354104731988788,	-1.13173,	2.3535,	-0.11543,	0,	0,	0,	-0.0119318,	0.0527865,	-0.055427,	0.996995,	-1.11545,	2.40197,	0.0862913,	0,	0,	0,	-0.0233489,	0.689475,	0.718449,	-0.0889334
1520354104737205261,	-1.13173,	2.3535,	-0.11543,	0,	0,	0,	-0.0119318,	0.0527865,	-0.055427,	0.996995,	-1.11545,	2.40197,	0.0862913,	0,	0,	0,	-0.0233489,	0.689475,	0.718449,	-0.0889334
1520354104741236372,	-1.13173,	2.3535,	-0.11543,	0,	0,	0,	-0.0119318,	0.0527865,	-0.055427,	0.996995,	-1.11545,	2.40197,	0.0862913,	0,	0,	0,	-0.0233489,	0.689475,	0.718449,	-0.0889334
1520354104749189077,	-1.13173,	2.3535,	-0.11543,	0,	0,	0,	-0.0119318,	0.0527865,	-0.055427,	0.996995,	-1.11545,	2.40197,	0.0862913,	0,	0,	0,	-0.0233489,	0.689475,	0.718449,	-0.0889334
1520354104752973285,	-1.13173,	2.3535,	-0.11543,	0,	0,	0,	-0.0119318,	0.0527865,	-0.055427,	0.996995,	-1.11545,	2.40197,	0.0862913,	0,	0,	0,	-0.0233489,	0.689475,	0.718449,	-0.0889334
1520354104755819617,	-1.13173,	2.3535,	-0.11543,	0,	0,	0,	-0.0119318,	0.0527865,	-0.055427,	0.996995,	-1.11545,	2.40197,	0.0862913,	0,	0,	0,	-0.0233489,	0.689475,	0.718449,	-0.0889334
1520354104763300496,	-1.13174,	2.35402,	-0.115317,	-0.00228382,	0.074575,	0.0161266,	-0.0120435,	0.05352,	-0.0547868,	0.99699,	-1.11471,	2.4026,	0.0862775,	0.105556,	0.0895936,	-0.00196728,	-0.0230037,	0.689479,	0.718217,	-0.0908494
1520354104766889600,	-1.13174,	2.35402,	-0.115317,	0,	0,	0,	-0.0120435,	0.05352,	-0.0547868,	0.99699,	-1.11471,	2.4026,	0.0862775,	0,	0,	0,	-0.0230037,	0.689479,	0.718217,	-0.0908494
1520354104771842427,	-1.13174,	2.35402,	-0.115317,	0,	0,	0,	-0.0120435,	0.05352,	-0.0547868,	0.99699,	-1.11471,	2.4026,	0.0862775,	0,	0,	0,	-0.0230037,	0.689479,	0.718217,	-0.0908494
1520354104777133877,	-1.13174,	2.35402,	-0.115317,	0,	0,	0,	-0.0120435,	0.05352,	-0.0547868,	0.99699,	-1.11471,	2.4026,	0.0862775,	0,	0,	0,	-0.0230037,	0.689479,	0.718217,	-0.0908494
1520354104783381081,	-1.13174,	2.35402,	-0.115317,	0,	0,	0,	-0.0120435,	0.05352,	-0.0547868,	0.99699,	-1.11471,	2.4026,	0.0862775,	0,	0,	0,	-0.0230037,	0.689479,	0.718217,	-0.0908494
1520354104787613421,	-1.13174,	2.35402,	-0.115317,	0,	0,	0,	-0.0120435,	0.05352,	-0.0547868,	0.99699,	-1.11471,	2.4026,	0.0862775,	0,	0,	0,	-0.0230037,	0.689479,	0.718217,	-0.0908494
1520354104791947838,	-1.13174,	2.35402,	-0.115317,	0,	0,	0,	-0.0120435,	0.05352,	-0.0547868,	0.99699,	-1.11471,	2.4026,	0.0862775,	0,	0,	0,	-0.0230037,	0.689479,	0.718217,	-0.0908494
1520354104796867701,	-1.13174,	2.35402,	-0.115317,	0,	0,	0,	-0.0120435,	0.05352,	-0.0547868,	0.99699,	-1.11471,	2.4026,	0.0862775,	0,	0,	0,	-0.0230037,	0.689479,	0.718217,	-0.0908494
1520354104803777542,	-1.13174,	2.35402,	-0.115317,	0,	0,	0,	-0.0120435,	0.05352,	-0.0547868,	0.99699,	-1.11471,	2.4026,	0.0862775,	0,	0,	0,	-0.0230037,	0.689479,	0.718217,	-0.0908494
1520354104808168692,	-1.13174,	2.35402,	-0.115317,	0,	0,	0,	-0.0120435,	0.05352,	-0.0547868,	0.99699,	-1.11471,	2.4026,	0.0862775,	0,	0,	0,	-0.0230037,	0.689479,	0.718217,	-0.0908494
1520354104813683055,	-1.13173,	2.35479,	-0.11509,	0.00198279,	0.155101,	0.0453324,	-0.0136484,	0.0551449,	-0.0534913,	0.996951,	-1.11457,	2.40415,	0.0862369,	0.028309,	0.310613,	-0.00811367,	-0.0228645,	0.690545,	0.717009,	-0.0923208
1520354104815448164,	-1.13173,	2.35479,	-0.11509,	0,	0,	0,	-0.0136484,	0.0551449,	-0.0534913,	0.996951,	-1.11457,	2.40415,	0.0862369,	0,	0,	0,	-0.0228645,	0.690545,	0.717009,	-0.0923208
1520354104821791206,	-1.13173,	2.35479,	-0.11509,	0,	0,	0,	-0.0136484,	0.0551449,	-0.0534913,	0.996951,	-1.11457,	2.40415,	0.0862369,	0,	0,	0,	-0.0228645,	0.690545,	0.717009,	-0.0923208
1520354104826773255,	-1.13173,	2.35479,	-0.11509,	0,	0,	0,	-0.0136484,	0.0551449,	-0.0534913,	0.996951,	-1.11457,	2.40415,	0.0862369,	0,	0,	0,	-0.0228645,	0.690545,	0.717009,	-0.0923208
1520354104832033547,	-1.13173,	2.35479,	-0.11509,	0,	0,	0,	-0.0136484,	0.0551449,	-0.0534913,	0.996951,	-1.11457,	2.40415,	0.0862369,	0,	0,	0,	-0.0228645,	0.690545,	0.717009,	-0.0923208
1520354104837656199,	-1.13173,	2.35479,	-0.11509,	0,	0,	0,	-0.0136484,	0.0551449,	-0.0534913,	0.996951,	-1.11457,	2.40415,	0.0862369,	0,	0,	0,	-0.0228645,	0.690545,	0.717009,	-0.0923208
1520354104840049925,	-1.13173,	2.35479,	-0.11509,	0,	0,	0,	-0.0136484,	0.0551449,	-0.0534913,	0.996951,	-1.11457,	2.40415,	0.0862369,	0,	0,	0,	-0.0228645,	0.690545,	0.717009,	-0.0923208
1520354104847379627,	-1.13173,	2.35479,	-0.11509,	0,	0,	0,	-0.0136484,	0.0551449,	-0.0534913,	0.996951,	-1.11457,	2.40415,	0.0862369,	0,	0,	0,	-0.0228645,	0.690545,	0.717009,	-0.0923208
1520354104851252686,	-1.13173,	2.35479,	-0.11509,	0,	0,	0,	-0.0136484,	0.0551449,	-0.0534913,	0.996951,	-1.11457,	2.40415,	0.0862369,	0,	0,	0,	-0.0228645,	0.690545,	0.717009,	-0.0923208
1520354104856890614,	-1.13173,	2.35479,	-0.11509,	0,	0,	0,	-0.0136484,	0.0551449,	-0.0534913,	0.996951,	-1.11457,	2.40415,	0.0862369,	0,	0,	0,	-0.0228645,	0.690545,	0.717009,	-0.0923208
1520354104862009556,	-1.13167,	2.35533,	-0.11489,	0.013066,	0.107923,	0.0399938,	-0.0148249,	0.055756,	-0.0531401,	0.996919,	-1.11434,	2.40473,	0.0866899,	0.0463222,	0.116665,	0.0905914,	-0.0228428,	0.690709,	0.716804,	-0.0926886
1520354104866110322,	-1.13166,	2.35531,	-0.1149,	0.00329004,	-0.00640224,	-0.00242107,	-0.0145891,	0.0557796,	-0.0530859,	0.996924,	-1.11434,	2.40473,	0.0866899,	0,	0,	0,	-0.0228428,	0.690709,	0.716804,	-0.0926886
