time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520294943110848686,	0.409537,	2.63788,	-0.607057,	-2.2325e-06,	-1.80476e-05,	4.06204e-06,	0.00700126,	0.00689941,	0.0425002,	0.999048,	0.412455,	2.72326,	-0.394,	5.1277e-07,	2.0571e-05,	-1.14512e-06,	-0.100779,	0.677428,	0.723645,	-0.0852817
1520294943113169381,	0.409537,	2.63788,	-0.607057,	0,	0,	0,	0.00700126,	0.00689941,	0.0425002,	0.999048,	0.412455,	2.72326,	-0.394,	0,	0,	0,	-0.100779,	0.677428,	0.723645,	-0.0852817
1520294943120240926,	0.409681,	2.63713,	-0.606771,	0.0205596,	-0.106823,	0.0408412,	0.00658512,	0.00647671,	0.0419619,	0.999077,	0.412553,	2.72367,	-0.394059,	0.0139191,	0.0589789,	-0.00840497,	-0.100652,	0.677789,	0.723329,	-0.0852426
1520294943125597940,	0.409637,	2.63722,	-0.606803,	-0.00879045,	0.0162857,	-0.00631786,	0.00637753,	0.00643966,	0.041859,	0.999082,	0.412553,	2.72367,	-0.394059,	0,	0,	0,	-0.100652,	0.677789,	0.723329,	-0.0852426
1520294943126700885,	0.409637,	2.63722,	-0.606803,	0,	0,	0,	0.00637753,	0.00643966,	0.041859,	0.999082,	0.412553,	2.72367,	-0.394059,	0,	0,	0,	-0.100652,	0.677789,	0.723329,	-0.0852426
1520294943133343056,	0.409637,	2.63722,	-0.606803,	0,	0,	0,	0.00637753,	0.00643966,	0.041859,	0.999082,	0.412553,	2.72367,	-0.394059,	0,	0,	0,	-0.100652,	0.677789,	0.723329,	-0.0852426
1520294943138959756,	0.409637,	2.63722,	-0.606803,	0,	0,	0,	0.00637753,	0.00643966,	0.041859,	0.999082,	0.412553,	2.72367,	-0.394059,	0,	0,	0,	-0.100652,	0.677789,	0.723329,	-0.0852426
1520294943143741105,	0.409637,	2.63722,	-0.606803,	0,	0,	0,	0.00637753,	0.00643966,	0.041859,	0.999082,	0.412553,	2.72367,	-0.394059,	0,	0,	0,	-0.100652,	0.677789,	0.723329,	-0.0852426
1520294943148853361,	0.409637,	2.63722,	-0.606803,	0,	0,	0,	0.00637753,	0.00643966,	0.041859,	0.999082,	0.412553,	2.72367,	-0.394059,	0,	0,	0,	-0.100652,	0.677789,	0.723329,	-0.0852426
1520294943152843624,	0.409637,	2.63722,	-0.606803,	0,	0,	0,	0.00637753,	0.00643966,	0.041859,	0.999082,	0.412553,	2.72367,	-0.394059,	0,	0,	0,	-0.100652,	0.677789,	0.723329,	-0.0852426
1520294943157870447,	0.409637,	2.63722,	-0.606803,	0,	0,	0,	0.00637753,	0.00643966,	0.041859,	0.999082,	0.412553,	2.72367,	-0.394059,	0,	0,	0,	-0.100652,	0.677789,	0.723329,	-0.0852426
1520294943164332668,	0.409637,	2.63722,	-0.606803,	0,	0,	0,	0.00637753,	0.00643966,	0.041859,	0.999082,	0.412553,	2.72367,	-0.394059,	0,	0,	0,	-0.100652,	0.677789,	0.723329,	-0.0852426
1520294943167524677,	0.409637,	2.63722,	-0.606803,	0,	0,	0,	0.00637753,	0.00643966,	0.041859,	0.999082,	0.412553,	2.72367,	-0.394059,	0,	0,	0,	-0.100652,	0.677789,	0.723329,	-0.0852426
1520294943171864805,	0.409495,	2.63727,	-0.606796,	-0.0353886,	0.0139784,	0.00170648,	0.00667494,	0.00662981,	0.0429325,	0.999034,	0.412532,	2.72353,	-0.394114,	-0.0052928,	-0.0370028,	-0.0137935,	-0.100689,	0.677788,	0.723331,	-0.085196
1520294943177463236,	0.409495,	2.63727,	-0.606796,	0,	0,	0,	0.00667494,	0.00662981,	0.0429325,	0.999034,	0.412532,	2.72353,	-0.394114,	0,	0,	0,	-0.100689,	0.677788,	0.723331,	-0.085196
1520294943183206298,	0.409495,	2.63727,	-0.606796,	0,	0,	0,	0.00667494,	0.00662981,	0.0429325,	0.999034,	0.412532,	2.72353,	-0.394114,	0,	0,	0,	-0.100689,	0.677788,	0.723331,	-0.085196
1520294943186650758,	0.409495,	2.63727,	-0.606796,	0,	0,	0,	0.00667494,	0.00662981,	0.0429325,	0.999034,	0.412532,	2.72353,	-0.394114,	0,	0,	0,	-0.100689,	0.677788,	0.723331,	-0.085196
1520294943192706832,	0.409495,	2.63727,	-0.606796,	0,	0,	0,	0.00667494,	0.00662981,	0.0429325,	0.999034,	0.412532,	2.72353,	-0.394114,	0,	0,	0,	-0.100689,	0.677788,	0.723331,	-0.085196
1520294943199055594,	0.409495,	2.63727,	-0.606796,	0,	0,	0,	0.00667494,	0.00662981,	0.0429325,	0.999034,	0.412532,	2.72353,	-0.394114,	0,	0,	0,	-0.100689,	0.677788,	0.723331,	-0.085196
1520294943203264134,	0.409495,	2.63727,	-0.606796,	0,	0,	0,	0.00667494,	0.00662981,	0.0429325,	0.999034,	0.412532,	2.72353,	-0.394114,	0,	0,	0,	-0.100689,	0.677788,	0.723331,	-0.085196
1520294943207451431,	0.409495,	2.63727,	-0.606796,	0,	0,	0,	0.00667494,	0.00662981,	0.0429325,	0.999034,	0.412532,	2.72353,	-0.394114,	0,	0,	0,	-0.100689,	0.677788,	0.723331,	-0.085196
1520294943212622237,	0.409495,	2.63727,	-0.606796,	0,	0,	0,	0.00667494,	0.00662981,	0.0429325,	0.999034,	0.412532,	2.72353,	-0.394114,	0,	0,	0,	-0.100689,	0.677788,	0.723331,	-0.085196
1520294943218901779,	0.409759,	2.63761,	-0.606923,	0.0439972,	0.0556379,	-0.0211275,	0.00495479,	0.00679432,	0.0443383,	0.998981,	0.412523,	2.72306,	-0.393998,	-0.00148388,	-0.0770512,	0.0194063,	-0.100763,	0.677544,	0.723538,	-0.0852881
1520294943223254402,	0.409759,	2.63761,	-0.606923,	0,	0,	0,	0.00495479,	0.00679432,	0.0443383,	0.998981,	0.412523,	2.72306,	-0.393998,	0,	0,	0,	-0.100763,	0.677544,	0.723538,	-0.0852881
