time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520293676562079838,	0.393218,	2.65018,	-0.60675,	2.58646e-10,	1.7432e-09,	-3.991e-10,	0.0161824,	0.00709239,	0.0567652,	0.998231,	0.393794,	2.72374,	-0.391181,	2.59025e-10,	1.79159e-09,	-2.57306e-10,	-0.0981561,	0.64824,	0.751711,	-0.0712798
1520293676567776707,	0.393248,	2.64897,	-0.606402,	0.00601492,	-0.242314,	0.0696286,	0.0161932,	0.00727402,	0.0567465,	0.998231,	0.393965,	2.72358,	-0.391218,	0.0342255,	-0.0324689,	-0.00735711,	-0.0981278,	0.648262,	0.751693,	-0.0713045
1520293676574452277,	0.393248,	2.64897,	-0.606402,	0,	0,	0,	0.0161932,	0.00727402,	0.0567465,	0.998231,	0.393965,	2.72358,	-0.391218,	0,	0,	0,	-0.0981278,	0.648262,	0.751693,	-0.0713045
1520293676578748351,	0.393248,	2.64897,	-0.606402,	0,	0,	0,	0.0161932,	0.00727402,	0.0567465,	0.998231,	0.393965,	2.72358,	-0.391218,	0,	0,	0,	-0.0981278,	0.648262,	0.751693,	-0.0713045
1520293676587218618,	0.393248,	2.64897,	-0.606402,	0,	0,	0,	0.0161932,	0.00727402,	0.0567465,	0.998231,	0.393965,	2.72358,	-0.391218,	0,	0,	0,	-0.0981278,	0.648262,	0.751693,	-0.0713045
1520293676590448718,	0.393248,	2.64897,	-0.606402,	0,	0,	0,	0.0161932,	0.00727402,	0.0567465,	0.998231,	0.393965,	2.72358,	-0.391218,	0,	0,	0,	-0.0981278,	0.648262,	0.751693,	-0.0713045
1520293676593729865,	0.393248,	2.64897,	-0.606402,	0,	0,	0,	0.0161932,	0.00727402,	0.0567465,	0.998231,	0.393965,	2.72358,	-0.391218,	0,	0,	0,	-0.0981278,	0.648262,	0.751693,	-0.0713045
1520293676596393292,	0.393248,	2.64897,	-0.606402,	0,	0,	0,	0.0161932,	0.00727402,	0.0567465,	0.998231,	0.393965,	2.72358,	-0.391218,	0,	0,	0,	-0.0981278,	0.648262,	0.751693,	-0.0713045
1520293676603503597,	0.393248,	2.64897,	-0.606402,	0,	0,	0,	0.0161932,	0.00727402,	0.0567465,	0.998231,	0.393965,	2.72358,	-0.391218,	0,	0,	0,	-0.0981278,	0.648262,	0.751693,	-0.0713045
1520293676608126584,	0.393248,	2.64897,	-0.606402,	0,	0,	0,	0.0161932,	0.00727402,	0.0567465,	0.998231,	0.393965,	2.72358,	-0.391218,	0,	0,	0,	-0.0981278,	0.648262,	0.751693,	-0.0713045
1520293676612293306,	0.393248,	2.64897,	-0.606402,	0,	0,	0,	0.0161932,	0.00727402,	0.0567465,	0.998231,	0.393965,	2.72358,	-0.391218,	0,	0,	0,	-0.0981278,	0.648262,	0.751693,	-0.0713045
1520293676619586404,	0.393351,	2.64934,	-0.606717,	0.0147143,	0.053265,	-0.0450075,	0.0155458,	0.00712652,	0.0562809,	0.998269,	0.39389,	2.72331,	-0.391179,	-0.0107455,	-0.0390799,	0.00553919,	-0.0981649,	0.648241,	0.75171,	-0.0712633
1520293676624521462,	0.393351,	2.64934,	-0.606717,	0,	0,	0,	0.0155458,	0.00712652,	0.0562809,	0.998269,	0.39389,	2.72331,	-0.391179,	0,	0,	0,	-0.0981649,	0.648241,	0.75171,	-0.0712633
1520293676628254442,	0.393351,	2.64934,	-0.606717,	0,	0,	0,	0.0155458,	0.00712652,	0.0562809,	0.998269,	0.39389,	2.72331,	-0.391179,	0,	0,	0,	-0.0981649,	0.648241,	0.75171,	-0.0712633
1520293676633132686,	0.393351,	2.64934,	-0.606717,	0,	0,	0,	0.0155458,	0.00712652,	0.0562809,	0.998269,	0.39389,	2.72331,	-0.391179,	0,	0,	0,	-0.0981649,	0.648241,	0.75171,	-0.0712633
1520293676638658127,	0.393351,	2.64934,	-0.606717,	0,	0,	0,	0.0155458,	0.00712652,	0.0562809,	0.998269,	0.39389,	2.72331,	-0.391179,	0,	0,	0,	-0.0981649,	0.648241,	0.75171,	-0.0712633
1520293676643193116,	0.393351,	2.64934,	-0.606717,	0,	0,	0,	0.0155458,	0.00712652,	0.0562809,	0.998269,	0.39389,	2.72331,	-0.391179,	0,	0,	0,	-0.0981649,	0.648241,	0.75171,	-0.0712633
1520293676647794670,	0.393351,	2.64934,	-0.606717,	0,	0,	0,	0.0155458,	0.00712652,	0.0562809,	0.998269,	0.39389,	2.72331,	-0.391179,	0,	0,	0,	-0.0981649,	0.648241,	0.75171,	-0.0712633
1520293676652823341,	0.393351,	2.64934,	-0.606717,	0,	0,	0,	0.0155458,	0.00712652,	0.0562809,	0.998269,	0.39389,	2.72331,	-0.391179,	0,	0,	0,	-0.0981649,	0.648241,	0.75171,	-0.0712633
1520293676660040344,	0.393351,	2.64934,	-0.606717,	0,	0,	0,	0.0155458,	0.00712652,	0.0562809,	0.998269,	0.39389,	2.72331,	-0.391179,	0,	0,	0,	-0.0981649,	0.648241,	0.75171,	-0.0712633
1520293676665009932,	0.393351,	2.64934,	-0.606717,	0,	0,	0,	0.0155458,	0.00712652,	0.0562809,	0.998269,	0.39389,	2.72331,	-0.391179,	0,	0,	0,	-0.0981649,	0.648241,	0.75171,	-0.0712633
1520293676669858235,	0.39334,	2.64925,	-0.60648,	-0.00264857,	-0.022294,	0.0591217,	0.0158629,	0.0073143,	0.0568184,	0.998232,	0.393895,	2.72315,	-0.391239,	0.00124647,	-0.0381813,	-0.0147868,	-0.0981574,	0.648162,	0.751784,	-0.0712156
1520293676674743488,	0.39334,	2.64925,	-0.60648,	0,	0,	0,	0.0158629,	0.0073143,	0.0568184,	0.998232,	0.393895,	2.72315,	-0.391239,	0,	0,	0,	-0.0981574,	0.648162,	0.751784,	-0.0712156
1520293676679592120,	0.39334,	2.64925,	-0.60648,	0,	0,	0,	0.0158629,	0.0073143,	0.0568184,	0.998232,	0.393895,	2.72315,	-0.391239,	0,	0,	0,	-0.0981574,	0.648162,	0.751784,	-0.0712156
1520293676684514349,	0.39334,	2.64925,	-0.60648,	0,	0,	0,	0.0158629,	0.0073143,	0.0568184,	0.998232,	0.393895,	2.72315,	-0.391239,	0,	0,	0,	-0.0981574,	0.648162,	0.751784,	-0.0712156
1520293676689367534,	0.39334,	2.64925,	-0.60648,	0,	0,	0,	0.0158629,	0.0073143,	0.0568184,	0.998232,	0.393895,	2.72315,	-0.391239,	0,	0,	0,	-0.0981574,	0.648162,	0.751784,	-0.0712156
1520293676692919338,	0.39334,	2.64925,	-0.60648,	0,	0,	0,	0.0158629,	0.0073143,	0.0568184,	0.998232,	0.393895,	2.72315,	-0.391239,	0,	0,	0,	-0.0981574,	0.648162,	0.751784,	-0.0712156
1520293676697501143,	0.39334,	2.64925,	-0.60648,	0,	0,	0,	0.0158629,	0.0073143,	0.0568184,	0.998232,	0.393895,	2.72315,	-0.391239,	0,	0,	0,	-0.0981574,	0.648162,	0.751784,	-0.0712156
1520293676703411832,	0.39334,	2.64925,	-0.60648,	0,	0,	0,	0.0158629,	0.0073143,	0.0568184,	0.998232,	0.393895,	2.72315,	-0.391239,	0,	0,	0,	-0.0981574,	0.648162,	0.751784,	-0.0712156
1520293676706418963,	0.39334,	2.64925,	-0.60648,	0,	0,	0,	0.0158629,	0.0073143,	0.0568184,	0.998232,	0.393895,	2.72315,	-0.391239,	0,	0,	0,	-0.0981574,	0.648162,	0.751784,	-0.0712156
1520293676711553103,	0.39334,	2.64925,	-0.60648,	0,	0,	0,	0.0158629,	0.0073143,	0.0568184,	0.998232,	0.393895,	2.72315,	-0.391239,	0,	0,	0,	-0.0981574,	0.648162,	0.751784,	-0.0712156
1520293676717991174,	0.393034,	2.64943,	-0.60673,	-0.0510249,	0.0299167,	-0.0416678,	0.0149688,	0.00719051,	0.0571225,	0.998229,	0.393934,	2.72303,	-0.391278,	0.00658578,	-0.0212491,	-0.00652385,	-0.0981404,	0.648085,	0.751849,	-0.0712524
