time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520354222330856054,	-0.81909,	2.49833,	-0.21751,	-0.00479154,	-0.00185038,	-0.00953625,	-0.0227609,	0.00884039,	0.125792,	0.991756,	-0.836698,	2.56852,	0.000348994,	-0.00200222,	-0.00684232,	-0.0094319,	-0.144735,	0.636301,	0.73343,	-0.190402
1520354222380252655,	-0.81922,	2.49797,	-0.217395,	-0.00264782,	-0.00747156,	0.00233811,	-0.0220537,	0.00941268,	0.125036,	0.991862,	-0.836543,	2.56845,	-0.000279132,	0.00316797,	-0.00143612,	-0.0128189,	-0.144352,	0.63686,	0.733026,	-0.190383
1520354222430015795,	-0.81939,	2.49784,	-0.217712,	-0.00346535,	-0.00255869,	-0.00646724,	-0.0203767,	0.00965071,	0.125179,	0.991878,	-0.836627,	2.56928,	-0.000818389,	-0.0017116,	0.0169925,	-0.0110053,	-0.143307,	0.636991,	0.733233,	-0.189933
1520354222476879586,	-0.819468,	2.498,	-0.218403,	-0.00169071,	0.00346255,	-0.0150282,	-0.0211119,	0.00984277,	0.124271,	0.991975,	-0.83622,	2.56873,	-0.00158257,	0.0088507,	-0.0120169,	-0.0166127,	-0.143446,	0.637246,	0.733146,	-0.18931
1520354222527293972,	-0.819681,	2.49814,	-0.21902,	-0.00426369,	0.00291616,	-0.0123236,	-0.0209745,	0.0106097,	0.123385,	0.99208,	-0.836049,	2.56918,	-0.00220568,	0.00341416,	0.00902052,	-0.012462,	-0.142315,	0.636374,	0.734041,	-0.189626
1520354222573806554,	-0.819943,	2.49856,	-0.219784,	-0.0056923,	0.00898457,	-0.0166174,	-0.0215318,	0.0107844,	0.123776,	0.992018,	-0.834988,	2.56901,	-0.00260642,	0.0230732,	-0.00362926,	-0.00871181,	-0.142559,	0.636613,	0.733878,	-0.189274
1520354222623349461,	-0.819616,	2.49826,	-0.220127,	0.00666106,	-0.00606977,	-0.00700531,	-0.0194187,	0.0120086,	0.122464,	0.99221,	-0.83441,	2.57062,	-0.00291216,	0.0117908,	0.0328592,	-0.00623962,	-0.141444,	0.63659,	0.733898,	-0.190108
1520354222670447059,	-0.819268,	2.49972,	-0.220766,	0.00740716,	0.0311039,	-0.0135943,	-0.0201006,	0.0127387,	0.12245,	0.992189,	-0.833214,	2.57175,	-0.0031899,	0.02545,	0.0239471,	-0.0059093,	-0.141245,	0.637219,	0.733091,	-0.191255
1520354222713432444,	-0.818389,	2.49871,	-0.22086,	0.0209357,	-0.024043,	-0.00222762,	-0.020118,	0.0137602,	0.122798,	0.992132,	-0.832644,	2.57324,	-0.00378554,	0.0135698,	0.03546,	-0.014182,	-0.141933,	0.63694,	0.732792,	-0.192816
1520354222760962156,	-0.818153,	2.49939,	-0.22148,	0.00501771,	0.0144488,	-0.0132043,	-0.022114,	0.0144194,	0.123017,	0.992053,	-0.832644,	2.57324,	-0.00378554,	0,	0,	0,	-0.141933,	0.63694,	0.732792,	-0.192816
1520354222804237142,	-0.817093,	2.50102,	-0.22212,	0.0246571,	0.0379352,	-0.0148776,	-0.0223967,	0.0147846,	0.123359,	0.991999,	-0.831109,	2.57261,	-0.00450638,	0.0356946,	-0.0144701,	-0.0167637,	-0.143422,	0.63561,	0.733269,	-0.194286
1520354222848519791,	-0.816445,	2.49988,	-0.222633,	0.0147144,	-0.026028,	-0.0116608,	-0.0191599,	0.0155289,	0.126739,	0.991629,	-0.829927,	2.57255,	-0.00452097,	0.0268555,	-0.00140768,	-0.000331682,	-0.142761,	0.633126,	0.7347,	-0.197448
1520354222893473637,	-0.81581,	2.50052,	-0.2232,	0.0144374,	0.0146972,	-0.0128787,	-0.0178086,	0.0165141,	0.127834,	0.991498,	-0.827322,	2.57186,	-0.00425451,	0.0592205,	-0.0157922,	0.00605603,	-0.142105,	0.632675,	0.734543,	-0.199936
1520354222937272047,	-0.814915,	2.50186,	-0.223295,	0.0208063,	0.0310249,	-0.00220856,	-0.0182577,	0.0183532,	0.128888,	0.991321,	-0.824793,	2.57236,	-0.00282644,	0.0588026,	0.0117162,	0.0332108,	-0.137967,	0.631013,	0.735659,	-0.203947
1520354222990393262,	-0.81387,	2.50063,	-0.222626,	0.0197309,	-0.023217,	0.0126208,	-0.0170811,	0.0217955,	0.130421,	0.991072,	-0.82059,	2.57201,	-0.0018095,	0.0793024,	-0.00663553,	0.0191875,	-0.134394,	0.630706,	0.735473,	-0.207913
1520354223034424900,	-0.813033,	2.50025,	-0.221898,	0.0190077,	-0.00850555,	0.0165426,	-0.0175449,	0.0259156,	0.130062,	0.991012,	-0.817136,	2.57324,	0.000456814,	0.0785011,	0.0279112,	0.0515072,	-0.127355,	0.628993,	0.736272,	-0.214598
1520354223079900241,	-0.811702,	2.49884,	-0.220528,	0.0295936,	-0.0313712,	0.030455,	-0.0168502,	0.0330987,	0.131313,	0.990645,	-0.812528,	2.57306,	0.00238363,	0.102409,	-0.00398505,	0.0428182,	-0.121246,	0.628097,	0.736171,	-0.221012
1520354223126521456,	-0.811051,	2.49862,	-0.218848,	0.0141322,	-0.00478865,	0.0365203,	-0.01879,	0.0383212,	0.130999,	0.990463,	-0.808308,	2.57423,	0.00422333,	0.0917387,	0.0255782,	0.0399934,	-0.113329,	0.625995,	0.737175,	-0.227728
