time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520354104703729921,	-1.1299,	2.34715,	-0.122014,	0.0711739,	0.0134165,	-0.0192536,	-0.01978,	0.0514823,	-0.0562158,	0.996894,	-1.11567,	2.40108,	0.0862336,	0.0653068,	0.0199622,	-0.0174175,	-0.0233767,	0.689089,	0.719009,	-0.087385
1520354104752716109,	-1.13007,	2.34765,	-0.121588,	-0.0037063,	0.0104465,	0.00886273,	-0.0196548,	0.0524399,	-0.0560788,	0.996855,	-1.11545,	2.40197,	0.0862913,	0.00453952,	0.0184658,	0.00120101,	-0.0233489,	0.689475,	0.718449,	-0.0889334
1520354104800659839,	-1.13001,	2.34793,	-0.121826,	0.00143689,	0.00595651,	-0.00506036,	-0.0203381,	0.0534175,	-0.0547318,	0.996864,	-1.11471,	2.4026,	0.0862775,	0.0157211,	0.0133437,	-0.000292998,	-0.0230037,	0.689479,	0.718217,	-0.0908494
1520354104847581957,	-1.12979,	2.34852,	-0.121533,	0.0046382,	0.0127244,	0.00636789,	-0.0216469,	0.0538291,	-0.0541521,	0.996846,	-1.11457,	2.40415,	0.0862369,	0.00307706,	0.0337623,	-0.000881921,	-0.0228645,	0.690545,	0.717009,	-0.0923208
1520354104913851858,	-1.12994,	2.34945,	-0.12145,	-0.0021755,	0.0141473,	0.00125799,	-0.0203301,	0.0557048,	-0.0533989,	0.996811,	-1.1145,	2.40515,	0.0873619,	0.00102252,	0.0152082,	0.0170455,	-0.0236034,	0.691282,	0.716217,	-0.0927628
1520354104965965628,	-1.12988,	2.34998,	-0.121345,	0.00112132,	0.0101749,	0.00202114,	-0.0229502,	0.0563629,	-0.0528905,	0.996744,	-1.11508,	2.40564,	0.0885017,	-0.011105,	0.00931419,	0.0219194,	-0.0247209,	0.691607,	0.715982,	-0.0918548
1520354105014387095,	-1.12985,	2.35045,	-0.121198,	0.000604492,	0.00979248,	0.00306465,	-0.0202868,	0.0569925,	-0.0526378,	0.99678,	-1.11532,	2.40589,	0.0894412,	-0.00494765,	0.00525455,	0.0195717,	-0.0263768,	0.692381,	0.715229,	-0.0914372
1520354105065788402,	-1.1296,	2.35018,	-0.119464,	0.00489432,	-0.0052578,	0.033987,	-0.0259185,	0.0542569,	-0.052497,	0.996809,	-1.11526,	2.40613,	0.0905666,	0.000984386,	0.00471139,	0.0220674,	-0.0275123,	0.692661,	0.715022,	-0.0905875
1520354105111175405,	-1.12939,	2.35033,	-0.118676,	0.00462024,	0.00337783,	0.017518,	-0.0245655,	0.0534645,	-0.0511754,	0.996955,	-1.11526,	2.40613,	0.0905666,	0,	0,	0,	-0.0275123,	0.692661,	0.715022,	-0.0905875
1520354105171041917,	-1.12871,	2.34997,	-0.117683,	0.0115714,	-0.00611639,	0.0168298,	-0.0264908,	0.0514129,	-0.0506455,	0.997041,	-1.11263,	2.40874,	0.0915393,	0.0445757,	0.0442489,	0.0164862,	-0.0274526,	0.695426,	0.712525,	-0.0890929
