time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520354146837169851,	-0.635801,	2.43612,	-0.184909,	-0.0116185,	0.000657424,	0.0031617,	-0.0270568,	-0.0112016,	0.0599112,	0.997774,	-0.655368,	2.49778,	0.0320754,	-0.0113081,	-0.00012364,	0.00344641,	-0.149078,	0.68122,	0.705469,	-0.126607
1520354146892705498,	-0.635792,	2.43594,	-0.184314,	0.000156658,	-0.00319507,	0.0108299,	-0.027157,	-0.0103176,	0.0600319,	0.997774,	-0.656324,	2.49827,	0.0328105,	-0.0173739,	0.0088602,	0.0133647,	-0.149811,	0.681934,	0.704501,	-0.127282
1520354146956603682,	-0.636357,	2.43594,	-0.18349,	-0.00896878,	-3.94198e-05,	0.0130814,	-0.0294498,	-0.0107645,	0.0602061,	0.997693,	-0.657708,	2.49828,	0.0339253,	-0.021976,	0.000191866,	0.0176955,	-0.150811,	0.682079,	0.704002,	-0.128085
1520354147022171450,	-0.636907,	2.43667,	-0.182701,	-0.00846208,	0.0112291,	0.0121404,	-0.0301677,	-0.0110546,	0.0612955,	0.997602,	-0.662485,	2.49793,	0.0368205,	-0.0734972,	-0.00534985,	0.0445424,	-0.153826,	0.681634,	0.703662,	-0.128733
1520354147069870695,	-0.638719,	2.43663,	-0.181008,	-0.038546,	-0.000768157,	0.0360057,	-0.0300987,	-0.0114027,	0.0631856,	0.997483,	-0.665304,	2.49692,	0.038135,	-0.0599677,	-0.0215774,	0.0279682,	-0.154261,	0.681162,	0.703989,	-0.128926
1520354147117482011,	-0.641018,	2.43466,	-0.178844,	-0.0489017,	-0.0420989,	0.046055,	-0.0291928,	-0.0125906,	0.0643594,	0.99742,	-0.668339,	2.49569,	0.0388796,	-0.0645804,	-0.0260594,	0.0158411,	-0.154822,	0.681332,	0.70347,	-0.13018
1520354147160657154,	-0.643036,	2.43632,	-0.178037,	-0.0469352,	0.0387069,	0.0187486,	-0.0296534,	-0.0128483,	0.0645588,	0.99739,	-0.668339,	2.49569,	0.0388796,	0,	0,	0,	-0.154822,	0.681332,	0.70347,	-0.13018
1520354147203281197,	-0.64685,	2.43229,	-0.176357,	-0.0908177,	-0.0959081,	0.0400068,	-0.0270938,	-0.012798,	0.0662036,	0.997356,	-0.671236,	2.49498,	0.0393971,	-0.0689843,	-0.0170717,	0.0123219,	-0.154465,	0.682247,	0.702587,	-0.13058
1520354147245778244,	-0.649437,	2.43412,	-0.176261,	-0.0615951,	0.0435131,	0.00229255,	-0.0304971,	-0.0123726,	0.0651327,	0.997334,	-0.674185,	2.49422,	0.0400167,	-0.0702099,	-0.0178855,	0.0147528,	-0.154997,	0.684063,	0.700669,	-0.130754
1520354147291494949,	-0.651317,	2.43228,	-0.175812,	-0.0417653,	-0.0407836,	0.00998385,	-0.0312258,	-0.0129341,	0.0657317,	0.997265,	-0.676075,	2.49198,	0.0412486,	-0.0419957,	-0.0498011,	0.0273754,	-0.155027,	0.682782,	0.701719,	-0.131781
1520354147336027694,	-0.654056,	2.42875,	-0.174774,	-0.0622551,	-0.0804055,	0.0235887,	-0.031859,	-0.0129204,	0.0662425,	0.997211,	-0.677818,	2.48957,	0.0433361,	-0.0396126,	-0.054795,	0.0474441,	-0.156813,	0.681236,	0.702372,	-0.134164
1520354147382540012,	-0.655979,	2.42947,	-0.173627,	-0.0418109,	0.0157081,	0.0249345,	-0.0300625,	-0.011873,	0.0681109,	0.997154,	-0.680274,	2.48783,	0.0466437,	-0.0533935,	-0.037993,	0.0719043,	-0.158676,	0.679402,	0.703323,	-0.136276
1520354147427902944,	-0.657254,	2.42864,	-0.171406,	-0.0283294,	-0.0183928,	0.0493587,	-0.0311034,	-0.0114187,	0.0712731,	0.996906,	-0.68403,	2.48651,	0.0506999,	-0.0834619,	-0.0291815,	0.090136,	-0.163792,	0.678604,	0.70227,	-0.139591
1520354147471900694,	-0.659693,	2.4255,	-0.167855,	-0.0567194,	-0.0729817,	0.0825712,	-0.0300794,	-0.0111599,	0.0748985,	0.996675,	-0.686636,	2.48363,	0.0556385,	-0.0606024,	-0.0670531,	0.114852,	-0.166893,	0.675345,	0.704241,	-0.141773
1520354147526070396,	-0.662262,	2.42733,	-0.165215,	-0.0475745,	0.0337869,	0.0488844,	-0.0287968,	-0.0120596,	0.0812011,	0.996209,	-0.689739,	2.48084,	0.061196,	-0.0574716,	-0.0515677,	0.102916,	-0.170005,	0.672633,	0.705831,	-0.143057
1520354147589274712,	-0.66407,	2.4267,	-0.160596,	-0.0287,	-0.00992325,	0.0733139,	-0.0251049,	-0.0129891,	0.0833296,	0.996121,	-0.693853,	2.47842,	0.066951,	-0.0653021,	-0.0384147,	0.0913492,	-0.175959,	0.671853,	0.704705,	-0.145063
1520354147645155614,	-0.66727,	2.42322,	-0.15502,	-0.0581778,	-0.0632675,	0.101397,	-0.0235391,	-0.0136159,	0.0886173,	0.995694,	-0.695633,	2.47481,	0.0738793,	-0.0323515,	-0.0657952,	0.125969,	-0.178006,	0.669038,	0.706746,	-0.145643
