time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520354170211078053,	-0.737699,	2.4033,	-0.412765,	-0.0023989,	0.00206256,	0.0106415,	-0.0930078,	0.00805006,	0.00957012,	0.995587,	-0.748537,	2.49601,	-0.206365,	-0.00180389,	0.00442461,	0.00878937,	-0.0959674,	0.730114,	0.667928,	-0.107683
1520354170257211282,	-0.738039,	2.40325,	-0.41228,	-0.00739674,	-0.00114991,	0.0105361,	-0.0913634,	0.00727286,	0.00910731,	0.995749,	-0.748975,	2.49523,	-0.206139,	-0.00953216,	-0.0170039,	0.00491156,	-0.0960535,	0.729692,	0.668544,	-0.106641
1520354170314603194,	-0.73836,	2.40236,	-0.412179,	-0.00562591,	-0.0156657,	0.00177624,	-0.0896912,	0.00614735,	0.00938994,	0.995906,	-0.748978,	2.49414,	-0.204841,	-5.12956e-05,	-0.0190812,	0.0227672,	-0.0958766,	0.729381,	0.669071,	-0.105615
1520354170381844350,	-0.738627,	2.40274,	-0.412052,	-0.00398099,	0.00574778,	0.0018954,	-0.0900075,	0.00654896,	0.00783434,	0.995889,	-0.748914,	2.49411,	-0.203864,	0.00095085,	-0.000540619,	0.0145927,	-0.096133,	0.729547,	0.668814,	-0.105865
1520354170434122738,	-0.738352,	2.40231,	-0.411268,	0.00527677,	-0.00831868,	0.015081,	-0.0885816,	0.00642199,	0.0074368,	0.99602,	-0.749051,	2.49427,	-0.202446,	-0.00262302,	0.00312396,	0.0272571,	-0.0965234,	0.72988,	0.6683,	-0.10646
1520354170482342332,	-0.738302,	2.40212,	-0.408962,	0.001052,	-0.00395448,	0.048044,	-0.0937206,	0.0100294,	0.00916969,	0.995506,	-0.749694,	2.49483,	-0.200799,	-0.0134115,	0.0117807,	0.0343118,	-0.0970783,	0.730264,	0.667594,	-0.107745
1520354170532425243,	-0.738575,	2.40172,	-0.407753,	-0.00546797,	-0.00800711,	0.0241768,	-0.0938081,	0.0102036,	0.0101692,	0.995486,	-0.750433,	2.4961,	-0.19915,	-0.0147618,	0.025386,	0.0329954,	-0.0982307,	0.731122,	0.66616,	-0.109736
1520354170583104300,	-0.739189,	2.40181,	-0.405675,	-0.0122842,	0.00183448,	0.041562,	-0.0946124,	0.0105168,	0.0117655,	0.995389,	-0.75131,	2.49745,	-0.196786,	-0.0175418,	0.0268761,	0.0472664,	-0.0993804,	0.731788,	0.664885,	-0.111976
1520354170635436186,	-0.739742,	2.40273,	-0.403805,	-0.0106316,	0.0176667,	0.0359693,	-0.0964025,	0.0107651,	0.0141612,	0.995183,	-0.752298,	2.49874,	-0.194234,	-0.0190073,	0.0247829,	0.0490852,	-0.101268,	0.732387,	0.663516,	-0.114456
1520354170691503300,	-0.740387,	2.40311,	-0.401077,	-0.0115168,	0.00686904,	0.0487028,	-0.0981743,	0.0112837,	0.0162136,	0.994973,	-0.75321,	2.49979,	-0.190887,	-0.0162823,	0.0188313,	0.0597672,	-0.104235,	0.732442,	0.662564,	-0.116931
1520354170737037381,	-0.741205,	2.40467,	-0.400129,	-0.0181787,	0.0346288,	0.0210751,	-0.0967173,	0.00493911,	0.016997,	0.995154,	-0.754721,	2.5004,	-0.186975,	-0.0335911,	0.0135316,	0.0869416,	-0.107777,	0.731535,	0.662647,	-0.118913
1520354170792672862,	-0.741631,	2.4068,	-0.396432,	-0.00773353,	0.0387963,	0.0672059,	-0.100284,	0.00786997,	0.0250923,	0.994611,	-0.756032,	2.49861,	-0.183184,	-0.0238325,	-0.0324785,	0.0689146,	-0.110492,	0.729061,	0.664859,	-0.119268
1520354170840426458,	-0.742134,	2.40686,	-0.393226,	-0.0107102,	0.00125407,	0.0682216,	-0.0978264,	0.00326692,	0.0243151,	0.994901,	-0.756706,	2.49511,	-0.178931,	-0.0143395,	-0.0745072,	0.0904865,	-0.110385,	0.726049,	0.668388,	-0.118006
1520354170885103659,	-0.743383,	2.40635,	-0.389683,	-0.0283939,	-0.0116463,	0.0805294,	-0.0908929,	0.00212911,	0.0265938,	0.995503,	-0.757286,	2.49141,	-0.175247,	-0.013174,	-0.0842077,	0.0837281,	-0.10809,	0.724855,	0.670422,	-0.115914
1520354170939746160,	-0.744477,	2.40354,	-0.384862,	-0.0202496,	-0.0521379,	0.0892717,	-0.0914482,	0.00642692,	0.0271319,	0.995419,	-0.759415,	2.48849,	-0.171812,	-0.0394291,	-0.0540686,	0.0636161,	-0.106988,	0.725859,	0.670013,	-0.112982
1520354170984651533,	-0.745278,	2.40181,	-0.381814,	-0.0182041,	-0.0391426,	0.0692838,	-0.0911448,	0.00623586,	0.024673,	0.995512,	-0.762612,	2.48488,	-0.167832,	-0.0726625,	-0.0818983,	0.0904653,	-0.107318,	0.72593,	0.670371,	-0.110051
1520354171029398606,	-0.747754,	2.39778,	-0.377299,	-0.0562757,	-0.0915797,	0.102602,	-0.0885164,	0.0079521,	0.016916,	0.995899,	-0.766061,	2.48055,	-0.163323,	-0.0783759,	-0.0984342,	0.102459,	-0.109161,	0.724646,	0.671903,	-0.107326
1520354171079387505,	-0.749398,	2.39492,	-0.373464,	-0.0335576,	-0.0584765,	0.0782733,	-0.0869617,	0.00600859,	0.0215427,	0.995961,	-0.769428,	2.47593,	-0.158724,	-0.0687288,	-0.0942239,	0.0938747,	-0.1108,	0.723082,	0.673715,	-0.104805
1520354171126145546,	-0.751301,	2.39336,	-0.371526,	-0.0413624,	-0.0338649,	0.0421241,	-0.0832932,	0.000229136,	0.0191649,	0.996341,	-0.772452,	2.47222,	-0.154092,	-0.0657394,	-0.0806489,	0.100679,	-0.112154,	0.722698,	0.674159,	-0.103147
1520354171172804176,	-0.754209,	2.38954,	-0.365999,	-0.0632189,	-0.0829832,	0.12015,	-0.0805529,	0.00111785,	0.0145929,	0.996643,	-0.775375,	2.46883,	-0.14946,	-0.0635402,	-0.0738697,	0.100711,	-0.114269,	0.72279,	0.673759,	-0.102795
1520354171234648407,	-0.756094,	2.3884,	-0.361967,	-0.0309063,	-0.0186888,	0.0660997,	-0.081973,	-0.000765998,	0.0138318,	0.996538,	-0.777698,	2.46508,	-0.145281,	-0.0380754,	-0.0614381,	0.0685027,	-0.116394,	0.722219,	0.673945,	-0.103203
1520354171290976316,	-0.757572,	2.38521,	-0.358388,	-0.0263956,	-0.0570404,	0.0639098,	-0.0800339,	-0.00599065,	0.0191848,	0.996589,	-0.778894,	2.4611,	-0.141326,	-0.0213668,	-0.070959,	0.0706227,	-0.117806,	0.721184,	0.674647,	-0.104242
1520354171347620971,	-0.759881,	2.38085,	-0.353677,	-0.0412177,	-0.0779131,	0.0841308,	-0.0789099,	-0.0106306,	0.0185158,	0.996653,	-0.779638,	2.4574,	-0.138243,	-0.013274,	-0.0662279,	0.0550569,	-0.118537,	0.720861,	0.674696,	-0.105322
1520354171396602034,	-0.761212,	2.37691,	-0.349987,	-0.0277443,	-0.0820953,	0.0768681,	-0.0784312,	-0.010869,	0.0209763,	0.99664,	-0.780624,	2.45305,	-0.135792,	-0.0205533,	-0.090478,	0.0510585,	-0.118312,	0.721202,	0.674518,	-0.104384
1520354171444832600,	-0.762495,	2.3715,	-0.34661,	-0.0267224,	-0.112689,	0.0703515,	-0.0783686,	-0.0106462,	0.0222461,	0.996619,	-0.781859,	2.44727,	-0.133467,	-0.0257272,	-0.120588,	0.0484481,	-0.118226,	0.720029,	0.676092,	-0.102379
1520354171493085730,	-0.762807,	2.36784,	-0.344394,	-0.00649663,	-0.0762664,	0.0461686,	-0.0775112,	-0.011207,	0.0199284,	0.996729,	-0.783673,	2.44077,	-0.131609,	-0.0377859,	-0.13522,	0.0387067,	-0.119347,	0.717546,	0.678878,	-0.100047
1520354171551289426,	-0.764416,	2.3621,	-0.342146,	-0.0277362,	-0.0988609,	0.0387685,	-0.0735296,	-0.0127011,	0.0189036,	0.997033,	-0.784873,	2.43383,	-0.129544,	-0.0206897,	-0.119725,	0.0355932,	-0.120997,	0.714255,	0.682256,	-0.098619
1520354171604843086,	-0.764969,	2.35924,	-0.341076,	-0.010444,	-0.054055,	0.02018,	-0.0706228,	-0.0143048,	0.0188131,	0.997223,	-0.785693,	2.42686,	-0.128061,	-0.0154646,	-0.131521,	0.0279863,	-0.121611,	0.711338,	0.685316,	-0.0977282
1520354171650345235,	-0.76612,	2.35348,	-0.339304,	-0.0255847,	-0.127989,	0.0393889,	-0.0643536,	-0.0160949,	0.0187028,	0.997622,	-0.785754,	2.41938,	-0.126634,	-0.00136175,	-0.166192,	0.0317056,	-0.121474,	0.708148,	0.688622,	-0.0978269
1520354171701814610,	-0.766222,	2.34986,	-0.338422,	-0.00198434,	-0.0708911,	0.0172769,	-0.0595813,	-0.0158329,	0.0185285,	0.997926,	-0.785319,	2.41332,	-0.125103,	0.00852805,	-0.118896,	0.0300232,	-0.120681,	0.705835,	0.690976,	-0.0989205
1520354171749743888,	-0.767244,	2.34388,	-0.337276,	-0.0217454,	-0.127315,	0.0243954,	-0.0569244,	-0.0142332,	0.0195036,	0.998086,	-0.785317,	2.40885,	-0.12422,	3.58856e-05,	-0.095057,	0.018784,	-0.120816,	0.706211,	0.690233,	-0.101227
1520354171800181553,	-0.766807,	2.33905,	-0.336211,	0.00873661,	-0.0965853,	0.0212959,	-0.054637,	-0.0130141,	0.019543,	0.99823,	-0.785617,	2.40466,	-0.123169,	-0.00599706,	-0.083875,	0.0210209,	-0.121515,	0.706966,	0.689158,	-0.102445
1520354171845320225,	-0.767832,	2.33476,	-0.335218,	-0.0227931,	-0.0952689,	0.0220617,	-0.0553895,	-0.0122661,	0.0213521,	0.998161,	-0.785738,	2.39985,	-0.121935,	-0.0026974,	-0.106832,	0.0274293,	-0.121359,	0.706881,	0.689279,	-0.102405
1520354171893030229,	-0.767368,	2.32988,	-0.33378,	0.00988224,	-0.103861,	0.0306117,	-0.0560429,	-0.0125181,	0.0209573,	0.99813,	-0.786149,	2.39462,	-0.120222,	-0.00872585,	-0.111293,	0.036443,	-0.123044,	0.705447,	0.690422,	-0.102578
1520354171943735477,	-0.768136,	2.32501,	-0.332664,	-0.015352,	-0.0974788,	0.0223019,	-0.0552128,	-0.0126867,	0.0223886,	0.998143,	-0.786685,	2.38929,	-0.118148,	-0.0107253,	-0.106615,	0.0414822,	-0.124755,	0.704103,	0.691734,	-0.100891
1520354171991479408,	-0.767489,	2.32085,	-0.331138,	0.0137662,	-0.0884133,	0.0324692,	-0.0532955,	-0.0136537,	0.0219817,	0.998243,	-0.787042,	2.38429,	-0.116558,	-0.00758984,	-0.106269,	0.0338175,	-0.126284,	0.703907,	0.69172,	-0.100454
1520354172050113656,	-0.767435,	2.31689,	-0.329278,	0.000917576,	-0.0683355,	0.032072,	-0.0509525,	-0.0160733,	0.0231432,	0.998303,	-0.786521,	2.37982,	-0.115078,	0.00897073,	-0.0771678,	0.0255176,	-0.126799,	0.70443,	0.691037,	-0.100836
1520354172096315905,	-0.766562,	2.31255,	-0.327857,	0.0189805,	-0.0943764,	0.0309023,	-0.052613,	-0.0168894,	0.0227316,	0.998213,	-0.785522,	2.37633,	-0.113916,	0.0217332,	-0.0757959,	0.0252695,	-0.126718,	0.70551,	0.689753,	-0.102174
1520354172153822414,	-0.766302,	2.30805,	-0.326334,	0.00456063,	-0.0788598,	0.026708,	-0.0540343,	-0.0167554,	0.0250739,	0.998084,	-0.784952,	2.37286,	-0.112462,	0.00998304,	-0.0608563,	0.0255043,	-0.127745,	0.706845,	0.687851,	-0.104462
1520354172204754847,	-0.765334,	2.30345,	-0.324902,	0.0193634,	-0.0919715,	0.028656,	-0.0567088,	-0.0161973,	0.0261556,	0.997917,	-0.784346,	2.36875,	-0.11134,	0.012125,	-0.0821982,	0.022454,	-0.128493,	0.707391,	0.686931,	-0.105894
1520354172251327342,	-0.765315,	2.29901,	-0.323173,	0.00041887,	-0.0966046,	0.0375839,	-0.0576575,	-0.01592,	0.028326,	0.997808,	-0.78338,	2.36301,	-0.109961,	0.0210095,	-0.124717,	0.0299669,	-0.1282,	0.70745,	0.686769,	-0.106902
1520354172303669517,	-0.764041,	2.29383,	-0.321892,	0.0244897,	-0.0994993,	0.0246306,	-0.0588748,	-0.0151947,	0.0292094,	0.997722,	-0.782219,	2.35645,	-0.108467,	0.0223179,	-0.126283,	0.0287385,	-0.128121,	0.706425,	0.687696,	-0.107809
1520354172351977811,	-0.764076,	2.28815,	-0.320493,	-0.00071137,	-0.118493,	0.029142,	-0.0586425,	-0.0143496,	0.0311383,	0.99769,	-0.781015,	2.34978,	-0.106899,	0.0250987,	-0.138904,	0.032667,	-0.127798,	0.706036,	0.688042,	-0.108531
1520354172402035443,	-0.762704,	2.28163,	-0.3191,	0.0274283,	-0.13031,	0.0278672,	-0.0577034,	-0.013601,	0.0310769,	0.997757,	-0.779797,	2.34275,	-0.105182,	0.0243495,	-0.140655,	0.0343395,	-0.126933,	0.705838,	0.688369,	-0.108762
1520354172454395552,	-0.76237,	2.27626,	-0.31776,	0.00641613,	-0.103398,	0.0257659,	-0.0575298,	-0.0127131,	0.0324425,	0.997736,	-0.778567,	2.336,	-0.103654,	0.0236549,	-0.129853,	0.0293756,	-0.126712,	0.706341,	0.687852,	-0.109027
1520354172504561533,	-0.760773,	2.2684,	-0.315941,	0.0319534,	-0.157144,	0.0363747,	-0.0578941,	-0.0121071,	0.0308308,	0.997773,	-0.777342,	2.32772,	-0.101879,	0.0244981,	-0.165526,	0.0355092,	-0.126301,	0.705609,	0.688756,	-0.10853
1520354172553506396,	-0.760428,	2.26213,	-0.314585,	0.00718309,	-0.130552,	0.0282593,	-0.0572075,	-0.0118194,	0.0313953,	0.997799,	-0.776176,	2.31778,	-0.100004,	0.0242834,	-0.207131,	0.039058,	-0.126021,	0.703173,	0.691464,	-0.107439
1520354172602628154,	-0.758505,	2.25386,	-0.312983,	0.0392424,	-0.168826,	0.0326837,	-0.0552762,	-0.0119088,	0.0300172,	0.997949,	-0.775105,	2.30832,	-0.0981831,	0.0218718,	-0.19297,	0.0371606,	-0.125133,	0.701055,	0.693986,	-0.10605
1520354172651510707,	-0.758652,	2.24635,	-0.311553,	-0.00306598,	-0.156385,	0.0297914,	-0.0512614,	-0.0117079,	0.0303685,	0.998155,	-0.77439,	2.30003,	-0.0964777,	0.014885,	-0.17269,	0.0355281,	-0.123485,	0.700553,	0.694998,	-0.104665
1520354172695855203,	-0.757145,	2.23775,	-0.309822,	0.0342615,	-0.195609,	0.0393545,	-0.0482152,	-0.011737,	0.0267897,	0.998409,	-0.774139,	2.29202,	-0.0944525,	0.00570026,	-0.182058,	0.0460288,	-0.12156,	0.70134,	0.694812,	-0.102871
1520354172741560944,	-0.757808,	2.2304,	-0.308124,	-0.014732,	-0.163248,	0.0377241,	-0.0493457,	-0.0112252,	0.0269368,	0.998355,	-0.774722,	2.2843,	-0.0921781,	-0.012951,	-0.171502,	0.0505407,	-0.120105,	0.702845,	0.693808,	-0.101063
1520354172797790442,	-0.757054,	2.22252,	-0.306197,	0.0134665,	-0.140736,	0.034413,	-0.0488634,	-0.0115248,	0.0223788,	0.998488,	-0.775379,	2.27556,	-0.0898202,	-0.0117344,	-0.156176,	0.042107,	-0.118968,	0.703259,	0.693861,	-0.099149
1520354172852259064,	-0.758472,	2.21385,	-0.304014,	-0.0262728,	-0.16057,	0.0404194,	-0.049504,	-0.0119949,	0.0209621,	0.998482,	-0.775907,	2.26487,	-0.0870149,	-0.00977488,	-0.197995,	0.0519493,	-0.117729,	0.701959,	0.695635,	-0.0973929
1520354172900258559,	-0.758242,	2.20467,	-0.301352,	0.00491086,	-0.195251,	0.0566466,	-0.049095,	-0.0126749,	0.0172439,	0.998565,	-0.776578,	2.2543,	-0.0844817,	-0.0142818,	-0.22472,	0.0538978,	-0.116873,	0.701082,	0.696839,	-0.0961269
1520354172947959886,	-0.760082,	2.19466,	-0.29828,	-0.0391681,	-0.213022,	0.0653607,	-0.0470381,	-0.0125839,	0.0173385,	0.998663,	-0.776915,	2.24391,	-0.0820327,	-0.00716723,	-0.221126,	0.0521064,	-0.116285,	0.70138,	0.696716,	-0.0955502
1520354172992973201,	-0.759448,	2.18512,	-0.296055,	0.0141009,	-0.212014,	0.0494531,	-0.0470455,	-0.0127158,	0.0141906,	0.998711,	-0.776786,	2.23394,	-0.079904,	0.00288019,	-0.22153,	0.0473037,	-0.115413,	0.702586,	0.695629,	-0.0956734
1520354173042323085,	-0.761088,	2.17475,	-0.294065,	-0.033474,	-0.211621,	0.0406,	-0.0471807,	-0.0123452,	0.0155715,	0.998689,	-0.776743,	2.2242,	-0.077676,	0.000876446,	-0.198883,	0.0454693,	-0.114308,	0.704259,	0.694082,	-0.0959304
1520354173089287007,	-0.759772,	2.16437,	-0.291865,	0.0286155,	-0.22554,	0.0478198,	-0.048993,	-0.0121577,	0.0128091,	0.998643,	-0.776576,	2.21408,	-0.0756147,	0.00363281,	-0.220001,	0.044812,	-0.113463,	0.705283,	0.693211,	-0.0957062
1520354173140164345,	-0.761206,	2.15362,	-0.28931,	-0.0286764,	-0.215111,	0.0511055,	-0.0506085,	-0.0112579,	0.0143596,	0.998552,	-0.776078,	2.20303,	-0.0736075,	0.0099488,	-0.220869,	0.0401434,	-0.112389,	0.705037,	0.693765,	-0.0947741
1520354173192144237,	-0.761171,	2.14117,	-0.286807,	0.000677344,	-0.244092,	0.0490858,	-0.051421,	-0.0110426,	0.0129396,	0.998532,	-0.775545,	2.1915,	-0.0716723,	0.0104638,	-0.226178,	0.0379452,	-0.111887,	0.703926,	0.695114,	-0.0937396
1520354173235797583,	-0.761028,	2.13249,	-0.285316,	0.00332901,	-0.201813,	0.0346636,	-0.0500609,	-0.0109366,	0.011874,	0.998616,	-0.775516,	2.18003,	-0.0700594,	0.000657704,	-0.266816,	0.0375097,	-0.111778,	0.702829,	0.696306,	-0.0932507
1520354173282323444,	-0.759458,	2.12179,	-0.283361,	0.0341271,	-0.232677,	0.0425132,	-0.0485119,	-0.0108814,	0.00935371,	0.99872,	-0.774948,	2.16917,	-0.0687711,	0.0123602,	-0.235966,	0.0280056,	-0.111432,	0.702525,	0.696597,	-0.0937766
1520354173335481233,	-0.759329,	2.11462,	-0.282513,	0.00244384,	-0.135302,	0.0159994,	-0.0470839,	-0.0110907,	0.00851019,	0.998793,	-0.77438,	2.15903,	-0.067705,	0.0107139,	-0.191388,	0.0201156,	-0.111501,	0.703138,	0.695819,	-0.0948737
