time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520354199224635089,	-0.862217,	2.46364,	-0.194545,	-0.000495449,	0.0104463,	0.00334908,	-0.0204067,	0.00819629,	0.044954,	0.998747,	-0.871255,	2.51956,	0.0134678,	0.00126773,	0.0117498,	0.00412907,	-0.114886,	0.671151,	0.719945,	-0.134301
1520354199229794843,	-0.862217,	2.46364,	-0.194545,	0,	0,	0,	-0.0204067,	0.00819629,	0.044954,	0.998747,	-0.871255,	2.51956,	0.0134678,	0,	0,	0,	-0.114886,	0.671151,	0.719945,	-0.134301
1520354199233615046,	-0.862217,	2.46364,	-0.194545,	0,	0,	0,	-0.0204067,	0.00819629,	0.044954,	0.998747,	-0.871255,	2.51956,	0.0134678,	0,	0,	0,	-0.114886,	0.671151,	0.719945,	-0.134301
1520354199238223008,	-0.862217,	2.46364,	-0.194545,	0,	0,	0,	-0.0204067,	0.00819629,	0.044954,	0.998747,	-0.871255,	2.51956,	0.0134678,	0,	0,	0,	-0.114886,	0.671151,	0.719945,	-0.134301
1520354199244676068,	-0.862217,	2.46364,	-0.194545,	0,	0,	0,	-0.0204067,	0.00819629,	0.044954,	0.998747,	-0.871255,	2.51956,	0.0134678,	0,	0,	0,	-0.114886,	0.671151,	0.719945,	-0.134301
1520354199248255998,	-0.862217,	2.46364,	-0.194545,	0,	0,	0,	-0.0204067,	0.00819629,	0.044954,	0.998747,	-0.871255,	2.51956,	0.0134678,	0,	0,	0,	-0.114886,	0.671151,	0.719945,	-0.134301
1520354199254484920,	-0.862217,	2.46364,	-0.194545,	0,	0,	0,	-0.0204067,	0.00819629,	0.044954,	0.998747,	-0.871255,	2.51956,	0.0134678,	0,	0,	0,	-0.114886,	0.671151,	0.719945,	-0.134301
1520354199261117340,	-0.862217,	2.46364,	-0.194545,	0,	0,	0,	-0.0204067,	0.00819629,	0.044954,	0.998747,	-0.871255,	2.51956,	0.0134678,	0,	0,	0,	-0.114886,	0.671151,	0.719945,	-0.134301
1520354199264051039,	-0.862037,	2.46375,	-0.194219,	0.0900203,	0.0514761,	0.162846,	-0.021396,	0.00898365,	0.045805,	0.998681,	-0.870884,	2.5204,	0.0133405,	0.185532,	0.416578,	-0.0636512,	-0.114595,	0.672095,	0.718968,	-0.135057
1520354199268282221,	-0.862032,	2.46373,	-0.194218,	0.00143893,	-0.00336651,	0.000319559,	-0.0213815,	0.00898566,	0.0457955,	0.998682,	-0.870884,	2.5204,	0.0133405,	0,	0,	0,	-0.114595,	0.672095,	0.718968,	-0.135057
1520354199272408880,	-0.862032,	2.46373,	-0.194218,	0,	0,	0,	-0.0213815,	0.00898566,	0.0457955,	0.998682,	-0.870884,	2.5204,	0.0133405,	0,	0,	0,	-0.114595,	0.672095,	0.718968,	-0.135057
1520354199279561252,	-0.862032,	2.46373,	-0.194218,	0,	0,	0,	-0.0213815,	0.00898566,	0.0457955,	0.998682,	-0.870884,	2.5204,	0.0133405,	0,	0,	0,	-0.114595,	0.672095,	0.718968,	-0.135057
1520354199281485917,	-0.862032,	2.46373,	-0.194218,	0,	0,	0,	-0.0213815,	0.00898566,	0.0457955,	0.998682,	-0.870884,	2.5204,	0.0133405,	0,	0,	0,	-0.114595,	0.672095,	0.718968,	-0.135057
1520354199287365295,	-0.862032,	2.46373,	-0.194218,	0,	0,	0,	-0.0213815,	0.00898566,	0.0457955,	0.998682,	-0.870884,	2.5204,	0.0133405,	0,	0,	0,	-0.114595,	0.672095,	0.718968,	-0.135057
1520354199293120172,	-0.862032,	2.46373,	-0.194218,	0,	0,	0,	-0.0213815,	0.00898566,	0.0457955,	0.998682,	-0.870884,	2.5204,	0.0133405,	0,	0,	0,	-0.114595,	0.672095,	0.718968,	-0.135057
1520354199299971610,	-0.862032,	2.46373,	-0.194218,	0,	0,	0,	-0.0213815,	0.00898566,	0.0457955,	0.998682,	-0.870884,	2.5204,	0.0133405,	0,	0,	0,	-0.114595,	0.672095,	0.718968,	-0.135057
1520354199302394250,	-0.862032,	2.46373,	-0.194218,	0,	0,	0,	-0.0213815,	0.00898566,	0.0457955,	0.998682,	-0.870884,	2.5204,	0.0133405,	0,	0,	0,	-0.114595,	0.672095,	0.718968,	-0.135057
1520354199308191997,	-0.862032,	2.46373,	-0.194218,	0,	0,	0,	-0.0213815,	0.00898566,	0.0457955,	0.998682,	-0.870884,	2.5204,	0.0133405,	0,	0,	0,	-0.114595,	0.672095,	0.718968,	-0.135057
1520354199313335591,	-0.862034,	2.46382,	-0.193948,	-0.000552734,	0.0165514,	0.0540506,	-0.0217212,	0.00959151,	0.045454,	0.998684,	-0.870962,	2.52181,	0.013733,	-0.0157159,	0.282598,	0.0784866,	-0.113358,	0.671971,	0.719232,	-0.135314
1520354199317504554,	-0.862034,	2.46382,	-0.193948,	0,	0,	0,	-0.0217212,	0.00959151,	0.045454,	0.998684,	-0.870962,	2.52181,	0.013733,	0,	0,	0,	-0.113358,	0.671971,	0.719232,	-0.135314
1520354199322523329,	-0.862034,	2.46382,	-0.193948,	0,	0,	0,	-0.0217212,	0.00959151,	0.045454,	0.998684,	-0.870962,	2.52181,	0.013733,	0,	0,	0,	-0.113358,	0.671971,	0.719232,	-0.135314
1520354199328938776,	-0.862034,	2.46382,	-0.193948,	0,	0,	0,	-0.0217212,	0.00959151,	0.045454,	0.998684,	-0.870962,	2.52181,	0.013733,	0,	0,	0,	-0.113358,	0.671971,	0.719232,	-0.135314
1520354199335727322,	-0.862034,	2.46382,	-0.193948,	0,	0,	0,	-0.0217212,	0.00959151,	0.045454,	0.998684,	-0.870962,	2.52181,	0.013733,	0,	0,	0,	-0.113358,	0.671971,	0.719232,	-0.135314
1520354199338296286,	-0.862034,	2.46382,	-0.193948,	0,	0,	0,	-0.0217212,	0.00959151,	0.045454,	0.998684,	-0.870962,	2.52181,	0.013733,	0,	0,	0,	-0.113358,	0.671971,	0.719232,	-0.135314
1520354199343390489,	-0.862034,	2.46382,	-0.193948,	0,	0,	0,	-0.0217212,	0.00959151,	0.045454,	0.998684,	-0.870962,	2.52181,	0.013733,	0,	0,	0,	-0.113358,	0.671971,	0.719232,	-0.135314
1520354199351577206,	-0.862034,	2.46382,	-0.193948,	0,	0,	0,	-0.0217212,	0.00959151,	0.045454,	0.998684,	-0.870962,	2.52181,	0.013733,	0,	0,	0,	-0.113358,	0.671971,	0.719232,	-0.135314
1520354199354720263,	-0.862034,	2.46382,	-0.193948,	0,	0,	0,	-0.0217212,	0.00959151,	0.045454,	0.998684,	-0.870962,	2.52181,	0.013733,	0,	0,	0,	-0.113358,	0.671971,	0.719232,	-0.135314
1520354199357083141,	-0.862034,	2.46382,	-0.193948,	0,	0,	0,	-0.0217212,	0.00959151,	0.045454,	0.998684,	-0.870962,	2.52181,	0.013733,	0,	0,	0,	-0.113358,	0.671971,	0.719232,	-0.135314
1520354199366299859,	-0.862003,	2.46452,	-0.193816,	0.0034694,	0.0778112,	0.0146405,	-0.0229332,	0.00978592,	0.0448654,	0.998682,	-0.870543,	2.52266,	0.0140376,	0.0465866,	0.0939632,	0.0338442,	-0.113236,	0.672166,	0.719098,	-0.13516
1520354199368589363,	-0.862066,	2.4647,	-0.193834,	-0.0314104,	0.090831,	-0.00920226,	-0.0228657,	0.00979989,	0.0449685,	0.998679,	-0.870543,	2.52266,	0.0140376,	0,	0,	0,	-0.113236,	0.672166,	0.719098,	-0.13516
1520354199372700847,	-0.862066,	2.4647,	-0.193834,	0,	0,	0,	-0.0228657,	0.00979989,	0.0449685,	0.998679,	-0.870543,	2.52266,	0.0140376,	0,	0,	0,	-0.113236,	0.672166,	0.719098,	-0.13516
1520354199381209212,	-0.862066,	2.4647,	-0.193834,	0,	0,	0,	-0.0228657,	0.00979989,	0.0449685,	0.998679,	-0.870543,	2.52266,	0.0140376,	0,	0,	0,	-0.113236,	0.672166,	0.719098,	-0.13516
1520354199385311518,	-0.862066,	2.4647,	-0.193834,	0,	0,	0,	-0.0228657,	0.00979989,	0.0449685,	0.998679,	-0.870543,	2.52266,	0.0140376,	0,	0,	0,	-0.113236,	0.672166,	0.719098,	-0.13516
1520354199388256326,	-0.862066,	2.4647,	-0.193834,	0,	0,	0,	-0.0228657,	0.00979989,	0.0449685,	0.998679,	-0.870543,	2.52266,	0.0140376,	0,	0,	0,	-0.113236,	0.672166,	0.719098,	-0.13516
1520354199393205104,	-0.862066,	2.4647,	-0.193834,	0,	0,	0,	-0.0228657,	0.00979989,	0.0449685,	0.998679,	-0.870543,	2.52266,	0.0140376,	0,	0,	0,	-0.113236,	0.672166,	0.719098,	-0.13516
1520354199399855638,	-0.862066,	2.4647,	-0.193834,	0,	0,	0,	-0.0228657,	0.00979989,	0.0449685,	0.998679,	-0.870543,	2.52266,	0.0140376,	0,	0,	0,	-0.113236,	0.672166,	0.719098,	-0.13516
1520354199403356521,	-0.862066,	2.4647,	-0.193834,	0,	0,	0,	-0.0228657,	0.00979989,	0.0449685,	0.998679,	-0.870543,	2.52266,	0.0140376,	0,	0,	0,	-0.113236,	0.672166,	0.719098,	-0.13516
1520354199408734455,	-0.862066,	2.4647,	-0.193834,	0,	0,	0,	-0.0228657,	0.00979989,	0.0449685,	0.998679,	-0.870543,	2.52266,	0.0140376,	0,	0,	0,	-0.113236,	0.672166,	0.719098,	-0.13516
1520354199414384218,	-0.861841,	2.46562,	-0.193517,	0.0450574,	0.184503,	0.0635035,	-0.0222052,	0.0096316,	0.0450341,	0.998692,	-0.870579,	2.52409,	0.0145514,	-0.00726387,	0.286117,	0.102759,	-0.112874,	0.671324,	0.719914,	-0.135307
1520354199418013019,	-0.861777,	2.46582,	-0.193534,	0.0213832,	0.0661443,	-0.00570842,	-0.0225309,	0.00966241,	0.0451251,	0.99868,	-0.870579,	2.52409,	0.0145514,	0,	0,	0,	-0.112874,	0.671324,	0.719914,	-0.135307
1520354199422886051,	-0.861777,	2.46582,	-0.193534,	0,	0,	0,	-0.0225309,	0.00966241,	0.0451251,	0.99868,	-0.870579,	2.52409,	0.0145514,	0,	0,	0,	-0.112874,	0.671324,	0.719914,	-0.135307
1520354199429473366,	-0.861777,	2.46582,	-0.193534,	0,	0,	0,	-0.0225309,	0.00966241,	0.0451251,	0.99868,	-0.870579,	2.52409,	0.0145514,	0,	0,	0,	-0.112874,	0.671324,	0.719914,	-0.135307
1520354199433265068,	-0.861777,	2.46582,	-0.193534,	0,	0,	0,	-0.0225309,	0.00966241,	0.0451251,	0.99868,	-0.870579,	2.52409,	0.0145514,	0,	0,	0,	-0.112874,	0.671324,	0.719914,	-0.135307
1520354199438216765,	-0.861777,	2.46582,	-0.193534,	0,	0,	0,	-0.0225309,	0.00966241,	0.0451251,	0.99868,	-0.870579,	2.52409,	0.0145514,	0,	0,	0,	-0.112874,	0.671324,	0.719914,	-0.135307
1520354199443194330,	-0.861777,	2.46582,	-0.193534,	0,	0,	0,	-0.0225309,	0.00966241,	0.0451251,	0.99868,	-0.870579,	2.52409,	0.0145514,	0,	0,	0,	-0.112874,	0.671324,	0.719914,	-0.135307
1520354199448445674,	-0.861777,	2.46582,	-0.193534,	0,	0,	0,	-0.0225309,	0.00966241,	0.0451251,	0.99868,	-0.870579,	2.52409,	0.0145514,	0,	0,	0,	-0.112874,	0.671324,	0.719914,	-0.135307
1520354199452328747,	-0.861777,	2.46582,	-0.193534,	0,	0,	0,	-0.0225309,	0.00966241,	0.0451251,	0.99868,	-0.870579,	2.52409,	0.0145514,	0,	0,	0,	-0.112874,	0.671324,	0.719914,	-0.135307
1520354199458103359,	-0.861777,	2.46582,	-0.193534,	0,	0,	0,	-0.0225309,	0.00966241,	0.0451251,	0.99868,	-0.870579,	2.52409,	0.0145514,	0,	0,	0,	-0.112874,	0.671324,	0.719914,	-0.135307
1520354199463989731,	-0.861477,	2.4667,	-0.192966,	0.0599989,	0.175764,	0.113618,	-0.0231782,	0.00983247,	0.0450908,	0.998666,	-0.869533,	2.52514,	0.0149043,	0.209308,	0.2118,	0.0705812,	-0.112571,	0.671377,	0.719882,	-0.135464
1520354199468293801,	-0.861477,	2.4667,	-0.192966,	0,	0,	0,	-0.0231782,	0.00983247,	0.0450908,	0.998666,	-0.869533,	2.52514,	0.0149043,	0,	0,	0,	-0.112571,	0.671377,	0.719882,	-0.135464
1520354199473025985,	-0.861477,	2.4667,	-0.192966,	0,	0,	0,	-0.0231782,	0.00983247,	0.0450908,	0.998666,	-0.869533,	2.52514,	0.0149043,	0,	0,	0,	-0.112571,	0.671377,	0.719882,	-0.135464
1520354199478901135,	-0.861477,	2.4667,	-0.192966,	0,	0,	0,	-0.0231782,	0.00983247,	0.0450908,	0.998666,	-0.869533,	2.52514,	0.0149043,	0,	0,	0,	-0.112571,	0.671377,	0.719882,	-0.135464
1520354199483407728,	-0.861477,	2.4667,	-0.192966,	0,	0,	0,	-0.0231782,	0.00983247,	0.0450908,	0.998666,	-0.869533,	2.52514,	0.0149043,	0,	0,	0,	-0.112571,	0.671377,	0.719882,	-0.135464
1520354199488640260,	-0.861477,	2.4667,	-0.192966,	0,	0,	0,	-0.0231782,	0.00983247,	0.0450908,	0.998666,	-0.869533,	2.52514,	0.0149043,	0,	0,	0,	-0.112571,	0.671377,	0.719882,	-0.135464
1520354199493553176,	-0.861477,	2.4667,	-0.192966,	0,	0,	0,	-0.0231782,	0.00983247,	0.0450908,	0.998666,	-0.869533,	2.52514,	0.0149043,	0,	0,	0,	-0.112571,	0.671377,	0.719882,	-0.135464
1520354199499540718,	-0.861477,	2.4667,	-0.192966,	0,	0,	0,	-0.0231782,	0.00983247,	0.0450908,	0.998666,	-0.869533,	2.52514,	0.0149043,	0,	0,	0,	-0.112571,	0.671377,	0.719882,	-0.135464
1520354199503288537,	-0.861477,	2.4667,	-0.192966,	0,	0,	0,	-0.0231782,	0.00983247,	0.0450908,	0.998666,	-0.869533,	2.52514,	0.0149043,	0,	0,	0,	-0.112571,	0.671377,	0.719882,	-0.135464
1520354199508257326,	-0.861477,	2.4667,	-0.192966,	0,	0,	0,	-0.0231782,	0.00983247,	0.0450908,	0.998666,	-0.869533,	2.52514,	0.0149043,	0,	0,	0,	-0.112571,	0.671377,	0.719882,	-0.135464
1520354199513177795,	-0.860897,	2.46845,	-0.192762,	0.144995,	0.438354,	0.0510225,	-0.0218807,	0.011063,	0.0437943,	0.99874,	-0.868399,	2.52636,	0.0154934,	0.283378,	0.304856,	0.147287,	-0.110482,	0.670259,	0.721207,	-0.135673
1520354199518482066,	-0.860897,	2.46845,	-0.192762,	0,	0,	0,	-0.0218807,	0.011063,	0.0437943,	0.99874,	-0.868399,	2.52636,	0.0154934,	0,	0,	0,	-0.110482,	0.670259,	0.721207,	-0.135673
1520354199526083789,	-0.860897,	2.46845,	-0.192762,	0,	0,	0,	-0.0218807,	0.011063,	0.0437943,	0.99874,	-0.868399,	2.52636,	0.0154934,	0,	0,	0,	-0.110482,	0.670259,	0.721207,	-0.135673
1520354199530432638,	-0.860897,	2.46845,	-0.192762,	0,	0,	0,	-0.0218807,	0.011063,	0.0437943,	0.99874,	-0.868399,	2.52636,	0.0154934,	0,	0,	0,	-0.110482,	0.670259,	0.721207,	-0.135673
1520354199532122012,	-0.860897,	2.46845,	-0.192762,	0,	0,	0,	-0.0218807,	0.011063,	0.0437943,	0.99874,	-0.868399,	2.52636,	0.0154934,	0,	0,	0,	-0.110482,	0.670259,	0.721207,	-0.135673
1520354199539837816,	-0.860897,	2.46845,	-0.192762,	0,	0,	0,	-0.0218807,	0.011063,	0.0437943,	0.99874,	-0.868399,	2.52636,	0.0154934,	0,	0,	0,	-0.110482,	0.670259,	0.721207,	-0.135673
1520354199544603824,	-0.860897,	2.46845,	-0.192762,	0,	0,	0,	-0.0218807,	0.011063,	0.0437943,	0.99874,	-0.868399,	2.52636,	0.0154934,	0,	0,	0,	-0.110482,	0.670259,	0.721207,	-0.135673
1520354199549491791,	-0.860897,	2.46845,	-0.192762,	0,	0,	0,	-0.0218807,	0.011063,	0.0437943,	0.99874,	-0.868399,	2.52636,	0.0154934,	0,	0,	0,	-0.110482,	0.670259,	0.721207,	-0.135673
1520354199554495671,	-0.860897,	2.46845,	-0.192762,	0,	0,	0,	-0.0218807,	0.011063,	0.0437943,	0.99874,	-0.868399,	2.52636,	0.0154934,	0,	0,	0,	-0.110482,	0.670259,	0.721207,	-0.135673
1520354199559987050,	-0.860897,	2.46845,	-0.192762,	0,	0,	0,	-0.0218807,	0.011063,	0.0437943,	0.99874,	-0.868399,	2.52636,	0.0154934,	0,	0,	0,	-0.110482,	0.670259,	0.721207,	-0.135673
1520354199565843820,	-0.86025,	2.46949,	-0.191616,	0.129282,	0.207007,	0.229269,	-0.0217658,	0.0126872,	0.0437932,	0.998723,	-0.86643,	2.52789,	0.0153625,	0.393805,	0.305475,	-0.0261738,	-0.10875,	0.670636,	0.721046,	-0.136065
1520354199572306261,	-0.86025,	2.46949,	-0.191616,	0,	0,	0,	-0.0217658,	0.0126872,	0.0437932,	0.998723,	-0.86643,	2.52789,	0.0153625,	0,	0,	0,	-0.10875,	0.670636,	0.721046,	-0.136065
1520354199577677782,	-0.86025,	2.46949,	-0.191616,	0,	0,	0,	-0.0217658,	0.0126872,	0.0437932,	0.998723,	-0.86643,	2.52789,	0.0153625,	0,	0,	0,	-0.10875,	0.670636,	0.721046,	-0.136065
1520354199580669936,	-0.86025,	2.46949,	-0.191616,	0,	0,	0,	-0.0217658,	0.0126872,	0.0437932,	0.998723,	-0.86643,	2.52789,	0.0153625,	0,	0,	0,	-0.10875,	0.670636,	0.721046,	-0.136065
1520354199581985901,	-0.86025,	2.46949,	-0.191616,	0,	0,	0,	-0.0217658,	0.0126872,	0.0437932,	0.998723,	-0.86643,	2.52789,	0.0153625,	0,	0,	0,	-0.10875,	0.670636,	0.721046,	-0.136065
1520354199588132307,	-0.86025,	2.46949,	-0.191616,	0,	0,	0,	-0.0217658,	0.0126872,	0.0437932,	0.998723,	-0.86643,	2.52789,	0.0153625,	0,	0,	0,	-0.10875,	0.670636,	0.721046,	-0.136065
1520354199593598200,	-0.86025,	2.46949,	-0.191616,	0,	0,	0,	-0.0217658,	0.0126872,	0.0437932,	0.998723,	-0.86643,	2.52789,	0.0153625,	0,	0,	0,	-0.10875,	0.670636,	0.721046,	-0.136065
1520354199598369778,	-0.86025,	2.46949,	-0.191616,	0,	0,	0,	-0.0217658,	0.0126872,	0.0437932,	0.998723,	-0.86643,	2.52789,	0.0153625,	0,	0,	0,	-0.10875,	0.670636,	0.721046,	-0.136065
1520354199603784656,	-0.86025,	2.46949,	-0.191616,	0,	0,	0,	-0.0217658,	0.0126872,	0.0437932,	0.998723,	-0.86643,	2.52789,	0.0153625,	0,	0,	0,	-0.10875,	0.670636,	0.721046,	-0.136065
1520354199608958863,	-0.86025,	2.46949,	-0.191616,	0,	0,	0,	-0.0217658,	0.0126872,	0.0437932,	0.998723,	-0.86643,	2.52789,	0.0153625,	0,	0,	0,	-0.10875,	0.670636,	0.721046,	-0.136065
1520354199613429685,	-0.859216,	2.47032,	-0.192486,	0.25861,	0.208573,	-0.217528,	-0.0220455,	0.0142651,	0.0426541,	0.998745,	-0.865063,	2.5304,	0.0152884,	0.341861,	0.625924,	-0.0185424,	-0.107608,	0.670382,	0.721239,	-0.137199
1520354199618200940,	-0.858967,	2.47109,	-0.192559,	0.0621159,	0.191446,	-0.0183712,	-0.0225259,	0.0142923,	0.0425008,	0.99874,	-0.865063,	2.5304,	0.0152884,	0,	0,	0,	-0.107608,	0.670382,	0.721239,	-0.137199
1520354199624534715,	-0.858967,	2.47109,	-0.192559,	0,	0,	0,	-0.0225259,	0.0142923,	0.0425008,	0.99874,	-0.865063,	2.5304,	0.0152884,	0,	0,	0,	-0.107608,	0.670382,	0.721239,	-0.137199
1520354199629431750,	-0.858967,	2.47109,	-0.192559,	0,	0,	0,	-0.0225259,	0.0142923,	0.0425008,	0.99874,	-0.865063,	2.5304,	0.0152884,	0,	0,	0,	-0.107608,	0.670382,	0.721239,	-0.137199
1520354199633191966,	-0.858967,	2.47109,	-0.192559,	0,	0,	0,	-0.0225259,	0.0142923,	0.0425008,	0.99874,	-0.865063,	2.5304,	0.0152884,	0,	0,	0,	-0.107608,	0.670382,	0.721239,	-0.137199
1520354199639518798,	-0.858967,	2.47109,	-0.192559,	0,	0,	0,	-0.0225259,	0.0142923,	0.0425008,	0.99874,	-0.865063,	2.5304,	0.0152884,	0,	0,	0,	-0.107608,	0.670382,	0.721239,	-0.137199
1520354199644368690,	-0.858967,	2.47109,	-0.192559,	0,	0,	0,	-0.0225259,	0.0142923,	0.0425008,	0.99874,	-0.865063,	2.5304,	0.0152884,	0,	0,	0,	-0.107608,	0.670382,	0.721239,	-0.137199
1520354199648893906,	-0.858967,	2.47109,	-0.192559,	0,	0,	0,	-0.0225259,	0.0142923,	0.0425008,	0.99874,	-0.865063,	2.5304,	0.0152884,	0,	0,	0,	-0.107608,	0.670382,	0.721239,	-0.137199
1520354199654129597,	-0.858967,	2.47109,	-0.192559,	0,	0,	0,	-0.0225259,	0.0142923,	0.0425008,	0.99874,	-0.865063,	2.5304,	0.0152884,	0,	0,	0,	-0.107608,	0.670382,	0.721239,	-0.137199
1520354199659332037,	-0.858967,	2.47109,	-0.192559,	0,	0,	0,	-0.0225259,	0.0142923,	0.0425008,	0.99874,	-0.865063,	2.5304,	0.0152884,	0,	0,	0,	-0.107608,	0.670382,	0.721239,	-0.137199
1520354199664495089,	-0.857641,	2.47389,	-0.192865,	0.265304,	0.560269,	-0.0611007,	-0.0221911,	0.0156759,	0.0437104,	0.998675,	-0.862297,	2.5317,	0.0147955,	0.553149,	0.261282,	-0.0985728,	-0.107607,	0.669242,	0.721881,	-0.139369
1520354199668392600,	-0.857641,	2.47389,	-0.192865,	0,	0,	0,	-0.0221911,	0.0156759,	0.0437104,	0.998675,	-0.862297,	2.5317,	0.0147955,	0,	0,	0,	-0.107607,	0.669242,	0.721881,	-0.139369
1520354199674853160,	-0.857641,	2.47389,	-0.192865,	0,	0,	0,	-0.0221911,	0.0156759,	0.0437104,	0.998675,	-0.862297,	2.5317,	0.0147955,	0,	0,	0,	-0.107607,	0.669242,	0.721881,	-0.139369
1520354199679643695,	-0.857641,	2.47389,	-0.192865,	0,	0,	0,	-0.0221911,	0.0156759,	0.0437104,	0.998675,	-0.862297,	2.5317,	0.0147955,	0,	0,	0,	-0.107607,	0.669242,	0.721881,	-0.139369
1520354199683841961,	-0.857641,	2.47389,	-0.192865,	0,	0,	0,	-0.0221911,	0.0156759,	0.0437104,	0.998675,	-0.862297,	2.5317,	0.0147955,	0,	0,	0,	-0.107607,	0.669242,	0.721881,	-0.139369
