time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520354146818460784,	-0.636881,	2.4436,	-0.175852,	-0.0115001,	0.00101071,	0.00324099,	-0.0113996,	-0.0123289,	0.0567912,	0.998245,	-0.655368,	2.49778,	0.0320754,	-0.0113722,	-0.000124341,	0.00346595,	-0.149078,	0.68122,	0.705469,	-0.126607
1520354146823724445,	-0.636881,	2.4436,	-0.175852,	0,	0,	0,	-0.0113996,	-0.0123289,	0.0567912,	0.998245,	-0.655368,	2.49778,	0.0320754,	0,	0,	0,	-0.149078,	0.68122,	0.705469,	-0.126607
1520354146828528835,	-0.636881,	2.4436,	-0.175852,	0,	0,	0,	-0.0113996,	-0.0123289,	0.0567912,	0.998245,	-0.655368,	2.49778,	0.0320754,	0,	0,	0,	-0.149078,	0.68122,	0.705469,	-0.126607
1520354146832450416,	-0.636881,	2.4436,	-0.175852,	0,	0,	0,	-0.0113996,	-0.0123289,	0.0567912,	0.998245,	-0.655368,	2.49778,	0.0320754,	0,	0,	0,	-0.149078,	0.68122,	0.705469,	-0.126607
1520354146838770823,	-0.636881,	2.4436,	-0.175852,	0,	0,	0,	-0.0113996,	-0.0123289,	0.0567912,	0.998245,	-0.655368,	2.49778,	0.0320754,	0,	0,	0,	-0.149078,	0.68122,	0.705469,	-0.126607
1520354146843150748,	-0.636881,	2.4436,	-0.175852,	0,	0,	0,	-0.0113996,	-0.0123289,	0.0567912,	0.998245,	-0.655368,	2.49778,	0.0320754,	0,	0,	0,	-0.149078,	0.68122,	0.705469,	-0.126607
1520354146850419311,	-0.636881,	2.4436,	-0.175852,	0,	0,	0,	-0.0113996,	-0.0123289,	0.0567912,	0.998245,	-0.655368,	2.49778,	0.0320754,	0,	0,	0,	-0.149078,	0.68122,	0.705469,	-0.126607
1520354146854073910,	-0.636881,	2.4436,	-0.175852,	0,	0,	0,	-0.0113996,	-0.0123289,	0.0567912,	0.998245,	-0.655368,	2.49778,	0.0320754,	0,	0,	0,	-0.149078,	0.68122,	0.705469,	-0.126607
1520354146858285156,	-0.636881,	2.4436,	-0.175852,	0,	0,	0,	-0.0113996,	-0.0123289,	0.0567912,	0.998245,	-0.655368,	2.49778,	0.0320754,	0,	0,	0,	-0.149078,	0.68122,	0.705469,	-0.126607
1520354146864385102,	-0.637252,	2.44365,	-0.174782,	-0.061945,	0.00987981,	0.178251,	-0.012526,	-0.0127041,	0.0562659,	0.998256,	-0.656324,	2.49827,	0.0328105,	-0.15926,	0.0812185,	0.122509,	-0.149811,	0.681934,	0.704501,	-0.127282
1520354146868770172,	-0.637252,	2.44365,	-0.174782,	0,	0,	0,	-0.012526,	-0.0127041,	0.0562659,	0.998256,	-0.656324,	2.49827,	0.0328105,	0,	0,	0,	-0.149811,	0.681934,	0.704501,	-0.127282
