time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520354170184896237,	-0.739984,	2.41681,	-0.406386,	-0.00288428,	0.00135768,	0.00959244,	-0.0742203,	0.00676243,	0.00747237,	0.997191,	-0.748537,	2.49601,	-0.206365,	-0.00186369,	0.0045713,	0.00908076,	-0.0959674,	0.730114,	0.667928,	-0.107683
1520354170189603180,	-0.739984,	2.41681,	-0.406386,	0,	0,	0,	-0.0742203,	0.00676243,	0.00747237,	0.997191,	-0.748537,	2.49601,	-0.206365,	0,	0,	0,	-0.0959674,	0.730114,	0.667928,	-0.107683
1520354170195348290,	-0.739984,	2.41681,	-0.406386,	0,	0,	0,	-0.0742203,	0.00676243,	0.00747237,	0.997191,	-0.748537,	2.49601,	-0.206365,	0,	0,	0,	-0.0959674,	0.730114,	0.667928,	-0.107683
1520354170198967479,	-0.739984,	2.41681,	-0.406386,	0,	0,	0,	-0.0742203,	0.00676243,	0.00747237,	0.997191,	-0.748537,	2.49601,	-0.206365,	0,	0,	0,	-0.0959674,	0.730114,	0.667928,	-0.107683
1520354170203507183,	-0.739984,	2.41681,	-0.406386,	0,	0,	0,	-0.0742203,	0.00676243,	0.00747237,	0.997191,	-0.748537,	2.49601,	-0.206365,	0,	0,	0,	-0.0959674,	0.730114,	0.667928,	-0.107683
1520354170210746544,	-0.739984,	2.41681,	-0.406386,	0,	0,	0,	-0.0742203,	0.00676243,	0.00747237,	0.997191,	-0.748537,	2.49601,	-0.206365,	0,	0,	0,	-0.0959674,	0.730114,	0.667928,	-0.107683
1520354170214786615,	-0.740184,	2.41665,	-0.406116,	-0.0500039,	-0.0386496,	0.0675159,	-0.0734577,	0.00646038,	0.00759236,	0.997249,	-0.748975,	2.49523,	-0.206139,	-0.10962,	-0.195545,	0.0564829,	-0.0960535,	0.729692,	0.668544,	-0.106641
1520354170219441848,	-0.740184,	2.41665,	-0.406116,	0,	0,	0,	-0.0734577,	0.00646038,	0.00759236,	0.997249,	-0.748975,	2.49523,	-0.206139,	0,	0,	0,	-0.0960535,	0.729692,	0.668544,	-0.106641
1520354170224489700,	-0.740184,	2.41665,	-0.406116,	0,	0,	0,	-0.0734577,	0.00646038,	0.00759236,	0.997249,	-0.748975,	2.49523,	-0.206139,	0,	0,	0,	-0.0960535,	0.729692,	0.668544,	-0.106641
1520354170230614632,	-0.740184,	2.41665,	-0.406116,	0,	0,	0,	-0.0734577,	0.00646038,	0.00759236,	0.997249,	-0.748975,	2.49523,	-0.206139,	0,	0,	0,	-0.0960535,	0.729692,	0.668544,	-0.106641
1520354170235753549,	-0.740184,	2.41665,	-0.406116,	0,	0,	0,	-0.0734577,	0.00646038,	0.00759236,	0.997249,	-0.748975,	2.49523,	-0.206139,	0,	0,	0,	-0.0960535,	0.729692,	0.668544,	-0.106641
1520354170239487871,	-0.740184,	2.41665,	-0.406116,	0,	0,	0,	-0.0734577,	0.00646038,	0.00759236,	0.997249,	-0.748975,	2.49523,	-0.206139,	0,	0,	0,	-0.0960535,	0.729692,	0.668544,	-0.106641
1520354170245882574,	-0.740184,	2.41665,	-0.406116,	0,	0,	0,	-0.0734577,	0.00646038,	0.00759236,	0.997249,	-0.748975,	2.49523,	-0.206139,	0,	0,	0,	-0.0960535,	0.729692,	0.668544,	-0.106641
1520354170249649727,	-0.740184,	2.41665,	-0.406116,	0,	0,	0,	-0.0734577,	0.00646038,	0.00759236,	0.997249,	-0.748975,	2.49523,	-0.206139,	0,	0,	0,	-0.0960535,	0.729692,	0.668544,	-0.106641
1520354170255899521,	-0.740184,	2.41665,	-0.406116,	0,	0,	0,	-0.0734577,	0.00646038,	0.00759236,	0.997249,	-0.748975,	2.49523,	-0.206139,	0,	0,	0,	-0.0960535,	0.729692,	0.668544,	-0.106641
1520354170259952088,	-0.740184,	2.41665,	-0.406116,	0,	0,	0,	-0.0734577,	0.00646038,	0.00759236,	0.997249,	-0.748975,	2.49523,	-0.206139,	0,	0,	0,	-0.0960535,	0.729692,	0.668544,	-0.106641
1520354170264552669,	-0.740643,	2.41656,	-0.405905,	-0.114783,	-0.0235643,	0.0525931,	-0.072463,	0.00553276,	0.00669954,	0.997333,	-0.749053,	2.49425,	-0.205572,	-0.0194957,	-0.244587,	0.141775,	-0.0960159,	0.729342,	0.669048,	-0.105907
1520354170269706692,	-0.740643,	2.41656,	-0.405905,	0,	0,	0,	-0.072463,	0.00553276,	0.00669954,	0.997333,	-0.749053,	2.49425,	-0.205572,	0,	0,	0,	-0.0960159,	0.729342,	0.669048,	-0.105907
1520354170274792629,	-0.740643,	2.41656,	-0.405905,	0,	0,	0,	-0.072463,	0.00553276,	0.00669954,	0.997333,	-0.749053,	2.49425,	-0.205572,	0,	0,	0,	-0.0960159,	0.729342,	0.669048,	-0.105907
1520354170280488201,	-0.740643,	2.41656,	-0.405905,	0,	0,	0,	-0.072463,	0.00553276,	0.00669954,	0.997333,	-0.749053,	2.49425,	-0.205572,	0,	0,	0,	-0.0960159,	0.729342,	0.669048,	-0.105907
1520354170284186113,	-0.740643,	2.41656,	-0.405905,	0,	0,	0,	-0.072463,	0.00553276,	0.00669954,	0.997333,	-0.749053,	2.49425,	-0.205572,	0,	0,	0,	-0.0960159,	0.729342,	0.669048,	-0.105907
1520354170289304458,	-0.740643,	2.41656,	-0.405905,	0,	0,	0,	-0.072463,	0.00553276,	0.00669954,	0.997333,	-0.749053,	2.49425,	-0.205572,	0,	0,	0,	-0.0960159,	0.729342,	0.669048,	-0.105907
1520354170296315464,	-0.740643,	2.41656,	-0.405905,	0,	0,	0,	-0.072463,	0.00553276,	0.00669954,	0.997333,	-0.749053,	2.49425,	-0.205572,	0,	0,	0,	-0.0960159,	0.729342,	0.669048,	-0.105907
1520354170301231592,	-0.740643,	2.41656,	-0.405905,	0,	0,	0,	-0.072463,	0.00553276,	0.00669954,	0.997333,	-0.749053,	2.49425,	-0.205572,	0,	0,	0,	-0.0960159,	0.729342,	0.669048,	-0.105907
1520354170303518494,	-0.740643,	2.41656,	-0.405905,	0,	0,	0,	-0.072463,	0.00553276,	0.00669954,	0.997333,	-0.749053,	2.49425,	-0.205572,	0,	0,	0,	-0.0960159,	0.729342,	0.669048,	-0.105907
1520354170310114318,	-0.740643,	2.41656,	-0.405905,	0,	0,	0,	-0.072463,	0.00553276,	0.00669954,	0.997333,	-0.749053,	2.49425,	-0.205572,	0,	0,	0,	-0.0960159,	0.729342,	0.669048,	-0.105907
1520354170314806971,	-0.74038,	2.41592,	-0.405359,	0.065694,	-0.159466,	0.136697,	-0.0713259,	0.00526345,	0.00589134,	0.997422,	-0.748978,	2.49414,	-0.204841,	0.0187648,	-0.0273202,	0.182657,	-0.0958766,	0.729381,	0.669071,	-0.105615
1520354170319554303,	-0.74038,	2.41592,	-0.405359,	0,	0,	0,	-0.0713259,	0.00526345,	0.00589134,	0.997422,	-0.748978,	2.49414,	-0.204841,	0,	0,	0,	-0.0958766,	0.729381,	0.669071,	-0.105615
1520354170325586195,	-0.74038,	2.41592,	-0.405359,	0,	0,	0,	-0.0713259,	0.00526345,	0.00589134,	0.997422,	-0.748978,	2.49414,	-0.204841,	0,	0,	0,	-0.0958766,	0.729381,	0.669071,	-0.105615
1520354170333557476,	-0.74038,	2.41592,	-0.405359,	0,	0,	0,	-0.0713259,	0.00526345,	0.00589134,	0.997422,	-0.748978,	2.49414,	-0.204841,	0,	0,	0,	-0.0958766,	0.729381,	0.669071,	-0.105615
1520354170336491196,	-0.74038,	2.41592,	-0.405359,	0,	0,	0,	-0.0713259,	0.00526345,	0.00589134,	0.997422,	-0.748978,	2.49414,	-0.204841,	0,	0,	0,	-0.0958766,	0.729381,	0.669071,	-0.105615
1520354170338651761,	-0.74038,	2.41592,	-0.405359,	0,	0,	0,	-0.0713259,	0.00526345,	0.00589134,	0.997422,	-0.748978,	2.49414,	-0.204841,	0,	0,	0,	-0.0958766,	0.729381,	0.669071,	-0.105615
1520354170344536568,	-0.74038,	2.41592,	-0.405359,	0,	0,	0,	-0.0713259,	0.00526345,	0.00589134,	0.997422,	-0.748978,	2.49414,	-0.204841,	0,	0,	0,	-0.0958766,	0.729381,	0.669071,	-0.105615
1520354170349497274,	-0.74038,	2.41592,	-0.405359,	0,	0,	0,	-0.0713259,	0.00526345,	0.00589134,	0.997422,	-0.748978,	2.49414,	-0.204841,	0,	0,	0,	-0.0958766,	0.729381,	0.669071,	-0.105615
1520354170354781822,	-0.74038,	2.41592,	-0.405359,	0,	0,	0,	-0.0713259,	0.00526345,	0.00589134,	0.997422,	-0.748978,	2.49414,	-0.204841,	0,	0,	0,	-0.0958766,	0.729381,	0.669071,	-0.105615
1520354170359825799,	-0.74038,	2.41592,	-0.405359,	0,	0,	0,	-0.0713259,	0.00526345,	0.00589134,	0.997422,	-0.748978,	2.49414,	-0.204841,	0,	0,	0,	-0.0958766,	0.729381,	0.669071,	-0.105615
1520354170366409352,	-0.7403,	2.41596,	-0.404537,	0.0133759,	0.00634888,	0.136871,	-0.0727132,	0.00559407,	0.00663548,	0.997315,	-0.748914,	2.49411,	-0.203864,	0.0106178,	-0.00603691,	0.162952,	-0.096133,	0.729547,	0.668814,	-0.105865
1520354170370629922,	-0.7403,	2.41596,	-0.404537,	0,	0,	0,	-0.0727132,	0.00559407,	0.00663548,	0.997315,	-0.748914,	2.49411,	-0.203864,	0,	0,	0,	-0.096133,	0.729547,	0.668814,	-0.105865
1520354170375465240,	-0.7403,	2.41596,	-0.404537,	0,	0,	0,	-0.0727132,	0.00559407,	0.00663548,	0.997315,	-0.748914,	2.49411,	-0.203864,	0,	0,	0,	-0.096133,	0.729547,	0.668814,	-0.105865
1520354170379650601,	-0.7403,	2.41596,	-0.404537,	0,	0,	0,	-0.0727132,	0.00559407,	0.00663548,	0.997315,	-0.748914,	2.49411,	-0.203864,	0,	0,	0,	-0.096133,	0.729547,	0.668814,	-0.105865
1520354170383723636,	-0.7403,	2.41596,	-0.404537,	0,	0,	0,	-0.0727132,	0.00559407,	0.00663548,	0.997315,	-0.748914,	2.49411,	-0.203864,	0,	0,	0,	-0.096133,	0.729547,	0.668814,	-0.105865
1520354170388784407,	-0.7403,	2.41596,	-0.404537,	0,	0,	0,	-0.0727132,	0.00559407,	0.00663548,	0.997315,	-0.748914,	2.49411,	-0.203864,	0,	0,	0,	-0.096133,	0.729547,	0.668814,	-0.105865
1520354170395633891,	-0.7403,	2.41596,	-0.404537,	0,	0,	0,	-0.0727132,	0.00559407,	0.00663548,	0.997315,	-0.748914,	2.49411,	-0.203864,	0,	0,	0,	-0.096133,	0.729547,	0.668814,	-0.105865
1520354170402894835,	-0.7403,	2.41596,	-0.404537,	0,	0,	0,	-0.0727132,	0.00559407,	0.00663548,	0.997315,	-0.748914,	2.49411,	-0.203864,	0,	0,	0,	-0.096133,	0.729547,	0.668814,	-0.105865
1520354170408313975,	-0.7403,	2.41596,	-0.404537,	0,	0,	0,	-0.0727132,	0.00559407,	0.00663548,	0.997315,	-0.748914,	2.49411,	-0.203864,	0,	0,	0,	-0.096133,	0.729547,	0.668814,	-0.105865
1520354170414264360,	-0.740415,	2.41585,	-0.403363,	-0.0229593,	-0.0223671,	0.234871,	-0.0727488,	0.00543847,	0.0073032,	0.997309,	-0.749051,	2.49427,	-0.202446,	-0.0272794,	0.0324892,	0.283474,	-0.0965234,	0.72988,	0.6683,	-0.10646
1520354170419267801,	-0.740415,	2.41585,	-0.403363,	0,	0,	0,	-0.0727488,	0.00543847,	0.0073032,	0.997309,	-0.749051,	2.49427,	-0.202446,	0,	0,	0,	-0.0965234,	0.72988,	0.6683,	-0.10646
1520354170422365691,	-0.740415,	2.41585,	-0.403363,	0,	0,	0,	-0.0727488,	0.00543847,	0.0073032,	0.997309,	-0.749051,	2.49427,	-0.202446,	0,	0,	0,	-0.0965234,	0.72988,	0.6683,	-0.10646
1520354170424185630,	-0.740415,	2.41585,	-0.403363,	0,	0,	0,	-0.0727488,	0.00543847,	0.0073032,	0.997309,	-0.749051,	2.49427,	-0.202446,	0,	0,	0,	-0.0965234,	0.72988,	0.6683,	-0.10646
