time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520438943031436932,	1.32639,	2.63479,	-0.630638,	8.72375e-10,	1.73291e-09,	-4.14773e-10,	-0.018352,	0.00172562,	0.0786979,	0.996728,	1.30954,	2.70204,	-0.410697,	8.61288e-10,	1.77714e-09,	-2.70117e-10,	-0.095747,	0.673904,	0.731529,	-0.0393845
1520438943085115553,	1.32648,	2.6353,	-0.630551,	0.00168972,	0.00957561,	0.00162909,	-0.0146633,	0.000450011,	0.0781408,	0.996834,	1.30961,	2.70174,	-0.410679,	0.00148381,	-0.00557141,	0.000339998,	-0.0957493,	0.673726,	0.731694,	-0.039357
1520438943140635934,	1.32678,	2.63519,	-0.631382,	0.00549729,	-0.0019552,	-0.015096,	-0.0142822,	0.00203786,	0.0774986,	0.996888,	1.30976,	2.70191,	-0.410746,	0.00263636,	0.00310305,	-0.00122959,	-0.0957587,	0.673874,	0.731554,	-0.0394112
1520438943195812342,	1.32662,	2.63528,	-0.630434,	-0.00292028,	0.00157843,	0.0172201,	-0.0165227,	0.00288554,	0.0780498,	0.996808,	1.30982,	2.70199,	-0.410698,	0.00106727,	0.00135391,	0.000872563,	-0.0957591,	0.673983,	0.731454,	-0.039382
1520438943247191501,	1.32678,	2.63624,	-0.630707,	0.00303124,	0.018896,	-0.00534513,	-0.012309,	0.0014056,	0.0779071,	0.996884,	1.30976,	2.7023,	-0.410691,	-0.00119178,	0.00601525,	0.00013953,	-0.0957718,	0.673828,	0.73159,	-0.039502
1520438943303025610,	1.3269,	2.63544,	-0.63112,	0.00226884,	-0.0145957,	-0.00750154,	-0.0205148,	0.00298794,	0.0778941,	0.996746,	1.30992,	2.70262,	-0.41092,	0.00304532,	0.005837,	-0.00415523,	-0.0957057,	0.673972,	0.731465,	-0.0394968
1520438943350862876,	1.32662,	2.63467,	-0.630486,	-0.00593929,	-0.0164038,	0.0134788,	-0.0140393,	0.0014222,	0.0781897,	0.996839,	1.30988,	2.70252,	-0.410782,	-0.00086118,	-0.00197103,	0.00293053,	-0.0957359,	0.673881,	0.731545,	-0.0395108
1520438943402739328,	1.32659,	2.63433,	-0.631514,	-0.000703736,	-0.00653336,	-0.0201515,	-0.0182374,	0.00278095,	0.0793282,	0.996678,	1.31005,	2.70247,	-0.410777,	0.00318066,	-0.0010615,	9.40561e-05,	-0.0957487,	0.673862,	0.731562,	-0.0394866
1520438943455573101,	1.3265,	2.63427,	-0.630396,	-0.00180057,	-0.0012403,	0.0214938,	-0.0139141,	0.00146474,	0.0785756,	0.99681,	1.31003,	2.70246,	-0.410873,	-0.00027926,	-0.00021155,	-0.00183468,	-0.0958012,	0.673882,	0.731532,	-0.0395646
1520438943510579213,	1.32653,	2.63545,	-0.63101,	0.000569247,	0.0214856,	-0.0111678,	-0.0120083,	0.000690649,	0.0777653,	0.996899,	1.30979,	2.70233,	-0.410779,	-0.00432961,	-0.0023088,	0.00169556,	-0.0957838,	0.673796,	0.731615,	-0.0395425
1520438943564562993,	1.32694,	2.63518,	-0.630944,	0.0078181,	-0.0050377,	0.00125521,	-0.0145076,	0.00145066,	0.0782976,	0.996823,	1.30994,	2.70224,	-0.410692,	0.00277028,	-0.0017068,	0.00164416,	-0.095735,	0.673904,	0.73152,	-0.0395789
1520438943612544889,	1.32651,	2.63503,	-0.630646,	-0.00916649,	-0.00316908,	0.00634412,	-0.0141882,	-0.000239966,	0.0791457,	0.996762,	1.3098,	2.70229,	-0.410666,	-0.00307349,	0.00103475,	0.000567813,	-0.0957992,	0.673906,	0.731512,	-0.0395327
1520438943660493189,	1.3268,	2.63526,	-0.631163,	0.00619242,	0.00488736,	-0.0110134,	-0.0180624,	0.00305692,	0.0779697,	0.996787,	1.30982,	2.70226,	-0.410863,	0.000493933,	-0.000583087,	-0.00419107,	-0.0958313,	0.673804,	0.731596,	-0.0396481
1520438943712512833,	1.32684,	2.63528,	-0.630519,	0.000740607,	0.00029102,	0.0123917,	-0.0149568,	0.00147847,	0.0782211,	0.996823,	1.31002,	2.70213,	-0.410813,	0.00376574,	-0.00248494,	0.000961743,	-0.0958056,	0.673924,	0.73149,	-0.0396243
1520438943762769754,	1.32678,	2.63554,	-0.630791,	-0.00119412,	0.00524707,	-0.00544745,	-0.0147091,	0.00135271,	0.0778893,	0.996853,	1.31005,	2.70214,	-0.410767,	0.000675224,	4.94662e-05,	0.000913724,	-0.0957837,	0.673914,	0.7315,	-0.0396572
1520438943809493182,	1.3266,	2.63483,	-0.630066,	-0.00395517,	-0.0153884,	0.0157738,	-0.0103965,	-0.00132627,	0.078078,	0.996892,	1.31004,	2.70226,	-0.410834,	-0.000302853,	0.00276943,	-0.00145588,	-0.0958029,	0.673949,	0.731468,	-0.0396035
1520438943869025094,	1.32639,	2.63548,	-0.632173,	-0.00351047,	0.0109579,	-0.0357201,	-0.0109849,	5.21034e-05,	0.0785883,	0.996847,	1.30986,	2.70219,	-0.410716,	-0.00300258,	-0.00132366,	0.001998,	-0.0958854,	0.673896,	0.731504,	-0.039645
1520438943936133790,	1.3267,	2.635,	-0.630706,	0.00466489,	-0.00718852,	0.0219024,	-0.0131349,	0.00107501,	0.0784941,	0.996827,	1.30994,	2.70205,	-0.410832,	0.00124575,	-0.002049,	-0.00172656,	-0.0958487,	0.673867,	0.731533,	-0.0396921
1520438943995827764,	1.327,	2.6352,	-0.630194,	0.00499028,	0.00334115,	0.00866882,	-0.0141261,	0.00207751,	0.0779001,	0.996859,	1.30979,	2.70251,	-0.41072,	-0.00259579,	0.00788292,	0.00189607,	-0.0958749,	0.673981,	0.731428,	-0.0396358
1520438944044964749,	1.32712,	2.63649,	-0.631284,	0.00244869,	0.0265122,	-0.0222443,	-0.0193015,	0.00455396,	0.0778504,	0.996768,	1.30992,	2.70247,	-0.410779,	0.0026389,	-0.000955425,	-0.00120634,	-0.0958622,	0.673959,	0.731447,	-0.0396738
1520438944096936087,	1.32668,	2.63528,	-0.632038,	-0.00861948,	-0.0239025,	-0.0147824,	-0.0204217,	0.00436603,	0.077907,	0.996742,	1.30996,	2.70236,	-0.410902,	0.000889544,	-0.00211926,	-0.00241868,	-0.0958771,	0.673909,	0.731494,	-0.0396438
1520438944148317818,	1.32664,	2.63491,	-0.630531,	-0.000647987,	-0.00713082,	0.0295514,	-0.0144512,	0.00137387,	0.0781059,	0.996839,	1.30978,	2.70205,	-0.410799,	-0.00359842,	-0.00596145,	0.00202988,	-0.0959356,	0.673792,	0.731591,	-0.039679
1520438944202958003,	1.32674,	2.63518,	-0.631309,	0.00170975,	0.00495778,	-0.0144058,	-0.00972284,	-0.000147899,	0.0773459,	0.996957,	1.3099,	2.70216,	-0.410786,	0.00214186,	0.00203538,	0.000236332,	-0.0959038,	0.673967,	0.731435,	-0.0396565
1520438944250142071,	1.32672,	2.63569,	-0.630814,	-0.000462905,	0.0107709,	0.0105409,	-0.0142383,	0.00143102,	0.0783809,	0.996821,	1.30991,	2.70216,	-0.410764,	0.000230042,	-3.65544e-05,	0.000472908,	-0.0958993,	0.67397,	0.731432,	-0.0396994
1520438944301456200,	1.32699,	2.63568,	-0.6308,	0.0053264,	-0.000206725,	0.000263164,	-0.0148376,	0.00259751,	0.0770086,	0.996917,	1.30976,	2.70211,	-0.410863,	-0.00288915,	-0.00108785,	-0.00193795,	-0.0959423,	0.673943,	0.731451,	-0.0396784
1520438944352311939,	1.32697,	2.63479,	-0.629547,	-0.000312106,	-0.0176137,	0.0250674,	-0.0162945,	0.00144575,	0.0798173,	0.996675,	1.31008,	2.70233,	-0.410754,	0.00636754,	0.00444154,	0.00216258,	-0.0957205,	0.673896,	0.731533,	-0.0395055
1520438944405791195,	1.32649,	2.63512,	-0.630788,	-0.00901563,	0.00616294,	-0.0234282,	-0.0144948,	0.00147605,	0.0781212,	0.996837,	1.30975,	2.70256,	-0.410821,	-0.00607842,	0.00429642,	-0.00126265,	-0.0955397,	0.674374,	0.731134,	-0.0391818
1520438944457904739,	1.32685,	2.63547,	-0.630572,	0.0068929,	0.00666399,	0.00417078,	-0.01436,	0.00123921,	0.077288,	0.996905,	1.3101,	2.70208,	-0.410684,	0.00659758,	-0.00927314,	0.00263631,	-0.0960617,	0.67431,	0.731087,	-0.0398766
1520438944506546394,	1.32712,	2.63662,	-0.630989,	0.00563897,	0.0240645,	-0.00870029,	-0.014898,	0.00143544,	0.0778174,	0.996855,	1.31047,	2.70064,	-0.410655,	0.00773472,	-0.0299222,	0.00060874,	-0.0960029,	0.67232,	0.732909,	-0.0401596
1520438944555245870,	1.32695,	2.63386,	-0.630232,	-0.00365329,	-0.0575116,	0.0157758,	-0.0153372,	0.00163516,	0.0787395,	0.996776,	1.31021,	2.70131,	-0.410637,	-0.00537134,	0.0140769,	0.000376056,	-0.0956752,	0.67288,	0.732461,	-0.0397363
1520438944606094784,	1.32705,	2.63499,	-0.630651,	0.00201782,	0.0224651,	-0.00837985,	-0.012784,	0.0014886,	0.0778336,	0.996883,	1.30986,	2.7026,	-0.410883,	-0.00695039,	0.0257613,	-0.0049232,	-0.0948666,	0.674608,	0.731041,	-0.0385127
1520438944658150481,	1.32688,	2.63555,	-0.630094,	-0.0032529,	0.0109338,	0.0107184,	-0.0140197,	0.00431235,	0.0754038,	0.997045,	1.3094,	2.70398,	-0.410921,	-0.00896465,	0.0265302,	-0.000728999,	-0.0953365,	0.675947,	0.729731,	-0.0387222
1520438944704408011,	1.32664,	2.63557,	-0.630058,	-0.00526312,	0.000264807,	0.000771247,	-0.0121978,	0.000515573,	0.0753064,	0.997086,	1.30944,	2.70329,	-0.410802,	0.000834128,	-0.0151294,	0.0025792,	-0.0954039,	0.674957,	0.730631,	-0.0388485
1520438944753485031,	1.32688,	2.63615,	-0.630645,	0.00489192,	0.0118911,	-0.0119799,	-0.0148897,	0.00174443,	0.0769976,	0.996919,	1.30841,	2.703,	-0.410628,	-0.0209162,	-0.00590011,	0.00356078,	-0.0960889,	0.67489,	0.73057,	-0.039465
1520438944805560454,	1.32629,	2.63592,	-0.630865,	-0.0112528,	-0.00443344,	-0.00423657,	-0.015095,	0.000875279,	0.0776501,	0.996866,	1.30564,	2.70288,	-0.408311,	-0.0532746,	-0.00219698,	0.0445591,	-0.0974078,	0.674832,	0.73043,	-0.039815
1520438944860287185,	1.32483,	2.63678,	-0.63022,	-0.0269841,	0.0159839,	0.011955,	-0.0161904,	0.00102557,	0.0789896,	0.996743,	1.3014,	2.70184,	-0.401253,	-0.0785846,	-0.0192203,	0.130703,	-0.0986587,	0.675958,	0.729269,	-0.0389171
1520438944907830884,	1.32167,	2.63296,	-0.626074,	-0.0673626,	-0.0812319,	0.0882143,	-0.0159795,	4.69876e-06,	0.07934,	0.99672,	1.29733,	2.69881,	-0.390146,	-0.0866374,	-0.064665,	0.236327,	-0.0993499,	0.676013,	0.729101,	-0.0393328
1520438944956501559,	1.31869,	2.63417,	-0.618844,	-0.0621229,	0.0252259,	0.150613,	-0.0192319,	-0.00106738,	0.0795545,	0.996644,	1.29166,	2.69375,	-0.374973,	-0.117977,	-0.105296,	0.316094,	-0.10125,	0.675345,	0.72935,	-0.0413154
1520438945012213507,	1.31305,	2.6271,	-0.605934,	-0.102568,	-0.128617,	0.234739,	-0.0180798,	-0.00106464,	0.0823488,	0.996439,	1.28406,	2.68971,	-0.358735,	-0.138279,	-0.073397,	0.295231,	-0.102492,	0.676476,	0.728056,	-0.0425539
1520438945065635888,	1.30795,	2.62683,	-0.591593,	-0.0961949,	-0.00504498,	0.270579,	-0.020277,	-0.00111164,	0.0837077,	0.996283,	1.27418,	2.68445,	-0.341207,	-0.186322,	-0.0992947,	0.330715,	-0.102995,	0.679456,	0.725222,	-0.0422441
1520438945113439167,	1.298,	2.61438,	-0.573303,	-0.211667,	-0.264893,	0.389143,	-0.02112,	-0.000879574,	0.0865964,	0.996019,	1.26292,	2.67825,	-0.322139,	-0.239533,	-0.131934,	0.405709,	-0.102535,	0.683475,	0.721587,	-0.0407491
1520438945166275639,	1.29018,	2.61734,	-0.551076,	-0.150297,	0.0567942,	0.427456,	-0.0301629,	-0.00272048,	0.0827812,	0.996107,	1.25141,	2.66987,	-0.301447,	-0.221479,	-0.161213,	0.397928,	-0.101713,	0.686414,	0.719014,	-0.0388433
1520438945220342786,	1.27661,	2.59709,	-0.528568,	-0.251441,	-0.3749,	0.416812,	-0.0326541,	-0.00249243,	0.0851914,	0.995826,	1.24014,	2.65875,	-0.279285,	-0.208596,	-0.20587,	0.410397,	-0.101397,	0.68708,	0.718539,	-0.0366276
1520438945269000620,	1.26875,	2.59943,	-0.508948,	-0.16368,	0.0486339,	0.408753,	-0.0380316,	-0.0044102,	0.0796614,	0.996086,	1.23028,	2.64662,	-0.255346,	-0.205404,	-0.252783,	0.49874,	-0.0992391,	0.685864,	0.720134,	-0.0339008
1520438945315455949,	1.2545,	2.58194,	-0.484762,	-0.309733,	-0.380238,	0.525771,	-0.0347524,	-0.00512225,	0.0750915,	0.996558,	1.22068,	2.63393,	-0.232189,	-0.208758,	-0.275831,	0.503402,	-0.0971127,	0.685146,	0.721291,	-0.0297173
1520438945364167609,	1.24858,	2.5758,	-0.462418,	-0.123272,	-0.127856,	0.465508,	-0.035291,	-0.00608922,	0.0724298,	0.99673,	1.21159,	2.62316,	-0.210611,	-0.189299,	-0.224458,	0.449544,	-0.0958328,	0.684481,	0.722245,	-0.0257743
1520438945419784497,	1.23733,	2.55495,	-0.438125,	-0.204575,	-0.379061,	0.441681,	-0.0329371,	-0.00820261,	0.0725305,	0.996788,	1.20414,	2.61286,	-0.190223,	-0.135574,	-0.187234,	0.370702,	-0.0933529,	0.684904,	0.722256,	-0.0231865
1520438945473989391,	1.23173,	2.55279,	-0.418721,	-0.103825,	-0.0399809,	0.359337,	-0.0345939,	-0.00957385,	0.0647434,	0.997256,	1.19441,	2.59759,	-0.154282,	-0.180108,	-0.282795,	0.665571,	-0.0894158,	0.686085,	0.7217,	-0.0210245
1520438945527077479,	1.22263,	2.53972,	-0.398617,	-0.171602,	-0.24668,	0.379319,	-0.0341596,	-0.00899616,	0.0612432,	0.997498,	1.19168,	2.59422,	-0.140102,	-0.051527,	-0.0635385,	0.267541,	-0.0885085,	0.689218,	0.718877,	-0.0189915
1520438945575157601,	1.21702,	2.52922,	-0.380481,	-0.116898,	-0.218715,	0.377828,	-0.0368323,	-0.00839251,	0.0615835,	0.997387,	1.19091,	2.59253,	-0.129175,	-0.0161514,	-0.0350811,	0.227646,	-0.086377,	0.694083,	0.714474,	-0.0177283
1520438945622770590,	1.21483,	2.5252,	-0.3652,	-0.0465854,	-0.0855137,	0.325134,	-0.0427624,	-0.00943491,	0.0577218,	0.997372,	1.19039,	2.59096,	-0.120712,	-0.0109934,	-0.033424,	0.180073,	-0.0848819,	0.696719,	0.712111,	-0.0165853
1520438945673316996,	1.21307,	2.52014,	-0.352322,	-0.035303,	-0.101117,	0.257566,	-0.0482616,	-0.00896128,	0.0571899,	0.997156,	1.19039,	2.59096,	-0.120712,	0,	0,	0,	-0.0848819,	0.696719,	0.712111,	-0.0165853
1520438945724287513,	1.21272,	2.51507,	-0.342485,	-0.00691226,	-0.101557,	0.196734,	-0.0544455,	-0.00903102,	0.0545383,	0.996985,	1.1819,	2.57864,	-0.107255,	-0.169844,	-0.246558,	0.269125,	-0.0869294,	0.691017,	0.71743,	-0.0152614
1520438945793393037,	1.21104,	2.51135,	-0.334793,	-0.0243671,	-0.0538575,	0.111477,	-0.054476,	-0.00970116,	0.0549635,	0.996954,	1.16894,	2.57077,	-0.100824,	-0.187837,	-0.114012,	0.0932096,	-0.0908527,	0.686801,	0.72098,	-0.0154276
1520438945861527121,	1.20749,	2.51091,	-0.329141,	-0.0521147,	-0.00641683,	0.0831255,	-0.0495201,	-0.0112311,	0.0554963,	0.997167,	1.14841,	2.56027,	-0.0945876,	-0.301881,	-0.154366,	0.091711,	-0.0948712,	0.682689,	0.724341,	-0.016307
1520438945930051147,	1.19352,	2.50728,	-0.320902,	-0.205539,	-0.0534377,	0.12115,	-0.0440494,	-0.0135365,	0.0584071,	0.997229,	1.07897,	2.53602,	-0.0812779,	-1.02111,	-0.356581,	0.195731,	-0.095283,	0.681357,	0.725593,	-0.0137105
1520438945980714431,	1.16576,	2.50075,	-0.313166,	-0.555082,	-0.130513,	0.154727,	-0.0370979,	-0.0174136,	0.0587155,	0.997433,	1.02882,	2.52355,	-0.0735241,	-1.00301,	-0.249593,	0.155075,	-0.0926744,	0.682291,	0.725131,	-0.00868601
