time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520438956805269950,	1.3358,	2.62052,	-0.632451,	-0.000244945,	-0.00030402,	-0.00077255,	-0.0178842,	0.00200149,	0.00905987,	0.999797,	1.32337,	2.69318,	-0.411433,	-1.03007e-05,	-0.000315555,	-3.79599e-05,	-0.0513805,	0.679486,	0.731855,	0.00694112
1520438956857958888,	1.33611,	2.62149,	-0.630275,	0.00595783,	0.0187083,	0.0418381,	-0.0077761,	-0.000134516,	0.00311337,	0.999965,	1.32338,	2.69325,	-0.411244,	0.000147695,	0.00139151,	0.00363376,	-0.0513937,	0.679475,	0.731864,	0.00689599
1520438956906857328,	1.33635,	2.62124,	-0.630816,	0.00512812,	-0.00529079,	-0.0112754,	-0.00979768,	0.000682979,	0.00403126,	0.999944,	1.32368,	2.69283,	-0.411188,	0.00627632,	-0.00880335,	0.0011583,	-0.0513803,	0.679314,	0.732015,	0.00684951
1520438956962908753,	1.33618,	2.62068,	-0.630634,	-0.00311528,	-0.0100788,	0.00325891,	-0.00959601,	0.000896123,	0.00436065,	0.999944,	1.32369,	2.6926,	-0.411166,	0.000154661,	-0.00401626,	0.000393674,	-0.0513768,	0.679212,	0.73211,	0.00686052
1520438957014641422,	1.33647,	2.62142,	-0.630237,	0.00570714,	0.0146285,	0.0077758,	-0.0118871,	0.000772105,	0.00469159,	0.999918,	1.32335,	2.6925,	-0.411167,	-0.00654835,	-0.00200007,	-2.11046e-05,	-0.0513737,	0.679189,	0.732131,	0.00688563
1520438957067498171,	1.33633,	2.62137,	-0.631053,	-0.00276218,	-0.000927291,	-0.0156814,	-0.0164338,	0.00200667,	0.00354769,	0.999857,	1.32332,	2.69306,	-0.411276,	-0.000604128,	0.0107157,	-0.00208995,	-0.0513486,	0.679422,	0.731917,	0.00683383
1520438957116063203,	1.3364,	2.62123,	-0.63098,	0.001614,	-0.00304169,	0.00150933,	-0.00989576,	0.000837799,	0.00453938,	0.99994,	1.32347,	2.69276,	-0.411144,	0.00306069,	-0.00612241,	0.00274298,	-0.0513068,	0.679393,	0.731946,	0.00687231
1520438957166728403,	1.33632,	2.62042,	-0.630329,	-0.0015686,	-0.0161316,	0.013024,	-0.00836307,	-0.000601998,	0.00400383,	0.999957,	1.32363,	2.69294,	-0.411197,	0.0032678,	0.00362509,	-0.00105146,	-0.051361,	0.679399,	0.731937,	0.00685569
1520438957216274456,	1.33647,	2.62198,	-0.631065,	0.00300971,	0.0318154,	-0.0150117,	-0.00986905,	0.000894419,	0.00401422,	0.999943,	1.32333,	2.693,	-0.411211,	-0.00610604,	0.00110799,	-0.000277549,	-0.0514152,	0.679376,	0.731956,	0.00681828
1520438957258795328,	1.33652,	2.62071,	-0.631376,	0.00117291,	-0.0301869,	-0.00741641,	-0.0130933,	0.00170751,	0.00400802,	0.999905,	1.32355,	2.69291,	-0.41122,	0.00532472,	-0.00212452,	-0.00023234,	-0.0513356,	0.679403,	0.731936,	0.00672104
1520438957317721471,	1.33647,	2.62107,	-0.628016,	-0.000936989,	0.00611538,	0.0579435,	-0.0138057,	-0.00221183,	0.00383602,	0.999895,	1.32336,	2.69284,	-0.411079,	-0.00338807,	-0.00122575,	0.00243188,	-0.0513627,	0.679404,	0.731933,	0.00679517
1520438957368867602,	1.3362,	2.6217,	-0.631156,	-0.00524947,	0.0124352,	-0.0615821,	-0.0107229,	0.000935855,	0.00435319,	0.999933,	1.32344,	2.69278,	-0.411241,	0.00151584,	-0.00105316,	-0.0031815,	-0.0513899,	0.679327,	0.732003,	0.00671246
1520438957421919298,	1.33626,	2.62183,	-0.629883,	0.00108914,	0.00246485,	0.024016,	-0.00891276,	0.00166796,	0.00156702,	0.999958,	1.32346,	2.69309,	-0.41136,	0.000543693,	0.00571848,	-0.00224532,	-0.0514411,	0.679218,	0.732101,	0.00672908
1520438957470057641,	1.33616,	2.62051,	-0.631283,	-0.00193846,	-0.0275947,	-0.0291622,	-0.0175233,	0.00197822,	0.00595667,	0.999827,	1.32356,	2.69329,	-0.411282,	0.00188961,	0.00411902,	0.00163643,	-0.0513881,	0.679349,	0.731983,	0.00668384
1520438957520184092,	1.33637,	2.62094,	-0.630886,	0.00405368,	0.00874513,	0.00793351,	-0.00928806,	0.000893167,	0.0042155,	0.999948,	1.3235,	2.69285,	-0.411154,	-0.00109841,	-0.00862471,	0.00256665,	-0.0513481,	0.679339,	0.731995,	0.00675833
1520438957569643358,	1.33631,	2.62001,	-0.631242,	-0.00109867,	-0.0190816,	-0.00725762,	-0.0212991,	0.00257303,	0.00762941,	0.999741,	1.32339,	2.69254,	-0.411051,	-0.00223068,	-0.00642738,	0.00210342,	-0.0513881,	0.679381,	0.731953,	0.00674354
1520438957624715003,	1.33623,	2.62149,	-0.63107,	-0.00144968,	0.0268596,	0.00312934,	-0.0105485,	0.000883927,	0.00445225,	0.999934,	1.32351,	2.69278,	-0.411337,	0.00219586,	0.00439046,	-0.00519993,	-0.0514399,	0.679323,	0.732004,	0.00668368
1520438957676558620,	1.3363,	2.62099,	-0.631592,	0.00139372,	-0.00967934,	-0.0102364,	-0.0113354,	0.00276215,	0.00471655,	0.999921,	1.32333,	2.69303,	-0.411169,	-0.00351176,	0.00493197,	0.00328513,	-0.0514646,	0.6794,	0.731931,	0.00671472
1520438957730141114,	1.33629,	2.62155,	-0.630759,	-0.000346698,	0.0105374,	0.0157172,	-0.00947144,	0.000716718,	0.00397771,	0.999947,	1.32335,	2.69311,	-0.411267,	0.000341762,	0.00146897,	-0.001845,	-0.0514359,	0.679442,	0.731894,	0.00666294
1520438957789813357,	1.33639,	2.62088,	-0.630925,	0.0017984,	-0.011339,	-0.00281036,	-0.00888666,	0.000709845,	0.00416804,	0.999952,	1.32369,	2.69279,	-0.411183,	0.00578718,	-0.00540137,	0.00141879,	-0.0514092,	0.679357,	0.731974,	0.00665058
1520438957837167669,	1.33614,	2.62097,	-0.630739,	-0.00537959,	0.00196195,	0.00396399,	-0.00970062,	0.000883137,	0.00452153,	0.999942,	1.32352,	2.69293,	-0.411281,	-0.00370378,	0.00285259,	-0.00208703,	-0.0515002,	0.679342,	0.731983,	0.00663966
1520438957890278830,	1.33638,	2.6206,	-0.630403,	0.00451746,	-0.00709348,	0.00633233,	-0.00920517,	0.000193503,	0.00400572,	0.99995,	1.32341,	2.69294,	-0.411364,	-0.0019806,	0.000292304,	-0.00156393,	-0.0514986,	0.67934,	0.731984,	0.00665541
1520438957937003366,	1.33653,	2.62177,	-0.630331,	0.00320467,	0.025493,	0.00156065,	-0.00713447,	0.00129379,	0.00295972,	0.999969,	1.32349,	2.69282,	-0.411182,	0.0015841,	-0.00260958,	0.00396305,	-0.0514726,	0.679413,	0.731918,	0.00665222
1520438957984223005,	1.33632,	2.62142,	-0.631356,	-0.00430222,	-0.00755981,	-0.0217949,	-0.011941,	0.0014241,	0.00665671,	0.999906,	1.32343,	2.69278,	-0.411173,	-0.00111959,	-0.000816713,	0.000182806,	-0.0512239,	0.679505,	0.731847,	0.00697089
1520438958034570284,	1.33632,	2.62073,	-0.631233,	-8.33414e-05,	-0.013748,	0.00244085,	-0.0164486,	0.00228501,	0.00403639,	0.999854,	1.32354,	2.69305,	-0.411176,	0.00210203,	0.00525584,	-5.93584e-05,	-0.0508698,	0.679965,	0.731441,	0.00730207
1520438958081673745,	1.33641,	2.62083,	-0.629638,	0.00196207,	0.00223686,	0.0339559,	-0.0030578,	-0.000833416,	-0.000517392,	0.999995,	1.32344,	2.69436,	-0.411281,	-0.00215687,	0.0279497,	-0.00222293,	-0.0511007,	0.680822,	0.730629,	0.00715232
1520438958133266546,	1.33615,	2.62089,	-0.631518,	-0.00519443,	0.00101675,	-0.036881,	-0.00697786,	-0.00120924,	0.00458506,	0.999964,	1.32356,	2.69373,	-0.41115,	0.00231856,	-0.0123409,	0.00256252,	-0.050916,	0.679878,	0.731519,	0.0072916
1520438958185412221,	1.33613,	2.62071,	-0.629319,	-0.000378833,	-0.0034524,	0.0423057,	-0.0239256,	0.0019086,	0.00624933,	0.999692,	1.32353,	2.69274,	-0.411159,	-0.000418012,	-0.0190944,	-0.00016938,	-0.0510872,	0.679096,	0.732235,	0.00711774
1520438958238297316,	1.33657,	2.62229,	-0.631358,	0.0085327,	0.0304212,	-0.0392293,	-0.0105382,	0.0010554,	0.00333926,	0.999938,	1.32356,	2.6923,	-0.411117,	0.000492158,	-0.00832467,	0.000800856,	-0.0517192,	0.678934,	0.732348,	0.00640527
1520438958290973102,	1.33642,	2.62093,	-0.630617,	-0.00292464,	-0.026191,	0.0142688,	-0.00844048,	0.00102862,	0.00259327,	0.99996,	1.32389,	2.69161,	-0.411111,	0.00629164,	-0.013274,	0.000117165,	-0.0514712,	0.677998,	0.733231,	0.006435
1520438958345422576,	1.3368,	2.62137,	-0.630813,	0.00713131,	0.00815044,	-0.00364123,	-0.00818287,	-6.36895e-06,	0.0045228,	0.999956,	1.32342,	2.68999,	-0.411121,	-0.0086723,	-0.0300393,	-0.000189704,	-0.052811,	0.677472,	0.733631,	0.00531253
1520438958391247263,	1.33646,	2.61929,	-0.630257,	-0.00754042,	-0.0461304,	0.012359,	-0.0108338,	0.00250766,	0.00494612,	0.999926,	1.3216,	2.68997,	-0.409364,	-0.0404923,	-0.000580982,	0.0390488,	-0.0530988,	0.677471,	0.733616,	0.00449441
1520438958442980164,	1.33577,	2.61854,	-0.629757,	-0.0136906,	-0.0146129,	0.0097978,	-0.00166877,	4.99718e-05,	0.00662874,	0.999977,	1.31779,	2.68966,	-0.401382,	-0.0745774,	-0.00589135,	0.156515,	-0.0519231,	0.676793,	0.734332,	0.0034557
1520438958497627374,	1.33438,	2.62091,	-0.629952,	-0.0256676,	0.0438196,	-0.00360073,	-0.00729969,	0.00114301,	0.00589039,	0.999955,	1.31053,	2.68825,	-0.387505,	-0.134565,	-0.0262268,	0.256969,	-0.0512159,	0.675339,	0.735721,	0.00298974
1520438958554516468,	1.32898,	2.61721,	-0.622106,	-0.0963719,	-0.0661767,	0.140108,	-0.00677307,	0.00313139,	0.00718638,	0.999946,	1.30057,	2.688,	-0.369927,	-0.177809,	-0.00445854,	0.313898,	-0.0508165,	0.675251,	0.735835,	0.000608749
1520438958609237687,	1.32245,	2.62431,	-0.604773,	-0.121004,	0.131602,	0.320976,	-0.00449263,	0.00413651,	0.00499733,	0.999969,	1.28696,	2.68905,	-0.349838,	-0.251995,	0.0195551,	0.372018,	-0.0516048,	0.67684,	0.734318,	-0.00113726
1520438958666305735,	1.30746,	2.62463,	-0.586615,	-0.263023,	0.00558359,	0.318554,	-0.00768222,	0.00592412,	0.00660377,	0.999931,	1.27137,	2.68953,	-0.328137,	-0.273486,	0.00829668,	0.380727,	-0.0527246,	0.677879,	0.73327,	-0.00394127
1520438958728256733,	1.2904,	2.61171,	-0.56294,	-0.279581,	-0.211758,	0.388129,	-0.0081469,	0.00684583,	0.013097,	0.999858,	1.23835,	2.69232,	-0.283553,	-0.541336,	0.0458037,	0.730886,	-0.051193,	0.679999,	0.731337,	-0.0112715
1520438958784480312,	1.27671,	2.62969,	-0.536795,	-0.244526,	0.321026,	0.466862,	-0.0145601,	0.00924205,	0.011805,	0.999782,	1.22179,	2.69377,	-0.26191,	-0.295648,	0.0258704,	0.386485,	-0.0497624,	0.680003,	0.731386,	-0.0139279
1520438958853358289,	1.25272,	2.62854,	-0.513944,	-0.352783,	-0.0168479,	0.336052,	-0.0147373,	0.012696,	0.0158083,	0.999686,	1.20692,	2.69451,	-0.240234,	-0.218775,	0.0109367,	0.318756,	-0.0471528,	0.677105,	0.734218,	-0.01514
1520438958912277779,	1.23147,	2.62184,	-0.483071,	-0.366342,	-0.115591,	0.532294,	-0.0237058,	0.0209683,	0.0554353,	0.997961,	1.19285,	2.69412,	-0.219616,	-0.242567,	-0.00673131,	0.355477,	-0.0449716,	0.672917,	0.738209,	-0.014445
1520438958959583389,	1.21096,	2.6209,	-0.454189,	-0.436483,	-0.0199197,	0.614514,	-0.0153604,	0.0228979,	0.044911,	0.99861,	1.17956,	2.69384,	-0.200211,	-0.282677,	-0.00608216,	0.412876,	-0.0440094,	0.667172,	0.743503,	-0.0121516
1520438959011225936,	1.19331,	2.62425,	-0.434013,	-0.345942,	0.0655624,	0.395605,	0.000580853,	0.0204345,	0.0154952,	0.999671,	1.16689,	2.69149,	-0.182442,	-0.248423,	-0.0459937,	0.348423,	-0.0451412,	0.667859,	0.742865,	-0.00883284
1520438959061237111,	1.18223,	2.63912,	-0.417387,	-0.2217,	0.297409,	0.332508,	0.00699774,	0.0186779,	0.00912995,	0.999759,	1.15437,	2.69016,	-0.165528,	-0.250383,	-0.0266821,	0.338273,	-0.0487566,	0.669239,	0.7414,	-0.00824069
1520438959116834256,	1.16965,	2.62974,	-0.399228,	-0.228677,	-0.170462,	0.330173,	0.0178236,	0.014444,	0.010196,	0.999685,	1.14377,	2.68986,	-0.159706,	-0.192769,	-0.00534006,	0.105853,	-0.0521012,	0.66676,	0.743375,	-0.0104405
1520438959172667168,	1.16068,	2.64178,	-0.386744,	-0.163146,	0.218816,	0.226986,	0.0178437,	0.0123399,	0.0116937,	0.999696,	1.1289,	2.69037,	-0.14532,	-0.270427,	0.00924254,	0.261565,	-0.0573014,	0.673022,	0.737061,	-0.02235
1520438959222620130,	1.14982,	2.63359,	-0.372495,	-0.221606,	-0.167134,	0.290796,	0.0163982,	0.0127364,	0.0282125,	0.999386,	1.12136,	2.68545,	-0.137705,	-0.153947,	-0.100434,	0.155404,	-0.0571955,	0.688193,	0.722596,	-0.031199
