time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520438967850869152,	1.31567,	2.61801,	-0.630591,	-1.23797e-05,	0.000220736,	4.09113e-05,	0.0100999,	0.000754962,	0.00984522,	0.9999,	1.30238,	2.68005,	-0.410783,	-0.000111699,	0.00154653,	-0.000184795,	-0.0586521,	0.668935,	0.741002,	-0.000960092
1520438967901506435,	1.31554,	2.61854,	-0.630389,	-0.00252173,	0.0107286,	0.0040486,	0.0103785,	0.000121207,	0.0109813,	0.999886,	1.30246,	2.68047,	-0.410861,	0.00171955,	0.0082947,	-0.00156438,	-0.0587001,	0.668981,	0.740957,	-0.000924041
1520438967950643254,	1.31536,	2.61765,	-0.630826,	-0.00364337,	-0.0181414,	-0.00892068,	0.00682982,	0.000867226,	0.0102103,	0.999924,	1.30251,	2.68022,	-0.410775,	0.000905843,	-0.00508154,	0.00176404,	-0.058653,	0.668794,	0.74113,	-0.000874467
1520438968004435000,	1.31597,	2.61854,	-0.631135,	0.0114367,	0.0168171,	-0.00582212,	0.00758419,	0.00181055,	0.010626,	0.999913,	1.30238,	2.68015,	-0.410786,	-0.00230083,	-0.00116903,	-0.00021304,	-0.0586476,	0.668668,	0.741244,	-0.000817812
1520438968061757872,	1.31596,	2.61782,	-0.629537,	-0.000138475,	-0.0127185,	0.0280219,	0.0120316,	-0.000514581,	0.0129818,	0.999843,	1.30237,	2.67969,	-0.410666,	-0.000196921,	-0.00814976,	0.00210315,	-0.0585191,	0.668511,	0.741396,	-0.000752852
1520438968114183039,	1.31553,	2.618,	-0.630998,	-0.00821881,	0.00349183,	-0.028081,	0.00493298,	0.000515669,	0.0120319,	0.999915,	1.30233,	2.67998,	-0.410749,	-0.000767153,	0.00550987,	-0.00159756,	-0.058715,	0.668802,	0.741118,	-0.000928229
1520438968166130224,	1.31585,	2.61799,	-0.630536,	0.00632374,	-0.000152194,	0.009056,	0.00822034,	0.000892763,	0.0104853,	0.999911,	1.3026,	2.67971,	-0.410701,	0.00525229,	-0.00523236,	0.000950771,	-0.0587753,	0.668886,	0.741037,	-0.00113938
1520438968221783957,	1.31546,	2.61781,	-0.630603,	-0.00711812,	-0.00338738,	-0.00121741,	0.00668013,	0.00111373,	0.0112004,	0.999914,	1.3023,	2.68007,	-0.41074,	-0.0053903,	0.0064827,	-0.000717773,	-0.058637,	0.668731,	0.741189,	-0.000788029
1520438968272028090,	1.31588,	2.61794,	-0.630755,	0.00829488,	0.00259988,	-0.00303844,	0.00746783,	0.000829493,	0.0105729,	0.999916,	1.30234,	2.68016,	-0.410712,	0.000758915,	0.00189766,	0.000563745,	-0.0585363,	0.668548,	0.741361,	-0.000823664
1520438968318647166,	1.31574,	2.6182,	-0.631067,	-0.00308303,	0.00563137,	-0.00678139,	0.00738949,	0.0010096,	0.0105639,	0.999916,	1.30236,	2.68024,	-0.410774,	0.000308715,	0.00179789,	-0.00134685,	-0.0585138,	0.668572,	0.741341,	-0.000815546
1520438968368695984,	1.31587,	2.61783,	-0.62999,	0.00276012,	-0.00732109,	0.0215394,	0.00379378,	0.000673452,	0.0106639,	0.999936,	1.30235,	2.68061,	-0.410778,	-0.000133517,	0.00730894,	-7.14103e-05,	-0.0586736,	0.668825,	0.7411,	-0.00105435
1520438968417570891,	1.31569,	2.61819,	-0.630578,	-0.00381678,	0.00748693,	-0.0122613,	0.013806,	-0.000238263,	0.0103602,	0.999851,	1.30274,	2.68052,	-0.410783,	0.00810022,	-0.00188051,	-0.000106433,	-0.0587492,	0.668992,	0.740943,	-0.00119585
1520438968465993139,	1.31583,	2.61856,	-0.630652,	0.00280802,	0.00780793,	-0.00153852,	0.006711,	0.000993485,	0.0109311,	0.999917,	1.30246,	2.67989,	-0.410774,	-0.00587739,	-0.0131856,	0.000183623,	-0.0585361,	0.668486,	0.741417,	-0.000829601
1520438968515183393,	1.31568,	2.61875,	-0.630875,	-0.00289106,	0.00374365,	-0.00455777,	0.00770861,	0.000875756,	0.0108561,	0.999911,	1.30229,	2.68015,	-0.410911,	-0.00333021,	0.005465,	-0.0028067,	-0.0585469,	0.668495,	0.741408,	-0.000782415
1520438968561421803,	1.31556,	2.61719,	-0.630611,	-0.00266294,	-0.0339298,	0.00573781,	0.0080179,	0.000893897,	0.0104806,	0.999913,	1.30236,	2.68038,	-0.410762,	0.00135296,	0.00495817,	0.00324251,	-0.0585166,	0.668559,	0.741353,	-0.000915136
1520438968617412957,	1.31552,	2.61823,	-0.630077,	-0.000751145,	0.0189635,	0.00971351,	0.00935325,	0.00288479,	0.00488699,	0.99994,	1.30236,	2.68027,	-0.410609,	2.00084e-05,	-0.00211077,	0.00278301,	-0.0587188,	0.668864,	0.741062,	-0.00105385
1520438968664672728,	1.31564,	2.6176,	-0.630604,	0.00254856,	-0.0133483,	-0.011209,	0.00734788,	0.00104438,	0.0108284,	0.999914,	1.30241,	2.68024,	-0.41072,	0.00120349,	-0.000585605,	-0.00235873,	-0.0587778,	0.668868,	0.741053,	-0.00109642
1520438968716482757,	1.31569,	2.61829,	-0.63064,	0.00100823,	0.013425,	-0.000716276,	0.0042858,	0.00186358,	0.0111092,	0.999927,	1.30222,	2.68012,	-0.410634,	-0.00387197,	-0.0023988,	0.00169145,	-0.0585467,	0.668519,	0.741387,	-0.000778827
1520438968782183349,	1.31571,	2.61781,	-0.630941,	0.000269079,	-0.00739744,	-0.00461732,	0.00798217,	0.000958199,	0.0104056,	0.999914,	1.30241,	2.68039,	-0.410699,	0.00299586,	0.00427674,	-0.000999539,	-0.0586634,	0.668716,	0.7412,	-0.000977071
1520438968840498212,	1.31549,	2.61785,	-0.63108,	-0.00373867,	0.000746116,	-0.00240618,	0.00710094,	0.00173933,	0.00963008,	0.999927,	1.30238,	2.68078,	-0.410713,	-0.000529944,	0.00672285,	-0.000246002,	-0.0583045,	0.668991,	0.74098,	-0.00067735
1520438968890309028,	1.31582,	2.61828,	-0.630365,	0.00672513,	0.00877415,	0.0145882,	0.00420929,	0.00203305,	0.0115977,	0.999922,	1.30262,	2.6794,	-0.410835,	0.00486847,	-0.0282297,	-0.00248677,	-0.0574761,	0.667685,	0.742221,	0.000323602
1520438968945903058,	1.31545,	2.6165,	-0.630963,	-0.00676642,	-0.0323827,	-0.0108733,	0.00834247,	0.000311067,	0.0109247,	0.999905,	1.30252,	2.67821,	-0.4108,	-0.00181303,	-0.0216746,	0.000633896,	-0.0585704,	0.666348,	0.743336,	-0.000858122
1520438968993304986,	1.31582,	2.61758,	-0.630572,	0.00780171,	0.0231108,	0.00833059,	0.00921301,	0.000922661,	0.00983977,	0.999909,	1.30232,	2.68064,	-0.410713,	-0.00416016,	0.0516967,	0.00186086,	-0.059064,	0.668737,	0.741147,	-0.00157363
1520438969042113682,	1.31603,	2.61755,	-0.630873,	0.00444892,	-0.000802275,	-0.00628013,	0.00909651,	0.000988372,	0.0107293,	0.999901,	1.3024,	2.68164,	-0.410501,	0.00160876,	0.0209152,	0.0044134,	-0.0542312,	0.670189,	0.740202,	0.00270454
1520438969108278726,	1.31531,	2.61738,	-0.630658,	-0.0108746,	-0.00255308,	0.00325539,	0.0066945,	0.00165335,	0.0104326,	0.999922,	1.30059,	2.67941,	-0.406468,	-0.0273643,	-0.0338566,	0.0611047,	-0.0525852,	0.670288,	0.740231,	0.00265094
1520438969161515904,	1.31481,	2.6161,	-0.630721,	-0.00938072,	-0.024025,	-0.00118521,	0.00496804,	0.00240213,	0.00733801,	0.999958,	1.2941,	2.67412,	-0.39239,	-0.122527,	-0.0997986,	0.265627,	-0.0548427,	0.669454,	0.740826,	0.000868087
