time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520438943029600624,	1.32707,	2.65723,	-0.625191,	8.72818e-10,	1.74767e-09,	-4.11191e-10,	0.00437409,	-0.00149125,	0.0713621,	0.99744,	1.30954,	2.70204,	-0.410697,	8.61288e-10,	1.77714e-09,	-2.70117e-10,	-0.095747,	0.673904,	0.731529,	-0.0393845
1520438943036859820,	1.32707,	2.65723,	-0.625191,	0,	0,	0,	0.00437409,	-0.00149125,	0.0713621,	0.99744,	1.30954,	2.70204,	-0.410697,	0,	0,	0,	-0.095747,	0.673904,	0.731529,	-0.0393845
1520438943042493474,	1.32707,	2.65723,	-0.625191,	0,	0,	0,	0.00437409,	-0.00149125,	0.0713621,	0.99744,	1.30954,	2.70204,	-0.410697,	0,	0,	0,	-0.095747,	0.673904,	0.731529,	-0.0393845
1520438943047292688,	1.32707,	2.65723,	-0.625191,	0,	0,	0,	0.00437409,	-0.00149125,	0.0713621,	0.99744,	1.30954,	2.70204,	-0.410697,	0,	0,	0,	-0.095747,	0.673904,	0.731529,	-0.0393845
1520438943050888422,	1.32707,	2.65723,	-0.625191,	0,	0,	0,	0.00437409,	-0.00149125,	0.0713621,	0.99744,	1.30954,	2.70204,	-0.410697,	0,	0,	0,	-0.095747,	0.673904,	0.731529,	-0.0393845
1520438943057202815,	1.32707,	2.65723,	-0.625191,	0,	0,	0,	0.00437409,	-0.00149125,	0.0713621,	0.99744,	1.30954,	2.70204,	-0.410697,	0,	0,	0,	-0.095747,	0.673904,	0.731529,	-0.0393845
1520438943062430799,	1.32707,	2.65723,	-0.625191,	0,	0,	0,	0.00437409,	-0.00149125,	0.0713621,	0.99744,	1.30954,	2.70204,	-0.410697,	0,	0,	0,	-0.095747,	0.673904,	0.731529,	-0.0393845
1520438943068117970,	1.32707,	2.65723,	-0.625191,	0,	0,	0,	0.00437409,	-0.00149125,	0.0713621,	0.99744,	1.30954,	2.70204,	-0.410697,	0,	0,	0,	-0.095747,	0.673904,	0.731529,	-0.0393845
1520438943071202573,	1.32707,	2.65723,	-0.625191,	0,	0,	0,	0.00437409,	-0.00149125,	0.0713621,	0.99744,	1.30954,	2.70204,	-0.410697,	0,	0,	0,	-0.095747,	0.673904,	0.731529,	-0.0393845
1520438943075883501,	1.3272,	2.65763,	-0.62532,	0.033295,	0.0994334,	-0.0324525,	0.00435464,	-0.00111904,	0.0721995,	0.99738,	1.30961,	2.70174,	-0.410679,	0.0196604,	-0.0738212,	0.00450498,	-0.0957493,	0.673726,	0.731694,	-0.039357
1520438943082314626,	1.32718,	2.6576,	-0.625314,	-0.00238718,	-0.00474912,	0.00107984,	0.00433864,	-0.00111817,	0.0721905,	0.997381,	1.30961,	2.70174,	-0.410679,	0,	0,	0,	-0.0957493,	0.673726,	0.731694,	-0.039357
1520438943087239285,	1.32718,	2.6576,	-0.625314,	0,	0,	0,	0.00433864,	-0.00111817,	0.0721905,	0.997381,	1.30961,	2.70174,	-0.410679,	0,	0,	0,	-0.0957493,	0.673726,	0.731694,	-0.039357
1520438943092831355,	1.32718,	2.6576,	-0.625314,	0,	0,	0,	0.00433864,	-0.00111817,	0.0721905,	0.997381,	1.30961,	2.70174,	-0.410679,	0,	0,	0,	-0.0957493,	0.673726,	0.731694,	-0.039357
1520438943094627913,	1.32718,	2.6576,	-0.625314,	0,	0,	0,	0.00433864,	-0.00111817,	0.0721905,	0.997381,	1.30961,	2.70174,	-0.410679,	0,	0,	0,	-0.0957493,	0.673726,	0.731694,	-0.039357
1520438943103764165,	1.32718,	2.6576,	-0.625314,	0,	0,	0,	0.00433864,	-0.00111817,	0.0721905,	0.997381,	1.30961,	2.70174,	-0.410679,	0,	0,	0,	-0.0957493,	0.673726,	0.731694,	-0.039357
1520438943107124221,	1.32718,	2.6576,	-0.625314,	0,	0,	0,	0.00433864,	-0.00111817,	0.0721905,	0.997381,	1.30961,	2.70174,	-0.410679,	0,	0,	0,	-0.0957493,	0.673726,	0.731694,	-0.039357
1520438943112171094,	1.32718,	2.6576,	-0.625314,	0,	0,	0,	0.00433864,	-0.00111817,	0.0721905,	0.997381,	1.30961,	2.70174,	-0.410679,	0,	0,	0,	-0.0957493,	0.673726,	0.731694,	-0.039357
1520438943117239724,	1.32718,	2.6576,	-0.625314,	0,	0,	0,	0.00433864,	-0.00111817,	0.0721905,	0.997381,	1.30961,	2.70174,	-0.410679,	0,	0,	0,	-0.0957493,	0.673726,	0.731694,	-0.039357
1520438943121051514,	1.32718,	2.6576,	-0.625314,	0,	0,	0,	0.00433864,	-0.00111817,	0.0721905,	0.997381,	1.30961,	2.70174,	-0.410679,	0,	0,	0,	-0.0957493,	0.673726,	0.731694,	-0.039357
1520438943128353849,	1.32734,	2.65802,	-0.6252,	0.0221298,	0.0597548,	0.0162706,	0.00402727,	-0.00117104,	0.0720195,	0.997394,	1.30976,	2.70191,	-0.410746,	0.0207142,	0.0243811,	-0.00966103,	-0.0957587,	0.673874,	0.731554,	-0.0394112
1520438943130160678,	1.32734,	2.65807,	-0.62521,	-0.00404192,	0.0488344,	-0.0102377,	0.00386492,	-0.00116982,	0.0720882,	0.99739,	1.30976,	2.70191,	-0.410746,	0,	0,	0,	-0.0957587,	0.673874,	0.731554,	-0.0394112
1520438943138948457,	1.32734,	2.65807,	-0.62521,	0,	0,	0,	0.00386492,	-0.00116982,	0.0720882,	0.99739,	1.30976,	2.70191,	-0.410746,	0,	0,	0,	-0.0957587,	0.673874,	0.731554,	-0.0394112
1520438943143498861,	1.32734,	2.65807,	-0.62521,	0,	0,	0,	0.00386492,	-0.00116982,	0.0720882,	0.99739,	1.30976,	2.70191,	-0.410746,	0,	0,	0,	-0.0957587,	0.673874,	0.731554,	-0.0394112
1520438943148513423,	1.32734,	2.65807,	-0.62521,	0,	0,	0,	0.00386492,	-0.00116982,	0.0720882,	0.99739,	1.30976,	2.70191,	-0.410746,	0,	0,	0,	-0.0957587,	0.673874,	0.731554,	-0.0394112
1520438943152852124,	1.32734,	2.65807,	-0.62521,	0,	0,	0,	0.00386492,	-0.00116982,	0.0720882,	0.99739,	1.30976,	2.70191,	-0.410746,	0,	0,	0,	-0.0957587,	0.673874,	0.731554,	-0.0394112
1520438943156761663,	1.32734,	2.65807,	-0.62521,	0,	0,	0,	0.00386492,	-0.00116982,	0.0720882,	0.99739,	1.30976,	2.70191,	-0.410746,	0,	0,	0,	-0.0957587,	0.673874,	0.731554,	-0.0394112
1520438943160961933,	1.32734,	2.65807,	-0.62521,	0,	0,	0,	0.00386492,	-0.00116982,	0.0720882,	0.99739,	1.30976,	2.70191,	-0.410746,	0,	0,	0,	-0.0957587,	0.673874,	0.731554,	-0.0394112
1520438943164810488,	1.32734,	2.65807,	-0.62521,	0,	0,	0,	0.00386492,	-0.00116982,	0.0720882,	0.99739,	1.30976,	2.70191,	-0.410746,	0,	0,	0,	-0.0957587,	0.673874,	0.731554,	-0.0394112
1520438943170915021,	1.32734,	2.65807,	-0.62521,	0,	0,	0,	0.00386492,	-0.00116982,	0.0720882,	0.99739,	1.30976,	2.70191,	-0.410746,	0,	0,	0,	-0.0957587,	0.673874,	0.731554,	-0.0394112
1520438943177273970,	1.32732,	2.65772,	-0.625453,	-0.00205713,	-0.0580284,	-0.0405255,	0.00409233,	-0.00113514,	0.0722853,	0.997375,	1.30982,	2.70199,	-0.410698,	0.00978331,	0.0124108,	0.0079985,	-0.0957591,	0.673983,	0.731454,	-0.039382
1520438943182076193,	1.32732,	2.65772,	-0.625453,	0,	0,	0,	0.00409233,	-0.00113514,	0.0722853,	0.997375,	1.30982,	2.70199,	-0.410698,	0,	0,	0,	-0.0957591,	0.673983,	0.731454,	-0.039382
1520438943186017304,	1.32732,	2.65772,	-0.625453,	0,	0,	0,	0.00409233,	-0.00113514,	0.0722853,	0.997375,	1.30982,	2.70199,	-0.410698,	0,	0,	0,	-0.0957591,	0.673983,	0.731454,	-0.039382
1520438943193186921,	1.32732,	2.65772,	-0.625453,	0,	0,	0,	0.00409233,	-0.00113514,	0.0722853,	0.997375,	1.30982,	2.70199,	-0.410698,	0,	0,	0,	-0.0957591,	0.673983,	0.731454,	-0.039382
1520438943195124717,	1.32732,	2.65772,	-0.625453,	0,	0,	0,	0.00409233,	-0.00113514,	0.0722853,	0.997375,	1.30982,	2.70199,	-0.410698,	0,	0,	0,	-0.0957591,	0.673983,	0.731454,	-0.039382
1520438943202397580,	1.32732,	2.65772,	-0.625453,	0,	0,	0,	0.00409233,	-0.00113514,	0.0722853,	0.997375,	1.30982,	2.70199,	-0.410698,	0,	0,	0,	-0.0957591,	0.673983,	0.731454,	-0.039382
1520438943206029786,	1.32732,	2.65772,	-0.625453,	0,	0,	0,	0.00409233,	-0.00113514,	0.0722853,	0.997375,	1.30982,	2.70199,	-0.410698,	0,	0,	0,	-0.0957591,	0.673983,	0.731454,	-0.039382
1520438943211017231,	1.32732,	2.65772,	-0.625453,	0,	0,	0,	0.00409233,	-0.00113514,	0.0722853,	0.997375,	1.30982,	2.70199,	-0.410698,	0,	0,	0,	-0.0957591,	0.673983,	0.731454,	-0.039382
1520438943216114137,	1.32732,	2.65772,	-0.625453,	0,	0,	0,	0.00409233,	-0.00113514,	0.0722853,	0.997375,	1.30982,	2.70199,	-0.410698,	0,	0,	0,	-0.0957591,	0.673983,	0.731454,	-0.039382
1520438943221625310,	1.32732,	2.65772,	-0.625453,	0,	0,	0,	0.00409233,	-0.00113514,	0.0722853,	0.997375,	1.30982,	2.70199,	-0.410698,	0,	0,	0,	-0.0957591,	0.673983,	0.731454,	-0.039382
1520438943227194738,	1.32733,	2.65718,	-0.625156,	0.00046184,	-0.108991,	0.0594598,	0.00493163,	-0.00108134,	0.07201,	0.997391,	1.30976,	2.7023,	-0.410691,	-0.0121562,	0.0613556,	0.00142321,	-0.0957718,	0.673828,	0.73159,	-0.039502
1520438943229321606,	1.32733,	2.65718,	-0.625156,	0,	0,	0,	0.00493163,	-0.00108134,	0.07201,	0.997391,	1.30976,	2.7023,	-0.410691,	0,	0,	0,	-0.0957718,	0.673828,	0.73159,	-0.039502
1520438943236314308,	1.32733,	2.65718,	-0.625156,	0,	0,	0,	0.00493163,	-0.00108134,	0.07201,	0.997391,	1.30976,	2.7023,	-0.410691,	0,	0,	0,	-0.0957718,	0.673828,	0.73159,	-0.039502
1520438943241393168,	1.32733,	2.65718,	-0.625156,	0,	0,	0,	0.00493163,	-0.00108134,	0.07201,	0.997391,	1.30976,	2.7023,	-0.410691,	0,	0,	0,	-0.0957718,	0.673828,	0.73159,	-0.039502
1520438943247605487,	1.32733,	2.65718,	-0.625156,	0,	0,	0,	0.00493163,	-0.00108134,	0.07201,	0.997391,	1.30976,	2.7023,	-0.410691,	0,	0,	0,	-0.0957718,	0.673828,	0.73159,	-0.039502
1520438943250631776,	1.32733,	2.65718,	-0.625156,	0,	0,	0,	0.00493163,	-0.00108134,	0.07201,	0.997391,	1.30976,	2.7023,	-0.410691,	0,	0,	0,	-0.0957718,	0.673828,	0.73159,	-0.039502
1520438943255828075,	1.32733,	2.65718,	-0.625156,	0,	0,	0,	0.00493163,	-0.00108134,	0.07201,	0.997391,	1.30976,	2.7023,	-0.410691,	0,	0,	0,	-0.0957718,	0.673828,	0.73159,	-0.039502
1520438943259974585,	1.32733,	2.65718,	-0.625156,	0,	0,	0,	0.00493163,	-0.00108134,	0.07201,	0.997391,	1.30976,	2.7023,	-0.410691,	0,	0,	0,	-0.0957718,	0.673828,	0.73159,	-0.039502
1520438943266511934,	1.32733,	2.65718,	-0.625156,	0,	0,	0,	0.00493163,	-0.00108134,	0.07201,	0.997391,	1.30976,	2.7023,	-0.410691,	0,	0,	0,	-0.0957718,	0.673828,	0.73159,	-0.039502
1520438943274190018,	1.32724,	2.657,	-0.624862,	-0.0124218,	-0.0245564,	0.0420752,	0.0045871,	-0.00130741,	0.0725751,	0.997352,	1.30992,	2.70262,	-0.41092,	0.0239275,	0.0458622,	-0.0326482,	-0.0957057,	0.673972,	0.731465,	-0.0394968
1520438943278547852,	1.32724,	2.657,	-0.624862,	0,	0,	0,	0.0045871,	-0.00130741,	0.0725751,	0.997352,	1.30992,	2.70262,	-0.41092,	0,	0,	0,	-0.0957057,	0.673972,	0.731465,	-0.0394968
1520438943280284265,	1.32724,	2.657,	-0.624862,	0,	0,	0,	0.0045871,	-0.00130741,	0.0725751,	0.997352,	1.30992,	2.70262,	-0.41092,	0,	0,	0,	-0.0957057,	0.673972,	0.731465,	-0.0394968
1520438943287533183,	1.32724,	2.657,	-0.624862,	0,	0,	0,	0.0045871,	-0.00130741,	0.0725751,	0.997352,	1.30992,	2.70262,	-0.41092,	0,	0,	0,	-0.0957057,	0.673972,	0.731465,	-0.0394968
1520438943291186011,	1.32724,	2.657,	-0.624862,	0,	0,	0,	0.0045871,	-0.00130741,	0.0725751,	0.997352,	1.30992,	2.70262,	-0.41092,	0,	0,	0,	-0.0957057,	0.673972,	0.731465,	-0.0394968
1520438943294280628,	1.32724,	2.657,	-0.624862,	0,	0,	0,	0.0045871,	-0.00130741,	0.0725751,	0.997352,	1.30992,	2.70262,	-0.41092,	0,	0,	0,	-0.0957057,	0.673972,	0.731465,	-0.0394968
1520438943300658886,	1.32724,	2.657,	-0.624862,	0,	0,	0,	0.0045871,	-0.00130741,	0.0725751,	0.997352,	1.30992,	2.70262,	-0.41092,	0,	0,	0,	-0.0957057,	0.673972,	0.731465,	-0.0394968
1520438943306852232,	1.32724,	2.657,	-0.624862,	0,	0,	0,	0.0045871,	-0.00130741,	0.0725751,	0.997352,	1.30992,	2.70262,	-0.41092,	0,	0,	0,	-0.0957057,	0.673972,	0.731465,	-0.0394968
1520438943312301273,	1.32724,	2.657,	-0.624862,	0,	0,	0,	0.0045871,	-0.00130741,	0.0725751,	0.997352,	1.30992,	2.70262,	-0.41092,	0,	0,	0,	-0.0957057,	0.673972,	0.731465,	-0.0394968
1520438943316930502,	1.32724,	2.657,	-0.624862,	0,	0,	0,	0.0045871,	-0.00130741,	0.0725751,	0.997352,	1.30992,	2.70262,	-0.41092,	0,	0,	0,	-0.0957057,	0.673972,	0.731465,	-0.0394968
1520438943323351313,	1.32737,	2.65714,	-0.625131,	0.0219889,	0.0227658,	-0.0449525,	0.00459713,	-0.00133775,	0.0719395,	0.997398,	1.30988,	2.70252,	-0.410782,	-0.00674591,	-0.0154397,	0.0229558,	-0.0957359,	0.673881,	0.731545,	-0.0395108
1520438943327996744,	1.32737,	2.65714,	-0.625131,	0,	0,	0,	0.00459713,	-0.00133775,	0.0719395,	0.997398,	1.30988,	2.70252,	-0.410782,	0,	0,	0,	-0.0957359,	0.673881,	0.731545,	-0.0395108
1520438943330065927,	1.32737,	2.65714,	-0.625131,	0,	0,	0,	0.00459713,	-0.00133775,	0.0719395,	0.997398,	1.30988,	2.70252,	-0.410782,	0,	0,	0,	-0.0957359,	0.673881,	0.731545,	-0.0395108
1520438943335350001,	1.32737,	2.65714,	-0.625131,	0,	0,	0,	0.00459713,	-0.00133775,	0.0719395,	0.997398,	1.30988,	2.70252,	-0.410782,	0,	0,	0,	-0.0957359,	0.673881,	0.731545,	-0.0395108
1520438943340686702,	1.32737,	2.65714,	-0.625131,	0,	0,	0,	0.00459713,	-0.00133775,	0.0719395,	0.997398,	1.30988,	2.70252,	-0.410782,	0,	0,	0,	-0.0957359,	0.673881,	0.731545,	-0.0395108
1520438943347500077,	1.32737,	2.65714,	-0.625131,	0,	0,	0,	0.00459713,	-0.00133775,	0.0719395,	0.997398,	1.30988,	2.70252,	-0.410782,	0,	0,	0,	-0.0957359,	0.673881,	0.731545,	-0.0395108
1520438943352658737,	1.32737,	2.65714,	-0.625131,	0,	0,	0,	0.00459713,	-0.00133775,	0.0719395,	0.997398,	1.30988,	2.70252,	-0.410782,	0,	0,	0,	-0.0957359,	0.673881,	0.731545,	-0.0395108
1520438943357309860,	1.32737,	2.65714,	-0.625131,	0,	0,	0,	0.00459713,	-0.00133775,	0.0719395,	0.997398,	1.30988,	2.70252,	-0.410782,	0,	0,	0,	-0.0957359,	0.673881,	0.731545,	-0.0395108
1520438943360948170,	1.32737,	2.65714,	-0.625131,	0,	0,	0,	0.00459713,	-0.00133775,	0.0719395,	0.997398,	1.30988,	2.70252,	-0.410782,	0,	0,	0,	-0.0957359,	0.673881,	0.731545,	-0.0395108
1520438943364051288,	1.32737,	2.65714,	-0.625131,	0,	0,	0,	0.00459713,	-0.00133775,	0.0719395,	0.997398,	1.30988,	2.70252,	-0.410782,	0,	0,	0,	-0.0957359,	0.673881,	0.731545,	-0.0395108
1520438943372184925,	1.32737,	2.65714,	-0.625131,	0,	0,	0,	0.00459713,	-0.00133775,	0.0719395,	0.997398,	1.30988,	2.70252,	-0.410782,	0,	0,	0,	-0.0957359,	0.673881,	0.731545,	-0.0395108
