time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520438956762371263,	1.33658,	2.64323,	-0.625256,	-7.61716e-05,	-2.59256e-05,	-2.95819e-06,	0.00448185,	-0.00133304,	0.00152487,	0.999988,	1.32314,	2.69344,	-0.411332,	-9.86811e-05,	-0.000225577,	-5.48634e-07,	-0.0514084,	0.679538,	0.731804,	0.00696768
1520438956764086629,	1.33658,	2.64323,	-0.625256,	0,	0,	0,	0.00448185,	-0.00133304,	0.00152487,	0.999988,	1.32314,	2.69344,	-0.411332,	0,	0,	0,	-0.0514084,	0.679538,	0.731804,	0.00696768
1520438956770892210,	1.33658,	2.64323,	-0.625256,	0,	0,	0,	0.00448185,	-0.00133304,	0.00152487,	0.999988,	1.32314,	2.69344,	-0.411332,	0,	0,	0,	-0.0514084,	0.679538,	0.731804,	0.00696768
1520438956774929851,	1.33674,	2.64323,	-0.62531,	0.0397757,	-0.000193878,	-0.0135598,	0.00437997,	-0.00133457,	0.00145859,	0.999988,	1.32337,	2.69318,	-0.411433,	0.0582053,	-0.0646377,	-0.0253365,	-0.0513805,	0.679486,	0.731855,	0.00694112
1520438956780461202,	1.33674,	2.64323,	-0.62531,	0,	0,	0,	0.00437997,	-0.00133457,	0.00145859,	0.999988,	1.32337,	2.69318,	-0.411433,	0,	0,	0,	-0.0513805,	0.679486,	0.731855,	0.00694112
1520438956786091060,	1.33674,	2.64323,	-0.62531,	0,	0,	0,	0.00437997,	-0.00133457,	0.00145859,	0.999988,	1.32337,	2.69318,	-0.411433,	0,	0,	0,	-0.0513805,	0.679486,	0.731855,	0.00694112
1520438956791370813,	1.33674,	2.64323,	-0.62531,	0,	0,	0,	0.00437997,	-0.00133457,	0.00145859,	0.999988,	1.32337,	2.69318,	-0.411433,	0,	0,	0,	-0.0513805,	0.679486,	0.731855,	0.00694112
1520438956797590729,	1.33674,	2.64323,	-0.62531,	0,	0,	0,	0.00437997,	-0.00133457,	0.00145859,	0.999988,	1.32337,	2.69318,	-0.411433,	0,	0,	0,	-0.0513805,	0.679486,	0.731855,	0.00694112
1520438956800010037,	1.33674,	2.64323,	-0.62531,	0,	0,	0,	0.00437997,	-0.00133457,	0.00145859,	0.999988,	1.32337,	2.69318,	-0.411433,	0,	0,	0,	-0.0513805,	0.679486,	0.731855,	0.00694112
1520438956805473704,	1.33674,	2.64323,	-0.62531,	0,	0,	0,	0.00437997,	-0.00133457,	0.00145859,	0.999988,	1.32337,	2.69318,	-0.411433,	0,	0,	0,	-0.0513805,	0.679486,	0.731855,	0.00694112
1520438956812371598,	1.33674,	2.64323,	-0.62531,	0,	0,	0,	0.00437997,	-0.00133457,	0.00145859,	0.999988,	1.32337,	2.69318,	-0.411433,	0,	0,	0,	-0.0513805,	0.679486,	0.731855,	0.00694112
1520438956814060417,	1.33674,	2.64323,	-0.62531,	0,	0,	0,	0.00437997,	-0.00133457,	0.00145859,	0.999988,	1.32337,	2.69318,	-0.411433,	0,	0,	0,	-0.0513805,	0.679486,	0.731855,	0.00694112
1520438956821878147,	1.33674,	2.64323,	-0.62531,	0,	0,	0,	0.00437997,	-0.00133457,	0.00145859,	0.999988,	1.32337,	2.69318,	-0.411433,	0,	0,	0,	-0.0513805,	0.679486,	0.731855,	0.00694112
1520438956827106915,	1.33692,	2.64312,	-0.625223,	0.0372268,	-0.0219056,	0.017296,	0.00437375,	-0.00151855,	0.00099631,	0.999989,	1.32338,	2.69325,	-0.411244,	0.00153603,	0.0144717,	0.0377911,	-0.0513937,	0.679475,	0.731864,	0.00689599
1520438956830835235,	1.33692,	2.64312,	-0.625223,	0,	0,	0,	0.00437375,	-0.00151855,	0.00099631,	0.999989,	1.32338,	2.69325,	-0.411244,	0,	0,	0,	-0.0513937,	0.679475,	0.731864,	0.00689599
1520438956835559301,	1.33692,	2.64312,	-0.625223,	0,	0,	0,	0.00437375,	-0.00151855,	0.00099631,	0.999989,	1.32338,	2.69325,	-0.411244,	0,	0,	0,	-0.0513937,	0.679475,	0.731864,	0.00689599
1520438956838716223,	1.33692,	2.64312,	-0.625223,	0,	0,	0,	0.00437375,	-0.00151855,	0.00099631,	0.999989,	1.32338,	2.69325,	-0.411244,	0,	0,	0,	-0.0513937,	0.679475,	0.731864,	0.00689599
1520438956846551918,	1.33692,	2.64312,	-0.625223,	0,	0,	0,	0.00437375,	-0.00151855,	0.00099631,	0.999989,	1.32338,	2.69325,	-0.411244,	0,	0,	0,	-0.0513937,	0.679475,	0.731864,	0.00689599
1520438956851440884,	1.33692,	2.64312,	-0.625223,	0,	0,	0,	0.00437375,	-0.00151855,	0.00099631,	0.999989,	1.32338,	2.69325,	-0.411244,	0,	0,	0,	-0.0513937,	0.679475,	0.731864,	0.00689599
1520438956855831909,	1.33692,	2.64312,	-0.625223,	0,	0,	0,	0.00437375,	-0.00151855,	0.00099631,	0.999989,	1.32338,	2.69325,	-0.411244,	0,	0,	0,	-0.0513937,	0.679475,	0.731864,	0.00689599
1520438956861171307,	1.33692,	2.64312,	-0.625223,	0,	0,	0,	0.00437375,	-0.00151855,	0.00099631,	0.999989,	1.32338,	2.69325,	-0.411244,	0,	0,	0,	-0.0513937,	0.679475,	0.731864,	0.00689599
1520438956863902908,	1.33692,	2.64312,	-0.625223,	0,	0,	0,	0.00437375,	-0.00151855,	0.00099631,	0.999989,	1.32338,	2.69325,	-0.411244,	0,	0,	0,	-0.0513937,	0.679475,	0.731864,	0.00689599
1520438956870500616,	1.33692,	2.64312,	-0.625223,	0,	0,	0,	0.00437375,	-0.00151855,	0.00099631,	0.999989,	1.32338,	2.69325,	-0.411244,	0,	0,	0,	-0.0513937,	0.679475,	0.731864,	0.00689599
1520438956877488656,	1.33673,	2.64251,	-0.625092,	-0.0315321,	-0.10151,	0.0219153,	0.00455495,	-0.00128382,	0.0013899,	0.999988,	1.32368,	2.69283,	-0.411188,	0.0502106,	-0.0704268,	0.00926644,	-0.0513803,	0.679314,	0.732015,	0.00684951
1520438956879641971,	1.33673,	2.64251,	-0.625092,	0,	0,	0,	0.00455495,	-0.00128382,	0.0013899,	0.999988,	1.32368,	2.69283,	-0.411188,	0,	0,	0,	-0.0513803,	0.679314,	0.732015,	0.00684951
1520438956886125886,	1.33673,	2.64251,	-0.625092,	0,	0,	0,	0.00455495,	-0.00128382,	0.0013899,	0.999988,	1.32368,	2.69283,	-0.411188,	0,	0,	0,	-0.0513803,	0.679314,	0.732015,	0.00684951
1520438956889677484,	1.33673,	2.64251,	-0.625092,	0,	0,	0,	0.00455495,	-0.00128382,	0.0013899,	0.999988,	1.32368,	2.69283,	-0.411188,	0,	0,	0,	-0.0513803,	0.679314,	0.732015,	0.00684951
1520438956894626270,	1.33673,	2.64251,	-0.625092,	0,	0,	0,	0.00455495,	-0.00128382,	0.0013899,	0.999988,	1.32368,	2.69283,	-0.411188,	0,	0,	0,	-0.0513803,	0.679314,	0.732015,	0.00684951
1520438956901032249,	1.33673,	2.64251,	-0.625092,	0,	0,	0,	0.00455495,	-0.00128382,	0.0013899,	0.999988,	1.32368,	2.69283,	-0.411188,	0,	0,	0,	-0.0513803,	0.679314,	0.732015,	0.00684951
1520438956906559447,	1.33673,	2.64251,	-0.625092,	0,	0,	0,	0.00455495,	-0.00128382,	0.0013899,	0.999988,	1.32368,	2.69283,	-0.411188,	0,	0,	0,	-0.0513803,	0.679314,	0.732015,	0.00684951
1520438956911555182,	1.33673,	2.64251,	-0.625092,	0,	0,	0,	0.00455495,	-0.00128382,	0.0013899,	0.999988,	1.32368,	2.69283,	-0.411188,	0,	0,	0,	-0.0513803,	0.679314,	0.732015,	0.00684951
1520438956913986661,	1.33673,	2.64251,	-0.625092,	0,	0,	0,	0.00455495,	-0.00128382,	0.0013899,	0.999988,	1.32368,	2.69283,	-0.411188,	0,	0,	0,	-0.0513803,	0.679314,	0.732015,	0.00684951
1520438956921704429,	1.33673,	2.64251,	-0.625092,	0,	0,	0,	0.00455495,	-0.00128382,	0.0013899,	0.999988,	1.32368,	2.69283,	-0.411188,	0,	0,	0,	-0.0513803,	0.679314,	0.732015,	0.00684951
1520438956927023319,	1.33705,	2.64325,	-0.625307,	0.0629281,	0.146966,	-0.042968,	0.00433725,	-0.00151687,	0.000927211,	0.999989,	1.32369,	2.6926,	-0.411166,	0.0017322,	-0.0449821,	0.00440915,	-0.0513768,	0.679212,	0.73211,	0.00686052
1520438956931595364,	1.33705,	2.64325,	-0.625307,	0,	0,	0,	0.00433725,	-0.00151687,	0.000927211,	0.999989,	1.32369,	2.6926,	-0.411166,	0,	0,	0,	-0.0513768,	0.679212,	0.73211,	0.00686052
1520438956936652501,	1.33705,	2.64325,	-0.625307,	0,	0,	0,	0.00433725,	-0.00151687,	0.000927211,	0.999989,	1.32369,	2.6926,	-0.411166,	0,	0,	0,	-0.0513768,	0.679212,	0.73211,	0.00686052
1520438956938977430,	1.33705,	2.64325,	-0.625307,	0,	0,	0,	0.00433725,	-0.00151687,	0.000927211,	0.999989,	1.32369,	2.6926,	-0.411166,	0,	0,	0,	-0.0513768,	0.679212,	0.73211,	0.00686052
1520438956946687879,	1.33705,	2.64325,	-0.625307,	0,	0,	0,	0.00433725,	-0.00151687,	0.000927211,	0.999989,	1.32369,	2.6926,	-0.411166,	0,	0,	0,	-0.0513768,	0.679212,	0.73211,	0.00686052
1520438956951622273,	1.33705,	2.64325,	-0.625307,	0,	0,	0,	0.00433725,	-0.00151687,	0.000927211,	0.999989,	1.32369,	2.6926,	-0.411166,	0,	0,	0,	-0.0513768,	0.679212,	0.73211,	0.00686052
1520438956956706342,	1.33705,	2.64325,	-0.625307,	0,	0,	0,	0.00433725,	-0.00151687,	0.000927211,	0.999989,	1.32369,	2.6926,	-0.411166,	0,	0,	0,	-0.0513768,	0.679212,	0.73211,	0.00686052
1520438956961958972,	1.33705,	2.64325,	-0.625307,	0,	0,	0,	0.00433725,	-0.00151687,	0.000927211,	0.999989,	1.32369,	2.6926,	-0.411166,	0,	0,	0,	-0.0513768,	0.679212,	0.73211,	0.00686052
1520438956964181143,	1.33705,	2.64325,	-0.625307,	0,	0,	0,	0.00433725,	-0.00151687,	0.000927211,	0.999989,	1.32369,	2.6926,	-0.411166,	0,	0,	0,	-0.0513768,	0.679212,	0.73211,	0.00686052
1520438956970789064,	1.33705,	2.64325,	-0.625307,	0,	0,	0,	0.00433725,	-0.00151687,	0.000927211,	0.999989,	1.32369,	2.6926,	-0.411166,	0,	0,	0,	-0.0513768,	0.679212,	0.73211,	0.00686052
1520438956977266118,	1.33683,	2.64344,	-0.625229,	-0.0359483,	0.0317924,	0.0129588,	0.00397805,	-0.00130704,	0.00162279,	0.99999,	1.32335,	2.6925,	-0.411167,	-0.055661,	-0.0170006,	-0.000179389,	-0.0513737,	0.679189,	0.732131,	0.00688563
1520438956980573414,	1.33685,	2.64346,	-0.625242,	0.00487666,	0.0051291,	-0.00452727,	0.00402404,	-0.00129107,	0.00164674,	0.99999,	1.32335,	2.6925,	-0.411167,	0,	0,	0,	-0.0513737,	0.679189,	0.732131,	0.00688563
1520438956985784535,	1.33685,	2.64346,	-0.625242,	0,	0,	0,	0.00402404,	-0.00129107,	0.00164674,	0.99999,	1.32335,	2.6925,	-0.411167,	0,	0,	0,	-0.0513737,	0.679189,	0.732131,	0.00688563
1520438956991993063,	1.33685,	2.64346,	-0.625242,	0,	0,	0,	0.00402404,	-0.00129107,	0.00164674,	0.99999,	1.32335,	2.6925,	-0.411167,	0,	0,	0,	-0.0513737,	0.679189,	0.732131,	0.00688563
1520438956996848659,	1.33685,	2.64346,	-0.625242,	0,	0,	0,	0.00402404,	-0.00129107,	0.00164674,	0.99999,	1.32335,	2.6925,	-0.411167,	0,	0,	0,	-0.0513737,	0.679189,	0.732131,	0.00688563
