time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520438967832168576,	1.31572,	2.63973,	-0.625133,	-0.00012885,	-0.000248899,	9.34738e-05,	0.0198987,	-0.00100444,	0.00850669,	0.999765,	1.30238,	2.68005,	-0.410783,	-0.000114514,	0.00158551,	-0.000189453,	-0.0586521,	0.668935,	0.741002,	-0.000960092
1520438967835494135,	1.31572,	2.63973,	-0.625133,	0,	0,	0,	0.0198987,	-0.00100444,	0.00850669,	0.999765,	1.30238,	2.68005,	-0.410783,	0,	0,	0,	-0.0586521,	0.668935,	0.741002,	-0.000960092
1520438967838194615,	1.31572,	2.63973,	-0.625133,	0,	0,	0,	0.0198987,	-0.00100444,	0.00850669,	0.999765,	1.30238,	2.68005,	-0.410783,	0,	0,	0,	-0.0586521,	0.668935,	0.741002,	-0.000960092
1520438967846346396,	1.31572,	2.63973,	-0.625133,	0,	0,	0,	0.0198987,	-0.00100444,	0.00850669,	0.999765,	1.30238,	2.68005,	-0.410783,	0,	0,	0,	-0.0586521,	0.668935,	0.741002,	-0.000960092
1520438967852342000,	1.31572,	2.63973,	-0.625133,	0,	0,	0,	0.0198987,	-0.00100444,	0.00850669,	0.999765,	1.30238,	2.68005,	-0.410783,	0,	0,	0,	-0.0586521,	0.668935,	0.741002,	-0.000960092
1520438967858792291,	1.31572,	2.63973,	-0.625133,	0,	0,	0,	0.0198987,	-0.00100444,	0.00850669,	0.999765,	1.30238,	2.68005,	-0.410783,	0,	0,	0,	-0.0586521,	0.668935,	0.741002,	-0.000960092
1520438967863312890,	1.31572,	2.63973,	-0.625133,	0,	0,	0,	0.0198987,	-0.00100444,	0.00850669,	0.999765,	1.30238,	2.68005,	-0.410783,	0,	0,	0,	-0.0586521,	0.668935,	0.741002,	-0.000960092
1520438967866401820,	1.31572,	2.63973,	-0.625133,	0,	0,	0,	0.0198987,	-0.00100444,	0.00850669,	0.999765,	1.30238,	2.68005,	-0.410783,	0,	0,	0,	-0.0586521,	0.668935,	0.741002,	-0.000960092
1520438967869362437,	1.31572,	2.63973,	-0.625133,	0,	0,	0,	0.0198987,	-0.00100444,	0.00850669,	0.999765,	1.30238,	2.68005,	-0.410783,	0,	0,	0,	-0.0586521,	0.668935,	0.741002,	-0.000960092
1520438967876116042,	1.31586,	2.63895,	-0.625322,	0.0234008,	-0.130379,	-0.0315551,	0.019452,	-0.000924074,	0.00844176,	0.999775,	1.30246,	2.68047,	-0.410861,	0.0143296,	0.0691225,	-0.0130365,	-0.0587001,	0.668981,	0.740957,	-0.000924041
1520438967880281686,	1.31586,	2.63895,	-0.625322,	0,	0,	0,	0.019452,	-0.000924074,	0.00844176,	0.999775,	1.30246,	2.68047,	-0.410861,	0,	0,	0,	-0.0587001,	0.668981,	0.740957,	-0.000924041
1520438967884299523,	1.31586,	2.63895,	-0.625322,	0,	0,	0,	0.019452,	-0.000924074,	0.00844176,	0.999775,	1.30246,	2.68047,	-0.410861,	0,	0,	0,	-0.0587001,	0.668981,	0.740957,	-0.000924041
1520438967889832108,	1.31586,	2.63895,	-0.625322,	0,	0,	0,	0.019452,	-0.000924074,	0.00844176,	0.999775,	1.30246,	2.68047,	-0.410861,	0,	0,	0,	-0.0587001,	0.668981,	0.740957,	-0.000924041
1520438967896321741,	1.31586,	2.63895,	-0.625322,	0,	0,	0,	0.019452,	-0.000924074,	0.00844176,	0.999775,	1.30246,	2.68047,	-0.410861,	0,	0,	0,	-0.0587001,	0.668981,	0.740957,	-0.000924041
1520438967900388347,	1.31586,	2.63895,	-0.625322,	0,	0,	0,	0.019452,	-0.000924074,	0.00844176,	0.999775,	1.30246,	2.68047,	-0.410861,	0,	0,	0,	-0.0587001,	0.668981,	0.740957,	-0.000924041
1520438967904863605,	1.31586,	2.63895,	-0.625322,	0,	0,	0,	0.019452,	-0.000924074,	0.00844176,	0.999775,	1.30246,	2.68047,	-0.410861,	0,	0,	0,	-0.0587001,	0.668981,	0.740957,	-0.000924041
1520438967911963466,	1.31586,	2.63895,	-0.625322,	0,	0,	0,	0.019452,	-0.000924074,	0.00844176,	0.999775,	1.30246,	2.68047,	-0.410861,	0,	0,	0,	-0.0587001,	0.668981,	0.740957,	-0.000924041
1520438967916345103,	1.31586,	2.63895,	-0.625322,	0,	0,	0,	0.019452,	-0.000924074,	0.00844176,	0.999775,	1.30246,	2.68047,	-0.410861,	0,	0,	0,	-0.0587001,	0.668981,	0.740957,	-0.000924041
1520438967919093691,	1.31586,	2.63895,	-0.625322,	0,	0,	0,	0.019452,	-0.000924074,	0.00844176,	0.999775,	1.30246,	2.68047,	-0.410861,	0,	0,	0,	-0.0587001,	0.668981,	0.740957,	-0.000924041
1520438967927244799,	1.3158,	2.63907,	-0.62517,	-0.00690392,	0.0147494,	0.0189674,	0.019862,	-0.000872779,	0.00882355,	0.999763,	1.30251,	2.68022,	-0.410775,	0.00554829,	-0.0311244,	0.0108048,	-0.058653,	0.668794,	0.74113,	-0.000874467
1520438967931313689,	1.3158,	2.63907,	-0.62517,	0,	0,	0,	0.019862,	-0.000872779,	0.00882355,	0.999763,	1.30251,	2.68022,	-0.410775,	0,	0,	0,	-0.058653,	0.668794,	0.74113,	-0.000874467
1520438967933806521,	1.3158,	2.63907,	-0.62517,	0,	0,	0,	0.019862,	-0.000872779,	0.00882355,	0.999763,	1.30251,	2.68022,	-0.410775,	0,	0,	0,	-0.058653,	0.668794,	0.74113,	-0.000874467
1520438967938459487,	1.3158,	2.63907,	-0.62517,	0,	0,	0,	0.019862,	-0.000872779,	0.00882355,	0.999763,	1.30251,	2.68022,	-0.410775,	0,	0,	0,	-0.058653,	0.668794,	0.74113,	-0.000874467
1520438967947732607,	1.3158,	2.63907,	-0.62517,	0,	0,	0,	0.019862,	-0.000872779,	0.00882355,	0.999763,	1.30251,	2.68022,	-0.410775,	0,	0,	0,	-0.058653,	0.668794,	0.74113,	-0.000874467
1520438967952890998,	1.3158,	2.63907,	-0.62517,	0,	0,	0,	0.019862,	-0.000872779,	0.00882355,	0.999763,	1.30251,	2.68022,	-0.410775,	0,	0,	0,	-0.058653,	0.668794,	0.74113,	-0.000874467
1520438967957918891,	1.3158,	2.63907,	-0.62517,	0,	0,	0,	0.019862,	-0.000872779,	0.00882355,	0.999763,	1.30251,	2.68022,	-0.410775,	0,	0,	0,	-0.058653,	0.668794,	0.74113,	-0.000874467
1520438967962636497,	1.3158,	2.63907,	-0.62517,	0,	0,	0,	0.019862,	-0.000872779,	0.00882355,	0.999763,	1.30251,	2.68022,	-0.410775,	0,	0,	0,	-0.058653,	0.668794,	0.74113,	-0.000874467
1520438967964973757,	1.3158,	2.63907,	-0.62517,	0,	0,	0,	0.019862,	-0.000872779,	0.00882355,	0.999763,	1.30251,	2.68022,	-0.410775,	0,	0,	0,	-0.058653,	0.668794,	0.74113,	-0.000874467
1520438967970331437,	1.3158,	2.63907,	-0.62517,	0,	0,	0,	0.019862,	-0.000872779,	0.00882355,	0.999763,	1.30251,	2.68022,	-0.410775,	0,	0,	0,	-0.058653,	0.668794,	0.74113,	-0.000874467
1520438967976745727,	1.31624,	2.63984,	-0.625338,	0.0719851,	0.128915,	-0.0279881,	0.0207484,	-0.00123079,	0.00830476,	0.999749,	1.30238,	2.68015,	-0.410786,	-0.020324,	-0.0103264,	-0.00188186,	-0.0586476,	0.668668,	0.741244,	-0.000817812
1520438967981002037,	1.31624,	2.63984,	-0.625338,	0,	0,	0,	0.0207484,	-0.00123079,	0.00830476,	0.999749,	1.30238,	2.68015,	-0.410786,	0,	0,	0,	-0.0586476,	0.668668,	0.741244,	-0.000817812
1520438967985496855,	1.31624,	2.63984,	-0.625338,	0,	0,	0,	0.0207484,	-0.00123079,	0.00830476,	0.999749,	1.30238,	2.68015,	-0.410786,	0,	0,	0,	-0.0586476,	0.668668,	0.741244,	-0.000817812
1520438967990405113,	1.31624,	2.63984,	-0.625338,	0,	0,	0,	0.0207484,	-0.00123079,	0.00830476,	0.999749,	1.30238,	2.68015,	-0.410786,	0,	0,	0,	-0.0586476,	0.668668,	0.741244,	-0.000817812
1520438967996857558,	1.31624,	2.63984,	-0.625338,	0,	0,	0,	0.0207484,	-0.00123079,	0.00830476,	0.999749,	1.30238,	2.68015,	-0.410786,	0,	0,	0,	-0.0586476,	0.668668,	0.741244,	-0.000817812
1520438968000745950,	1.31624,	2.63984,	-0.625338,	0,	0,	0,	0.0207484,	-0.00123079,	0.00830476,	0.999749,	1.30238,	2.68015,	-0.410786,	0,	0,	0,	-0.0586476,	0.668668,	0.741244,	-0.000817812
1520438968004556393,	1.31624,	2.63984,	-0.625338,	0,	0,	0,	0.0207484,	-0.00123079,	0.00830476,	0.999749,	1.30238,	2.68015,	-0.410786,	0,	0,	0,	-0.0586476,	0.668668,	0.741244,	-0.000817812
1520438968009732107,	1.31624,	2.63984,	-0.625338,	0,	0,	0,	0.0207484,	-0.00123079,	0.00830476,	0.999749,	1.30238,	2.68015,	-0.410786,	0,	0,	0,	-0.0586476,	0.668668,	0.741244,	-0.000817812
1520438968017202748,	1.31624,	2.63984,	-0.625338,	0,	0,	0,	0.0207484,	-0.00123079,	0.00830476,	0.999749,	1.30238,	2.68015,	-0.410786,	0,	0,	0,	-0.0586476,	0.668668,	0.741244,	-0.000817812
1520438968021688714,	1.31624,	2.63984,	-0.625338,	0,	0,	0,	0.0207484,	-0.00123079,	0.00830476,	0.999749,	1.30238,	2.68015,	-0.410786,	0,	0,	0,	-0.0586476,	0.668668,	0.741244,	-0.000817812
1520438968027198664,	1.31606,	2.64009,	-0.625382,	-0.0359475,	0.0504129,	-0.00870718,	0.0200134,	-0.00102834,	0.00814709,	0.999766,	1.30237,	2.67969,	-0.410666,	-0.0022449,	-0.0929072,	0.0239759,	-0.0585191,	0.668511,	0.741396,	-0.000752852
1520438968030991972,	1.31606,	2.64009,	-0.625382,	0,	0,	0,	0.0200134,	-0.00102834,	0.00814709,	0.999766,	1.30237,	2.67969,	-0.410666,	0,	0,	0,	-0.0585191,	0.668511,	0.741396,	-0.000752852
1520438968034771171,	1.31606,	2.64009,	-0.625382,	0,	0,	0,	0.0200134,	-0.00102834,	0.00814709,	0.999766,	1.30237,	2.67969,	-0.410666,	0,	0,	0,	-0.0585191,	0.668511,	0.741396,	-0.000752852
1520438968039714438,	1.31606,	2.64009,	-0.625382,	0,	0,	0,	0.0200134,	-0.00102834,	0.00814709,	0.999766,	1.30237,	2.67969,	-0.410666,	0,	0,	0,	-0.0585191,	0.668511,	0.741396,	-0.000752852
1520438968045872190,	1.31606,	2.64009,	-0.625382,	0,	0,	0,	0.0200134,	-0.00102834,	0.00814709,	0.999766,	1.30237,	2.67969,	-0.410666,	0,	0,	0,	-0.0585191,	0.668511,	0.741396,	-0.000752852
1520438968048124040,	1.31606,	2.64009,	-0.625382,	0,	0,	0,	0.0200134,	-0.00102834,	0.00814709,	0.999766,	1.30237,	2.67969,	-0.410666,	0,	0,	0,	-0.0585191,	0.668511,	0.741396,	-0.000752852
1520438968057289501,	1.31606,	2.64009,	-0.625382,	0,	0,	0,	0.0200134,	-0.00102834,	0.00814709,	0.999766,	1.30237,	2.67969,	-0.410666,	0,	0,	0,	-0.0585191,	0.668511,	0.741396,	-0.000752852
1520438968061816939,	1.31606,	2.64009,	-0.625382,	0,	0,	0,	0.0200134,	-0.00102834,	0.00814709,	0.999766,	1.30237,	2.67969,	-0.410666,	0,	0,	0,	-0.0585191,	0.668511,	0.741396,	-0.000752852
1520438968066079291,	1.31606,	2.64009,	-0.625382,	0,	0,	0,	0.0200134,	-0.00102834,	0.00814709,	0.999766,	1.30237,	2.67969,	-0.410666,	0,	0,	0,	-0.0585191,	0.668511,	0.741396,	-0.000752852
1520438968069297369,	1.31606,	2.64009,	-0.625382,	0,	0,	0,	0.0200134,	-0.00102834,	0.00814709,	0.999766,	1.30237,	2.67969,	-0.410666,	0,	0,	0,	-0.0585191,	0.668511,	0.741396,	-0.000752852
1520438968076874546,	1.31624,	2.63976,	-0.625072,	0.0256088,	-0.0479589,	0.0442589,	0.0207144,	-0.00102485,	0.00852648,	0.999749,	1.30233,	2.67998,	-0.410749,	-0.00569885,	0.0409305,	-0.0118676,	-0.058715,	0.668802,	0.741118,	-0.000928229
1520438968082813815,	1.31624,	2.63976,	-0.625072,	0,	0,	0,	0.0207144,	-0.00102485,	0.00852648,	0.999749,	1.30233,	2.67998,	-0.410749,	0,	0,	0,	-0.058715,	0.668802,	0.741118,	-0.000928229
1520438968087478752,	1.31624,	2.63976,	-0.625072,	0,	0,	0,	0.0207144,	-0.00102485,	0.00852648,	0.999749,	1.30233,	2.67998,	-0.410749,	0,	0,	0,	-0.058715,	0.668802,	0.741118,	-0.000928229
1520438968092606082,	1.31624,	2.63976,	-0.625072,	0,	0,	0,	0.0207144,	-0.00102485,	0.00852648,	0.999749,	1.30233,	2.67998,	-0.410749,	0,	0,	0,	-0.058715,	0.668802,	0.741118,	-0.000928229
1520438968097714940,	1.31624,	2.63976,	-0.625072,	0,	0,	0,	0.0207144,	-0.00102485,	0.00852648,	0.999749,	1.30233,	2.67998,	-0.410749,	0,	0,	0,	-0.058715,	0.668802,	0.741118,	-0.000928229
1520438968106530328,	1.31624,	2.63976,	-0.625072,	0,	0,	0,	0.0207144,	-0.00102485,	0.00852648,	0.999749,	1.30233,	2.67998,	-0.410749,	0,	0,	0,	-0.058715,	0.668802,	0.741118,	-0.000928229
1520438968109555545,	1.31624,	2.63976,	-0.625072,	0,	0,	0,	0.0207144,	-0.00102485,	0.00852648,	0.999749,	1.30233,	2.67998,	-0.410749,	0,	0,	0,	-0.058715,	0.668802,	0.741118,	-0.000928229
1520438968114785270,	1.31624,	2.63976,	-0.625072,	0,	0,	0,	0.0207144,	-0.00102485,	0.00852648,	0.999749,	1.30233,	2.67998,	-0.410749,	0,	0,	0,	-0.058715,	0.668802,	0.741118,	-0.000928229
1520438968118236674,	1.31624,	2.63976,	-0.625072,	0,	0,	0,	0.0207144,	-0.00102485,	0.00852648,	0.999749,	1.30233,	2.67998,	-0.410749,	0,	0,	0,	-0.058715,	0.668802,	0.741118,	-0.000928229
1520438968123049683,	1.31586,	2.63957,	-0.625098,	-0.0933334,	-0.0480091,	-0.00660112,	0.0197042,	-0.00077678,	0.00937193,	0.999762,	1.3026,	2.67971,	-0.410701,	0.0669667,	-0.0667126,	0.0121223,	-0.0587753,	0.668886,	0.741037,	-0.00113938
1520438968127737379,	1.31586,	2.63955,	-0.625094,	5.28689e-05,	-0.00373225,	0.00108984,	0.0198428,	-0.000761878,	0.00928481,	0.99976,	1.3026,	2.67971,	-0.410701,	0,	0,	0,	-0.0587753,	0.668886,	0.741037,	-0.00113938
1520438968132628461,	1.31586,	2.63955,	-0.625094,	0,	0,	0,	0.0198428,	-0.000761878,	0.00928481,	0.99976,	1.3026,	2.67971,	-0.410701,	0,	0,	0,	-0.0587753,	0.668886,	0.741037,	-0.00113938
1520438968142867990,	1.31586,	2.63955,	-0.625094,	0,	0,	0,	0.0198428,	-0.000761878,	0.00928481,	0.99976,	1.3026,	2.67971,	-0.410701,	0,	0,	0,	-0.0587753,	0.668886,	0.741037,	-0.00113938
1520438968149758872,	1.31586,	2.63955,	-0.625094,	0,	0,	0,	0.0198428,	-0.000761878,	0.00928481,	0.99976,	1.3026,	2.67971,	-0.410701,	0,	0,	0,	-0.0587753,	0.668886,	0.741037,	-0.00113938
1520438968154396646,	1.31586,	2.63955,	-0.625094,	0,	0,	0,	0.0198428,	-0.000761878,	0.00928481,	0.99976,	1.3026,	2.67971,	-0.410701,	0,	0,	0,	-0.0587753,	0.668886,	0.741037,	-0.00113938
1520438968157475241,	1.31586,	2.63955,	-0.625094,	0,	0,	0,	0.0198428,	-0.000761878,	0.00928481,	0.99976,	1.3026,	2.67971,	-0.410701,	0,	0,	0,	-0.0587753,	0.668886,	0.741037,	-0.00113938
1520438968160909165,	1.31586,	2.63955,	-0.625094,	0,	0,	0,	0.0198428,	-0.000761878,	0.00928481,	0.99976,	1.3026,	2.67971,	-0.410701,	0,	0,	0,	-0.0587753,	0.668886,	0.741037,	-0.00113938
1520438968164588092,	1.31586,	2.63955,	-0.625094,	0,	0,	0,	0.0198428,	-0.000761878,	0.00928481,	0.99976,	1.3026,	2.67971,	-0.410701,	0,	0,	0,	-0.0587753,	0.668886,	0.741037,	-0.00113938
1520438968174569610,	1.31623,	2.63966,	-0.625253,	0.0409425,	0.012642,	-0.0176481,	0.0201507,	-0.00101132,	0.00893514,	0.999757,	1.3023,	2.68007,	-0.41074,	-0.0329407,	0.0396165,	-0.00438639,	-0.058637,	0.668731,	0.741189,	-0.000788029
1520438968179835194,	1.31627,	2.63968,	-0.625245,	0.00839855,	0.00289453,	0.00160011,	0.0201461,	-0.00100496,	0.00885761,	0.999757,	1.3023,	2.68007,	-0.41074,	0,	0,	0,	-0.058637,	0.668731,	0.741189,	-0.000788029
1520438968183267646,	1.31627,	2.63968,	-0.625245,	0,	0,	0,	0.0201461,	-0.00100496,	0.00885761,	0.999757,	1.3023,	2.68007,	-0.41074,	0,	0,	0,	-0.058637,	0.668731,	0.741189,	-0.000788029
1520438968185722390,	1.31627,	2.63968,	-0.625245,	0,	0,	0,	0.0201461,	-0.00100496,	0.00885761,	0.999757,	1.3023,	2.68007,	-0.41074,	0,	0,	0,	-0.058637,	0.668731,	0.741189,	-0.000788029
1520438968192445971,	1.31627,	2.63968,	-0.625245,	0,	0,	0,	0.0201461,	-0.00100496,	0.00885761,	0.999757,	1.3023,	2.68007,	-0.41074,	0,	0,	0,	-0.058637,	0.668731,	0.741189,	-0.000788029
1520438968197417949,	1.31627,	2.63968,	-0.625245,	0,	0,	0,	0.0201461,	-0.00100496,	0.00885761,	0.999757,	1.3023,	2.68007,	-0.41074,	0,	0,	0,	-0.058637,	0.668731,	0.741189,	-0.000788029
1520438968203854999,	1.31627,	2.63968,	-0.625245,	0,	0,	0,	0.0201461,	-0.00100496,	0.00885761,	0.999757,	1.3023,	2.68007,	-0.41074,	0,	0,	0,	-0.058637,	0.668731,	0.741189,	-0.000788029
1520438968206521691,	1.31627,	2.63968,	-0.625245,	0,	0,	0,	0.0201461,	-0.00100496,	0.00885761,	0.999757,	1.3023,	2.68007,	-0.41074,	0,	0,	0,	-0.058637,	0.668731,	0.741189,	-0.000788029
1520438968211836499,	1.31627,	2.63968,	-0.625245,	0,	0,	0,	0.0201461,	-0.00100496,	0.00885761,	0.999757,	1.3023,	2.68007,	-0.41074,	0,	0,	0,	-0.058637,	0.668731,	0.741189,	-0.000788029
1520438968215500864,	1.31627,	2.63968,	-0.625245,	0,	0,	0,	0.0201461,	-0.00100496,	0.00885761,	0.999757,	1.3023,	2.68007,	-0.41074,	0,	0,	0,	-0.058637,	0.668731,	0.741189,	-0.000788029
1520438968221913262,	1.31627,	2.63968,	-0.625245,	0,	0,	0,	0.0201461,	-0.00100496,	0.00885761,	0.999757,	1.3023,	2.68007,	-0.41074,	0,	0,	0,	-0.058637,	0.668731,	0.741189,	-0.000788029
1520438968226270629,	1.31611,	2.64014,	-0.625599,	-0.0407392,	0.114452,	-0.0885728,	0.0197123,	-0.00087898,	0.00835763,	0.99977,	1.30234,	2.68016,	-0.410712,	0.00948644,	0.0237207,	0.00704681,	-0.0585363,	0.668548,	0.741361,	-0.000823664
1520438968233018660,	1.31611,	2.64014,	-0.625599,	0,	0,	0,	0.0197123,	-0.00087898,	0.00835763,	0.99977,	1.30234,	2.68016,	-0.410712,	0,	0,	0,	-0.0585363,	0.668548,	0.741361,	-0.000823664
1520438968236261145,	1.31611,	2.64014,	-0.625599,	0,	0,	0,	0.0197123,	-0.00087898,	0.00835763,	0.99977,	1.30234,	2.68016,	-0.410712,	0,	0,	0,	-0.0585363,	0.668548,	0.741361,	-0.000823664
1520438968243659293,	1.31611,	2.64014,	-0.625599,	0,	0,	0,	0.0197123,	-0.00087898,	0.00835763,	0.99977,	1.30234,	2.68016,	-0.410712,	0,	0,	0,	-0.0585363,	0.668548,	0.741361,	-0.000823664
1520438968251816893,	1.31611,	2.64014,	-0.625599,	0,	0,	0,	0.0197123,	-0.00087898,	0.00835763,	0.99977,	1.30234,	2.68016,	-0.410712,	0,	0,	0,	-0.0585363,	0.668548,	0.741361,	-0.000823664
1520438968257754209,	1.31611,	2.64014,	-0.625599,	0,	0,	0,	0.0197123,	-0.00087898,	0.00835763,	0.99977,	1.30234,	2.68016,	-0.410712,	0,	0,	0,	-0.0585363,	0.668548,	0.741361,	-0.000823664
1520438968262340142,	1.31611,	2.64014,	-0.625599,	0,	0,	0,	0.0197123,	-0.00087898,	0.00835763,	0.99977,	1.30234,	2.68016,	-0.410712,	0,	0,	0,	-0.0585363,	0.668548,	0.741361,	-0.000823664
1520438968263693516,	1.31611,	2.64014,	-0.625599,	0,	0,	0,	0.0197123,	-0.00087898,	0.00835763,	0.99977,	1.30234,	2.68016,	-0.410712,	0,	0,	0,	-0.0585363,	0.668548,	0.741361,	-0.000823664
1520438968266265733,	1.31611,	2.64014,	-0.625599,	0,	0,	0,	0.0197123,	-0.00087898,	0.00835763,	0.99977,	1.30234,	2.68016,	-0.410712,	0,	0,	0,	-0.0585363,	0.668548,	0.741361,	-0.000823664
1520438968272382989,	1.31605,	2.63962,	-0.62542,	-0.00932609,	-0.0859965,	0.0298085,	0.020107,	-0.001027,	0.00838282,	0.999762,	1.30236,	2.68024,	-0.410774,	0.00236682,	0.0137838,	-0.0103258,	-0.0585138,	0.668572,	0.741341,	-0.000815546
1520438968277705012,	1.31606,	2.63962,	-0.62533,	0.00124226,	-0.000631583,	0.0181581,	0.0201013,	-0.000998297,	0.00837555,	0.999762,	1.30236,	2.68024,	-0.410774,	0,	0,	0,	-0.0585138,	0.668572,	0.741341,	-0.000815546
1520438968282171110,	1.31606,	2.63962,	-0.62533,	0,	0,	0,	0.0201013,	-0.000998297,	0.00837555,	0.999762,	1.30236,	2.68024,	-0.410774,	0,	0,	0,	-0.0585138,	0.668572,	0.741341,	-0.000815546
1520438968286053717,	1.31606,	2.63962,	-0.62533,	0,	0,	0,	0.0201013,	-0.000998297,	0.00837555,	0.999762,	1.30236,	2.68024,	-0.410774,	0,	0,	0,	-0.0585138,	0.668572,	0.741341,	-0.000815546
1520438968293654014,	1.31606,	2.63962,	-0.62533,	0,	0,	0,	0.0201013,	-0.000998297,	0.00837555,	0.999762,	1.30236,	2.68024,	-0.410774,	0,	0,	0,	-0.0585138,	0.668572,	0.741341,	-0.000815546
1520438968297065607,	1.31606,	2.63962,	-0.62533,	0,	0,	0,	0.0201013,	-0.000998297,	0.00837555,	0.999762,	1.30236,	2.68024,	-0.410774,	0,	0,	0,	-0.0585138,	0.668572,	0.741341,	-0.000815546
1520438968300407142,	1.31606,	2.63962,	-0.62533,	0,	0,	0,	0.0201013,	-0.000998297,	0.00837555,	0.999762,	1.30236,	2.68024,	-0.410774,	0,	0,	0,	-0.0585138,	0.668572,	0.741341,	-0.000815546
1520438968306192060,	1.31606,	2.63962,	-0.62533,	0,	0,	0,	0.0201013,	-0.000998297,	0.00837555,	0.999762,	1.30236,	2.68024,	-0.410774,	0,	0,	0,	-0.0585138,	0.668572,	0.741341,	-0.000815546
1520438968311095661,	1.31606,	2.63962,	-0.62533,	0,	0,	0,	0.0201013,	-0.000998297,	0.00837555,	0.999762,	1.30236,	2.68024,	-0.410774,	0,	0,	0,	-0.0585138,	0.668572,	0.741341,	-0.000815546
1520438968316430526,	1.31606,	2.63962,	-0.62533,	0,	0,	0,	0.0201013,	-0.000998297,	0.00837555,	0.999762,	1.30236,	2.68024,	-0.410774,	0,	0,	0,	-0.0585138,	0.668572,	0.741341,	-0.000815546
1520438968322113618,	1.31606,	2.63962,	-0.62533,	0,	0,	0,	0.0201013,	-0.000998297,	0.00837555,	0.999762,	1.30236,	2.68024,	-0.410774,	0,	0,	0,	-0.0585138,	0.668572,	0.741341,	-0.000815546
1520438968327594925,	1.31604,	2.63983,	-0.625485,	-0.00485397,	0.0420371,	-0.0310931,	0.0208068,	-0.000818795,	0.0088851,	0.999744,	1.30235,	2.68061,	-0.410778,	-0.00133517,	0.0730894,	-0.000714103,	-0.0586736,	0.668825,	0.7411,	-0.00105435
1520438968332925271,	1.31604,	2.63983,	-0.625485,	0,	0,	0,	0.0208068,	-0.000818795,	0.0088851,	0.999744,	1.30235,	2.68061,	-0.410778,	0,	0,	0,	-0.0586736,	0.668825,	0.7411,	-0.00105435
1520438968339270730,	1.31604,	2.63983,	-0.625485,	0,	0,	0,	0.0208068,	-0.000818795,	0.0088851,	0.999744,	1.30235,	2.68061,	-0.410778,	0,	0,	0,	-0.0586736,	0.668825,	0.7411,	-0.00105435
