time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520186245178300943,	0.524643,	2.84482,	-0.729999,	-0.000164148,	-0.00102331,	-0.000424079,	-0.0776316,	-0.000798295,	-0.00414334,	0.996973,	0.426487,	2.73419,	-0.376578,	9.72202e-05,	0.000267171,	-6.90071e-05,	-0.0476392,	0.669914,	0.736709,	-0.0787765
1520186245225601497,	0.52532,	2.84877,	-0.727006,	0.0144057,	0.0838783,	0.0636646,	-0.059538,	-0.00515336,	-0.000490676,	0.998213,	0.426645,	2.73392,	-0.376411,	0.0033592,	-0.0056978,	0.00356628,	-0.0475632,	0.669921,	0.736708,	-0.0787701
1520186245272185431,	0.525024,	2.84845,	-0.729083,	-0.0064291,	-0.00692424,	-0.045153,	-0.0660737,	-0.00122611,	-0.0131333,	0.997728,	0.426889,	2.7335,	-0.376446,	0.00530463,	-0.00902161,	-0.000780281,	-0.0475293,	0.669833,	0.736793,	-0.0787424
1520186245319784316,	0.524978,	2.84569,	-0.729096,	-0.000980949,	-0.0586288,	-0.000279237,	-0.0758832,	-0.000444797,	-0.0103901,	0.997062,	0.427163,	2.73418,	-0.376624,	0.00583254,	0.0143993,	-0.00377266,	-0.0475611,	0.670357,	0.736311,	-0.0787766
1520186245366413160,	0.525055,	2.84735,	-0.729571,	0.00166593,	0.0359691,	-0.0103212,	-0.0767658,	-0.0006655,	-0.0109229,	0.996989,	0.427032,	2.73362,	-0.376479,	-0.00285961,	-0.0122544,	0.00313793,	-0.047664,	0.669512,	0.737058,	-0.0789129
1520186245411541237,	0.525266,	2.84636,	-0.730568,	0.00469896,	-0.0219766,	-0.0221562,	-0.0750651,	-0.00181758,	-0.010909,	0.997117,	0.426606,	2.73323,	-0.376307,	-0.00947014,	-0.00852782,	0.00382619,	-0.0477445,	0.668788,	0.737702,	-0.0789843
1520186245460058915,	0.526081,	2.84516,	-0.726225,	0.0169817,	-0.0250027,	0.090488,	-0.0689211,	0.00314278,	-0.00200983,	0.997615,	0.426512,	2.73384,	-0.376432,	-0.00194449,	0.012581,	-0.00259574,	-0.0474506,	0.670635,	0.736076,	-0.0786733
1520186245506029678,	0.52496,	2.84573,	-0.729145,	-0.024913,	0.0128074,	-0.064886,	-0.0753314,	-0.000536,	-0.0107642,	0.9971,	0.426512,	2.73384,	-0.376432,	0,	0,	0,	-0.0474506,	0.670635,	0.736076,	-0.0786733
1520186245552813168,	0.524528,	2.84534,	-0.729788,	-0.00938374,	-0.00851366,	-0.0139919,	-0.0823016,	0.00140043,	-0.00698617,	0.996582,	0.426417,	2.73484,	-0.376577,	-0.00207467,	0.0217187,	-0.00314775,	-0.0473996,	0.670457,	0.736262,	-0.0784786
1520186245600209423,	0.524707,	2.84757,	-0.730227,	0.00379372,	0.0473767,	-0.00932673,	-0.0750836,	-0.000502783,	-0.0106689,	0.99712,	0.426931,	2.73402,	-0.376557,	0.0109378,	-0.0172935,	0.000428178,	-0.0475919,	0.669925,	0.7367,	-0.0787969
1520186245645584265,	0.524608,	2.8471,	-0.729417,	-0.00218571,	-0.010336,	0.0179873,	-0.0765736,	-0.000545189,	-0.0106964,	0.997006,	0.426917,	2.73446,	-0.376597,	-0.000312558,	0.00963448,	-0.000904126,	-0.0479288,	0.6692,	0.737306,	-0.0790785
1520186245694493746,	0.525015,	2.84435,	-0.72844,	0.00847167,	-0.0573641,	0.0203687,	-0.0582229,	0.00110056,	-0.0131538,	0.998216,	0.426896,	2.7344,	-0.376614,	-0.000443196,	-0.00125634,	-0.0003493,	-0.0477044,	0.66944,	0.737127,	-0.0788564
1520186245740262598,	0.52523,	2.84871,	-0.72974,	0.00477298,	0.0969721,	-0.028896,	-0.0762154,	-0.000403576,	-0.0104044,	0.997037,	0.426528,	2.73521,	-0.376745,	-0.00816489,	0.0179736,	-0.0029182,	-0.047419,	0.670807,	0.73594,	-0.0784962
