time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520186011964056521,	0.540078,	2.85343,	-0.729206,	2.9148e-06,	-2.23596e-05,	2.6553e-06,	-0.0751059,	-0.00155093,	-0.00752564,	0.997146,	0.440343,	2.74198,	-0.37644,	5.89537e-06,	0.000101204,	-1.19358e-05,	-0.0551815,	0.667641,	0.73737,	-0.0865765
1520186012011615581,	0.53945,	2.85261,	-0.730444,	-0.0133686,	-0.0174921,	-0.0263226,	-0.0742072,	0.00203174,	-0.00688711,	0.997217,	0.440131,	2.74202,	-0.376256,	-0.0045123,	0.000805979,	0.00392856,	-0.0552565,	0.667549,	0.737447,	-0.086584
1520186012054927753,	0.540188,	2.85658,	-0.730319,	0.0171693,	0.0922847,	0.00290564,	-0.0766748,	-0.00159801,	-0.00800711,	0.997023,	0.440131,	2.74202,	-0.376256,	0,	0,	0,	-0.0552565,	0.667549,	0.737447,	-0.086584
1520186012095380299,	0.539434,	2.85234,	-0.731695,	-0.0188506,	-0.105908,	-0.0344119,	-0.0767363,	0.00194478,	-0.00494029,	0.997037,	0.440281,	2.74128,	-0.376166,	0.00376226,	-0.0185176,	0.00223227,	-0.0552023,	0.667374,	0.737607,	-0.0866022
1520186012149399098,	0.54056,	2.85984,	-0.73275,	0.0208483,	0.138894,	-0.0195276,	-0.0463521,	-0.00422884,	-0.0256597,	0.998587,	0.440517,	2.74074,	-0.376153,	0.00436899,	-0.00990274,	0.000254198,	-0.0551844,	0.667326,	0.737649,	-0.0866287
1520186012197090643,	0.54046,	2.85496,	-0.72785,	-0.00213022,	-0.103915,	0.104251,	-0.0642846,	-0.000427676,	-0.000248843,	0.997931,	0.440472,	2.74007,	-0.376085,	-0.000967937,	-0.014262,	0.00144453,	-0.0551927,	0.667303,	0.737668,	-0.0866396
1520186012242022821,	0.540253,	2.85476,	-0.729635,	-0.00470804,	-0.00439428,	-0.04058,	-0.0768217,	-0.0015115,	-0.00741236,	0.997016,	0.440223,	2.7398,	-0.375961,	-0.0056504,	-0.00619489,	0.00281824,	-0.0552493,	0.667172,	0.737785,	-0.086619
1520186012284720409,	0.540672,	2.85367,	-0.728208,	0.00998529,	-0.0261558,	0.0339795,	-0.0639862,	-0.00245853,	-0.00947622,	0.997903,	0.440258,	2.73986,	-0.375928,	0.000839365,	0.00141561,	0.000776855,	-0.0551619,	0.667456,	0.737535,	-0.0866121
1520186012330828116,	0.539297,	2.85441,	-0.731753,	-0.0298838,	0.0162001,	-0.0770711,	-0.0797257,	0.00091853,	-0.0216205,	0.996582,	0.440232,	2.7404,	-0.376073,	-0.000575794,	0.0117462,	-0.00315225,	-0.0551832,	0.667484,	0.737506,	-0.0866255
1520186012374993670,	0.539894,	2.85587,	-0.730694,	0.0135604,	0.0332309,	0.0240838,	-0.0736745,	-0.00189552,	-0.00696476,	0.997256,	0.440258,	2.7407,	-0.376275,	0.000592727,	0.00690308,	-0.00458622,	-0.0552106,	0.667318,	0.737652,	-0.0866474
