time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520186059358822402,	0.0711894,	2.74255,	-0.492736,	-0.0758433,	-0.0179304,	0.0385471,	-0.0705021,	-0.0305552,	0.0525639,	0.995657,	-0.0173129,	2.63254,	-0.161801,	-0.0738918,	-0.0171608,	0.0348079,	-0.0820117,	0.693275,	0.71258,	-0.0698128
1520186059429910139,	0.0709427,	2.74242,	-0.4927,	-0.0034739,	-0.00177165,	0.000512956,	-0.0706639,	-0.0303898,	0.0523248,	0.995663,	-0.015978,	2.63138,	-0.162454,	0.0188016,	-0.0163914,	-0.00918966,	-0.0828007,	0.692198,	0.713353,	-0.0716499
1520186059477325470,	0.07076,	2.74247,	-0.493204,	-0.00388771,	0.00102377,	-0.0107312,	-0.0752509,	-0.0328947,	0.0477281,	0.995478,	-0.0146589,	2.62971,	-0.162805,	0.0280676,	-0.03558,	-0.00746662,	-0.0834563,	0.691803,	0.713572,	-0.0725127
1520186059524386197,	0.071807,	2.74092,	-0.493295,	0.0222775,	-0.0328984,	-0.00192425,	-0.070651,	-0.0296675,	0.0536356,	0.995616,	-0.0128216,	2.62855,	-0.163083,	0.0390908,	-0.0246316,	-0.00592036,	-0.0843323,	0.691078,	0.714069,	-0.0735151
1520186059570661842,	0.0730863,	2.73951,	-0.493559,	0.0278106,	-0.0307325,	-0.00575548,	-0.0705157,	-0.0295946,	0.0539205,	0.995613,	-0.0108586,	2.6266,	-0.162976,	0.0426741,	-0.0423549,	0.00233492,	-0.0854834,	0.690626,	0.714336,	-0.0738414
1520186059616265961,	0.0750409,	2.73709,	-0.49329,	0.0434345,	-0.0538039,	0.00598891,	-0.0705211,	-0.0294695,	0.0542978,	0.995595,	-0.00883468,	2.62467,	-0.162459,	0.0449754,	-0.0429342,	0.0114734,	-0.087066,	0.691238,	0.713563,	-0.0737348
1520186059660870780,	0.0767861,	2.73976,	-0.494436,	0.0396641,	0.0606584,	-0.026039,	-0.0706625,	-0.0300379,	0.0547072,	0.995546,	-0.00662053,	2.62236,	-0.161655,	0.0503218,	-0.0523892,	0.0182675,	-0.0882653,	0.690525,	0.714149,	-0.0733179
1520186059706232759,	0.0789032,	2.73507,	-0.49443,	0.0470476,	-0.104236,	0.000131925,	-0.0823441,	-0.0309192,	0.0546846,	0.994622,	-0.00662053,	2.62236,	-0.161655,	0,	0,	0,	-0.0882653,	0.690525,	0.714149,	-0.0733179
1520186059755389344,	0.0823417,	2.73046,	-0.492,	0.0701724,	-0.0940005,	0.0495931,	-0.0701887,	-0.0324402,	0.0540291,	0.995541,	-0.0048702,	2.62028,	-0.160286,	0.035721,	-0.0424462,	0.0279404,	-0.0898652,	0.691768,	0.712729,	-0.0734744
1520186059801878124,	0.0846923,	2.73021,	-0.491024,	0.0511003,	-0.00547333,	0.021205,	-0.0621496,	-0.0305924,	0.0562562,	0.99601,	-0.00323592,	2.61736,	-0.158633,	0.0355278,	-0.0634831,	0.0359315,	-0.09067,	0.691055,	0.7133,	-0.0736617
1520186059848155315,	0.086736,	2.72545,	-0.489469,	0.0444292,	-0.103487,	0.0338201,	-0.069791,	-0.0338503,	0.0540879,	0.995519,	-0.00149689,	2.61325,	-0.156683,	0.0378048,	-0.0894704,	0.0424029,	-0.0909465,	0.691006,	0.713238,	-0.0743738
1520186059895682429,	0.08802,	2.72287,	-0.48751,	0.0273193,	-0.0549486,	0.0416691,	-0.0695214,	-0.0340784,	0.053958,	0.995537,	-8.34753e-05,	2.60874,	-0.154478,	0.0300727,	-0.0958669,	0.0469042,	-0.0905169,	0.68936,	0.71483,	-0.0748869
1520186059951878137,	0.0887259,	2.71949,	-0.485265,	0.0126054,	-0.0603574,	0.0400847,	-0.0696657,	-0.0332799,	0.0546758,	0.995515,	0.000936996,	2.60313,	-0.151231,	0.0182227,	-0.100154,	0.057995,	-0.0897699,	0.68745,	0.716552,	-0.0768536
1520186060005717908,	0.089502,	2.7172,	-0.482082,	0.0146419,	-0.0431886,	0.0600657,	-0.0599731,	-0.0314762,	0.055504,	0.996159,	0.00202186,	2.59859,	-0.148344,	0.0204691,	-0.0857541,	0.0544587,	-0.0889551,	0.685991,	0.717782,	-0.0793228
1520186060052253942,	0.0897057,	2.71008,	-0.479352,	0.00442803,	-0.154712,	0.0593396,	-0.0691678,	-0.0298292,	0.0548882,	0.995647,	0.00368575,	2.59234,	-0.145999,	0.0361716,	-0.135733,	0.0509862,	-0.086972,	0.685301,	0.718629,	-0.0798159
1520186060106605205,	0.0893687,	2.70262,	-0.477047,	-0.00624068,	-0.138163,	0.0426806,	-0.0736579,	-0.0251723,	0.0532607,	0.995542,	0.00538113,	2.58605,	-0.144363,	0.0313958,	-0.116512,	0.030301,	-0.087174,	0.684669,	0.719074,	-0.0810044
1520186060153909839,	0.0914448,	2.69628,	-0.473438,	0.0441739,	-0.1349,	0.0767981,	-0.0558864,	-0.025557,	0.0542799,	0.996633,	0.00723518,	2.57949,	-0.14192,	0.039448,	-0.139625,	0.0519711,	-0.0874827,	0.685757,	0.717851,	-0.0823044
1520186060202410543,	0.0924256,	2.69049,	-0.471396,	0.0204322,	-0.120618,	0.042546,	-0.0564694,	-0.0253166,	0.0556583,	0.99653,	0.009598,	2.57167,	-0.138514,	0.0492252,	-0.162812,	0.0709598,	-0.0854646,	0.684512,	0.719046,	-0.0843366
1520186060253428148,	0.0936862,	2.68304,	-0.468044,	0.0247175,	-0.146081,	0.0657222,	-0.0507267,	-0.0256459,	0.0517412,	0.997042,	0.0119498,	2.56415,	-0.134834,	0.0461133,	-0.147623,	0.0721501,	-0.0834815,	0.685692,	0.717906,	-0.0864165
1520186060305318811,	0.0944299,	2.67426,	-0.464349,	0.0145832,	-0.172122,	0.0724429,	-0.0560463,	-0.0206912,	0.0556502,	0.996661,	0.0143711,	2.55719,	-0.130909,	0.0474771,	-0.136394,	0.0769649,	-0.0817703,	0.686015,	0.717563,	-0.0883213
1520186060352149570,	0.0962473,	2.66416,	-0.459633,	0.0395087,	-0.2196,	0.102539,	-0.0528996,	-0.0176755,	0.0541315,	0.996975,	0.0165826,	2.55196,	-0.126439,	0.0480765,	-0.113659,	0.0971754,	-0.0802661,	0.6894,	0.714263,	-0.0900794
1520186060397307545,	0.0968246,	2.65844,	-0.454981,	0.0128286,	-0.127065,	0.103367,	-0.0701452,	-0.0159235,	0.056253,	0.995822,	0.0187751,	2.54497,	-0.12155,	0.0487213,	-0.155439,	0.108646,	-0.0812915,	0.690529,	0.712773,	-0.0922789
