time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520792143308328691,	0.0735176,	2.28495,	-0.181849,	0.00249824,	-0.00321968,	-0.00534374,	-0.0122829,	-0.0257108,	-0.0324815,	0.999066,	0.0193062,	2.31309,	0.0156084,	0.0010835,	-0.00248548,	-0.00019076,	-0.0215651,	0.718923,	0.694635,	0.0129152,	0.127754,	2.26873,	-0.268932,	0.000841103,	-0.00240938,	-4.55443e-05,	-0.0324722,	-0.0253683,	-0.0465684,	0.998065
1520792143368970380,	0.0739092,	2.28815,	-0.182454,	0.91005,	-0.415687,	-3.30104,	-0.0249654,	-0.0258547,	-0.0275399,	0.998974,	0.0191623,	2.31217,	0.0151633,	-0.0023985,	-0.0153262,	-0.00741907,	-0.0223331,	0.718128,	0.695429,	0.0131154,	0.127528,	2.26981,	-0.269163,	-0.00377322,	0.0180819,	-0.00386124,	-0.0338916,	-0.0262039,	-0.047312,	0.997961
1520792143423883491,	0.0739331,	2.28781,	-0.183042,	1.01427,	-0.451048,	-3.67047,	-0.0233354,	-0.02633,	-0.0274449,	0.999004,	0.0190872,	2.31184,	0.0147801,	-0.00139051,	-0.00613371,	-0.00709694,	-0.0226994,	0.718235,	0.695299,	0.0134899,	0.127959,	2.27268,	-0.269885,	0.00797935,	0.0532115,	-0.013373,	-0.0428587,	-0.026262,	-0.0438997,	0.997771
1520792143484783186,	0.0742742,	2.28524,	-0.183349,	0.919783,	-0.443227,	-3.30215,	-0.013847,	-0.0268303,	-0.0325032,	0.999015,	0.0199733,	2.31191,	0.0141028,	0.0147691,	0.00129051,	-0.0112882,	-0.0222298,	0.718567,	0.69499,	0.0124854,	0.127976,	2.27231,	-0.270457,	0.000292013,	-0.00629608,	-0.00951812,	-0.0407863,	-0.0267487,	-0.0434969,	0.997862
1520792143546514239,	0.0744027,	2.28478,	-0.184084,	0.892284,	-0.444848,	-3.24897,	-0.0139274,	-0.0258172,	-0.034874,	0.998961,	0.0207753,	2.31195,	0.0137524,	0.0131469,	0.000660742,	-0.00574288,	-0.0216557,	0.718661,	0.694927,	0.0115802,	0.128301,	2.26976,	-0.270667,	0.00532469,	-0.0417074,	-0.00344429,	-0.0348698,	-0.0273451,	-0.0476954,	0.997878
1520792143609210972,	0.0748183,	2.28511,	-0.184697,	0.871661,	-0.432978,	-3.20079,	-0.0138657,	-0.0243209,	-0.0312912,	0.999118,	0.0219064,	2.31183,	0.01318,	0.0182434,	-0.00200251,	-0.00923287,	-0.0209433,	0.718216,	0.69543,	0.0102612,	0.128408,	2.26924,	-0.271524,	0.00172476,	-0.00840693,	-0.0138345,	-0.036174,	-0.0260583,	-0.0505399,	0.997726
1520792143662152541,	0.0750653,	2.28432,	-0.184846,	1.02229,	-0.529034,	-3.80819,	-0.0135854,	-0.0234788,	-0.0289282,	0.999213,	0.0219983,	2.31215,	0.0133956,	0.00176688,	0.0062086,	0.0041465,	-0.0207029,	0.718005,	0.695659,	0.00993737,	0.12883,	2.26986,	-0.271991,	0.00812698,	0.0119344,	-0.00898161,	-0.0359421,	-0.024721,	-0.0455769,	0.998008
1520792143731518409,	0.0751787,	2.28297,	-0.185191,	0.770731,	-0.422943,	-2.87806,	-0.0121115,	-0.0231065,	-0.0328561,	0.99912,	0.0222376,	2.31288,	0.0135159,	0.0034694,	0.0105595,	0.00174279,	-0.0204584,	0.718325,	0.69535,	0.00892706,	0.129064,	2.26908,	-0.27213,	0.00338693,	-0.0113419,	-0.0020108,	-0.0352571,	-0.0239371,	-0.0444978,	0.9981
1520792143794153164,	0.0753499,	2.28604,	-0.185136,	0.856649,	-0.432878,	-3.20406,	-0.0157582,	-0.0223652,	-0.0324903,	0.999098,	0.0225774,	2.31388,	0.0134042,	0.0054796,	0.0161529,	-0.0018017,	-0.0201781,	0.718525,	0.695161,	0.00811155,	0.129126,	2.26755,	-0.272384,	0.000989843,	-0.0247144,	-0.00409355,	-0.0334483,	-0.0235831,	-0.0473688,	0.998039
1520792143851635784,	0.0752345,	2.28068,	-0.184615,	0.923808,	-0.582591,	-3.47402,	-5.7211e-05,	-0.0214742,	-0.0437156,	0.998813,	0.0238481,	2.31652,	0.0130875,	0.0222933,	0.0463282,	-0.00555553,	-0.0186691,	0.718062,	0.695713,	0.00470502,	0.129375,	2.27089,	-0.272412,	0.00438154,	0.0585819,	-0.000495131,	-0.0367986,	-0.0227082,	-0.0485583,	0.997884
