time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520792208420441553,	0.0895331,	2.31331,	-0.257109,	0.0219175,	-0.0253851,	-0.0676358,	-0.00329212,	-0.0044787,	-0.0772068,	0.997,	0.0439279,	2.3519,	-0.0584862,	0.00530361,	-0.0113253,	0.00472223,	0.000345539,	0.695802,	0.718228,	0.00288354,	0.114302,	2.3297,	-0.357596,	-0.00036485,	-4.19395e-05,	4.97922e-05,	-0.0238296,	0.0335722,	-0.100066,	0.994129
1520792208489889802,	0.0903069,	2.32528,	-0.258246,	0.672159,	-0.385786,	-2.89507,	-0.028275,	-0.00378251,	-0.0742302,	0.996833,	0.0442913,	2.35154,	-0.0588143,	0.00526617,	-0.00519628,	-0.00475433,	0.000606596,	0.695646,	0.718381,	0.00236973,	0.144235,	2.29806,	-0.345392,	0.433805,	-0.458619,	0.176874,	-0.0197001,	-0.00586466,	-0.0856156,	0.996116
1520792208559421284,	0.0903774,	2.32622,	-0.25818,	0.667915,	-0.366949,	-2.88936,	-0.0301764,	-0.00265864,	-0.0722678,	0.996925,	0.0453475,	2.35193,	-0.0590859,	0.0153072,	0.00566442,	-0.00393629,	0.00109629,	0.695467,	0.718556,	0.0014586,	0.14454,	2.29923,	-0.345556,	0.00442978,	0.0169985,	-0.00237963,	-0.0225575,	-0.00566781,	-0.088303,	0.995822
1520792208622353200,	0.0904049,	2.32553,	-0.258506,	0.726733,	-0.425839,	-3.21645,	-0.0285541,	-0.00249609,	-0.074378,	0.996818,	0.045436,	2.35214,	-0.059004,	0.0014274,	0.00339402,	0.00132029,	0.00168287,	0.694369,	0.719615,	0.00182296,	0.1446,	2.29998,	-0.345504,	0.000968237,	0.0120701,	0.000840422,	-0.0237414,	-0.00458388,	-0.0872922,	0.995889
1520792208696204013,	0.0902688,	2.31715,	-0.257664,	0.614148,	-0.479334,	-2.72136,	-0.00689452,	-0.00239979,	-0.0768364,	0.997017,	0.0460066,	2.35312,	-0.0590052,	0.00781693,	0.0133815,	-1.59932e-05,	0.00166747,	0.69471,	0.719287,	0.00125014,	0.144634,	2.29936,	-0.345807,	0.000458771,	-0.00856059,	-0.00415608,	-0.0225097,	-0.00436264,	-0.0880344,	0.995854
1520792208751931210,	0.0909672,	2.31726,	-0.257555,	0.817464,	-0.652002,	-3.60999,	-0.00225009,	-0.00181485,	-0.0771831,	0.997013,	0.0473669,	2.35536,	-0.0587471,	0.0247327,	0.0406497,	0.00469314,	0.000839372,	0.695323,	0.718696,	-0.00138382,	0.145024,	2.30042,	-0.345891,	0.00708806,	0.0192509,	-0.00151311,	-0.0182521,	-0.00371676,	-0.0848611,	0.996219
1520792208822709613,	0.0920626,	2.32951,	-0.258032,	0.63851,	-0.369218,	-2.84693,	-0.0296216,	-3.62655e-05,	-0.0730127,	0.996891,	0.0479519,	2.35615,	-0.0589384,	0.00835608,	0.0113176,	-0.00273265,	-0.000529179,	0.694658,	0.719336,	-0.00242028,	0.145807,	2.30252,	-0.346062,	0.0111926,	0.030027,	-0.00245562,	-0.0189704,	-0.00313172,	-0.0846834,	0.996222
1520792208876817903,	0.0931086,	2.33168,	-0.258469,	0.836237,	-0.453126,	-3.69501,	-0.025745,	-0.000668521,	-0.0699669,	0.997217,	0.0482244,	2.35521,	-0.059264,	0.0050479,	-0.0173661,	-0.00603099,	-0.00205877,	0.692498,	0.72141,	-0.00315424,	0.146448,	2.3044,	-0.345635,	0.0118762,	0.0349063,	0.00792106,	-0.0257535,	-0.00180964,	-0.0866187,	0.995907
1520792208946388836,	0.0935469,	2.33147,	-0.258746,	0.656847,	-0.344078,	-2.89105,	-0.0260035,	-0.00132722,	-0.0723509,	0.997039,	0.0478633,	2.35453,	-0.0596847,	-0.00523425,	-0.00991233,	-0.00609737,	-0.00350913,	0.690757,	0.723067,	-0.00391211,	0.147656,	2.30802,	-0.346353,	0.0175002,	0.0524887,	-0.0104057,	-0.0241365,	-0.00227095,	-0.0819346,	0.996343
1520792209025228172,	0.0932493,	2.33189,	-0.2597,	0.581872,	-0.290206,	-2.5643,	-0.0218429,	-0.00186857,	-0.0712913,	0.997215,	0.046805,	2.35374,	-0.0600373,	-0.0135674,	-0.0100351,	-0.00452014,	-0.00462524,	0.689607,	0.724157,	-0.00415486,	0.148114,	2.30738,	-0.346602,	0.00587287,	-0.00825396,	-0.00320226,	-0.0220225,	-0.00308088,	-0.083862,	0.996229
1520792209098029135,	0.092772,	2.33277,	-0.259705,	0.63843,	-0.291297,	-2.77316,	-0.0230715,	-0.00231995,	-0.0699517,	0.997281,	0.0461097,	2.35258,	-0.0590492,	-0.0096575,	-0.0162088,	0.0137237,	-0.00503251,	0.689643,	0.724121,	-0.00391386,	0.147823,	2.30822,	-0.347599,	-0.00403821,	0.0116714,	-0.0138355,	-0.0181571,	-0.00350937,	-0.0814773,	0.996504
1520792209158012995,	0.091813,	2.32334,	-0.257487,	0.774632,	-0.495491,	-3.36334,	-0.00334884,	-0.00321329,	-0.0720085,	0.997393,	0.0449439,	2.3515,	-0.0572485,	-0.0197584,	-0.0182232,	0.0305198,	-0.00434433,	0.688856,	0.724881,	-0.00250489,	0.147315,	2.30895,	-0.347605,	-0.00860899,	0.0123109,	-0.000102543,	-0.0204163,	-0.00398191,	-0.0812733,	0.996475
