time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520792173827209028,	0.0719532,	2.32616,	-0.231377,	0.0158382,	0.007453,	-0.0607071,	-0.0349351,	-0.0121884,	-0.047065,	0.998206,	0.0209913,	2.31999,	-0.0300111,	-7.24863e-05,	0.00552482,	0.00216071,	-0.0199903,	0.685492,	0.727801,	-0.00248687,	0.126993,	2.28133,	-0.325436,	-0.000302477,	-0.000632003,	-1.64053e-05,	0.0252339,	-0.0169926,	-0.0776364,	0.996517
1520792173898671291,	0.0715196,	2.31769,	-0.231156,	0.711666,	-0.0323197,	-2.83303,	-0.0153214,	-0.0120188,	-0.0558941,	0.998247,	0.0213119,	2.31903,	-0.0306602,	0.00451444,	-0.0134367,	-0.00914307,	-0.0198529,	0.684978,	0.728286,	-0.00319401,	0.126672,	2.3066,	-0.31975,	-0.00452382,	0.355921,	0.0800859,	-0.0332894,	-0.013419,	-0.061556,	0.997458
1520792173958974804,	0.0713202,	2.3057,	-0.230888,	0.833472,	-0.222293,	-3.33713,	0.00739396,	-0.0120191,	-0.0638468,	0.99786,	0.0215377,	2.31864,	-0.0313067,	0.00376416,	-0.00664996,	-0.0107735,	-0.0201122,	0.68506,	0.728201,	-0.00341793,	0.12603,	2.29773,	-0.31928,	-0.0106953,	-0.147931,	0.00783538,	-0.0157203,	-0.0131313,	-0.0675465,	0.997506
1520792174022840153,	0.0716853,	2.31626,	-0.232287,	0.795993,	-0.037639,	-3.19017,	-0.0110857,	-0.0112573,	-0.056351,	0.998286,	0.0214875,	2.31952,	-0.0311178,	-0.000796658,	0.0139876,	0.00299808,	-0.0203533,	0.685011,	0.728242,	-0.00303758,	0.126027,	2.29258,	-0.319215,	-5.56366e-05,	-0.0817402,	0.00102277,	-0.00711409,	-0.0131313,	-0.0692062,	0.997491
1520792174102746805,	0.0718875,	2.31614,	-0.232192,	0.637974,	-0.0427748,	-2.54525,	-0.0104108,	-0.0120648,	-0.0579676,	0.998191,	0.0211101,	2.31908,	-0.0312096,	-0.00477805,	-0.00553586,	-0.00116175,	-0.0216392,	0.683155,	0.729947,	-0.00298782,	0.126379,	2.29924,	-0.320543,	0.00445695,	0.0843035,	-0.0168037,	-0.0186312,	-0.0123411,	-0.0650819,	0.99763
1520792174169063422,	0.0719239,	2.31749,	-0.23227,	0.769907,	-0.0240419,	-3.04636,	-0.0104281,	-0.0124796,	-0.057662,	0.998204,	0.0206269,	2.31905,	-0.0314059,	-0.00732138,	-0.000489268,	-0.00297447,	-0.0219744,	0.683272,	0.729828,	-0.00258287,	0.126571,	2.299,	-0.320429,	0.00291125,	-0.00365893,	0.00171946,	-0.0176492,	-0.0132001,	-0.0667403,	0.997527
1520792174233832705,	0.0724748,	2.3284,	-0.233227,	0.810124,	0.146103,	-3.15345,	-0.0303322,	-0.012168,	-0.0453412,	0.998437,	0.0201397,	2.32029,	-0.0316691,	-0.00761145,	0.0193634,	-0.00411354,	-0.0225576,	0.684149,	0.728989,	-0.00264527,	0.126565,	2.29896,	-0.320404,	-9.65377e-05,	-0.000633502,	0.000396238,	-0.0132842,	-0.0137599,	-0.0667041,	0.997589
1520792174290035956,	0.0712704,	2.30523,	-0.231539,	0.913048,	-0.268823,	-3.5691,	0.00872114,	-0.0141599,	-0.0656484,	0.997704,	0.0198794,	2.31974,	-0.0320413,	-0.00464771,	-0.00970344,	-0.00664492,	-0.0223447,	0.683712,	0.729405,	-0.00263073,	0.127299,	2.30955,	-0.321732,	0.013122,	0.189163,	-0.0237064,	-0.0329577,	-0.0131821,	-0.0588047,	0.997638
1520792174357979623,	0.0711337,	2.31696,	-0.233391,	0.764989,	-0.0415071,	-3.00521,	-0.00635828,	-0.0132452,	-0.057054,	0.998263,	0.0200123,	2.31911,	-0.0331104,	0.00198215,	-0.00941519,	-0.0159573,	-0.021611,	0.682043,	0.730985,	-0.00333914,	0.125875,	2.29129,	-0.319819,	-0.021265,	-0.272481,	0.0285457,	-0.000680721,	-0.0154906,	-0.0705006,	0.997391
1520792174421526578,	0.0708661,	2.31965,	-0.234,	0.807204,	0.00846714,	-3.18872,	-0.00517308,	-0.0127238,	-0.0559387,	0.99834,	0.0204133,	2.31914,	-0.0336531,	0.00636604,	0.000435816,	-0.0086137,	-0.0198582,	0.680633,	0.732348,	-0.00338558,	0.125833,	2.29976,	-0.321648,	-0.000666616,	0.134325,	-0.0290393,	-0.0136052,	-0.0144147,	-0.0658174,	0.997635
1520792174489526264,	0.0706883,	2.31742,	-0.234634,	0.739338,	-0.0253309,	-2.95561,	-0.00459,	-0.0111388,	-0.060129,	0.998118,	0.0207326,	2.31997,	-0.0340765,	0.00469489,	0.0122813,	-0.00622766,	-0.0186054,	0.681874,	0.731226,	-0.00305875,	0.125585,	2.30189,	-0.322286,	-0.00364905,	0.031421,	-0.00937779,	-0.0124816,	-0.0139451,	-0.0658154,	0.997656
1520792174553351093,	0.0707421,	2.31878,	-0.235099,	0.793802,	-0.0190297,	-3.19083,	-0.00482053,	-0.0104695,	-0.0607427,	0.998087,	0.0203246,	2.32261,	-0.0343743,	-0.0064761,	0.0418916,	-0.00472718,	-0.0183349,	0.682246,	0.730892,	-0.000953518,	0.125339,	2.2995,	-0.322952,	-0.00389318,	-0.0380109,	-0.0105645,	-0.0113075,	-0.0121559,	-0.0696647,	0.997432
1520792174616477591,	0.0705777,	2.31897,	-0.235062,	0.797668,	-0.057765,	-3.18552,	-0.0058159,	-0.0115176,	-0.0603865,	0.998092,	0.019638,	2.3241,	-0.0339543,	-0.0108982,	0.0235727,	0.00666668,	-0.0196304,	0.680955,	0.732062,	-0.000109665,	0.125458,	2.3012,	-0.323374,	0.00188746,	0.0269925,	-0.00670774,	-0.011815,	-0.0117585,	-0.0698579,	0.997418
1520792174673601094,	0.0706368,	2.31965,	-0.235209,	0.894716,	-0.0780651,	-3.53078,	-0.00610256,	-0.0129384,	-0.0653524,	0.99776,	0.0188048,	2.32482,	-0.0334204,	-0.0146179,	0.0126198,	0.0093675,	-0.0219592,	0.680877,	0.732069,	-0.000369178,	0.125295,	2.30136,	-0.323341,	-0.00287065,	0.00288187,	0.000580035,	-0.0127922,	-0.0127987,	-0.0696775,	0.997405
1520792174727602678,	0.0706768,	2.32155,	-0.234633,	0.960594,	-0.0605262,	-3.72616,	-0.00304691,	-0.0144514,	-0.057762,	0.998221,	0.0184711,	2.32672,	-0.0329762,	-0.00617833,	0.0351444,	0.00822639,	-0.0240982,	0.680797,	0.732073,	-0.00191843,	0.125346,	2.30157,	-0.323457,	0.00095538,	0.00390165,	-0.00215191,	-0.0120119,	-0.0143261,	-0.0745726,	0.99704
