time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520792795803462157,	0.0965625,	2.04369,	-0.0294509,	-0.0114163,	0.0123399,	-0.0414888,	-0.0758389,	-0.03584,	0.0306792,	0.996003,	0.0358315,	2.02804,	0.186303,	-0.0247961,	0.00889195,	0.00604458,	-0.115527,	0.680639,	0.71902,	-0.0799705,	0.245918,	1.97199,	-0.135528,	3.78038e-05,	-7.1815e-05,	-7.23872e-06,	-0.0170548,	-0.0230755,	0.0200284,	0.999388
1520792795863874571,	0.0952944,	2.04166,	-0.0286672,	0.991048,	0.2269,	-3.58284,	-0.0712037,	-0.0377639,	0.0313688,	0.996253,	0.0349783,	2.02691,	0.18657,	-0.0142215,	-0.0189075,	0.00444057,	-0.115028,	0.680547,	0.719343,	-0.078547,	0.145609,	2.04149,	-0.109202,	-1.67181,	1.15833,	0.438765,	-0.0412695,	-0.0369828,	-0.00891066,	0.998424
1520792795922844831,	0.0909584,	1.99227,	-0.0337568,	0.965174,	-0.597125,	-3.79873,	0.0581588,	-0.0377444,	-0.0399413,	0.996794,	0.0348483,	2.02516,	0.186785,	-0.00223998,	-0.03017,	0.00371877,	-0.113649,	0.680193,	0.72003,	-0.0773139,	0.144289,	2.03926,	-0.108333,	-0.0227634,	-0.038485,	0.014977,	-0.0367911,	-0.0388799,	-0.00715448,	0.998541
1520792795986547790,	0.093628,	2.03328,	-0.0287796,	0.93301,	0.12892,	-3.42167,	-0.0543183,	-0.0383079,	0.0157019,	0.997665,	0.0354417,	2.02321,	0.187017,	0.00941864,	-0.0309088,	0.00368408,	-0.112085,	0.680287,	0.720254,	-0.0766827,	0.136538,	1.96572,	-0.110251,	-0.123033,	-1.16732,	-0.0304367,	0.0831004,	-0.0436669,	-0.109837,	0.989507
1520792796051272820,	0.0939591,	2.0299,	-0.0283057,	0.914335,	0.10457,	-3.36443,	-0.0682824,	-0.0373254,	0.0315887,	0.996467,	0.0379944,	2.02006,	0.187512,	0.0398857,	-0.04927,	0.00771985,	-0.112574,	0.681753,	0.718608,	-0.0783759,	0.142627,	2.03186,	-0.107798,	0.0951441,	1.03339,	0.0383207,	-0.0288926,	-0.039625,	-0.0135631,	0.998705
1520792796114001217,	0.0952347,	2.03207,	-0.0278582,	0.923231,	0.193766,	-3.47371,	-0.0671533,	-0.0366229,	0.0224856,	0.996817,	0.0401475,	2.01686,	0.188121,	0.034727,	-0.0516178,	0.00983282,	-0.112683,	0.680463,	0.719758,	-0.078868,	0.142245,	1.99794,	-0.106007,	-0.00616603,	-0.546977,	0.0288974,	-0.0420095,	-0.0356961,	0.0986405,	0.993595
1520792796182591878,	0.0972528,	2.03022,	-0.0273618,	0.839784,	0.196532,	-3.16887,	-0.0615772,	-0.036357,	-0.00261445,	0.997437,	0.0418763,	2.01466,	0.188852,	0.0254235,	-0.0322643,	0.0107486,	-0.113675,	0.680204,	0.719677,	-0.0804092,	0.143954,	2.02826,	-0.107074,	0.025137,	0.445799,	-0.0156959,	-0.0341689,	-0.0378486,	-0.0127058,	0.998618
1520792796271248624,	0.100245,	2.02398,	-0.0265977,	0.663275,	0.105847,	-2.44829,	-0.0743454,	-0.0355826,	0.0366871,	0.995922,	0.04599,	2.01136,	0.190862,	0.0467466,	-0.0374905,	0.0228389,	-0.114253,	0.683174,	0.716719,	-0.0808255,	0.146238,	2.02633,	-0.106482,	0.0259529,	-0.0219205,	0.00672518,	-0.0417822,	-0.0376241,	-0.0184074,	0.998248
1520792796343914842,	0.104464,	2.0177,	-0.0240172,	0.812146,	0.0879504,	-2.98443,	-0.0833103,	-0.0359019,	0.0443277,	0.99489,	0.0481104,	2.00999,	0.192022,	0.0294506,	-0.0191371,	0.0161117,	-0.113916,	0.685165,	0.715097,	-0.0787873,	0.148836,	2.02181,	-0.105543,	0.0360852,	-0.0627473,	0.0130385,	-0.0459576,	-0.0362903,	-0.00318675,	0.998279
1520792796401688251,	0.107853,	1.99461,	-0.0217438,	1.04811,	-0.269797,	-3.75028,	-0.0872715,	-0.0382488,	0.0786698,	0.992337,	0.0546746,	2.0048,	0.195794,	0.115162,	-0.0908918,	0.0661732,	-0.114681,	0.682891,	0.717352,	-0.0769066,	0.152325,	1.98231,	-0.101118,	0.061214,	-0.692953,	0.0776307,	-0.0358464,	-0.0359946,	0.103399,	0.993342
