time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520792085539331562,	0.163242,	2.29449,	-0.20119,	0.0090281,	-0.00776449,	-0.0779298,	-0.032044,	-0.0226754,	-0.0747179,	0.996432,	0.110302,	2.34701,	-0.00354414,	-0.0182747,	0.0193243,	0.0240018,	-0.0178243,	0.718622,	0.695168,	-0.00242944,	0.245306,	2.26114,	-0.336148,	6.81609e-06,	0.000355113,	0.0001256,	-0.0375706,	-0.00718516,	-0.0696027,	0.996841
1520792085598513450,	0.161803,	2.29371,	-0.200404,	0.872903,	-0.903473,	-3.33661,	-0.0369684,	-0.0223321,	-0.0754288,	0.996215,	0.109197,	2.34673,	-0.00252739,	-0.0187256,	-0.00483363,	0.0172331,	-0.0174336,	0.718903,	0.69489,	-0.00188333,	0.218172,	2.28521,	-0.289481,	-0.459901,	0.40788,	0.790978,	-0.0352465,	-0.0232621,	-0.063463,	0.99709
1520792085659577231,	0.160508,	2.29405,	-0.199111,	0.841167,	-0.863544,	-3.22268,	-0.0373107,	-0.0222217,	-0.0750122,	0.996237,	0.106304,	2.34473,	-0.00113568,	-0.0474167,	-0.0327471,	0.0228149,	-0.0174337,	0.717938,	0.695888,	-0.000970976,	0.216526,	2.28474,	-0.288579,	-0.0269894,	-0.00767277,	0.0147824,	-0.0395151,	-0.0230486,	-0.0654376,	0.996808
1520792085722522486,	0.158689,	2.29332,	-0.19797,	0.844908,	-0.829184,	-3.17475,	-0.0397646,	-0.0226743,	-0.0760684,	0.996051,	0.104901,	2.34303,	0.000125575,	-0.0226376,	-0.0274437,	0.0203428,	-0.0171833,	0.716579,	0.697293,	-0.000762798,	0.21567,	2.28484,	-0.28752,	-0.0137948,	0.00166548,	0.0170797,	-0.0378984,	-0.0230243,	-0.0648247,	0.996911
1520792085780093341,	0.157081,	2.29253,	-0.196767,	0.915436,	-0.885944,	-3.45426,	-0.0327897,	-0.0227882,	-0.0770054,	0.996231,	0.104012,	2.3409,	0.00130301,	-0.0155865,	-0.0374362,	0.0206568,	-0.0161245,	0.715182,	0.698752,	-0.000873968,	0.213838,	2.28419,	-0.286358,	-0.0321527,	-0.0114067,	0.0203824,	-0.0409924,	-0.02342,	-0.0657566,	0.996718
1520792085862163703,	0.155044,	2.29305,	-0.196147,	0.62234,	-0.583527,	-2.40792,	-0.0295497,	-0.0219589,	-0.0784621,	0.996237,	0.101853,	2.33852,	0.00286834,	-0.0263369,	-0.0290085,	0.0190893,	-0.013942,	0.715622,	0.698346,	-0.00171304,	0.212144,	2.2831,	-0.285067,	-0.0206561,	-0.0132646,	0.0157474,	-0.0343945,	-0.0236022,	-0.0672242,	0.996866
1520792085945827513,	0.153275,	2.29221,	-0.194517,	0.61954,	-0.557867,	-2.37814,	-0.0327783,	-0.0201545,	-0.0750931,	0.996434,	0.100422,	2.3371,	0.00354279,	-0.0172422,	-0.0170363,	0.0081259,	-0.0136666,	0.715191,	0.69879,	-0.00264166,	0.21011,	2.28335,	-0.284453,	-0.0245107,	0.00290079,	0.00738942,	-0.0314951,	-0.0228094,	-0.0690638,	0.996854
1520792086022635378,	0.149626,	2.29097,	-0.193685,	0.64742,	-0.607031,	-2.5951,	-0.0324778,	-0.0189533,	-0.072882,	0.996631,	0.0957457,	2.33207,	0.00466492,	-0.0615258,	-0.0662073,	0.0147649,	-0.0162556,	0.712146,	0.701834,	-0.00356525,	0.208181,	2.28198,	-0.282665,	-0.0253764,	-0.0180177,	0.0235316,	-0.0342068,	-0.0208679,	-0.0661842,	0.997003
1520792086106462955,	0.146835,	2.29014,	-0.193119,	0.615539,	-0.505197,	-2.38294,	-0.0274228,	-0.0204665,	-0.0706703,	0.996913,	0.0886992,	2.32594,	0.0079824,	-0.084898,	-0.0739195,	0.0399697,	-0.018692,	0.709725,	0.704227,	-0.0022823,	0.204474,	2.27985,	-0.281756,	-0.0446659,	-0.0256551,	0.0109538,	-0.0332992,	-0.0197379,	-0.0652663,	0.997117
1520792086191254602,	0.143205,	2.29976,	-0.192459,	0.648882,	-0.311565,	-2.38621,	-0.0505289,	-0.0210639,	-0.0595888,	0.996721,	0.0837764,	2.32371,	0.0103803,	-0.0586042,	-0.0265406,	0.0285466,	-0.020055,	0.710928,	0.702978,	-0.00125565,	0.201575,	2.27827,	-0.281071,	-0.0345135,	-0.0187201,	0.00815897,	-0.0284104,	-0.0212723,	-0.0641835,	0.997307
1520792086258699286,	0.135272,	2.28467,	-0.187096,	0.768585,	-0.582683,	-2.94741,	-0.0250888,	-0.0248603,	-0.0646223,	0.997285,	0.0733435,	2.31526,	0.0155475,	-0.155715,	-0.125994,	0.0771221,	-0.0222383,	0.710511,	0.703335,	-4.79442e-05,	0.198044,	2.28657,	-0.280643,	-0.0526941,	0.123846,	0.00638145,	-0.0504373,	-0.0214086,	-0.0539141,	0.997041
1520792086322279429,	0.129106,	2.28118,	-0.183245,	0.885122,	-0.541052,	-3.15543,	-0.0297691,	-0.0262419,	-0.0600765,	0.997405,	0.0679683,	2.30905,	0.0184347,	-0.0853205,	-0.0986176,	0.0458291,	-0.023823,	0.708992,	0.704812,	0.00188124,	0.18962,	2.27063,	-0.274594,	-0.133715,	-0.252988,	0.0960107,	-0.0269259,	-0.0256293,	-0.0623349,	0.997363
1520792086375921160,	0.122687,	2.27348,	-0.179688,	1.03243,	-0.671138,	-3.73816,	-0.0220764,	-0.0288384,	-0.0589319,	0.997601,	0.0633257,	2.30126,	0.0215781,	-0.0875969,	-0.147052,	0.0593095,	-0.0248105,	0.705822,	0.707947,	0.00322846,	0.183245,	2.26608,	-0.270493,	-0.120287,	-0.085959,	0.0773891,	-0.0326647,	-0.0268931,	-0.0604221,	0.997276
1520792086459651107,	0.1171,	2.26618,	-0.178032,	0.647886,	-0.422589,	-2.40495,	-0.0142043,	-0.0299893,	-0.062935,	0.997466,	0.0543698,	2.28412,	0.0250231,	-0.107903,	-0.20643,	0.0415053,	-0.0255295,	0.702036,	0.71164,	0.00794962,	0.176543,	2.2575,	-0.266545,	-0.0807415,	-0.103295,	0.0475633,	-0.0259037,	-0.0295546,	-0.0612554,	0.997348
1520792086525115590,	0.111868,	2.25706,	-0.174926,	0.88459,	-0.416351,	-3.07614,	-0.0184983,	-0.0318841,	-0.0565094,	0.997721,	0.0499803,	2.2746,	0.0259294,	-0.0675303,	-0.146568,	0.013943,	-0.0256572,	0.702155,	0.711513,	0.00839513,	0.170755,	2.24993,	-0.264584,	-0.0890439,	-0.116472,	0.0301638,	-0.0177297,	-0.0308838,	-0.0656397,	0.997208
1520792086606396316,	0.105823,	2.24635,	-0.173766,	0.689413,	-0.348688,	-2.46538,	-0.0193909,	-0.0319075,	-0.0551956,	0.997777,	0.0429931,	2.25407,	0.0268149,	-0.086262,	-0.253397,	0.0109323,	-0.0237026,	0.701276,	0.712444,	0.00856297,	0.165248,	2.24054,	-0.261099,	-0.0679925,	-0.115957,	0.0430235,	-0.0232663,	-0.032689,	-0.0618887,	0.997276
