time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520792026162798510,	0.108205,	2.1676,	-0.159921,	0.0044169,	-0.057012,	-0.0566313,	-0.00226014,	-0.0154051,	-0.0734574,	0.997177,	0.0621701,	2.19824,	0.04151,	-0.00234307,	-0.052512,	-0.0270526,	-0.00311063,	0.696209,	0.717788,	0.00799604,	0.203239,	2.47725,	-0.0597575,	5.60884e-05,	0.0012,	-4.21569e-05,	0.102969,	-0.0422352,	-0.114156,	0.987209
1520792026220197280,	0.108496,	2.17416,	-0.160306,	0.812739,	-0.422517,	-3.54064,	-0.0137615,	-0.0153132,	-0.0675217,	0.997505,	0.0616193,	2.19782,	0.0417571,	-0.00966214,	-0.00739315,	0.00433646,	-0.00373659,	0.695738,	0.718238,	0.00832701,	0.159758,	2.15475,	-0.243023,	-0.762819,	-5.65784,	-3.21518,	-0.0100741,	-0.0165405,	-0.074629,	0.997023
1520792026280897383,	0.108177,	2.17169,	-0.159974,	0.775958,	-0.43561,	-3.36219,	-0.0141917,	-0.0160602,	-0.0709779,	0.997248,	0.0607065,	2.19761,	0.0421339,	-0.0152141,	-0.00358126,	0.00627946,	-0.00487071,	0.695217,	0.71873,	0.0087036,	0.159761,	2.15643,	-0.243173,	5.1391e-05,	0.0280313,	-0.0024942,	-0.0149265,	-0.016658,	-0.0755222,	0.996893
1520792026338005671,	0.107514,	2.17238,	-0.15925,	0.821184,	-0.442614,	-3.53305,	-0.0185041,	-0.0172295,	-0.0709325,	0.997161,	0.0593133,	2.1966,	0.0427915,	-0.0244417,	-0.017602,	0.0115371,	-0.0057547,	0.694678,	0.71923,	0.00985822,	0.159522,	2.15528,	-0.242896,	-0.00419585,	-0.0202287,	0.0048538,	-0.0141948,	-0.0173953,	-0.0755332,	0.99689
1520792026397159306,	0.106597,	2.1715,	-0.158684,	0.801415,	-0.425434,	-3.41485,	-0.0158564,	-0.0185976,	-0.0744382,	0.996926,	0.0577268,	2.19678,	0.0439002,	-0.0268907,	0.0029598,	0.0187907,	-0.00692747,	0.695137,	0.718755,	0.0113435,	0.15874,	2.15593,	-0.242063,	-0.0132507,	0.0109577,	0.0141257,	-0.0193143,	-0.0186938,	-0.0762116,	0.996729
1520792026450365645,	0.106585,	2.18029,	-0.158014,	0.921848,	-0.311101,	-3.8097,	-0.0336975,	-0.0195141,	-0.0596177,	0.997461,	0.0559297,	2.19586,	0.0451338,	-0.0339078,	-0.01726,	0.0232751,	-0.009091,	0.694742,	0.719093,	0.0125143,	0.157625,	2.15436,	-0.241411,	-0.0210394,	-0.0295317,	0.0122991,	-0.0133307,	-0.0204032,	-0.0798526,	0.996509
1520792026506646351,	0.105013,	2.17288,	-0.154861,	0.876485,	-0.4104,	-3.57134,	-0.0166511,	-0.0238016,	-0.0700428,	0.997121,	0.0537817,	2.19302,	0.0495593,	-0.0383555,	-0.0507928,	0.079027,	-0.0128919,	0.691934,	0.721673,	0.0157523,	0.157895,	2.16589,	-0.240804,	0.00480873,	0.205877,	0.0108288,	-0.0412178,	-0.0213176,	-0.0752797,	0.996082
1520792026569159853,	0.104758,	2.16939,	-0.153113,	0.822198,	-0.381067,	-3.2689,	-0.0115661,	-0.0259441,	-0.0762757,	0.996682,	0.0538133,	2.19246,	0.0519297,	0.000508692,	-0.00902388,	0.0382321,	-0.0134681,	0.691169,	0.722386,	0.0162049,	0.15635,	2.15604,	-0.23782,	-0.0249156,	-0.158937,	0.0481435,	-0.0168255,	-0.025069,	-0.0760378,	0.996648
1520792026629777183,	0.104884,	2.17125,	-0.150474,	0.851178,	-0.353472,	-3.37339,	-0.0124737,	-0.0267453,	-0.0729027,	0.996902,	0.0550892,	2.19158,	0.0543134,	0.0212654,	-0.0147353,	0.0397285,	-0.0130228,	0.69141,	0.722179,	0.0155067,	0.156016,	2.1523,	-0.235934,	-0.00556812,	-0.0623667,	0.0314251,	-0.00909705,	-0.0274302,	-0.0808842,	0.996304
1520792026686532798,	0.105675,	2.16991,	-0.147387,	0.903309,	-0.386907,	-3.60179,	-0.0110663,	-0.0257098,	-0.0737289,	0.996885,	0.0568863,	2.1921,	0.0569513,	0.03209,	0.00933684,	0.047105,	-0.0118535,	0.692376,	0.721309,	0.0137369,	0.156182,	2.15428,	-0.233386,	0.0029598,	0.0353632,	0.0455004,	-0.0113641,	-0.0281559,	-0.0785722,	0.996446
1520792026750598375,	0.106508,	2.16857,	-0.144387,	0.775333,	-0.367666,	-3.14591,	-0.0101147,	-0.0231812,	-0.0740255,	0.996936,	0.059182,	2.19194,	0.0597709,	0.0358709,	-0.00246063,	0.0440566,	-0.00996758,	0.69329,	0.720496,	0.0116402,	0.157059,	2.15305,	-0.229942,	0.0137047,	-0.0191195,	0.0538105,	-0.00960346,	-0.0270141,	-0.0786642,	0.996489
1520792026808720529,	0.108004,	2.16561,	-0.139144,	0.841766,	-0.453911,	-3.42957,	-0.00728153,	-0.019653,	-0.0739654,	0.997041,	0.0613852,	2.19004,	0.066259,	0.0379867,	-0.0327064,	0.111864,	-0.0084466,	0.692742,	0.721065,	0.0101353,	0.158144,	2.15174,	-0.226085,	0.0187185,	-0.0225553,	0.0665085,	-0.00838851,	-0.0235046,	-0.0780572,	0.996636
1520792026871238566,	0.108934,	2.16545,	-0.137077,	0.766921,	-0.396655,	-3.2796,	-0.00754365,	-0.0190401,	-0.0732274,	0.997105,	0.0616276,	2.18884,	0.0699558,	0.00390882,	-0.019442,	0.0596257,	-0.00905806,	0.692161,	0.721608,	0.0105987,	0.15929,	2.14973,	-0.222005,	0.0184817,	-0.0325345,	0.0658044,	-0.00560072,	-0.0210915,	-0.0772078,	0.996776
1520792026942066734,	0.109737,	2.16682,	-0.133531,	0.687283,	-0.314519,	-2.90696,	-0.00190914,	-0.0200779,	-0.0675621,	0.997511,	0.0613908,	2.18571,	0.0741245,	-0.00338196,	-0.0446639,	0.0595538,	-0.00917814,	0.690739,	0.722939,	0.0123835,	0.160239,	2.14979,	-0.219962,	0.0135537,	0.000842983,	0.0291877,	-0.00598186,	-0.0204469,	-0.076153,	0.996869
