time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520122052527155881,	0.531132,	2.90138,	-0.744168,	-3.61859e-06,	-2.02362e-05,	3.02158e-07,	0.0214933,	9.11997e-05,	-0.0165483,	0.999632,	0.431266,	2.7408,	-0.376497,	5.14135e-06,	-2.93803e-05,	7.046e-06,	-0.0214486,	0.658726,	0.750744,	-0.0447561
1520122052533615704,	0.531132,	2.90138,	-0.744168,	0,	0,	0,	0.0214933,	9.11997e-05,	-0.0165483,	0.999632,	0.431266,	2.7408,	-0.376497,	0,	0,	0,	-0.0214486,	0.658726,	0.750744,	-0.0447561
1520122052538008227,	0.531132,	2.90138,	-0.744168,	0,	0,	0,	0.0214933,	9.11997e-05,	-0.0165483,	0.999632,	0.431266,	2.7408,	-0.376497,	0,	0,	0,	-0.0214486,	0.658726,	0.750744,	-0.0447561
1520122052542359762,	0.531132,	2.90138,	-0.744168,	0,	0,	0,	0.0214933,	9.11997e-05,	-0.0165483,	0.999632,	0.431266,	2.7408,	-0.376497,	0,	0,	0,	-0.0214486,	0.658726,	0.750744,	-0.0447561
1520122052549507260,	0.531132,	2.90138,	-0.744168,	0,	0,	0,	0.0214933,	9.11997e-05,	-0.0165483,	0.999632,	0.431266,	2.7408,	-0.376497,	0,	0,	0,	-0.0214486,	0.658726,	0.750744,	-0.0447561
1520122052556269764,	0.531132,	2.90138,	-0.744168,	0,	0,	0,	0.0214933,	9.11997e-05,	-0.0165483,	0.999632,	0.431266,	2.7408,	-0.376497,	0,	0,	0,	-0.0214486,	0.658726,	0.750744,	-0.0447561
1520122052561119453,	0.531132,	2.90138,	-0.744168,	0,	0,	0,	0.0214933,	9.11997e-05,	-0.0165483,	0.999632,	0.431266,	2.7408,	-0.376497,	0,	0,	0,	-0.0214486,	0.658726,	0.750744,	-0.0447561
1520122052566834047,	0.532349,	2.9016,	-0.743669,	0.243379,	0.0439161,	0.0998544,	0.0224566,	2.25966e-05,	-0.0167749,	0.999607,	0.431189,	2.74118,	-0.376609,	-0.0154496,	0.0746308,	-0.0223122,	-0.0213586,	0.659125,	0.750411,	-0.0445113
1520122052574282747,	0.532349,	2.9016,	-0.743669,	0,	0,	0,	0.0224566,	2.25966e-05,	-0.0167749,	0.999607,	0.431189,	2.74118,	-0.376609,	0,	0,	0,	-0.0213586,	0.659125,	0.750411,	-0.0445113
1520122052578443863,	0.532349,	2.9016,	-0.743669,	0,	0,	0,	0.0224566,	2.25966e-05,	-0.0167749,	0.999607,	0.431189,	2.74118,	-0.376609,	0,	0,	0,	-0.0213586,	0.659125,	0.750411,	-0.0445113
