time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520121843488201105,	0.551752,	2.90074,	-0.744273,	-7.2514e-09,	4.12725e-06,	-3.96485e-06,	0.0266054,	-4.63876e-05,	-0.0187259,	0.999471,	0.449609,	2.74157,	-0.376708,	-1.61134e-06,	5.82612e-06,	1.94067e-06,	-0.0205294,	0.656957,	0.752412,	-0.0431527
1520121843492303964,	0.551752,	2.90074,	-0.744273,	0,	0,	0,	0.0266054,	-4.63876e-05,	-0.0187259,	0.999471,	0.449609,	2.74157,	-0.376708,	0,	0,	0,	-0.0205294,	0.656957,	0.752412,	-0.0431527
1520121843499611062,	0.551752,	2.90074,	-0.744273,	0,	0,	0,	0.0266054,	-4.63876e-05,	-0.0187259,	0.999471,	0.449609,	2.74157,	-0.376708,	0,	0,	0,	-0.0205294,	0.656957,	0.752412,	-0.0431527
1520121843505071681,	0.551752,	2.90074,	-0.744273,	0,	0,	0,	0.0266054,	-4.63876e-05,	-0.0187259,	0.999471,	0.449609,	2.74157,	-0.376708,	0,	0,	0,	-0.0205294,	0.656957,	0.752412,	-0.0431527
1520121843509220848,	0.551752,	2.90074,	-0.744273,	0,	0,	0,	0.0266054,	-4.63876e-05,	-0.0187259,	0.999471,	0.449609,	2.74157,	-0.376708,	0,	0,	0,	-0.0205294,	0.656957,	0.752412,	-0.0431527
1520121843513064755,	0.551752,	2.90074,	-0.744273,	0,	0,	0,	0.0266054,	-4.63876e-05,	-0.0187259,	0.999471,	0.449609,	2.74157,	-0.376708,	0,	0,	0,	-0.0205294,	0.656957,	0.752412,	-0.0431527
1520121843514555013,	0.551752,	2.90074,	-0.744273,	0,	0,	0,	0.0266054,	-4.63876e-05,	-0.0187259,	0.999471,	0.449609,	2.74157,	-0.376708,	0,	0,	0,	-0.0205294,	0.656957,	0.752412,	-0.0431527
1520121843520301037,	0.551364,	2.90075,	-0.743514,	-0.0776665,	0.00172452,	0.151734,	0.0273532,	0.000248486,	-0.0178749,	0.999466,	0.449567,	2.74074,	-0.376681,	-0.00839107,	-0.165759,	0.00554488,	-0.0205424,	0.656753,	0.752592,	-0.0431145
1520121843526978275,	0.551364,	2.90075,	-0.743514,	0,	0,	0,	0.0273532,	0.000248486,	-0.0178749,	0.999466,	0.449567,	2.74074,	-0.376681,	0,	0,	0,	-0.0205424,	0.656753,	0.752592,	-0.0431145
1520121843532406967,	0.551364,	2.90075,	-0.743514,	0,	0,	0,	0.0273532,	0.000248486,	-0.0178749,	0.999466,	0.449567,	2.74074,	-0.376681,	0,	0,	0,	-0.0205424,	0.656753,	0.752592,	-0.0431145
1520121843536630129,	0.551364,	2.90075,	-0.743514,	0,	0,	0,	0.0273532,	0.000248486,	-0.0178749,	0.999466,	0.449567,	2.74074,	-0.376681,	0,	0,	0,	-0.0205424,	0.656753,	0.752592,	-0.0431145
1520121843539718523,	0.551364,	2.90075,	-0.743514,	0,	0,	0,	0.0273532,	0.000248486,	-0.0178749,	0.999466,	0.449567,	2.74074,	-0.376681,	0,	0,	0,	-0.0205424,	0.656753,	0.752592,	-0.0431145
1520121843548682164,	0.551364,	2.90075,	-0.743514,	0,	0,	0,	0.0273532,	0.000248486,	-0.0178749,	0.999466,	0.449567,	2.74074,	-0.376681,	0,	0,	0,	-0.0205424,	0.656753,	0.752592,	-0.0431145
1520121843553850431,	0.551364,	2.90075,	-0.743514,	0,	0,	0,	0.0273532,	0.000248486,	-0.0178749,	0.999466,	0.449567,	2.74074,	-0.376681,	0,	0,	0,	-0.0205424,	0.656753,	0.752592,	-0.0431145
1520121843557219314,	0.551364,	2.90075,	-0.743514,	0,	0,	0,	0.0273532,	0.000248486,	-0.0178749,	0.999466,	0.449567,	2.74074,	-0.376681,	0,	0,	0,	-0.0205424,	0.656753,	0.752592,	-0.0431145
1520121843561998682,	0.551364,	2.90075,	-0.743514,	0,	0,	0,	0.0273532,	0.000248486,	-0.0178749,	0.999466,	0.449567,	2.74074,	-0.376681,	0,	0,	0,	-0.0205424,	0.656753,	0.752592,	-0.0431145
1520121843564831120,	0.551364,	2.90075,	-0.743514,	0,	0,	0,	0.0273532,	0.000248486,	-0.0178749,	0.999466,	0.449567,	2.74074,	-0.376681,	0,	0,	0,	-0.0205424,	0.656753,	0.752592,	-0.0431145
1520121843571619900,	0.550088,	2.89969,	-0.744334,	-0.212675,	-0.175701,	-0.136691,	0.0281016,	-0.00129354,	-0.0171194,	0.999458,	0.449566,	2.74054,	-0.376624,	-0.000164866,	-0.0324899,	0.00950001,	-0.020545,	0.656758,	0.752588,	-0.0431112
1520121843577600342,	0.550088,	2.89969,	-0.744334,	0,	0,	0,	0.0281016,	-0.00129354,	-0.0171194,	0.999458,	0.449566,	2.74054,	-0.376624,	0,	0,	0,	-0.020545,	0.656758,	0.752588,	-0.0431112
1520121843582684392,	0.550088,	2.89969,	-0.744334,	0,	0,	0,	0.0281016,	-0.00129354,	-0.0171194,	0.999458,	0.449566,	2.74054,	-0.376624,	0,	0,	0,	-0.020545,	0.656758,	0.752588,	-0.0431112
1520121843586717971,	0.550088,	2.89969,	-0.744334,	0,	0,	0,	0.0281016,	-0.00129354,	-0.0171194,	0.999458,	0.449566,	2.74054,	-0.376624,	0,	0,	0,	-0.020545,	0.656758,	0.752588,	-0.0431112
1520121843592508605,	0.550088,	2.89969,	-0.744334,	0,	0,	0,	0.0281016,	-0.00129354,	-0.0171194,	0.999458,	0.449566,	2.74054,	-0.376624,	0,	0,	0,	-0.020545,	0.656758,	0.752588,	-0.0431112
1520121843599974420,	0.550088,	2.89969,	-0.744334,	0,	0,	0,	0.0281016,	-0.00129354,	-0.0171194,	0.999458,	0.449566,	2.74054,	-0.376624,	0,	0,	0,	-0.020545,	0.656758,	0.752588,	-0.0431112
1520121843603464375,	0.550088,	2.89969,	-0.744334,	0,	0,	0,	0.0281016,	-0.00129354,	-0.0171194,	0.999458,	0.449566,	2.74054,	-0.376624,	0,	0,	0,	-0.020545,	0.656758,	0.752588,	-0.0431112
1520121843605154311,	0.550088,	2.89969,	-0.744334,	0,	0,	0,	0.0281016,	-0.00129354,	-0.0171194,	0.999458,	0.449566,	2.74054,	-0.376624,	0,	0,	0,	-0.020545,	0.656758,	0.752588,	-0.0431112
1520121843613841949,	0.550088,	2.89969,	-0.744334,	0,	0,	0,	0.0281016,	-0.00129354,	-0.0171194,	0.999458,	0.449566,	2.74054,	-0.376624,	0,	0,	0,	-0.020545,	0.656758,	0.752588,	-0.0431112
1520121843615417859,	0.551412,	2.90045,	-0.743965,	1.32389,	0.75184,	0.368836,	0.0249371,	4.06684e-05,	-0.0176543,	0.999533,	0.449551,	2.7405,	-0.376564,	-0.0142391,	-0.0415298,	0.0598235,	-0.0205709,	0.656628,	0.752698,	-0.0431431
1520121843621689919,	0.551412,	2.90045,	-0.743965,	0,	0,	0,	0.0249371,	4.06684e-05,	-0.0176543,	0.999533,	0.449551,	2.7405,	-0.376564,	0,	0,	0,	-0.0205709,	0.656628,	0.752698,	-0.0431431
1520121843626962842,	0.551412,	2.90045,	-0.743965,	0,	0,	0,	0.0249371,	4.06684e-05,	-0.0176543,	0.999533,	0.449551,	2.7405,	-0.376564,	0,	0,	0,	-0.0205709,	0.656628,	0.752698,	-0.0431431
1520121843632793359,	0.551412,	2.90045,	-0.743965,	0,	0,	0,	0.0249371,	4.06684e-05,	-0.0176543,	0.999533,	0.449551,	2.7405,	-0.376564,	0,	0,	0,	-0.0205709,	0.656628,	0.752698,	-0.0431431
1520121843637740113,	0.551412,	2.90045,	-0.743965,	0,	0,	0,	0.0249371,	4.06684e-05,	-0.0176543,	0.999533,	0.449551,	2.7405,	-0.376564,	0,	0,	0,	-0.0205709,	0.656628,	0.752698,	-0.0431431
1520121843640178900,	0.551412,	2.90045,	-0.743965,	0,	0,	0,	0.0249371,	4.06684e-05,	-0.0176543,	0.999533,	0.449551,	2.7405,	-0.376564,	0,	0,	0,	-0.0205709,	0.656628,	0.752698,	-0.0431431
1520121843653363246,	0.551412,	2.90045,	-0.743965,	0,	0,	0,	0.0249371,	4.06684e-05,	-0.0176543,	0.999533,	0.449551,	2.7405,	-0.376564,	0,	0,	0,	-0.0205709,	0.656628,	0.752698,	-0.0431431
1520121843661367288,	0.551412,	2.90045,	-0.743965,	0,	0,	0,	0.0249371,	4.06684e-05,	-0.0176543,	0.999533,	0.449551,	2.7405,	-0.376564,	0,	0,	0,	-0.0205709,	0.656628,	0.752698,	-0.0431431
