time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520287120319207275,	0.416024,	2.72204,	-0.620322,	0.000119944,	-0.000392627,	9.41163e-05,	-0.00573383,	-0.00369608,	0.00502921,	0.999964,	0.409771,	2.73789,	-0.392075,	8.66217e-05,	0.000840417,	-0.000137097,	-0.0861615,	0.676116,	0.728728,	-0.0663234
1520287120358111665,	0.416006,	2.72302,	-0.620565,	-0.000477209,	0.0256103,	-0.00638693,	-0.00637611,	-0.00370979,	0.00495677,	0.999961,	0.409771,	2.73789,	-0.392075,	0,	0,	0,	-0.0861615,	0.676116,	0.728728,	-0.0663234
1520287120401394319,	0.416008,	2.7226,	-0.620687,	5.2217e-05,	-0.00969987,	-0.00284949,	-0.00487165,	-0.00344592,	0.00434991,	0.999973,	0.409627,	2.73797,	-0.392077,	-0.00332896,	0.00198025,	-4.61361e-05,	-0.0861835,	0.676136,	0.728708,	-0.066303
1520287120446170754,	0.415805,	2.72311,	-0.620537,	-0.00461368,	0.0115783,	0.00340293,	-0.00683023,	-0.00394763,	0.00461275,	0.999958,	0.40958,	2.73813,	-0.391955,	-0.0010694,	0.00367724,	0.00278297,	-0.0862064,	0.675969,	0.728861,	-0.0663005
1520287120492403447,	0.415786,	2.72269,	-0.620382,	-0.000418491,	-0.00918038,	0.00336936,	-0.00423256,	-0.00377072,	0.00547692,	0.999969,	0.40979,	2.73784,	-0.392075,	0.00455073,	-0.00643129,	-0.00260197,	-0.0862322,	0.675686,	0.729118,	-0.0663273
1520287120545101901,	0.415784,	2.72214,	-0.620577,	-3.61201e-05,	-0.010419,	-0.00374688,	-0.00461201,	-0.00404534,	0.00481817,	0.99997,	0.409616,	2.73783,	-0.392217,	-0.00333997,	-8.01772e-05,	-0.00274649,	-0.0861659,	0.675893,	0.728944,	-0.066212
1520287120588295212,	0.415963,	2.72336,	-0.620638,	0.00415615,	0.0281851,	-0.00142301,	-0.00569236,	-0.00370361,	0.00585898,	0.99996,	0.409762,	2.73736,	-0.391983,	0.00339506,	-0.0110309,	0.00545564,	-0.0860643,	0.676189,	0.72868,	-0.0662319
1520287120627494040,	0.415844,	2.72438,	-0.620636,	-0.00305252,	0.0263257,	7.0315e-05,	-0.00537973,	-0.00402868,	0.00508238,	0.999964,	0.409669,	2.73699,	-0.391866,	-0.00237525,	-0.00937306,	0.00298847,	-0.0861673,	0.67583,	0.728996,	-0.0662803
1520287120670322051,	0.415773,	2.72408,	-0.621126,	-0.00169013,	-0.00720387,	-0.0116798,	-0.0092731,	-0.0028468,	0.00304044,	0.999948,	0.409841,	2.73662,	-0.391944,	0.00408167,	-0.00875954,	-0.00183955,	-0.086231,	0.675477,	0.729314,	-0.0663034
1520287120714692634,	0.415711,	2.72308,	-0.620559,	-0.00139481,	-0.0226203,	0.0128893,	-0.00622236,	-0.0035629,	0.00456992,	0.999964,	0.409841,	2.73662,	-0.391944,	0,	0,	0,	-0.086231,	0.675477,	0.729314,	-0.0663034
1520287120757356588,	0.415819,	2.72263,	-0.620278,	0.002569,	-0.0108774,	0.00668104,	-0.00538742,	-0.00398807,	0.00406621,	0.999969,	0.409762,	2.73686,	-0.391883,	-0.00188213,	0.00557381,	0.00145133,	-0.0861316,	0.67613,	0.728718,	-0.0663261
1520287120802288290,	0.41607,	2.7241,	-0.62086,	0.00569454,	0.0333678,	-0.013221,	-0.00818602,	-0.00379079,	0.0036684,	0.999953,	0.409592,	2.73699,	-0.391952,	-0.0038636,	0.00301113,	-0.00157605,	-0.0861019,	0.67603,	0.728825,	-0.0662093
1520287120839684004,	0.415819,	2.72346,	-0.620668,	-0.00676034,	-0.0170843,	0.00519733,	-0.00602746,	-0.00386438,	0.00435454,	0.999965,	0.409793,	2.73731,	-0.391957,	0.00544064,	0.00855311,	-0.000139509,	-0.0860725,	0.676071,	0.728788,	-0.0662443
1520287120882865872,	0.415963,	2.72363,	-0.620543,	0.00334404,	0.00396424,	0.0029008,	-0.00677276,	-0.00390535,	0.00426211,	0.99996,	0.409798,	2.73708,	-0.391844,	0.000105668,	-0.00540057,	0.00263403,	-0.086188,	0.675946,	0.728885,	-0.0662991
1520287120926218245,	0.416062,	2.72357,	-0.620712,	0.00228433,	-0.00157838,	-0.00391997,	-0.00547243,	-0.00370252,	0.00407315,	0.99997,	0.409781,	2.73697,	-0.391891,	-0.000377408,	-0.00235394,	-0.00110158,	-0.0861959,	0.67572,	0.729095,	-0.066283
1520287120975783334,	0.416069,	2.72635,	-0.621471,	0.000144834,	0.0567896,	-0.015492,	-0.00889032,	-0.00349318,	0.00513808,	0.999941,	0.409806,	2.73682,	-0.391875,	0.000503123,	-0.00309413,	0.000332422,	-0.0860948,	0.676122,	0.72874,	-0.0662194
1520287121019230115,	0.415979,	2.72276,	-0.620433,	-0.00208136,	-0.0835454,	0.024143,	-0.00599529,	-0.00366686,	0.00502148,	0.999963,	0.409812,	2.73704,	-0.391798,	0.000133572,	0.00505698,	0.00178125,	-0.0860878,	0.676132,	0.728732,	-0.0662092
1520287121059706623,	0.415764,	2.72315,	-0.620618,	-0.00536957,	0.00979369,	-0.00463862,	-0.00565228,	-0.00391069,	0.0045268,	0.999966,	0.409812,	2.73704,	-0.391798,	0,	0,	0,	-0.0860878,	0.676132,	0.728732,	-0.0662092
1520287121109746001,	0.415767,	2.72274,	-0.620604,	4.7456e-05,	-0.00824933,	0.000289841,	-0.009927,	-0.0028741,	0.0072823,	0.99992,	0.409712,	2.73732,	-0.391997,	-0.00200441,	0.00560532,	-0.0039705,	-0.0862253,	0.675819,	0.729006,	-0.0662155
1520287121155779439,	0.415921,	2.72262,	-0.620507,	0.00334515,	-0.0025997,	0.00210409,	-0.00586511,	-0.00387328,	0.00511106,	0.999962,	0.409668,	2.73735,	-0.39205,	-0.000938111,	0.000646876,	-0.00115674,	-0.0861891,	0.67604,	0.728804,	-0.0662269
1520287121198628203,	0.415825,	2.72318,	-0.620418,	-0.0022806,	0.0134217,	0.00212793,	-0.00438258,	-0.00381351,	0.00542456,	0.999968,	0.409881,	2.73753,	-0.391971,	0.0050571,	0.00422284,	0.00187599,	-0.0861249,	0.675972,	0.728878,	-0.0661884
1520287121250682483,	0.415838,	2.72326,	-0.620785,	0.000254861,	0.00153167,	-0.00707447,	-0.00611961,	-0.0040521,	0.00517974,	0.99996,	0.409747,	2.73761,	-0.391994,	-0.0025674,	0.00168824,	-0.000427683,	-0.0861311,	0.676199,	0.728667,	-0.0661794
1520287121296944127,	0.415924,	2.72312,	-0.620596,	0.00186466,	-0.00302209,	0.00411192,	-0.00401487,	-0.00375524,	0.00496587,	0.999973,	0.409753,	2.73768,	-0.392029,	0.000129137,	0.00134188,	-0.000779155,	-0.0861906,	0.676026,	0.728817,	-0.0662272
1520287121341323581,	0.415911,	2.72258,	-0.620321,	-0.000280207,	-0.0122577,	0.0062481,	-0.00734904,	-0.00342669,	0.0051981,	0.999954,	0.409855,	2.73783,	-0.392155,	0.00231215,	0.00350915,	-0.00284688,	-0.0861602,	0.675852,	0.728981,	-0.066235
1520287121385579823,	0.415808,	2.72198,	-0.620318,	-0.00235487,	-0.0137365,	6.98631e-05,	-0.00560977,	-0.00353036,	0.00579791,	0.999961,	0.409914,	2.7373,	-0.392108,	0.0013367,	-0.0121249,	0.00106325,	-0.0861141,	0.676011,	0.728839,	-0.0662282
1520287121429471969,	0.416078,	2.72215,	-0.62034,	0.00628263,	0.0039439,	-0.000502702,	-0.00693838,	-0.0039307,	0.00446229,	0.999958,	0.409743,	2.73723,	-0.391889,	-0.0039704,	-0.00159959,	0.00509306,	-0.0861379,	0.676013,	0.728838,	-0.0661941
1520287121471909204,	0.415954,	2.72294,	-0.620691,	-0.00295009,	0.0189539,	-0.00836833,	-0.00600666,	-0.00380038,	0.00516467,	0.999961,	0.409823,	2.73732,	-0.391964,	0.00190268,	0.00221922,	-0.00177824,	-0.0861453,	0.675802,	0.729032,	-0.0662011
1520287121515343454,	0.415824,	2.72252,	-0.620458,	-0.00301675,	-0.00988706,	0.00543789,	-0.00748766,	-0.00355087,	0.00618337,	0.999947,	0.409823,	2.73732,	-0.391964,	0,	0,	0,	-0.0861453,	0.675802,	0.729032,	-0.0662011
1520287121562327911,	0.415915,	2.72322,	-0.62049,	0.00196206,	0.0153356,	-0.00071507,	-0.00678943,	-0.00373717,	0.00478351,	0.999959,	0.409786,	2.73734,	-0.391867,	-0.000809066,	0.000497312,	0.00209695,	-0.0861307,	0.676086,	0.728772,	-0.0661863
1520287121603943428,	0.415896,	2.72325,	-0.620639,	-0.000461354,	0.000697404,	-0.00361982,	-0.00674579,	-0.00353204,	0.00485269,	0.999959,	0.409886,	2.73702,	-0.391994,	0.00244053,	-0.00787625,	-0.00309899,	-0.086127,	0.675884,	0.728962,	-0.0661605
1520287121647864082,	0.415779,	2.72285,	-0.620379,	-0.00271716,	-0.00942378,	0.00604246,	-0.00748174,	-0.00336477,	0.00415069,	0.999958,	0.409864,	2.73664,	-0.391905,	-0.000497884,	-0.008909,	0.00206539,	-0.086026,	0.675918,	0.728952,	-0.0660533
1520287121689685533,	0.415715,	2.72426,	-0.620702,	-0.00155028,	0.0345562,	-0.00786799,	-0.0064631,	-0.00382313,	0.00456242,	0.999961,	0.409918,	2.73716,	-0.391987,	0.00129887,	0.012633,	-0.00199441,	-0.0860541,	0.676022,	0.728851,	-0.0660717
