time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520287176755198482,	0.428723,	2.70643,	-0.620328,	0.000329099,	-0.000419438,	1.46305e-05,	0.00939824,	-0.00355168,	-0.00727972,	0.999923,	0.421509,	2.71147,	-0.389855,	0.000500419,	-0.000262141,	-5.60251e-05,	-0.0731811,	0.651523,	0.754047,	-0.0396873
1520287176804014956,	0.428704,	2.7066,	-0.620201,	-0.000403681,	0.00361976,	0.00265176,	0.00848046,	-0.00364729,	-0.00529485,	0.999943,	0.421498,	2.71192,	-0.389865,	-0.000225864,	0.00924217,	-0.000217302,	-0.0732833,	0.651618,	0.753956,	-0.0396802
1520287176856704141,	0.428641,	2.70705,	-0.620493,	-0.00121045,	0.00855056,	-0.00562476,	0.00830126,	-0.00342117,	-0.00652741,	0.999938,	0.421234,	2.7122,	-0.389874,	-0.00507996,	0.00552296,	-0.000166051,	-0.0732178,	0.651857,	0.753758,	-0.0396215
1520287176900574583,	0.428835,	2.70614,	-0.620339,	0.00451976,	-0.0210272,	0.00359313,	0.00945061,	-0.0034933,	-0.00668184,	0.999927,	0.421077,	2.71219,	-0.390056,	-0.00364395,	-0.000340519,	-0.00424228,	-0.0732418,	0.65192,	0.753704,	-0.0395741
1520287176945485933,	0.428623,	2.70788,	-0.621044,	-0.00481903,	0.0395105,	-0.0160395,	0.00833094,	-0.00325235,	-0.00588862,	0.999943,	0.421061,	2.71218,	-0.390066,	-0.000362871,	-0.000338574,	-0.000224932,	-0.073213,	0.651938,	0.753689,	-0.039609
1520287176990995778,	0.428419,	2.70613,	-0.620394,	-0.00454584,	-0.0390122,	0.0144445,	0.00747694,	-0.00287453,	-0.00772021,	0.999938,	0.421162,	2.71242,	-0.38992,	0.0022338,	0.00544864,	0.00324899,	-0.0732738,	0.651808,	0.753797,	-0.039591
1520287177038045564,	0.428631,	2.7055,	-0.61992,	0.0045173,	-0.0133469,	0.0100826,	0.00851781,	-0.00400408,	-0.0074649,	0.999928,	0.421407,	2.71191,	-0.389819,	0.00521323,	-0.0108176,	0.00214991,	-0.0732445,	0.651655,	0.753927,	-0.0396837
1520287177081465650,	0.428622,	2.70797,	-0.620824,	-0.000210781,	0.0575469,	-0.0210109,	0.00679159,	-0.00313725,	-0.00719569,	0.999946,	0.421445,	2.71181,	-0.389921,	0.000881847,	-0.00248218,	-0.00237789,	-0.07327,	0.651708,	0.753883,	-0.0396023
1520287177126539251,	0.428649,	2.70728,	-0.620358,	0.000607225,	-0.0154876,	0.0103439,	0.00834164,	-0.00310626,	-0.00566458,	0.999944,	0.421065,	2.71149,	-0.389913,	-0.00844029,	-0.0071128,	0.000184132,	-0.0732784,	0.651751,	0.753846,	-0.0395892
1520287177175476343,	0.428811,	2.70752,	-0.620566,	0.00337503,	0.00516958,	-0.0043175,	0.00735307,	-0.00342247,	-0.00620648,	0.999948,	0.421108,	2.71216,	-0.389892,	0.000888834,	0.0140822,	0.000436246,	-0.073263,	0.651892,	0.753727,	-0.0395601
