time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520287007374179693,	0.414301,	2.71042,	-0.62009,	2.72515e-10,	1.78283e-09,	-4.07877e-10,	0.00503595,	-0.00351961,	-0.014202,	0.99988,	0.408871,	2.7179,	-0.390231,	2.68943e-10,	1.78775e-09,	-2.56683e-10,	-0.0684662,	0.662979,	0.74428,	-0.042637
1520287007418070291,	0.414403,	2.71061,	-0.620473,	0.00238259,	0.00446898,	-0.00892537,	0.00442796,	-0.00353122,	-0.0144613,	0.999879,	0.40882,	2.71792,	-0.390178,	-0.00118312,	0.000450407,	0.00123165,	-0.0684662,	0.663124,	0.744154,	-0.0425911
1520287007465694470,	0.41413,	2.70987,	-0.619981,	-0.0058183,	-0.0157851,	0.0104805,	0.00357204,	-0.00318632,	-0.0163194,	0.999855,	0.408944,	2.71783,	-0.390428,	0.00263992,	-0.00187645,	-0.00532572,	-0.0685462,	0.66285,	0.744388,	-0.0426449
1520287007510861302,	0.414223,	2.71113,	-0.620817,	0.00207746,	0.0280963,	-0.0185832,	0.00279537,	-0.0032711,	-0.0175002,	0.999838,	0.408944,	2.71783,	-0.390428,	0,	0,	0,	-0.0685462,	0.66285,	0.744388,	-0.0426449
1520287007557477566,	0.414228,	2.71095,	-0.620147,	0.000113914,	-0.00403964,	0.0145665,	0.00530979,	-0.00334477,	-0.0137917,	0.999885,	0.408917,	2.7177,	-0.390414,	-0.000591476,	-0.00285471,	0.000307706,	-0.0685592,	0.662796,	0.744437,	-0.0426007
1520287007625169195,	0.414424,	2.71018,	-0.620115,	0.00292217,	-0.0114224,	0.000477777,	0.00240336,	-0.00317534,	-0.013826,	0.999896,	0.409212,	2.71739,	-0.390186,	0.00439875,	-0.0046228,	0.00340039,	-0.0686193,	0.662823,	0.7444,	-0.0427257
1520287007667187997,	0.414411,	2.71117,	-0.620409,	-0.00031232,	0.0236542,	-0.00699577,	0.00358576,	-0.00328782,	-0.0139619,	0.999891,	0.409266,	2.71727,	-0.390179,	0.00129394,	-0.00286336,	0.000166379,	-0.0686996,	0.662842,	0.744375,	-0.0427517
1520287007709776409,	0.414562,	2.71214,	-0.620615,	0.0035906,	0.0230057,	-0.00490328,	0.00361602,	-0.0034117,	-0.0135554,	0.999896,	0.409266,	2.71727,	-0.390179,	0,	0,	0,	-0.0686996,	0.662842,	0.744375,	-0.0427517
1520287007750245836,	0.414702,	2.71183,	-0.620557,	0.00349242,	-0.00785245,	0.00145095,	0.00423682,	-0.00351633,	-0.0141923,	0.999884,	0.409183,	2.71765,	-0.390084,	-0.00207712,	0.00958515,	0.00238897,	-0.0687035,	0.662862,	0.744355,	-0.0427707
1520287007795474063,	0.414806,	2.71054,	-0.620152,	0.00233237,	-0.0286521,	0.00899309,	0.00260533,	-0.00363567,	-0.0149018,	0.999879,	0.409488,	2.71734,	-0.39015,	0.00677117,	-0.0069973,	-0.00145775,	-0.0686194,	0.662953,	0.744281,	-0.042786
1520287007837922886,	0.415003,	2.71046,	-0.620226,	0.00467408,	-0.00175527,	-0.00176197,	0.00530106,	-0.00328613,	-0.0137984,	0.999885,	0.409439,	2.71782,	-0.390199,	-0.00116347,	0.0115164,	-0.00116615,	-0.0685989,	0.663349,	0.743927,	-0.0428297
1520287007882219446,	0.414895,	2.71025,	-0.620114,	-0.00245794,	-0.00481488,	0.0025517,	0.0048295,	-0.00377809,	-0.0139263,	0.999884,	0.409113,	2.71819,	-0.390306,	-0.0074005,	0.00842487,	-0.00244471,	-0.0687171,	0.662922,	0.744302,	-0.0427406
1520287007924896349,	0.414938,	2.71213,	-0.620579,	0.00103933,	0.0447461,	-0.0110675,	0.00360764,	-0.00338207,	-0.0136728,	0.999894,	0.409302,	2.71762,	-0.390367,	0.00449123,	-0.0136409,	-0.00146227,	-0.0687029,	0.662811,	0.744401,	-0.0427551
1520287007967962170,	0.414781,	2.71155,	-0.620606,	-0.00366045,	-0.0136234,	-0.000634164,	0.00428705,	-0.00340009,	-0.0141829,	0.999884,	0.409347,	2.71778,	-0.390352,	0.00105357,	0.00386602,	0.000351696,	-0.0687718,	0.662808,	0.744395,	-0.0428041
1520287008018500936,	0.414753,	2.71079,	-0.620237,	-0.000559956,	-0.0150576,	0.00738386,	0.0100102,	-0.00374264,	-0.0125924,	0.999864,	0.409515,	2.71762,	-0.390137,	0.00334387,	-0.00323943,	0.00430113,	-0.0687121,	0.662805,	0.744404,	-0.0427786
1520287008067294779,	0.414792,	2.70988,	-0.620114,	0.000817591,	-0.0189289,	0.00255368,	0.0060104,	-0.00338697,	-0.0142828,	0.999874,	0.409412,	2.71816,	-0.390266,	-0.00214118,	0.0112302,	-0.00267872,	-0.0686327,	0.663776,	0.743543,	-0.0428416
1520287008108053982,	0.414897,	2.71071,	-0.62033,	0.00261529,	0.0207284,	-0.00540312,	0.00669097,	-0.00341006,	-0.0152674,	0.999855,	0.409412,	2.71816,	-0.390266,	0,	0,	0,	-0.0686327,	0.663776,	0.743543,	-0.0428416
1520287008149975730,	0.415044,	2.71073,	-0.620003,	0.00359004,	0.000419779,	0.00797114,	0.00611789,	-0.00353968,	-0.0145298,	0.999869,	0.409357,	2.71818,	-0.3904,	-0.00132512,	0.00047125,	-0.00326604,	-0.0686118,	0.663387,	0.743893,	-0.0428144
1520287008196524019,	0.41494,	2.71206,	-0.620329,	-0.00225839,	0.0289244,	-0.00707129,	0.00758967,	-0.00377277,	-0.0135993,	0.999872,	0.409282,	2.71797,	-0.390256,	-0.00163023,	-0.00465751,	0.00312734,	-0.0687227,	0.662394,	0.744771,	-0.042744
1520287008241518713,	0.414916,	2.7114,	-0.620382,	-0.000556061,	-0.0150697,	-0.00120616,	0.00436854,	-0.00329282,	-0.0131234,	0.999899,	0.40932,	2.71789,	-0.390283,	0.000852721,	-0.00172631,	-0.000623656,	-0.068784,	0.662636,	0.744545,	-0.042832
1520287008282576952,	0.414922,	2.71161,	-0.620336,	0.000147872,	0.00519569,	0.00111645,	0.00734008,	-0.00380998,	-0.0125502,	0.999887,	0.409282,	2.71804,	-0.390094,	-0.000928872,	0.00357123,	0.00461124,	-0.0687003,	0.663003,	0.744228,	-0.0427873
1520287008328224626,	0.414945,	2.71066,	-0.62039,	0.000511334,	-0.0210279,	-0.00120268,	0.00623388,	-0.00346729,	-0.0152649,	0.999858,	0.409281,	2.71833,	-0.39019,	-1.2024e-05,	0.00646974,	-0.00212855,	-0.0686043,	0.663767,	0.743553,	-0.0428357
1520287008369522101,	0.414921,	2.71087,	-0.62016,	-0.000582573,	0.00497352,	0.00560691,	0.00485977,	-0.00353645,	-0.0144974,	0.999877,	0.409259,	2.71806,	-0.390299,	-0.000532161,	-0.00652098,	-0.00264724,	-0.0686577,	0.66347,	0.743812,	-0.0428543
1520287008411713711,	0.41496,	2.71036,	-0.61989,	0.000931312,	-0.0120126,	0.00644162,	0.00539544,	-0.00370978,	-0.0135419,	0.999887,	0.409259,	2.71806,	-0.390299,	0,	0,	0,	-0.0686577,	0.66347,	0.743812,	-0.0428543
1520287008460357051,	0.414873,	2.71052,	-0.619895,	-0.00180862,	0.0033205,	-0.000115978,	0.00490359,	-0.00371593,	-0.0151103,	0.999867,	0.409444,	2.71698,	-0.390319,	0.00384731,	-0.0224428,	-0.000414791,	-0.0687666,	0.66212,	0.745004,	-0.0428605
1520287008502112710,	0.414845,	2.71008,	-0.619999,	-0.000692128,	-0.0108299,	-0.00253693,	0.00520872,	-0.00338283,	-0.0140481,	0.999882,	0.409711,	2.71707,	-0.390057,	0.0065082,	0.00201368,	0.00637292,	-0.0687174,	0.662362,	0.744794,	-0.042846
1520287008545254847,	0.414989,	2.71038,	-0.620167,	0.00334582,	0.0069001,	-0.00389948,	0.00492367,	-0.00334831,	-0.0138309,	0.999887,	0.409579,	2.71682,	-0.389986,	-0.00305972,	-0.00577638,	0.0016549,	-0.0686658,	0.66304,	0.7442,	-0.0427716
1520287008588604198,	0.415039,	2.71149,	-0.62026,	0.00117881,	0.025793,	-0.00217054,	0.00619566,	-0.00401383,	-0.012189,	0.999898,	0.409565,	2.71805,	-0.390275,	-0.000337259,	0.02868,	-0.00672701,	-0.0686328,	0.663769,	0.743548,	-0.0428494
1520287008626840679,	0.415099,	2.71295,	-0.620973,	0.00158215,	0.0385724,	-0.0187647,	0.00130124,	-0.00306717,	-0.0139158,	0.999898,	0.409431,	2.71856,	-0.390351,	-0.00352265,	0.0133836,	-0.00197771,	-0.0686553,	0.663558,	0.743735,	-0.0428425
1520287008669757263,	0.414739,	2.7104,	-0.620748,	-0.0085835,	-0.0607194,	0.0053596,	0.00639059,	-0.00286772,	-0.0203954,	0.999767,	0.409328,	2.71817,	-0.390442,	-0.00244582,	-0.00917514,	-0.00218504,	-0.0687651,	0.662399,	0.744762,	-0.0427611
