time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520186215294157814,	0.514224,	2.85462,	-0.727915,	0.000109756,	-0.000219337,	0.000319079,	-0.0641558,	-8.16333e-06,	-0.0142958,	0.997837,	0.415835,	2.7407,	-0.376383,	2.2869e-05,	0.000181765,	-6.06422e-05,	-0.046224,	0.668996,	0.73782,	-0.0770054
1520186215340398570,	0.513711,	2.85438,	-0.729515,	-0.0111518,	-0.00539769,	-0.034776,	-0.0756161,	-0.000260242,	-0.00996856,	0.997087,	0.415785,	2.74025,	-0.376316,	-0.0010803,	-0.00985736,	0.00147128,	-0.0465887,	0.669122,	0.737643,	-0.0773852
1520186215385716410,	0.51367,	2.85691,	-0.729863,	-0.000911108,	0.0563787,	-0.00773203,	-0.0762724,	-0.00029999,	-0.00999227,	0.997037,	0.415618,	2.74008,	-0.376162,	-0.00370751,	-0.00374865,	0.00342528,	-0.0468559,	0.668357,	0.738293,	-0.077642
1520186215430765489,	0.513656,	2.85502,	-0.728896,	-0.000296294,	-0.0419527,	0.0214889,	-0.0640596,	-0.00120697,	-0.0128836,	0.997862,	0.415527,	2.73925,	-0.376243,	-0.0020354,	-0.0183916,	-0.00181597,	-0.0482824,	0.66781,	0.738533,	-0.0791658
1520186215469819956,	0.513085,	2.85349,	-0.729738,	-0.0146481,	-0.0393578,	-0.0215761,	-0.0740425,	0.00173725,	-0.01284,	0.997171,	0.41571,	2.73669,	-0.376185,	0.00471122,	-0.0656941,	0.00148814,	-0.0494817,	0.665317,	0.740567,	-0.0804086
1520186215515705731,	0.514142,	2.85661,	-0.726572,	0.0234767,	0.0692754,	0.0703433,	-0.0644493,	-0.00524003,	-0.00269053,	0.997904,	0.415683,	2.73279,	-0.375871,	-0.000615354,	-0.0865781,	0.00698153,	-0.0495392,	0.659819,	0.745412,	-0.0809109
1520186215564601214,	0.513582,	2.85585,	-0.730109,	-0.0116545,	-0.015749,	-0.0736872,	-0.0735286,	-0.000341848,	-0.00877531,	0.997254,	0.415157,	2.7282,	-0.374888,	-0.0109449,	-0.0956676,	0.0204732,	-0.0497372,	0.655037,	0.749305,	-0.083631
1520186215608753554,	0.513227,	2.85261,	-0.729528,	-0.00806754,	-0.0735586,	0.0132106,	-0.0701773,	-0.000104311,	-0.0084919,	0.997498,	0.415157,	2.7282,	-0.374888,	0,	0,	0,	-0.0497372,	0.655037,	0.749305,	-0.083631
1520186215653762662,	0.512037,	2.85236,	-0.728165,	-0.026455,	-0.00574092,	0.0302792,	-0.0696655,	-0.000341136,	-0.00419215,	0.997562,	0.413756,	2.72392,	-0.373069,	-0.0311405,	-0.095073,	0.0404345,	-0.055035,	0.650433,	0.752183,	-0.0901579
1520186215698224532,	0.510289,	2.84937,	-0.727772,	-0.0397209,	-0.0678534,	0.00894747,	-0.0556414,	0.00108422,	-0.00626226,	0.998431,	0.410464,	2.72118,	-0.368189,	-0.0748292,	-0.0623081,	0.11091,	-0.0613464,	0.647568,	0.753524,	-0.0953657
1520186215744031774,	0.508913,	2.84592,	-0.724365,	-0.0305856,	-0.0767465,	0.075706,	-0.0523326,	-0.000563259,	-0.00240478,	0.998627,	0.404615,	2.71985,	-0.358607,	-0.129975,	-0.0294769,	0.212925,	-0.0690068,	0.645087,	0.754763,	-0.0971309
1520186215794446493,	0.506356,	2.85254,	-0.718462,	-0.0511279,	0.132397,	0.118057,	-0.0564812,	-0.00333369,	0.00290766,	0.998394,	0.396949,	2.72121,	-0.347386,	-0.153312,	0.0271699,	0.224416,	-0.0788919,	0.651876,	0.747369,	-0.101353
1520186215847550164,	0.501624,	2.8425,	-0.708851,	-0.0892825,	-0.18944,	0.181338,	-0.0527388,	-0.00732252,	0.00660547,	0.99856,	0.39044,	2.71865,	-0.334779,	-0.122804,	-0.0483805,	0.237866,	-0.0849477,	0.647896,	0.749434,	-0.106598
1520186215900579056,	0.496003,	2.85098,	-0.698684,	-0.10607,	0.160031,	0.191833,	-0.0506802,	-0.010359,	0.0183991,	0.998492,	0.382981,	2.71611,	-0.322453,	-0.140736,	-0.0478915,	0.232574,	-0.0906189,	0.646259,	0.74967,	-0.110145
1520186215950336899,	0.488957,	2.83555,	-0.677261,	-0.143782,	-0.314788,	0.437207,	-0.0484332,	-0.0134573,	0.0187843,	0.998559,	0.374835,	2.71346,	-0.310698,	-0.166244,	-0.0540062,	0.239908,	-0.0946908,	0.646185,	0.748867,	-0.112593
