time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520285339620757616,	0.0890816,	2.52867,	-0.0898723,	-0.0207514,	-0.00995835,	0.0344451,	0.00839912,	-0.00983815,	-0.0245769,	0.999614,	0.0845344,	2.58142,	0.138469,	-0.0209927,	-0.00960021,	0.0346521,	-0.0505907,	0.665731,	0.744246,	-0.0184622
1520285339625383389,	0.0890816,	2.52867,	-0.0898723,	0,	0,	0,	0.00839912,	-0.00983815,	-0.0245769,	0.999614,	0.0845344,	2.58142,	0.138469,	0,	0,	0,	-0.0505907,	0.665731,	0.744246,	-0.0184622
1520285339631030573,	0.0890816,	2.52867,	-0.0898723,	0,	0,	0,	0.00839912,	-0.00983815,	-0.0245769,	0.999614,	0.0845344,	2.58142,	0.138469,	0,	0,	0,	-0.0505907,	0.665731,	0.744246,	-0.0184622
1520285339635994369,	0.0890816,	2.52867,	-0.0898723,	0,	0,	0,	0.00839912,	-0.00983815,	-0.0245769,	0.999614,	0.0845344,	2.58142,	0.138469,	0,	0,	0,	-0.0505907,	0.665731,	0.744246,	-0.0184622
1520285339640884822,	0.0890816,	2.52867,	-0.0898723,	0,	0,	0,	0.00839912,	-0.00983815,	-0.0245769,	0.999614,	0.0845344,	2.58142,	0.138469,	0,	0,	0,	-0.0505907,	0.665731,	0.744246,	-0.0184622
1520285339646225163,	0.0890816,	2.52867,	-0.0898723,	0,	0,	0,	0.00839912,	-0.00983815,	-0.0245769,	0.999614,	0.0845344,	2.58142,	0.138469,	0,	0,	0,	-0.0505907,	0.665731,	0.744246,	-0.0184622
1520285339650934222,	0.0890816,	2.52867,	-0.0898723,	0,	0,	0,	0.00839912,	-0.00983815,	-0.0245769,	0.999614,	0.0845344,	2.58142,	0.138469,	0,	0,	0,	-0.0505907,	0.665731,	0.744246,	-0.0184622
1520285339656704582,	0.0890816,	2.52867,	-0.0898723,	0,	0,	0,	0.00839912,	-0.00983815,	-0.0245769,	0.999614,	0.0845344,	2.58142,	0.138469,	0,	0,	0,	-0.0505907,	0.665731,	0.744246,	-0.0184622
1520285339660643253,	0.0890816,	2.52867,	-0.0898723,	0,	0,	0,	0.00839912,	-0.00983815,	-0.0245769,	0.999614,	0.0845344,	2.58142,	0.138469,	0,	0,	0,	-0.0505907,	0.665731,	0.744246,	-0.0184622
1520285339665623249,	0.0889494,	2.5296,	-0.0894376,	-0.0330473,	0.232605,	0.108669,	0.00810124,	-0.0100504,	-0.0230505,	0.999651,	0.0841453,	2.58185,	0.138878,	-0.0972727,	0.107033,	0.102258,	-0.0517419,	0.664928,	0.744859,	-0.0194771
1520285339671015243,	0.0889494,	2.5296,	-0.0894376,	0,	0,	0,	0.00810124,	-0.0100504,	-0.0230505,	0.999651,	0.0841453,	2.58185,	0.138878,	0,	0,	0,	-0.0517419,	0.664928,	0.744859,	-0.0194771
1520285339676061297,	0.0889494,	2.5296,	-0.0894376,	0,	0,	0,	0.00810124,	-0.0100504,	-0.0230505,	0.999651,	0.0841453,	2.58185,	0.138878,	0,	0,	0,	-0.0517419,	0.664928,	0.744859,	-0.0194771
1520285339681340164,	0.0889494,	2.5296,	-0.0894376,	0,	0,	0,	0.00810124,	-0.0100504,	-0.0230505,	0.999651,	0.0841453,	2.58185,	0.138878,	0,	0,	0,	-0.0517419,	0.664928,	0.744859,	-0.0194771
1520285339687097345,	0.0889494,	2.5296,	-0.0894376,	0,	0,	0,	0.00810124,	-0.0100504,	-0.0230505,	0.999651,	0.0841453,	2.58185,	0.138878,	0,	0,	0,	-0.0517419,	0.664928,	0.744859,	-0.0194771
1520285339692315635,	0.0889494,	2.5296,	-0.0894376,	0,	0,	0,	0.00810124,	-0.0100504,	-0.0230505,	0.999651,	0.0841453,	2.58185,	0.138878,	0,	0,	0,	-0.0517419,	0.664928,	0.744859,	-0.0194771
1520285339696549199,	0.0889494,	2.5296,	-0.0894376,	0,	0,	0,	0.00810124,	-0.0100504,	-0.0230505,	0.999651,	0.0841453,	2.58185,	0.138878,	0,	0,	0,	-0.0517419,	0.664928,	0.744859,	-0.0194771
1520285339701910674,	0.0889494,	2.5296,	-0.0894376,	0,	0,	0,	0.00810124,	-0.0100504,	-0.0230505,	0.999651,	0.0841453,	2.58185,	0.138878,	0,	0,	0,	-0.0517419,	0.664928,	0.744859,	-0.0194771
1520285339709919240,	0.0889494,	2.5296,	-0.0894376,	0,	0,	0,	0.00810124,	-0.0100504,	-0.0230505,	0.999651,	0.0841453,	2.58185,	0.138878,	0,	0,	0,	-0.0517419,	0.664928,	0.744859,	-0.0194771
1520285339713816372,	0.0889494,	2.5296,	-0.0894376,	0,	0,	0,	0.00810124,	-0.0100504,	-0.0230505,	0.999651,	0.0841453,	2.58185,	0.138878,	0,	0,	0,	-0.0517419,	0.664928,	0.744859,	-0.0194771
1520285339715054447,	0.0889494,	2.5296,	-0.0894376,	0,	0,	0,	0.00810124,	-0.0100504,	-0.0230505,	0.999651,	0.0841453,	2.58185,	0.138878,	0,	0,	0,	-0.0517419,	0.664928,	0.744859,	-0.0194771
1520285339720682236,	0.0884677,	2.53065,	-0.0892289,	-0.0963523,	0.209551,	0.0417356,	0.0100137,	-0.0100223,	-0.0211391,	0.999676,	0.0840016,	2.58184,	0.138979,	-0.0287351,	-0.00115867,	0.0202541,	-0.0521395,	0.6649,	0.744844,	-0.0198999
1520285339726340277,	0.0884677,	2.53065,	-0.0892289,	0,	0,	0,	0.0100137,	-0.0100223,	-0.0211391,	0.999676,	0.0840016,	2.58184,	0.138979,	0,	0,	0,	-0.0521395,	0.6649,	0.744844,	-0.0198999
1520285339730928808,	0.0884677,	2.53065,	-0.0892289,	0,	0,	0,	0.0100137,	-0.0100223,	-0.0211391,	0.999676,	0.0840016,	2.58184,	0.138979,	0,	0,	0,	-0.0521395,	0.6649,	0.744844,	-0.0198999
1520285339736094645,	0.0884677,	2.53065,	-0.0892289,	0,	0,	0,	0.0100137,	-0.0100223,	-0.0211391,	0.999676,	0.0840016,	2.58184,	0.138979,	0,	0,	0,	-0.0521395,	0.6649,	0.744844,	-0.0198999
1520285339741167751,	0.0884677,	2.53065,	-0.0892289,	0,	0,	0,	0.0100137,	-0.0100223,	-0.0211391,	0.999676,	0.0840016,	2.58184,	0.138979,	0,	0,	0,	-0.0521395,	0.6649,	0.744844,	-0.0198999
1520285339745950929,	0.0884677,	2.53065,	-0.0892289,	0,	0,	0,	0.0100137,	-0.0100223,	-0.0211391,	0.999676,	0.0840016,	2.58184,	0.138979,	0,	0,	0,	-0.0521395,	0.6649,	0.744844,	-0.0198999
1520285339750116574,	0.0884677,	2.53065,	-0.0892289,	0,	0,	0,	0.0100137,	-0.0100223,	-0.0211391,	0.999676,	0.0840016,	2.58184,	0.138979,	0,	0,	0,	-0.0521395,	0.6649,	0.744844,	-0.0198999
1520285339755563310,	0.0884677,	2.53065,	-0.0892289,	0,	0,	0,	0.0100137,	-0.0100223,	-0.0211391,	0.999676,	0.0840016,	2.58184,	0.138979,	0,	0,	0,	-0.0521395,	0.6649,	0.744844,	-0.0198999
1520285339762006665,	0.0884677,	2.53065,	-0.0892289,	0,	0,	0,	0.0100137,	-0.0100223,	-0.0211391,	0.999676,	0.0840016,	2.58184,	0.138979,	0,	0,	0,	-0.0521395,	0.6649,	0.744844,	-0.0198999
1520285339766242894,	0.0887785,	2.53057,	-0.0892365,	0.0777206,	-0.0203919,	-0.00189057,	0.00992949,	-0.00996868,	-0.0214196,	0.999672,	0.0837875,	2.58251,	0.138949,	-0.05354,	0.165929,	-0.00752296,	-0.0524153,	0.664192,	0.745437,	-0.0206287
1520285339771117469,	0.0887725,	2.5306,	-0.0891568,	-0.00151673,	0.00884072,	0.0199221,	0.0101556,	-0.00987031,	-0.0215901,	0.999667,	0.0837875,	2.58251,	0.138949,	0,	0,	0,	-0.0524153,	0.664192,	0.745437,	-0.0206287
1520285339778742066,	0.0887725,	2.5306,	-0.0891568,	0,	0,	0,	0.0101556,	-0.00987031,	-0.0215901,	0.999667,	0.0837875,	2.58251,	0.138949,	0,	0,	0,	-0.0524153,	0.664192,	0.745437,	-0.0206287
1520285339783560625,	0.0887725,	2.5306,	-0.0891568,	0,	0,	0,	0.0101556,	-0.00987031,	-0.0215901,	0.999667,	0.0837875,	2.58251,	0.138949,	0,	0,	0,	-0.0524153,	0.664192,	0.745437,	-0.0206287
1520285339787008699,	0.0887725,	2.5306,	-0.0891568,	0,	0,	0,	0.0101556,	-0.00987031,	-0.0215901,	0.999667,	0.0837875,	2.58251,	0.138949,	0,	0,	0,	-0.0524153,	0.664192,	0.745437,	-0.0206287
1520285339790668489,	0.0887725,	2.5306,	-0.0891568,	0,	0,	0,	0.0101556,	-0.00987031,	-0.0215901,	0.999667,	0.0837875,	2.58251,	0.138949,	0,	0,	0,	-0.0524153,	0.664192,	0.745437,	-0.0206287
1520285339794619773,	0.0887725,	2.5306,	-0.0891568,	0,	0,	0,	0.0101556,	-0.00987031,	-0.0215901,	0.999667,	0.0837875,	2.58251,	0.138949,	0,	0,	0,	-0.0524153,	0.664192,	0.745437,	-0.0206287
1520285339800674702,	0.0887725,	2.5306,	-0.0891568,	0,	0,	0,	0.0101556,	-0.00987031,	-0.0215901,	0.999667,	0.0837875,	2.58251,	0.138949,	0,	0,	0,	-0.0524153,	0.664192,	0.745437,	-0.0206287
1520285339806722161,	0.0887725,	2.5306,	-0.0891568,	0,	0,	0,	0.0101556,	-0.00987031,	-0.0215901,	0.999667,	0.0837875,	2.58251,	0.138949,	0,	0,	0,	-0.0524153,	0.664192,	0.745437,	-0.0206287
1520285339810614189,	0.0887725,	2.5306,	-0.0891568,	0,	0,	0,	0.0101556,	-0.00987031,	-0.0215901,	0.999667,	0.0837875,	2.58251,	0.138949,	0,	0,	0,	-0.0524153,	0.664192,	0.745437,	-0.0206287
1520285339817620947,	0.0881432,	2.53114,	-0.0892689,	-0.0898938,	0.077428,	-0.0160109,	0.00923189,	-0.00923138,	-0.0206618,	0.999701,	0.0835981,	2.58288,	0.138896,	-0.0270507,	0.0534025,	-0.0075105,	-0.0521601,	0.664198,	0.745431,	-0.0212683
1520285339822584842,	0.0881432,	2.53114,	-0.0892689,	0,	0,	0,	0.00923189,	-0.00923138,	-0.0206618,	0.999701,	0.0835981,	2.58288,	0.138896,	0,	0,	0,	-0.0521601,	0.664198,	0.745431,	-0.0212683
1520285339827759443,	0.0881432,	2.53114,	-0.0892689,	0,	0,	0,	0.00923189,	-0.00923138,	-0.0206618,	0.999701,	0.0835981,	2.58288,	0.138896,	0,	0,	0,	-0.0521601,	0.664198,	0.745431,	-0.0212683
1520285339832526030,	0.0881432,	2.53114,	-0.0892689,	0,	0,	0,	0.00923189,	-0.00923138,	-0.0206618,	0.999701,	0.0835981,	2.58288,	0.138896,	0,	0,	0,	-0.0521601,	0.664198,	0.745431,	-0.0212683
1520285339837371008,	0.0881432,	2.53114,	-0.0892689,	0,	0,	0,	0.00923189,	-0.00923138,	-0.0206618,	0.999701,	0.0835981,	2.58288,	0.138896,	0,	0,	0,	-0.0521601,	0.664198,	0.745431,	-0.0212683
1520285339843977810,	0.0881432,	2.53114,	-0.0892689,	0,	0,	0,	0.00923189,	-0.00923138,	-0.0206618,	0.999701,	0.0835981,	2.58288,	0.138896,	0,	0,	0,	-0.0521601,	0.664198,	0.745431,	-0.0212683
