time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520285383250293319,	0.0451639,	2.58528,	-0.0182256,	-0.00535222,	-0.00231484,	-0.00566069,	-0.0134947,	-0.0299692,	-0.0375668,	0.998753,	0.0309515,	2.65063,	0.209205,	2.85709e-06,	-0.00479145,	-0.00537223,	-0.0534792,	0.677677,	0.733324,	0.0113805
1520285383252176034,	0.0451639,	2.58528,	-0.0182256,	0,	0,	0,	-0.0134947,	-0.0299692,	-0.0375668,	0.998753,	0.0309515,	2.65063,	0.209205,	0,	0,	0,	-0.0534792,	0.677677,	0.733324,	0.0113805
1520285383253750804,	0.0451639,	2.58528,	-0.0182256,	0,	0,	0,	-0.0134947,	-0.0299692,	-0.0375668,	0.998753,	0.0309515,	2.65063,	0.209205,	0,	0,	0,	-0.0534792,	0.677677,	0.733324,	0.0113805
1520285383260370042,	0.0451639,	2.58528,	-0.0182256,	0,	0,	0,	-0.0134947,	-0.0299692,	-0.0375668,	0.998753,	0.0309515,	2.65063,	0.209205,	0,	0,	0,	-0.0534792,	0.677677,	0.733324,	0.0113805
1520285383264557740,	0.0451639,	2.58528,	-0.0182256,	0,	0,	0,	-0.0134947,	-0.0299692,	-0.0375668,	0.998753,	0.0309515,	2.65063,	0.209205,	0,	0,	0,	-0.0534792,	0.677677,	0.733324,	0.0113805
1520285383269522777,	0.0454916,	2.58732,	-0.018839,	0.0819351,	0.510913,	-0.153355,	-0.0132392,	-0.0298345,	-0.0338739,	0.998893,	0.031817,	2.65032,	0.208741,	0.216365,	-0.0759266,	-0.116079,	-0.0533175,	0.67766,	0.733361,	0.0107551
1520285383275992093,	0.0454916,	2.58732,	-0.018839,	0,	0,	0,	-0.0132392,	-0.0298345,	-0.0338739,	0.998893,	0.031817,	2.65032,	0.208741,	0,	0,	0,	-0.0533175,	0.67766,	0.733361,	0.0107551
1520285383282074389,	0.0454916,	2.58732,	-0.018839,	0,	0,	0,	-0.0132392,	-0.0298345,	-0.0338739,	0.998893,	0.031817,	2.65032,	0.208741,	0,	0,	0,	-0.0533175,	0.67766,	0.733361,	0.0107551
1520285383287387894,	0.0454916,	2.58732,	-0.018839,	0,	0,	0,	-0.0132392,	-0.0298345,	-0.0338739,	0.998893,	0.031817,	2.65032,	0.208741,	0,	0,	0,	-0.0533175,	0.67766,	0.733361,	0.0107551
1520285383292842218,	0.0454916,	2.58732,	-0.018839,	0,	0,	0,	-0.0132392,	-0.0298345,	-0.0338739,	0.998893,	0.031817,	2.65032,	0.208741,	0,	0,	0,	-0.0533175,	0.67766,	0.733361,	0.0107551
1520285383299345353,	0.0454916,	2.58732,	-0.018839,	0,	0,	0,	-0.0132392,	-0.0298345,	-0.0338739,	0.998893,	0.031817,	2.65032,	0.208741,	0,	0,	0,	-0.0533175,	0.67766,	0.733361,	0.0107551
1520285383304981597,	0.0454916,	2.58732,	-0.018839,	0,	0,	0,	-0.0132392,	-0.0298345,	-0.0338739,	0.998893,	0.031817,	2.65032,	0.208741,	0,	0,	0,	-0.0533175,	0.67766,	0.733361,	0.0107551
1520285383313194492,	0.0454916,	2.58732,	-0.018839,	0,	0,	0,	-0.0132392,	-0.0298345,	-0.0338739,	0.998893,	0.031817,	2.65032,	0.208741,	0,	0,	0,	-0.0533175,	0.67766,	0.733361,	0.0107551
1520285383317511702,	0.0458678,	2.58777,	-0.0191734,	0.0940457,	0.112346,	-0.0836088,	-0.0117784,	-0.0291213,	-0.0338141,	0.998934,	0.0323038,	2.65145,	0.208677,	0.121717,	0.282209,	-0.016061,	-0.0530121,	0.676073,	0.73485,	0.0105238
1520285383322078242,	0.0458678,	2.58777,	-0.0191734,	0,	0,	0,	-0.0117784,	-0.0291213,	-0.0338141,	0.998934,	0.0323038,	2.65145,	0.208677,	0,	0,	0,	-0.0530121,	0.676073,	0.73485,	0.0105238
1520285383329669346,	0.0458678,	2.58777,	-0.0191734,	0,	0,	0,	-0.0117784,	-0.0291213,	-0.0338141,	0.998934,	0.0323038,	2.65145,	0.208677,	0,	0,	0,	-0.0530121,	0.676073,	0.73485,	0.0105238
1520285383334547416,	0.0458678,	2.58777,	-0.0191734,	0,	0,	0,	-0.0117784,	-0.0291213,	-0.0338141,	0.998934,	0.0323038,	2.65145,	0.208677,	0,	0,	0,	-0.0530121,	0.676073,	0.73485,	0.0105238
1520285383337725552,	0.0458678,	2.58777,	-0.0191734,	0,	0,	0,	-0.0117784,	-0.0291213,	-0.0338141,	0.998934,	0.0323038,	2.65145,	0.208677,	0,	0,	0,	-0.0530121,	0.676073,	0.73485,	0.0105238
1520285383342804892,	0.0458678,	2.58777,	-0.0191734,	0,	0,	0,	-0.0117784,	-0.0291213,	-0.0338141,	0.998934,	0.0323038,	2.65145,	0.208677,	0,	0,	0,	-0.0530121,	0.676073,	0.73485,	0.0105238
1520285383346760712,	0.0458678,	2.58777,	-0.0191734,	0,	0,	0,	-0.0117784,	-0.0291213,	-0.0338141,	0.998934,	0.0323038,	2.65145,	0.208677,	0,	0,	0,	-0.0530121,	0.676073,	0.73485,	0.0105238
1520285383349879539,	0.0458678,	2.58777,	-0.0191734,	0,	0,	0,	-0.0117784,	-0.0291213,	-0.0338141,	0.998934,	0.0323038,	2.65145,	0.208677,	0,	0,	0,	-0.0530121,	0.676073,	0.73485,	0.0105238
1520285383358727456,	0.0458678,	2.58777,	-0.0191734,	0,	0,	0,	-0.0117784,	-0.0291213,	-0.0338141,	0.998934,	0.0323038,	2.65145,	0.208677,	0,	0,	0,	-0.0530121,	0.676073,	0.73485,	0.0105238
1520285383363565040,	0.0458678,	2.58777,	-0.0191734,	0,	0,	0,	-0.0117784,	-0.0291213,	-0.0338141,	0.998934,	0.0323038,	2.65145,	0.208677,	0,	0,	0,	-0.0530121,	0.676073,	0.73485,	0.0105238
1520285383368933440,	0.0460723,	2.58831,	-0.019585,	0.0409137,	0.10893,	-0.0823104,	-0.0134776,	-0.0286767,	-0.0339238,	0.998922,	0.0325417,	2.65264,	0.208124,	0.0475773,	0.237052,	-0.110443,	-0.0528844,	0.677436,	0.733613,	0.00978792
1520285383373834671,	0.0460723,	2.58831,	-0.019585,	0,	0,	0,	-0.0134776,	-0.0286767,	-0.0339238,	0.998922,	0.0325417,	2.65264,	0.208124,	0,	0,	0,	-0.0528844,	0.677436,	0.733613,	0.00978792
1520285383379393541,	0.0460723,	2.58831,	-0.019585,	0,	0,	0,	-0.0134776,	-0.0286767,	-0.0339238,	0.998922,	0.0325417,	2.65264,	0.208124,	0,	0,	0,	-0.0528844,	0.677436,	0.733613,	0.00978792
1520285383383146807,	0.0460723,	2.58831,	-0.019585,	0,	0,	0,	-0.0134776,	-0.0286767,	-0.0339238,	0.998922,	0.0325417,	2.65264,	0.208124,	0,	0,	0,	-0.0528844,	0.677436,	0.733613,	0.00978792
1520285383387926037,	0.0460723,	2.58831,	-0.019585,	0,	0,	0,	-0.0134776,	-0.0286767,	-0.0339238,	0.998922,	0.0325417,	2.65264,	0.208124,	0,	0,	0,	-0.0528844,	0.677436,	0.733613,	0.00978792
1520285383391840453,	0.0460723,	2.58831,	-0.019585,	0,	0,	0,	-0.0134776,	-0.0286767,	-0.0339238,	0.998922,	0.0325417,	2.65264,	0.208124,	0,	0,	0,	-0.0528844,	0.677436,	0.733613,	0.00978792
1520285383397236832,	0.0460723,	2.58831,	-0.019585,	0,	0,	0,	-0.0134776,	-0.0286767,	-0.0339238,	0.998922,	0.0325417,	2.65264,	0.208124,	0,	0,	0,	-0.0528844,	0.677436,	0.733613,	0.00978792
1520285383399780562,	0.0460723,	2.58831,	-0.019585,	0,	0,	0,	-0.0134776,	-0.0286767,	-0.0339238,	0.998922,	0.0325417,	2.65264,	0.208124,	0,	0,	0,	-0.0528844,	0.677436,	0.733613,	0.00978792
1520285383410085876,	0.0460723,	2.58831,	-0.019585,	0,	0,	0,	-0.0134776,	-0.0286767,	-0.0339238,	0.998922,	0.0325417,	2.65264,	0.208124,	0,	0,	0,	-0.0528844,	0.677436,	0.733613,	0.00978792
1520285383413914818,	0.0460723,	2.58831,	-0.019585,	0,	0,	0,	-0.0134776,	-0.0286767,	-0.0339238,	0.998922,	0.0325417,	2.65264,	0.208124,	0,	0,	0,	-0.0528844,	0.677436,	0.733613,	0.00978792
1520285383416460834,	0.0462565,	2.58859,	-0.0204215,	0.0920977,	0.139006,	-0.41823,	-0.011959,	-0.0279243,	-0.0342394,	0.998952,	0.0333298,	2.65311,	0.207226,	0.394021,	0.23594,	-0.449214,	-0.0520849,	0.678106,	0.73306,	0.0091208
1520285383420626757,	0.0462565,	2.58859,	-0.0204215,	0,	0,	0,	-0.011959,	-0.0279243,	-0.0342394,	0.998952,	0.0333298,	2.65311,	0.207226,	0,	0,	0,	-0.0520849,	0.678106,	0.73306,	0.0091208
1520285383429069530,	0.0462565,	2.58859,	-0.0204215,	0,	0,	0,	-0.011959,	-0.0279243,	-0.0342394,	0.998952,	0.0333298,	2.65311,	0.207226,	0,	0,	0,	-0.0520849,	0.678106,	0.73306,	0.0091208
1520285383435334153,	0.0462565,	2.58859,	-0.0204215,	0,	0,	0,	-0.011959,	-0.0279243,	-0.0342394,	0.998952,	0.0333298,	2.65311,	0.207226,	0,	0,	0,	-0.0520849,	0.678106,	0.73306,	0.0091208
1520285383439367923,	0.0462565,	2.58859,	-0.0204215,	0,	0,	0,	-0.011959,	-0.0279243,	-0.0342394,	0.998952,	0.0333298,	2.65311,	0.207226,	0,	0,	0,	-0.0520849,	0.678106,	0.73306,	0.0091208
1520285383440638897,	0.0462565,	2.58859,	-0.0204215,	0,	0,	0,	-0.011959,	-0.0279243,	-0.0342394,	0.998952,	0.0333298,	2.65311,	0.207226,	0,	0,	0,	-0.0520849,	0.678106,	0.73306,	0.0091208
