time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520285205745885309,	0.404688,	2.68881,	-0.615737,	2.66192e-10,	1.76862e-09,	-4.05014e-10,	-0.00321346,	-0.00200273,	0.0211382,	0.999769,	0.402639,	2.7389,	-0.390421,	2.64844e-10,	1.80157e-09,	-2.56808e-10,	-0.0656609,	0.665553,	0.741848,	-0.0488856
1520285205750826052,	0.404688,	2.68881,	-0.615737,	0,	0,	0,	-0.00321346,	-0.00200273,	0.0211382,	0.999769,	0.402639,	2.7389,	-0.390421,	0,	0,	0,	-0.0656609,	0.665553,	0.741848,	-0.0488856
1520285205754950082,	0.404688,	2.68881,	-0.615737,	0,	0,	0,	-0.00321346,	-0.00200273,	0.0211382,	0.999769,	0.402639,	2.7389,	-0.390421,	0,	0,	0,	-0.0656609,	0.665553,	0.741848,	-0.0488856
1520285205765916652,	0.404549,	2.68914,	-0.61582,	-0.013905,	0.0328303,	-0.00828797,	-0.00439582,	-0.00219388,	0.0199535,	0.999789,	0.402663,	2.73841,	-0.390157,	0.00249074,	-0.0481852,	0.0264394,	-0.065704,	0.665473,	0.741916,	-0.0488836
1520285205770556253,	0.404549,	2.68914,	-0.61582,	0,	0,	0,	-0.00439582,	-0.00219388,	0.0199535,	0.999789,	0.402663,	2.73841,	-0.390157,	0,	0,	0,	-0.065704,	0.665473,	0.741916,	-0.0488836
1520285205774043036,	0.404549,	2.68914,	-0.61582,	0,	0,	0,	-0.00439582,	-0.00219388,	0.0199535,	0.999789,	0.402663,	2.73841,	-0.390157,	0,	0,	0,	-0.065704,	0.665473,	0.741916,	-0.0488836
1520285205776209096,	0.404549,	2.68914,	-0.61582,	0,	0,	0,	-0.00439582,	-0.00219388,	0.0199535,	0.999789,	0.402663,	2.73841,	-0.390157,	0,	0,	0,	-0.065704,	0.665473,	0.741916,	-0.0488836
1520285205778972630,	0.404549,	2.68914,	-0.61582,	0,	0,	0,	-0.00439582,	-0.00219388,	0.0199535,	0.999789,	0.402663,	2.73841,	-0.390157,	0,	0,	0,	-0.065704,	0.665473,	0.741916,	-0.0488836
1520285205786090810,	0.404549,	2.68914,	-0.61582,	0,	0,	0,	-0.00439582,	-0.00219388,	0.0199535,	0.999789,	0.402663,	2.73841,	-0.390157,	0,	0,	0,	-0.065704,	0.665473,	0.741916,	-0.0488836
1520285205790752825,	0.404549,	2.68914,	-0.61582,	0,	0,	0,	-0.00439582,	-0.00219388,	0.0199535,	0.999789,	0.402663,	2.73841,	-0.390157,	0,	0,	0,	-0.065704,	0.665473,	0.741916,	-0.0488836
