time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520121563071858007,	0.553785,	2.89386,	-0.743374,	1.2065e-05,	2.10916e-05,	3.52699e-06,	0.023477,	-0.000226967,	-0.0224759,	0.999472,	0.452016,	2.7385,	-0.37743,	1.30012e-05,	0.000119237,	-2.64281e-05,	-0.0170477,	0.661263,	0.748909,	-0.039699
1520121563075180247,	0.553785,	2.89386,	-0.743374,	0,	0,	0,	0.023477,	-0.000226967,	-0.0224759,	0.999472,	0.452016,	2.7385,	-0.37743,	0,	0,	0,	-0.0170477,	0.661263,	0.748909,	-0.039699
1520121563079047529,	0.553785,	2.89386,	-0.743374,	0,	0,	0,	0.023477,	-0.000226967,	-0.0224759,	0.999472,	0.452016,	2.7385,	-0.37743,	0,	0,	0,	-0.0170477,	0.661263,	0.748909,	-0.039699
1520121563084820782,	0.553785,	2.89386,	-0.743374,	0,	0,	0,	0.023477,	-0.000226967,	-0.0224759,	0.999472,	0.452016,	2.7385,	-0.37743,	0,	0,	0,	-0.0170477,	0.661263,	0.748909,	-0.039699
1520121563090243297,	0.553785,	2.89386,	-0.743374,	0,	0,	0,	0.023477,	-0.000226967,	-0.0224759,	0.999472,	0.452016,	2.7385,	-0.37743,	0,	0,	0,	-0.0170477,	0.661263,	0.748909,	-0.039699
1520121563097059210,	0.553785,	2.89386,	-0.743374,	0,	0,	0,	0.023477,	-0.000226967,	-0.0224759,	0.999472,	0.452016,	2.7385,	-0.37743,	0,	0,	0,	-0.0170477,	0.661263,	0.748909,	-0.039699
1520121563101970555,	0.553785,	2.89386,	-0.743374,	0,	0,	0,	0.023477,	-0.000226967,	-0.0224759,	0.999472,	0.452016,	2.7385,	-0.37743,	0,	0,	0,	-0.0170477,	0.661263,	0.748909,	-0.039699
1520121563107325616,	0.553785,	2.89386,	-0.743374,	0,	0,	0,	0.023477,	-0.000226967,	-0.0224759,	0.999472,	0.452016,	2.7385,	-0.37743,	0,	0,	0,	-0.0170477,	0.661263,	0.748909,	-0.039699
1520121563113048856,	0.553785,	2.89386,	-0.743374,	0,	0,	0,	0.023477,	-0.000226967,	-0.0224759,	0.999472,	0.452016,	2.7385,	-0.37743,	0,	0,	0,	-0.0170477,	0.661263,	0.748909,	-0.039699
1520121563117911032,	0.553485,	2.89402,	-0.743583,	-0.0750483,	0.0401699,	-0.0521765,	0.0231613,	-0.000114038,	-0.0215251,	0.9995,	0.45224,	2.73854,	-0.377274,	0.0560749,	0.00870252,	0.0389977,	-0.0168931,	0.661439,	0.748755,	-0.0397406
1520121563121059638,	0.553485,	2.89402,	-0.743583,	0,	0,	0,	0.0231613,	-0.000114038,	-0.0215251,	0.9995,	0.45224,	2.73854,	-0.377274,	0,	0,	0,	-0.0168931,	0.661439,	0.748755,	-0.0397406
1520121563124674547,	0.553485,	2.89402,	-0.743583,	0,	0,	0,	0.0231613,	-0.000114038,	-0.0215251,	0.9995,	0.45224,	2.73854,	-0.377274,	0,	0,	0,	-0.0168931,	0.661439,	0.748755,	-0.0397406
1520121563133559827,	0.553485,	2.89402,	-0.743583,	0,	0,	0,	0.0231613,	-0.000114038,	-0.0215251,	0.9995,	0.45224,	2.73854,	-0.377274,	0,	0,	0,	-0.0168931,	0.661439,	0.748755,	-0.0397406
1520121563135733510,	0.553485,	2.89402,	-0.743583,	0,	0,	0,	0.0231613,	-0.000114038,	-0.0215251,	0.9995,	0.45224,	2.73854,	-0.377274,	0,	0,	0,	-0.0168931,	0.661439,	0.748755,	-0.0397406
1520121563142766754,	0.553485,	2.89402,	-0.743583,	0,	0,	0,	0.0231613,	-0.000114038,	-0.0215251,	0.9995,	0.45224,	2.73854,	-0.377274,	0,	0,	0,	-0.0168931,	0.661439,	0.748755,	-0.0397406
1520121563148626601,	0.553485,	2.89402,	-0.743583,	0,	0,	0,	0.0231613,	-0.000114038,	-0.0215251,	0.9995,	0.45224,	2.73854,	-0.377274,	0,	0,	0,	-0.0168931,	0.661439,	0.748755,	-0.0397406
1520121563150943636,	0.553485,	2.89402,	-0.743583,	0,	0,	0,	0.0231613,	-0.000114038,	-0.0215251,	0.9995,	0.45224,	2.73854,	-0.377274,	0,	0,	0,	-0.0168931,	0.661439,	0.748755,	-0.0397406
1520121563155530707,	0.553485,	2.89402,	-0.743583,	0,	0,	0,	0.0231613,	-0.000114038,	-0.0215251,	0.9995,	0.45224,	2.73854,	-0.377274,	0,	0,	0,	-0.0168931,	0.661439,	0.748755,	-0.0397406
1520121563161226061,	0.553485,	2.89402,	-0.743583,	0,	0,	0,	0.0231613,	-0.000114038,	-0.0215251,	0.9995,	0.45224,	2.73854,	-0.377274,	0,	0,	0,	-0.0168931,	0.661439,	0.748755,	-0.0397406
1520121563166061867,	0.552044,	2.89369,	-0.743866,	-0.360315,	-0.0803362,	-0.0708839,	0.022877,	-0.000362618,	-0.0219456,	0.999497,	0.452171,	2.73857,	-0.377338,	-0.0171874,	0.00930103,	-0.0161364,	-0.0169127,	0.661485,	0.748717,	-0.0396697
1520121563170462105,	0.552044,	2.89369,	-0.743866,	0,	0,	0,	0.022877,	-0.000362618,	-0.0219456,	0.999497,	0.452171,	2.73857,	-0.377338,	0,	0,	0,	-0.0169127,	0.661485,	0.748717,	-0.0396697
1520121563176437244,	0.552044,	2.89369,	-0.743866,	0,	0,	0,	0.022877,	-0.000362618,	-0.0219456,	0.999497,	0.452171,	2.73857,	-0.377338,	0,	0,	0,	-0.0169127,	0.661485,	0.748717,	-0.0396697
1520121563179382730,	0.552044,	2.89369,	-0.743866,	0,	0,	0,	0.022877,	-0.000362618,	-0.0219456,	0.999497,	0.452171,	2.73857,	-0.377338,	0,	0,	0,	-0.0169127,	0.661485,	0.748717,	-0.0396697
1520121563184060124,	0.552044,	2.89369,	-0.743866,	0,	0,	0,	0.022877,	-0.000362618,	-0.0219456,	0.999497,	0.452171,	2.73857,	-0.377338,	0,	0,	0,	-0.0169127,	0.661485,	0.748717,	-0.0396697
1520121563189741658,	0.552044,	2.89369,	-0.743866,	0,	0,	0,	0.022877,	-0.000362618,	-0.0219456,	0.999497,	0.452171,	2.73857,	-0.377338,	0,	0,	0,	-0.0169127,	0.661485,	0.748717,	-0.0396697
1520121563193239734,	0.552044,	2.89369,	-0.743866,	0,	0,	0,	0.022877,	-0.000362618,	-0.0219456,	0.999497,	0.452171,	2.73857,	-0.377338,	0,	0,	0,	-0.0169127,	0.661485,	0.748717,	-0.0396697
1520121563202862419,	0.552044,	2.89369,	-0.743866,	0,	0,	0,	0.022877,	-0.000362618,	-0.0219456,	0.999497,	0.452171,	2.73857,	-0.377338,	0,	0,	0,	-0.0169127,	0.661485,	0.748717,	-0.0396697
1520121563207020387,	0.552044,	2.89369,	-0.743866,	0,	0,	0,	0.022877,	-0.000362618,	-0.0219456,	0.999497,	0.452171,	2.73857,	-0.377338,	0,	0,	0,	-0.0169127,	0.661485,	0.748717,	-0.0396697
1520121563212062757,	0.552044,	2.89369,	-0.743866,	0,	0,	0,	0.022877,	-0.000362618,	-0.0219456,	0.999497,	0.452171,	2.73857,	-0.377338,	0,	0,	0,	-0.0169127,	0.661485,	0.748717,	-0.0396697
1520121563216165966,	0.553836,	2.89409,	-0.74358,	0.447962,	0.0995916,	0.0717226,	0.0231428,	-3.95998e-05,	-0.020931,	0.999513,	0.452074,	2.73818,	-0.377306,	-0.0242468,	-0.0988636,	0.0080348,	-0.0170045,	0.661286,	0.748887,	-0.03975
1520121563219505123,	0.553833,	2.89407,	-0.743621,	-0.00104487,	-0.00852238,	-0.0137912,	0.023223,	-6.49054e-06,	-0.0209559,	0.999511,	0.452074,	2.73818,	-0.377306,	0,	0,	0,	-0.0170045,	0.661286,	0.748887,	-0.03975
1520121563225065301,	0.553833,	2.89407,	-0.743621,	0,	0,	0,	0.023223,	-6.49054e-06,	-0.0209559,	0.999511,	0.452074,	2.73818,	-0.377306,	0,	0,	0,	-0.0170045,	0.661286,	0.748887,	-0.03975
1520121563230633452,	0.553833,	2.89407,	-0.743621,	0,	0,	0,	0.023223,	-6.49054e-06,	-0.0209559,	0.999511,	0.452074,	2.73818,	-0.377306,	0,	0,	0,	-0.0170045,	0.661286,	0.748887,	-0.03975
1520121563233793151,	0.553833,	2.89407,	-0.743621,	0,	0,	0,	0.023223,	-6.49054e-06,	-0.0209559,	0.999511,	0.452074,	2.73818,	-0.377306,	0,	0,	0,	-0.0170045,	0.661286,	0.748887,	-0.03975
1520121563242128790,	0.553833,	2.89407,	-0.743621,	0,	0,	0,	0.023223,	-6.49054e-06,	-0.0209559,	0.999511,	0.452074,	2.73818,	-0.377306,	0,	0,	0,	-0.0170045,	0.661286,	0.748887,	-0.03975
1520121563247088431,	0.553833,	2.89407,	-0.743621,	0,	0,	0,	0.023223,	-6.49054e-06,	-0.0209559,	0.999511,	0.452074,	2.73818,	-0.377306,	0,	0,	0,	-0.0170045,	0.661286,	0.748887,	-0.03975
