time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw
1520121412226658233,	0.518306,	2.93136,	-0.745194,	-5.81996e-06,	1.3262e-05,	-2.96545e-07,	0.0253395,	-0.000756349,	-0.0381121,	0.998952,	0.417946,	2.76405,	-0.376295,	-5.60954e-06,	1.19005e-05,	2.54936e-07,	-0.00645918,	0.659032,	0.751597,	-0.0271293
1520121412230592076,	0.518306,	2.93136,	-0.745194,	0,	0,	0,	0.0253395,	-0.000756349,	-0.0381121,	0.998952,	0.417946,	2.76405,	-0.376295,	0,	0,	0,	-0.00645918,	0.659032,	0.751597,	-0.0271293
1520121412237190761,	0.518306,	2.93136,	-0.745194,	0,	0,	0,	0.0253395,	-0.000756349,	-0.0381121,	0.998952,	0.417946,	2.76405,	-0.376295,	0,	0,	0,	-0.00645918,	0.659032,	0.751597,	-0.0271293
1520121412240784121,	0.518306,	2.93136,	-0.745194,	0,	0,	0,	0.0253395,	-0.000756349,	-0.0381121,	0.998952,	0.417946,	2.76405,	-0.376295,	0,	0,	0,	-0.00645918,	0.659032,	0.751597,	-0.0271293
1520121412244795984,	0.518306,	2.93136,	-0.745194,	0,	0,	0,	0.0253395,	-0.000756349,	-0.0381121,	0.998952,	0.417946,	2.76405,	-0.376295,	0,	0,	0,	-0.00645918,	0.659032,	0.751597,	-0.0271293
1520121412253954730,	0.518306,	2.93136,	-0.745194,	0,	0,	0,	0.0253395,	-0.000756349,	-0.0381121,	0.998952,	0.417946,	2.76405,	-0.376295,	0,	0,	0,	-0.00645918,	0.659032,	0.751597,	-0.0271293
1520121412258336911,	0.518306,	2.93136,	-0.745194,	0,	0,	0,	0.0253395,	-0.000756349,	-0.0381121,	0.998952,	0.417946,	2.76405,	-0.376295,	0,	0,	0,	-0.00645918,	0.659032,	0.751597,	-0.0271293
1520121412261935957,	0.518306,	2.93136,	-0.745194,	0,	0,	0,	0.0253395,	-0.000756349,	-0.0381121,	0.998952,	0.417946,	2.76405,	-0.376295,	0,	0,	0,	-0.00645918,	0.659032,	0.751597,	-0.0271293
1520121412263630791,	0.518306,	2.93136,	-0.745194,	0,	0,	0,	0.0253395,	-0.000756349,	-0.0381121,	0.998952,	0.417946,	2.76405,	-0.376295,	0,	0,	0,	-0.00645918,	0.659032,	0.751597,	-0.0271293
1520121412271001421,	0.517561,	2.93121,	-0.743641,	-0.10646,	-0.0212873,	0.221911,	0.0230923,	-0.00221704,	-0.0414988,	0.998869,	0.417953,	2.76417,	-0.376265,	0.000984642,	0.0167325,	0.00429346,	-0.00648131,	0.658851,	0.751757,	-0.0270976
1520121412277768165,	0.517561,	2.93121,	-0.743641,	0,	0,	0,	0.0230923,	-0.00221704,	-0.0414988,	0.998869,	0.417953,	2.76417,	-0.376265,	0,	0,	0,	-0.00648131,	0.658851,	0.751757,	-0.0270976
1520121412281626530,	0.517561,	2.93121,	-0.743641,	0,	0,	0,	0.0230923,	-0.00221704,	-0.0414988,	0.998869,	0.417953,	2.76417,	-0.376265,	0,	0,	0,	-0.00648131,	0.658851,	0.751757,	-0.0270976
1520121412286330649,	0.517561,	2.93121,	-0.743641,	0,	0,	0,	0.0230923,	-0.00221704,	-0.0414988,	0.998869,	0.417953,	2.76417,	-0.376265,	0,	0,	0,	-0.00648131,	0.658851,	0.751757,	-0.0270976
1520121412291080681,	0.517561,	2.93121,	-0.743641,	0,	0,	0,	0.0230923,	-0.00221704,	-0.0414988,	0.998869,	0.417953,	2.76417,	-0.376265,	0,	0,	0,	-0.00648131,	0.658851,	0.751757,	-0.0270976
1520121412297842153,	0.517561,	2.93121,	-0.743641,	0,	0,	0,	0.0230923,	-0.00221704,	-0.0414988,	0.998869,	0.417953,	2.76417,	-0.376265,	0,	0,	0,	-0.00648131,	0.658851,	0.751757,	-0.0270976
1520121412302993053,	0.517561,	2.93121,	-0.743641,	0,	0,	0,	0.0230923,	-0.00221704,	-0.0414988,	0.998869,	0.417953,	2.76417,	-0.376265,	0,	0,	0,	-0.00648131,	0.658851,	0.751757,	-0.0270976
1520121412306579501,	0.517561,	2.93121,	-0.743641,	0,	0,	0,	0.0230923,	-0.00221704,	-0.0414988,	0.998869,	0.417953,	2.76417,	-0.376265,	0,	0,	0,	-0.00648131,	0.658851,	0.751757,	-0.0270976
1520121412311482001,	0.517561,	2.93121,	-0.743641,	0,	0,	0,	0.0230923,	-0.00221704,	-0.0414988,	0.998869,	0.417953,	2.76417,	-0.376265,	0,	0,	0,	-0.00648131,	0.658851,	0.751757,	-0.0270976
