time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520788760604237315,	-0.84126,	2.34367,	-0.0835807,	0.000217098,	0.000180014,	-0.000742603,	-0.0544265,	0.00606075,	-0.0193466,	0.998312,	-0.854675,	2.36842,	0.129303,	0.000164561,	0.000276931,	9.10765e-05,	-0.0129399,	0.710832,	0.70292,	-0.0213009,	-0.75932,	2.27559,	-0.166834,	0.000168284,	0.000240748,	8.28296e-05,	-0.05526,	0.00440967,	-0.0504542,	0.997187
1520788760715573404,	-0.841417,	2.34395,	-0.0832929,	0.119442,	-0.220458,	-1.91528,	-0.0546743,	0.00571292,	-0.0201139,	0.998285,	-0.856236,	2.3673,	0.129041,	-0.0140599,	-0.0100773,	-0.00235652,	-0.0135425,	0.710289,	0.703486,	-0.0203293,	-0.75938,	2.27531,	-0.167095,	-0.000546954,	-0.00245476,	-0.0023596,	-0.0548433,	0.00536863,	-0.0504213,	0.997207
1520788760815909879,	-0.842871,	2.34254,	-0.0840551,	0.133647,	-0.247557,	-2.13096,	-0.053592,	0.00476163,	-0.0203429,	0.998344,	-0.857208,	2.36585,	0.128041,	-0.00971641,	-0.0144801,	-0.00999952,	-0.0137537,	0.709345,	0.704419,	-0.0208449,	-0.759501,	2.27555,	-0.166832,	-0.0012098,	0.00232752,	0.00263066,	-0.0549661,	0.00501945,	-0.0512039,	0.997162
1520788760923937945,	-0.843965,	2.34242,	-0.0854426,	0.122617,	-0.216975,	-1.9767,	-0.0528928,	0.0060853,	-0.0190453,	0.9984,	-0.857447,	2.36624,	0.126461,	-0.00221352,	0.00362575,	-0.0146308,	-0.0102074,	0.710166,	0.703582,	-0.0230654,	-0.760969,	2.27426,	-0.167524,	-0.0135924,	-0.0118773,	-0.00640606,	-0.0538292,	0.00404295,	-0.0514825,	0.997214
1520788761031665295,	-0.845172,	2.34159,	-0.0862719,	0.114721,	-0.230362,	-1.98816,	-0.0531657,	0.0083537,	-0.0201633,	0.998347,	-0.85837,	2.3664,	0.126185,	-0.00863031,	0.00146974,	-0.00257489,	-0.00810844,	0.710268,	0.703531,	-0.0223054,	-0.762014,	2.27409,	-0.168858,	-0.00976393,	-0.00158377,	-0.012469,	-0.0517502,	0.00534238,	-0.0505137,	0.997367
1520788761124679839,	-0.846821,	2.34274,	-0.0875397,	0.124188,	-0.254361,	-2.29812,	-0.0551416,	0.0110042,	-0.0216447,	0.998183,	-0.859954,	2.36824,	0.126851,	-0.0170289,	0.0198099,	0.00715911,	-0.00788723,	0.709927,	0.70388,	-0.0222623,	-0.763246,	2.27348,	-0.16964,	-0.0132434,	-0.00659571,	-0.00840192,	-0.0532217,	0.00758835,	-0.0513573,	0.997232
1520788761219536468,	-0.848126,	2.343,	-0.0868166,	0.125831,	-0.268484,	-2.27306,	-0.0530361,	0.00831458,	-0.0234198,	0.998283,	-0.86026,	2.37026,	0.127121,	-0.00326003,	0.0215052,	0.00287423,	-0.00778777,	0.710678,	0.703098,	-0.0230241,	-0.764826,	2.27455,	-0.170807,	-0.0168099,	0.011392,	-0.0124214,	-0.0510141,	0.0100277,	-0.053557,	0.99721
1520788761322798122,	-0.849595,	2.3458,	-0.0852156,	0.103546,	-0.237469,	-2.06152,	-0.0551322,	0.0115691,	-0.02135,	0.998184,	-0.858876,	2.3765,	0.129385,	0.0134446,	0.0605077,	0.0219764,	-0.0067243,	0.712948,	0.700679,	-0.0266062,	-0.766254,	2.27539,	-0.170195,	-0.0138657,	0.00816751,	0.00594257,	-0.0530542,	0.00735763,	-0.0544445,	0.997079
1520788761423441974,	-0.84926,	2.34979,	-0.0838,	0.0961554,	-0.267032,	-2.13185,	-0.0597601,	0.0134478,	-0.0184936,	0.997951,	-0.856271,	2.38012,	0.130473,	0.0260459,	0.0361955,	0.0108754,	-0.00620813,	0.714323,	0.699222,	-0.0281644,	-0.767435,	2.27762,	-0.16877,	-0.0118073,	0.0223092,	0.0142561,	-0.0543957,	0.0107896,	-0.0530777,	0.997049
1520788761513159741,	-0.847185,	2.35378,	-0.0825318,	0.102086,	-0.295894,	-2.39331,	-0.0602865,	0.0138252,	-0.0196597,	0.997892,	-0.855641,	2.38185,	0.130842,	0.00707527,	0.019482,	0.00414717,	-0.00700079,	0.714666,	0.698847,	-0.0285697,	-0.767041,	2.2814,	-0.167482,	0.00441948,	0.0424492,	0.0144633,	-0.0569739,	0.0125604,	-0.0516756,	0.996958
1520788761629458539,	-0.845295,	2.35563,	-0.0812521,	0.0891929,	-0.226032,	-1.82839,	-0.0586835,	0.0135726,	-0.0187274,	0.998009,	-0.850739,	2.38422,	0.128717,	0.0422653,	0.020426,	-0.0183182,	-0.00669282,	0.714753,	0.698526,	-0.033834,	-0.765019,	2.28557,	-0.16641,	0.0174326,	0.0359446,	0.00924679,	-0.0605263,	0.0131423,	-0.0507669,	0.996788
1520788761740753256,	-0.842647,	2.35649,	-0.0843547,	0.0728933,	-0.249781,	-1.91956,	-0.0601958,	0.0186335,	-0.0145901,	0.997906,	-0.846674,	2.38471,	0.125895,	0.0366195,	0.0044452,	-0.0254242,	-0.0040876,	0.714206,	0.698982,	-0.0363055,	-0.763069,	2.28715,	-0.165323,	0.017566,	0.0142189,	0.00979546,	-0.062202,	0.0131193,	-0.0495107,	0.996748
1520788761848614310,	-0.840316,	2.35737,	-0.086249,	0.0594141,	-0.255545,	-1.98265,	-0.0599929,	0.0218786,	-0.0150897,	0.997845,	-0.843452,	2.38601,	0.123708,	0.0301117,	0.0121198,	-0.0204391,	-0.00327876,	0.713825,	0.699187,	-0.0397534,	-0.760394,	2.28755,	-0.168329,	0.0250068,	0.00376609,	-0.0280946,	-0.0590132,	0.0181228,	-0.0465617,	0.997006
1520788761963183929,	-0.838039,	2.35953,	-0.0888995,	0.0474786,	-0.232297,	-1.86498,	-0.0604338,	0.0257391,	-0.0130967,	0.997754,	-0.843152,	2.38783,	0.124097,	0.00263044,	0.0160096,	0.00341867,	-0.00502902,	0.71321,	0.699775,	-0.0402653,	-0.758086,	2.28834,	-0.170152,	0.0202392,	0.00692096,	-0.0159947,	-0.0609052,	0.021342,	-0.0459328,	0.996858
1520788762081329153,	-0.837528,	2.36303,	-0.0885439,	0.0476603,	-0.210177,	-1.80204,	-0.059495,	0.0248801,	-0.0109941,	0.997858,	-0.846173,	2.39336,	0.12785,	-0.0256002,	0.0468594,	0.0318033,	-0.0089545,	0.714608,	0.698318,	-0.0400967,	-0.755769,	2.29016,	-0.172782,	0.0196359,	0.0153703,	-0.0222914,	-0.0596176,	0.0252052,	-0.0442042,	0.996923
1520788762200608248,	-0.838742,	2.36601,	-0.0851099,	0.0624472,	-0.229875,	-1.78958,	-0.0595723,	0.0223857,	-0.00930456,	0.99793,	-0.849987,	2.39292,	0.131353,	-0.0320532,	-0.00373521,	0.0294325,	-0.0118281,	0.713297,	0.699778,	-0.0371265,	-0.755173,	2.29348,	-0.172564,	0.00501524,	0.0278979,	0.00183836,	-0.0587518,	0.0243988,	-0.0419415,	0.997093
1520788762304690521,	-0.841104,	2.36733,	-0.0808112,	0.085417,	-0.246021,	-2.04004,	-0.0543034,	0.018305,	-0.00929697,	0.998313,	-0.849519,	2.39171,	0.132154,	0.00450202,	-0.0116057,	0.00770415,	-0.00939493,	0.711689,	0.70162,	-0.0337501,	-0.756259,	2.29633,	-0.169359,	-0.0104493,	0.0274246,	0.0308158,	-0.0590593,	0.0220219,	-0.0401428,	0.997204
1520788762414314340,	-0.840134,	2.36614,	-0.0801086,	0.0860959,	-0.234574,	-1.94736,	-0.0539898,	0.017536,	-0.015999,	0.998259,	-0.845875,	2.39058,	0.132074,	0.0334271,	-0.0104241,	-0.000734657,	-0.00397545,	0.710461,	0.703084,	-0.0300332,	-0.758392,	2.29724,	-0.165453,	-0.0195683,	0.00834131,	0.0358375,	-0.0597016,	0.0185689,	-0.042399,	0.997143
1520788762534966656,	-0.837516,	2.36642,	-0.080239,	0.0696602,	-0.201318,	-1.76927,	-0.0543714,	0.0187794,	-0.0212345,	0.998118,	-0.844521,	2.39391,	0.133318,	0.0112848,	0.0278107,	0.010372,	-0.000393227,	0.716639,	0.697001,	-0.0248505,	-0.755381,	2.29676,	-0.164646,	0.0250946,	-0.00395594,	0.00672056,	-0.0544043,	0.0179315,	-0.0517694,	0.997015
1520788762657662785,	-0.836485,	2.36635,	-0.0787818,	0.065866,	-0.225889,	-1.73853,	-0.0616159,	0.0170781,	-0.0249231,	0.997643,	-0.847877,	2.39387,	0.134305,	-0.0275083,	-0.000362545,	0.00808992,	-0.00158171,	0.717894,	0.695863,	-0.0200214,	-0.75511,	2.29677,	-0.164668,	0.00222299,	8.61859e-05,	-0.000180851,	-0.0543747,	0.0179941,	-0.0524891,	0.996978
1520788762778395134,	-0.838295,	2.36496,	-0.0775281,	0.0798549,	-0.240871,	-1.76528,	-0.0615407,	0.0103916,	-0.0276182,	0.997668,	-0.852636,	2.39724,	0.135718,	-0.0396557,	0.0281106,	0.0117696,	-0.00202657,	0.723667,	0.689992,	-0.0145968,	-0.754116,	2.29668,	-0.163238,	0.00828336,	-0.000772351,	0.0119164,	-0.0636963,	0.0164067,	-0.0564819,	0.996235
1520788762899352379,	-0.841495,	2.36577,	-0.0760313,	0.0928401,	-0.262299,	-1.76458,	-0.069469,	0.00766828,	-0.030048,	0.997102,	-0.853982,	2.39701,	0.136651,	-0.0112184,	-0.00189724,	0.00777389,	-6.29806e-05,	0.724225,	0.689458,	-0.0121007,	-0.756082,	2.29586,	-0.162076,	-0.0163863,	-0.00684754,	0.00968522,	-0.0661206,	0.00971295,	-0.0596949,	0.995977
1520788762997768735,	-0.842899,	2.36643,	-0.0755167,	0.113092,	-0.312065,	-2.16497,	-0.0720447,	0.00710609,	-0.0322485,	0.996855,	-0.855147,	2.39234,	0.138295,	-0.0118859,	-0.0477506,	0.0167808,	0.000615358,	0.718746,	0.695165,	-0.0122257,	-0.75913,	2.29667,	-0.160607,	-0.0311007,	0.008325,	0.0149879,	-0.075723,	0.00726098,	-0.0617092,	0.995191
1520788763119664258,	-0.844648,	2.36447,	-0.07394,	0.0867632,	-0.230319,	-1.75401,	-0.0622508,	0.00836011,	-0.0334258,	0.997466,	-0.856105,	2.39148,	0.139332,	-0.00791883,	-0.00703638,	0.00857146,	-0.000193325,	0.717651,	0.696279,	-0.0131338,	-0.760603,	2.29763,	-0.160092,	-0.0121755,	0.00792561,	0.00425988,	-0.075994,	0.00639623,	-0.0645534,	0.994996
1520788763215048939,	-0.845502,	2.36475,	-0.0734202,	0.11161,	-0.281434,	-2.2395,	-0.0604526,	0.00875862,	-0.0300599,	0.99768,	-0.85929,	2.38951,	0.141733,	-0.0335304,	-0.0207301,	0.0252674,	-0.00609644,	0.714658,	0.699295,	-0.014643,	-0.762247,	2.29557,	-0.158557,	-0.0173089,	-0.021682,	0.0161558,	-0.0667335,	0.00766713,	-0.0653388,	0.9956
1520788763329918074,	-0.847062,	2.36414,	-0.0711286,	0.107268,	-0.222597,	-1.8672,	-0.0575919,	0.00572608,	-0.0245095,	0.998023,	-0.863141,	2.38089,	0.143561,	-0.0337811,	-0.0756309,	0.0160378,	-0.0102559,	0.70604,	0.707962,	-0.0138304,	-0.76307,	2.29576,	-0.158091,	-0.00721582,	0.0016641,	0.00408639,	-0.0613747,	0.00789691,	-0.0632952,	0.996075
1520788763435779318,	-0.84894,	2.36139,	-0.0702516,	0.135254,	-0.1857,	-2.03631,	-0.0494259,	0.00376777,	-0.0245995,	0.998468,	-0.864722,	2.37468,	0.14346,	-0.0150495,	-0.0591579,	-0.000962229,	-0.0106206,	0.700518,	0.713438,	-0.0129441,	-0.764524,	2.29496,	-0.155736,	-0.013843,	-0.00763115,	0.0224315,	-0.0538743,	0.00470973,	-0.0582979,	0.996833
1520788763545108362,	-0.850383,	2.35835,	-0.0711034,	0.131548,	-0.149833,	-1.96847,	-0.0380518,	0.00138492,	-0.0265244,	0.998923,	-0.865719,	2.36881,	0.143233,	-0.00915182,	-0.053874,	-0.00207946,	-0.0123115,	0.694893,	0.718887,	-0.0132174,	-0.766421,	2.2924,	-0.154813,	-0.0174084,	-0.0235297,	0.00846621,	-0.0438291,	0.00257087,	-0.058236,	0.997337
1520788763659625243,	-0.850509,	2.35556,	-0.0719464,	0.133419,	-0.116222,	-1.88754,	-0.0293407,	0.000661145,	-0.0254529,	0.999245,	-0.865533,	2.36242,	0.142836,	0.00163291,	-0.0560153,	-0.00348351,	-0.0140296,	0.688715,	0.724776,	-0.0132349,	-0.767993,	2.28999,	-0.155656,	-0.0137894,	-0.0210772,	-0.00739808,	-0.0371976,	0.000282625,	-0.0579383,	0.997627
