time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520804653395724543,	-0.841502,	2.21968,	-0.252995,	0.0316318,	-0.064105,	-0.0997628,	-0.0296474,	-0.00484233,	-0.00598078,	0.999531,	-0.856536,	2.27853,	-0.0507267,	0.0249528,	-0.0379601,	-0.00990587,	-0.0358584,	0.693318,	0.719015,	-0.0322874,	-0.806102,	2.23856,	-0.311508,	0.00126215,	0.00239904,	0.00135785,	-0.0103428,	-0.0177628,	0.0201883,	0.999585
1520804653509721165,	-0.842181,	2.21987,	-0.252233,	0.127036,	-0.519115,	-1.78324,	-0.032599,	-0.00111721,	-0.00721905,	0.999442,	-0.857798,	2.27908,	-0.0503056,	-0.0111634,	0.00480965,	0.00372636,	-0.0383962,	0.692879,	0.719292,	-0.0326206,	-0.762476,	2.15545,	-0.327885,	0.386072,	-0.73547,	-0.144931,	-0.0211631,	-0.00722168,	-0.0339964,	0.999172
1520804653629005795,	-0.842679,	2.22083,	-0.252788,	0.127051,	-0.48952,	-1.70154,	-0.0275594,	-0.00565891,	-0.00315776,	0.999599,	-0.857454,	2.27862,	-0.0502635,	0.00289149,	-0.00384666,	0.000354541,	-0.0412695,	0.687512,	0.724057,	-0.0369362,	-0.76334,	2.15516,	-0.327,	-0.00725871,	-0.00245259,	0.00743879,	-0.0232225,	-0.00324813,	-0.0350405,	0.999111
1520804653748314171,	-0.842523,	2.22264,	-0.253129,	0.125467,	-0.470443,	-1.70475,	-0.0230493,	-0.00446379,	-2.58197e-06,	0.999724,	-0.855912,	2.28215,	-0.0505646,	0.0129502,	0.0296431,	-0.00253091,	-0.0383841,	0.688752,	0.722887,	-0.0397716,	-0.763656,	2.15651,	-0.327811,	-0.00265594,	0.0113884,	-0.0068165,	-0.0169587,	-0.00797039,	-0.0318355,	0.999317
1520804653867759991,	-0.842842,	2.22592,	-0.253569,	0.109835,	-0.472534,	-1.70592,	-0.024336,	0.000469366,	0.000111566,	0.999704,	-0.856713,	2.28629,	-0.051138,	-0.00672995,	0.0348071,	-0.00481863,	-0.0374911,	0.686984,	0.724547,	-0.0409649,	-0.763451,	2.15823,	-0.328205,	0.00172429,	0.0144245,	-0.0033144,	-0.0118547,	-0.00674719,	-0.0283704,	0.999504
1520804653986936752,	-0.843447,	2.22966,	-0.253978,	0.111484,	-0.475892,	-1.70454,	-0.0228184,	0.00132453,	-0.000197381,	0.999739,	-0.856602,	2.28908,	-0.0509471,	0.000939857,	0.0234213,	0.001605,	-0.0374785,	0.685738,	0.725675,	-0.0418794,	-0.763677,	2.16138,	-0.328747,	-0.00189936,	0.0264624,	-0.00455504,	-0.0130774,	-0.00179414,	-0.0282169,	0.999515
1520804654111394912,	-0.844139,	2.23386,	-0.253606,	0.100507,	-0.445321,	-1.63434,	-0.0207375,	0.00220437,	0.000888866,	0.999782,	-0.855729,	2.2912,	-0.0490658,	0.00703606,	0.01713,	0.0151715,	-0.034703,	0.686247,	0.725296,	-0.042495,	-0.764169,	2.16498,	-0.329278,	-0.00397095,	0.0290342,	-0.004277,	-0.0113319,	-0.000975288,	-0.0284501,	0.999531
1520804654230846595,	-0.844509,	2.2367,	-0.251499,	0.0942893,	-0.457956,	-1.70112,	-0.020329,	0.00517501,	-0.00153558,	0.999779,	-0.856951,	2.29395,	-0.0454367,	-0.0102667,	0.0231058,	0.0304967,	-0.0324146,	0.685863,	0.725826,	-0.0414524,	-0.764734,	2.16901,	-0.329067,	-0.00474562,	0.0339192,	0.00177343,	-0.00899047,	-8.94116e-05,	-0.0272601,	0.999588
1520804654350378386,	-0.845979,	2.23847,	-0.24836,	0.0922023,	-0.466251,	-1.70523,	-0.0203771,	0.00514927,	-0.00210511,	0.999777,	-0.859525,	2.29521,	-0.0438578,	-0.0216289,	0.0105415,	0.0132677,	-0.0359264,	0.684952,	0.726361,	-0.0441655,	-0.76502,	2.17176,	-0.327115,	-0.00240604,	0.0230381,	0.0163986,	-0.0087322,	0.00280687,	-0.0297433,	0.999515
1520804654470103367,	-0.848101,	2.24114,	-0.24652,	0.0959981,	-0.454288,	-1.70304,	-0.0195789,	0.00431009,	0.00208902,	0.999797,	-0.860874,	2.29605,	-0.0419913,	-0.0113382,	0.00707092,	0.0156846,	-0.0349325,	0.685901,	0.725651,	-0.0418394,	-0.766412,	2.17352,	-0.324136,	-0.0117006,	0.0148301,	0.0250376,	-0.00882064,	0.00277169,	-0.0305116,	0.999492
1520804654587928409,	-0.848944,	2.24034,	-0.245321,	0.101964,	-0.476099,	-1.73786,	-0.0217751,	0.00278757,	0.000798809,	0.999759,	-0.860582,	2.29493,	-0.041923,	0.00249738,	-0.0095623,	0.000584,	-0.036372,	0.68366,	0.727709,	-0.0415436,	-0.768411,	2.1762,	-0.322458,	-0.0170783,	0.0229354,	0.0143391,	-0.00788497,	0.00210828,	-0.0260139,	0.999628
1520804654701759022,	-0.848427,	2.24099,	-0.243866,	0.107565,	-0.477351,	-1.78711,	-0.0191344,	0.00151191,	-0.00030875,	0.999816,	-0.857603,	2.29506,	-0.0436292,	0.0263563,	0.00120284,	-0.0150988,	-0.0344405,	0.68252,	0.728619,	-0.0457622,	-0.769331,	2.17563,	-0.321355,	-0.00814094,	-0.00509532,	0.00976466,	-0.0106699,	0.000507593,	-0.0278112,	0.999556
1520804654815990751,	-0.847069,	2.24273,	-0.248339,	0.0924079,	-0.459111,	-1.7957,	-0.0165366,	0.00460396,	0.00196171,	0.999851,	-0.851148,	2.29554,	-0.0488348,	0.0566306,	0.00419641,	-0.0456636,	-0.0249281,	0.681837,	0.729295,	-0.0510537,	-0.768667,	2.17612,	-0.319703,	0.00582162,	0.00434985,	0.0144871,	-0.0108532,	-0.000722355,	-0.0271123,	0.999573
1520804654934516798,	-0.845562,	2.24298,	-0.251236,	0.047335,	-0.445416,	-1.71527,	-0.0133564,	0.0172749,	-0.00168374,	0.99976,	-0.850569,	2.29649,	-0.0507767,	0.00490272,	0.00804579,	-0.0164562,	-0.0212887,	0.681288,	0.730089,	-0.0486112,	-0.767571,	2.17803,	-0.3243,	0.00929109,	0.0161414,	-0.0389614,	-0.00518855,	0.00210304,	-0.0277064,	0.9996
1520804655053809815,	-0.845333,	2.24404,	-0.253737,	0.0439993,	-0.440747,	-1.70555,	-0.0150718,	0.0177775,	-0.00457346,	0.999718,	-0.852303,	2.29733,	-0.0494934,	-0.014574,	0.00707375,	0.0107837,	-0.022202,	0.682383,	0.729239,	-0.0455155,	-0.765891,	2.17775,	-0.327085,	0.0141096,	-0.00231427,	-0.0233968,	-0.000173722,	0.0147277,	-0.0296727,	0.999451
1520804655173355246,	-0.846195,	2.24425,	-0.251758,	0.0513299,	-0.446074,	-1.69971,	-0.017647,	0.0144387,	-0.00568404,	0.999724,	-0.850279,	2.29612,	-0.0452153,	0.0170085,	-0.0101878,	0.0359504,	-0.0187962,	0.681351,	0.730341,	-0.0448236,	-0.765636,	2.17878,	-0.329544,	0.00214437,	0.00859055,	-0.0206627,	-0.0028229,	0.0151548,	-0.0327237,	0.999346
1520804655292647498,	-0.845323,	2.24408,	-0.248379,	0.0416492,	-0.437315,	-1.70726,	-0.016955,	0.0168747,	-0.00626498,	0.999694,	-0.846698,	2.30522,	-0.0437505,	0.0300978,	0.0764564,	0.0123092,	-0.010208,	0.692114,	0.720405,	-0.0434701,	-0.766476,	2.17903,	-0.327634,	-0.0070534,	0.00210848,	0.0160442,	-0.00562196,	0.0118361,	-0.03406,	0.999334
1520804655411774942,	-0.844078,	2.24646,	-0.245142,	0.0220169,	-0.493764,	-1.69237,	-0.0309295,	0.0225466,	-0.0130394,	0.999182,	-0.850098,	2.31268,	-0.0409513,	-0.0285773,	0.0626904,	0.0235228,	-0.0123206,	0.699466,	0.713426,	-0.0402285,	-0.765624,	2.17883,	-0.324336,	0.00716053,	-0.00167605,	0.0277139,	-0.0048121,	0.0142539,	-0.0346583,	0.999286
1520804655532203779,	-0.846769,	2.25132,	-0.241597,	0.0277424,	-0.511366,	-1.67204,	-0.0400161,	0.0168281,	-0.0123594,	0.998981,	-0.859229,	2.31055,	-0.0383001,	-0.0760904,	-0.0177159,	0.0220938,	-0.0191551,	0.694033,	0.718982,	-0.0318761,	-0.764351,	2.18106,	-0.321255,	0.0106014,	0.0186427,	0.0256763,	-0.0201659,	0.0199415,	-0.0422322,	0.998705
1520804655651478834,	-0.850658,	2.25061,	-0.240122,	0.072031,	-0.503701,	-1.69598,	-0.0302907,	0.00881004,	-0.0156079,	0.99938,	-0.861963,	2.31159,	-0.0370225,	-0.0229753,	0.0087271,	0.0107357,	-0.0202637,	0.694438,	0.718609,	-0.0307584,	-0.766859,	2.18588,	-0.317992,	-0.0210684,	0.0404835,	0.0274196,	-0.030515,	0.0144612,	-0.0420507,	0.998545
1520804655776172656,	-0.852717,	2.25242,	-0.238591,	0.0745632,	-0.477161,	-1.62555,	-0.0321387,	0.00749594,	-0.0167974,	0.999314,	-0.858532,	2.31419,	-0.0362551,	0.0276719,	0.0209775,	0.00618896,	-0.00953069,	0.695604,	0.717826,	-0.0277534,	-0.770684,	2.18538,	-0.316566,	-0.0308481,	-0.00405624,	0.0115001,	-0.0201304,	0.00616548,	-0.0453393,	0.99875
1520804655893682488,	-0.852752,	2.25426,	-0.23812,	0.0494023,	-0.51226,	-1.72534,	-0.0295683,	0.0129457,	-0.0250972,	0.999164,	-0.85592,	2.31454,	-0.0362312,	0.0223284,	0.00295026,	0.000204448,	0.00128564,	0.692311,	0.721306,	-0.0205554,	-0.772654,	2.18722,	-0.315153,	-0.0168364,	0.0157742,	0.0120782,	-0.0224439,	0.00486438,	-0.046739,	0.998643
1520804656012736278,	-0.852312,	2.25803,	-0.238085,	0.0303173,	-0.474865,	-1.69625,	-0.0277915,	0.0169273,	-0.0416352,	0.998603,	-0.854643,	2.32121,	-0.0375082,	0.0107235,	0.0560324,	-0.0107312,	0.0129432,	0.697261,	0.716658,	-0.00779033,	-0.772655,	2.18897,	-0.314716,	-1.14956e-05,	0.0146718,	0.00367163,	-0.019451,	0.00993439,	-0.0551971,	0.998237
1520804656128474266,	-0.852068,	2.26201,	-0.23895,	0.0223933,	-0.51472,	-1.75167,	-0.034146,	0.0150492,	-0.0592194,	0.997547,	-0.855248,	2.33171,	-0.0387223,	-0.00525515,	0.091308,	-0.0105575,	0.0281762,	0.704863,	0.708619,	0.0152794,	-0.772127,	2.19248,	-0.314825,	0.00458687,	0.030493,	-0.000949969,	-0.0191376,	0.0133546,	-0.072418,	0.997101
1520804656247896827,	-0.852519,	2.26657,	-0.239075,	0.0229277,	-0.547397,	-1.68364,	-0.0395114,	0.0120904,	-0.082576,	0.995728,	-0.855321,	2.33381,	-0.0387503,	-0.000617355,	0.0176952,	-0.000235075,	0.0391119,	0.701898,	0.710522,	0.0311173,	-0.771794,	2.19638,	-0.315808,	0.00280405,	0.0327568,	-0.00826039,	-0.0275993,	0.0110634,	-0.0904388,	0.995458
1520804656365290411,	-0.852752,	2.27148,	-0.239941,	0.0219634,	-0.532782,	-1.71958,	-0.0344967,	0.00968986,	-0.101462,	0.994194,	-0.852537,	2.34015,	-0.038388,	0.0237934,	0.0541299,	0.00309585,	0.0623946,	0.698948,	0.710343,	0.0546835,	-0.772132,	2.20053,	-0.316033,	-0.00289196,	0.0355193,	-0.00192041,	-0.0358146,	0.00766466,	-0.114628,	0.992733
1520804656466070188,	-0.852404,	2.27728,	-0.239388,	0.00133151,	-0.628649,	-2.01,	-0.0323473,	0.0103435,	-0.128484,	0.99113,	-0.850503,	2.34489,	-0.0383129,	0.0203399,	0.0474756,	0.000751365,	0.0703843,	0.700585,	0.707404,	0.0616929,	-0.772262,	2.20526,	-0.317062,	-0.00129477,	0.0472983,	-0.0102898,	-0.0320102,	0.00472157,	-0.133119,	0.990572
1520804656568461910,	-0.850807,	2.28468,	-0.239182,	-0.00297539,	-0.590286,	-1.96931,	-0.0355296,	0.01321,	-0.149536,	0.988029,	-0.846298,	2.35458,	-0.0372346,	0.0412311,	0.094937,	0.0105719,	0.089671,	0.701448,	0.702418,	0.08086,	-0.771699,	2.21094,	-0.316636,	0.00551681,	0.0556873,	0.00417556,	-0.0325879,	0.0048781,	-0.16106,	0.986394
1520804656669220343,	-0.849398,	2.29018,	-0.237674,	-0.0310007,	-0.643975,	-2.00439,	-0.0391298,	0.0112945,	-0.16738,	0.985051,	-0.844963,	2.3569,	-0.0360998,	0.0133491,	0.0232182,	0.0113479,	0.0992842,	0.69644,	0.704535,	0.0935148,	-0.769953,	2.21749,	-0.31664,	0.0174615,	0.0655282,	-3.83069e-05,	-0.0376491,	0.00734358,	-0.180158,	0.98289
1520804656774846038,	-0.848372,	2.29545,	-0.236488,	-0.0324685,	-0.585252,	-1.90846,	-0.0310577,	0.0114377,	-0.182459,	0.982656,	-0.842407,	2.36302,	-0.0357154,	0.0243392,	0.0583245,	0.0036611,	0.108548,	0.696851,	0.701334,	0.103664,	-0.768526,	2.22284,	-0.315314,	0.013586,	0.0509412,	0.0126254,	-0.0421646,	0.00539378,	-0.197083,	0.979465
1520804656891568847,	-0.846814,	2.30081,	-0.235872,	-0.0379906,	-0.536295,	-1.72549,	-0.0321897,	0.0110259,	-0.195234,	0.980166,	-0.840404,	2.36809,	-0.0344838,	0.0172726,	0.0436763,	0.010617,	0.118775,	0.695916,	0.698922,	0.114457,	-0.767279,	2.22762,	-0.314391,	0.0107532,	0.0411607,	0.00796101,	-0.035932,	0.00516301,	-0.211668,	0.976667
1520804657007715237,	-0.845574,	2.30717,	-0.235427,	-0.0445698,	-0.525138,	-1.73227,	-0.036226,	0.00879823,	-0.215928,	0.975697,	-0.840038,	2.37349,	-0.0332579,	0.00315161,	0.0465474,	0.0105676,	0.128605,	0.693892,	0.697119,	0.126489,	-0.765606,	2.23263,	-0.313958,	0.0144177,	0.0431942,	0.003731,	-0.0381714,	0.00463574,	-0.223991,	0.973832
1520804657121622166,	-0.846083,	2.31326,	-0.233046,	-0.0534985,	-0.532966,	-1.76803,	-0.0327075,	0.00994138,	-0.229801,	0.972637,	-0.840027,	2.38025,	-0.0325439,	9.79007e-05,	0.0598024,	0.00631861,	0.140376,	0.692551,	0.693406,	0.140912,	-0.764356,	2.23889,	-0.31366,	0.0110638,	0.055387,	0.00264054,	-0.0424478,	0.00222859,	-0.243318,	0.969015
