time stamp[ns], 	x[VO], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VIVE], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw, 	x[VO_uncalibrated], 	y, 	z, 	dx[m/s], 	dy, 	dz, 	qx, 	qy, 	qz, 	qw 
1520804468603740491,	-0.835901,	2.24,	-0.191731,	1.46257e-05,	3.29902e-07,	-3.63609e-05,	-0.0455272,	-0.00707784,	-0.0120859,	0.998865,	-0.850172,	2.30219,	0.00696063,	1.33066e-05,	6.07848e-06,	-1.79956e-05,	-0.0314599,	0.704661,	0.708358,	-0.0263169,	-0.756106,	2.17429,	-0.26801,	1.28625e-05,	4.54727e-06,	-1.76106e-05,	-0.038374,	-0.00961672,	-0.0433209,	0.998278
1520804468716087058,	-0.836119,	2.23841,	-0.19488,	0.125476,	-0.569481,	-1.80215,	-0.0464038,	-0.00551446,	-0.0130418,	0.998822,	-0.846584,	2.30321,	0.00470677,	0.0320368,	0.00910372,	-0.0201237,	-0.021755,	0.708145,	0.705166,	-0.0282713,	-0.756494,	2.17461,	-0.269097,	-0.00345876,	0.00288195,	-0.00971258,	-0.0392764,	-0.00877432,	-0.0421743,	0.998299
1520804468832600577,	-0.836156,	2.23729,	-0.195428,	0.0898997,	-0.568267,	-1.7253,	-0.0478632,	0.00229725,	-0.0178463,	0.998692,	-0.845914,	2.30357,	0.00417865,	0.00577457,	0.00311081,	-0.00455272,	-0.0203805,	0.709406,	0.703812,	-0.0312677,	-0.756843,	2.17325,	-0.272146,	-0.00301117,	-0.0117349,	-0.0262764,	-0.039769,	-0.00747951,	-0.0434859,	0.998234
1520804468961730053,	-0.836686,	2.23648,	-0.196399,	0.071541,	-0.520132,	-1.55487,	-0.0514617,	0.00697176,	-0.0174418,	0.998498,	-0.845681,	2.30402,	0.00492895,	0.00180791,	0.00350725,	0.00581624,	-0.022111,	0.708378,	0.704659,	-0.0341815,	-0.756814,	2.17205,	-0.272602,	0.000226293,	-0.00929439,	-0.00354087,	-0.0418532,	0.000365307,	-0.0483248,	0.997954
1520804469089194919,	-0.836823,	2.23785,	-0.194453,	0.0697504,	-0.521051,	-1.56994,	-0.0501631,	0.00767611,	-0.0130884,	0.998626,	-0.843437,	2.30515,	0.00899222,	0.0176714,	0.00886422,	0.0319943,	-0.0205146,	0.707421,	0.705136,	-0.043805,	-0.75733,	2.17113,	-0.273445,	-0.00406228,	-0.0072062,	-0.00663783,	-0.0440649,	0.00506555,	-0.0486934,	0.997828
1520804469191779611,	-0.837807,	2.24001,	-0.191105,	0.0551924,	-0.638604,	-1.96173,	-0.0484413,	0.0149984,	-0.00786169,	0.998682,	-0.839504,	2.30733,	0.0118295,	0.0385543,	0.021361,	0.0278165,	-0.0120129,	0.708659,	0.703711,	-0.049492,	-0.757444,	2.17264,	-0.271679,	-0.00112252,	0.0148082,	0.017315,	-0.0440507,	0.00594713,	-0.0432702,	0.998074
1520804469300598193,	-0.838471,	2.2406,	-0.187645,	0.00956799,	-0.617874,	-1.84699,	-0.0551307,	0.025741,	-0.00941557,	0.998103,	-0.835613,	2.31084,	0.0133186,	0.0360327,	0.0325046,	0.0137884,	-0.00286828,	0.711777,	0.700091,	-0.0569102,	-0.75834,	2.17478,	-0.268515,	-0.00829334,	0.0197762,	0.0292993,	-0.0419187,	0.0134183,	-0.0376129,	0.998323
1520804469415517703,	-0.83967,	2.24329,	-0.185156,	-0.0355931,	-0.592517,	-1.741,	-0.0539961,	0.0392214,	-0.0111659,	0.997708,	-0.827196,	2.31664,	0.0133542,	0.0738307,	0.0508531,	0.000312061,	0.00898808,	0.711784,	0.698589,	-0.0725031,	-0.758861,	2.17546,	-0.265162,	-0.0045714,	0.00601514,	0.029411,	-0.0489983,	0.0242714,	-0.0383224,	0.997768
1520804469521680359,	-0.839246,	2.24663,	-0.184475,	-0.113683,	-0.660437,	-1.86631,	-0.0548633,	0.0541868,	-0.00753661,	0.996994,	-0.818264,	2.31994,	0.01053,	0.0842647,	0.0311549,	-0.0266434,	0.0190065,	0.711323,	0.697481,	-0.0847203,	-0.760072,	2.17804,	-0.262852,	-0.0114279,	0.0243219,	0.0217955,	-0.0482337,	0.0376519,	-0.0409777,	0.997285
1520804469631693923,	-0.836856,	2.25075,	-0.186529,	-0.169015,	-0.629039,	-1.79145,	-0.0625425,	0.0702297,	-0.00505062,	0.995555,	-0.808231,	2.32334,	0.00596513,	0.0912075,	0.0309564,	-0.041499,	0.0318817,	0.711257,	0.695508,	-0.0967707,	-0.759572,	2.18119,	-0.262216,	0.0045431,	0.0286543,	0.00577625,	-0.0466647,	0.0525865,	-0.0372666,	0.996829
